identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,maxStorageData,storageProtectionData,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,minHourlyHarvestRate,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,Array<String>,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,String,String,String,Integer,String
StorageUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_vault_level01.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1500|piercing:1500|gold:2580000,food:195|piercing:195|gold:0,piercing:67,6048,,,100,,,experience:33,,,,1.5,1,90,stru_resource_vault_level01_death.lvl,,,food:1|piercing:1,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_2,2,0,stru_resource_vault_level02.lvl,,|stru_resource_vault_level02_active01.lvl|stru_resource_vault_level02_active02.lvl,food:2640|piercing:2640|gold:2580000,food:264|piercing:264|gold:0,piercing:750,25920,,7,100,,,experience:36,,,,1.5,1,90,stru_resource_vault_level02_death.lvl,,,food:120|piercing:120,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_68,68,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1284000|piercing:1284000|gold:7430400,food:128400|piercing:128400|gold:0,piercing:1136160,3642463,,202,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:15870|piercing:15870,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_69,69,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1305600|piercing:1305600|gold:7611000,food:130560|piercing:130560|gold:0,piercing:1155600,3642463,,205,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:16140|piercing:16140,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_70,70,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1327200|piercing:1327200|gold:7791600,food:132720|piercing:132720|gold:0,piercing:1175040,3642463,,208,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:16410|piercing:16410,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_71,71,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1348800|piercing:1348800|gold:7972200,food:134880|piercing:134880|gold:0,piercing:1194480,3642463,,211,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:16680|piercing:16680,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_72,72,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1370400|piercing:1370400|gold:8152800,food:137040|piercing:137040|gold:0,piercing:1213920,3642463,,214,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:16950|piercing:16950,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_73,73,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1392000|piercing:1392000|gold:8333400,food:139200|piercing:139200|gold:0,piercing:1233360,3642463,,217,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:17220|piercing:17220,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_74,74,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1413600|piercing:1413600|gold:8514000,food:141360|piercing:141360|gold:0,piercing:1252800,3642463,,220,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:17490|piercing:17490,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_75,75,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1435200|piercing:1435200|gold:8694600,food:143520|piercing:143520|gold:0,piercing:1272240,3642463,,223,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:17760|piercing:17760,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_76,76,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1456800|piercing:1456800|gold:8875200,food:145680|piercing:145680|gold:0,piercing:1291680,3642463,,226,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:18030|piercing:18030,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_77,77,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1478400|piercing:1478400|gold:9055800,food:147840|piercing:147840|gold:0,piercing:1311120,3642463,,229,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:18300|piercing:18300,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_78,78,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1500000|piercing:1500000|gold:9236400,food:150000|piercing:150000|gold:0,piercing:1330560,3642463,,232,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:18570|piercing:18570,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_79,79,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1550400|piercing:1550400|gold:9657800,food:155040|piercing:155040|gold:0,piercing:1350000,3642463,,239,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:19020|piercing:19020,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_80,80,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1600800|piercing:1600800|gold:10079200,food:160080|piercing:160080|gold:0,piercing:1395360,3642463,,246,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:19650|piercing:19650,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_81,81,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1651200|piercing:1651200|gold:10433333,food:165120|piercing:165120|gold:0,piercing:1440720,3642463,,253,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:20280|piercing:20280,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_82,82,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:1701600|piercing:1701600|gold:11444444,food:170160|piercing:170160|gold:0,piercing:1486080,3642463,,260,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:20910|piercing:20910,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_83,83,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1752000|piercing:1752000|gold:12455556,food:175200|piercing:175200|gold:0,piercing:1531440,3642463,,267,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:21540|piercing:21540,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_84,84,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1802400|piercing:1802400|gold:13466667,food:180240|piercing:180240|gold:0,piercing:1576800,3642463,,274,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:22170|piercing:22170,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_85,85,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1852800|piercing:1852800|gold:14477778,food:185280|piercing:185280|gold:0,piercing:1622160,3642463,,281,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:22800|piercing:22800,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_86,86,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1903200|piercing:1903200|gold:15488889,food:190320|piercing:190320|gold:0,piercing:1667520,3642463,,288,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:23430|piercing:23430,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_87,87,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1960800|piercing:1960800|gold:16644444,food:196080|piercing:196080|gold:0,piercing:1712880,3642463,,296,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:24150|piercing:24150,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_88,88,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2018400|piercing:2018400|gold:17800000,food:201840|piercing:201840|gold:0,piercing:1764720,3642463,,310,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:24870|piercing:24870,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_89,89,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2076000|piercing:2076000|gold:18955556,food:207600|piercing:207600|gold:0,piercing:1816560,3642463,,325,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:25590|piercing:25590,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_90,90,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2133600|piercing:2133600|gold:20111111,food:213360|piercing:213360|gold:0,piercing:1868400,3642463,,340,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:26310|piercing:26310,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_91,91,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2191200|piercing:2191200|gold:21266667,food:219120|piercing:219120|gold:0,piercing:1920240,3642463,,355,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:27030|piercing:27030,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_92,92,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2248800|piercing:2248800|gold:22422222,food:224880|piercing:224880|gold:0,piercing:1972080,3642463,,370,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:27750|piercing:27750,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_93,93,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2306400|piercing:2306400|gold:23577778,food:230640|piercing:230640|gold:0,piercing:2023920,3642463,,380,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:28470|piercing:28470,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_94,94,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2364000|piercing:2364000|gold:24733333,food:236400|piercing:236400|gold:0,piercing:2075760,3642463,,390,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:29190|piercing:29190,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_95,95,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2421600|piercing:2421600|gold:25888889,food:242160|piercing:242160|gold:0,piercing:2127600,3642463,,400,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:29910|piercing:29910,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_96,96,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2479200|piercing:2479200|gold:27044444,food:247920|piercing:247920|gold:0,piercing:2179440,3642463,,410,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:30630|piercing:30630,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_97,97,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2536800|piercing:2536800|gold:28200000,food:253680|piercing:253680|gold:0,piercing:2231280,3642463,,418,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:31350|piercing:31350,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_98,98,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2594400|piercing:2594400|gold:29355556,food:259440|piercing:259440|gold:0,piercing:2283120,3642463,,426,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:32070|piercing:32070,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_99,99,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2652000|piercing:2652000|gold:30511111,food:265200|piercing:265200|gold:0,piercing:2334960,3642463,,434,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:32790|piercing:32790,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_100,100,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:2709600|piercing:2709600|gold:31666667,food:270960|piercing:270960|gold:0,piercing:2386800,3642463,,442,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:33510|piercing:33510,prop_constructionKit_vault.lvl,,1,!@#bilhjaemobebnckh
