identifier,runeName,runeType,runeSlot,availableTypes,availableDragons,rarityIndex,abilities,abilityOperators,abilityTexts,abilityUnits,enhanceValues1,enhanceValues2,enhanceCosts,aura,icon,isTutorialRune,h
Epic_ballistaPoisonAffectDamageToDragonModifier18,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingProductionModifier_woodFarm,+|+,Poison Increases Damage to Dragon|Increase Lumber Mill production,%|%,0.036|0.042|0.048|0.054,0.008|0.011|0.011|0.011,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier19,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|ballistaPoisonAffectDragonDamageModifier,+|-,Poison Increases Damage to Dragon|Poison Reduces Dragon Damage,%|%,0.036|0.042|0.048|0.054,0.021|0.027|0.027|0.027,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier2,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingSpecialAttackModifier_cannonTower,+|+,Poison Increases Damage to Dragon|Cannon Tower Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier3,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingSpecialAttackModifier_archerTower,+|+,Poison Increases Damage to Dragon|Archer Tower Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier4,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingSpecialAttackModifier_trebuchet,+|+,Poison Increases Damage to Dragon|Trebuchet Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier5,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingHPModifier_stormTower,+|+,Poison Increases Damage to Dragon|Increase Storm Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier6,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingSpecialAttackModifier_ballista,+|+,Poison Increases Damage to Dragon|Ballista Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier7,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingHPModifier_mageTower,+|+,Poison Increases Damage to Dragon|Increase Red Mage Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier8,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingHPModifier_mageBlueTower,+|+,Poison Increases Damage to Dragon|Increase Blue Mage Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDamageToDragonModifier9,Epic Weakening,monument,normal,,,4,ballistaPoisonAffectDamageToDragonModifier|buildingSpecialAttackModifier_hogFarm,+|+,Poison Increases Damage to Dragon|Sheep Farm Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffDefense_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier1,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_lightningTower,-|+,Poison Reduces Dragon Damage|Lightning Tower Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier10,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_woodFarm,-|+,Poison Reduces Dragon Damage|Lumber Mill Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier11,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_lightningTower,-|+,Poison Reduces Dragon Damage|Increase Lightning Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier12,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_cannonTower,-|+,Poison Reduces Dragon Damage|Increase Cannon Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier13,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_archerTower,-|+,Poison Reduces Dragon Damage|Increase Archer Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier14,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_trebuchet,-|+,Poison Reduces Dragon Damage|Increase Trebuchet Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier15,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_stormTower,-|+,Poison Reduces Dragon Damage|Increase Storm Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier16,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingAttackModifier_ballista,-|+,Poison Reduces Dragon Damage|Increase Ballista Tower Attack,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier17,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingProductionModifier_hogFarm,-|+,Poison Reduces Dragon Damage|Increase Sheep Farm production,%|%,0.036|0.042|0.048|0.054,0.008|0.011|0.011|0.011,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier18,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingProductionModifier_woodFarm,-|+,Poison Reduces Dragon Damage|Increase Lumber Mill production,%|%,0.036|0.042|0.048|0.054,0.008|0.011|0.011|0.011,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier19,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|ballistaPoisonAffectDamageToDragonModifier,-|+,Poison Reduces Dragon Damage|Poison Increases Damage to Dragon,%|%,0.036|0.042|0.048|0.054,0.021|0.027|0.027|0.027,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier2,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_cannonTower,-|+,Poison Reduces Dragon Damage|Cannon Tower Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier3,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_archerTower,-|+,Poison Reduces Dragon Damage|Archer Tower Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier4,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_trebuchet,-|+,Poison Reduces Dragon Damage|Trebuchet Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier5,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingHPModifier_stormTower,-|+,Poison Reduces Dragon Damage|Increase Storm Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier6,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_ballista,-|+,Poison Reduces Dragon Damage|Ballista Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier7,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingHPModifier_mageTower,-|+,Poison Reduces Dragon Damage|Increase Red Mage Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier8,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingHPModifier_mageBlueTower,-|+,Poison Reduces Dragon Damage|Increase Blue Mage Tower HP,%|%,0.036|0.042|0.048|0.054,0.01|0.013|0.017|0.02,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_ballistaPoisonAffectDragonDamageModifier9,Epic Enervating,monument,normal,,,4,ballistaPoisonAffectDragonDamageModifier|buildingSpecialAttackModifier_hogFarm,-|+,Poison Reduces Dragon Damage|Sheep Farm Super Shot Damage,%|%,0.036|0.042|0.048|0.054,0.07|0.09|0.09|0.09,12500|19640|31630,monumentPoison,rune_ballista_debuffAttack_03.png,,
Epic_battlecryAttackModifier1,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_lightning,+|+,Warrior Attack|Increase Lightning Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier1Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_lightning,+|+,Warrior Attack|Increase Lightning Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_battlecryAttackModifier2,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_cannon,+|+,Warrior Attack|Increase Cannon Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier2Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_cannon,+|+,Warrior Attack|Increase Cannon Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_battlecryAttackModifier3,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_archer,+|+,Warrior Attack|Increase Archer Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier3Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_archer,+|+,Warrior Attack|Increase Archer Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_battlecryAttackModifier4,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_trebuchet,+|+,Warrior Attack|Increase Trebuchet Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier4Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_trebuchet,+|+,Warrior Attack|Increase Trebuchet Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_battlecryAttackModifier5,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_storm,+|+,Warrior Attack|Increase Storm Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier5Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_storm,+|+,Warrior Attack|Increase Storm Tower Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_battlecryAttackModifier6,Epic Warrior Attack,dragon,normal,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_ballista,+|+,Warrior Attack|Increase Ballista Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03.png,,
Epic_battlecryAttackModifier6Event,Epic Warrior Attack Glyph,dragon,event,,,4,dragonClassAttackModifier_warrior|resistAbilityIncreaseModifierKeyFormat_ballista,+|+,Warrior Attack|Increase Ballista Resist,%|%,0.01|0.013|0.017|0.02,0.013|0.017|0.017|0.017,12500|19600|31600,attackWhelp,rune_warrior_damage_03_event.png,,
Epic_buildingProductionModifier_hogFarm1,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_lightningTower,+|+,Increase Food Production production|Lightning Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm10,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_woodFarm,+|+,Increase Food Production production|Lumber Mill Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm11,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_lightningTower,+|+,Increase Food Production production|Increase Lightning Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm12,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_cannonTower,+|+,Increase Food Production production|Increase Cannon Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm13,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_archerTower,+|+,Increase Food Production production|Increase Archer Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm14,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_trebuchet,+|+,Increase Food Production production|Increase Trebuchet Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm15,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_stormTower,+|+,Increase Food Production production|Increase Storm Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm16,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingAttackModifier_ballista,+|+,Increase Food Production production|Increase Ballista Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm17,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingProductionModifier_woodFarm,+|+,Increase Food Production production|Increase Lumber Mill production,%|%,0.014|0.017|0.019|0.022,0.008|0.011|0.011|0.011,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm18,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|ballistaPoisonAffectDragonDamageModifier,+|-,Increase Food Production production|Poison Reduces Dragon Damage,%|%,0.014|0.017|0.019|0.022,0.021|0.027|0.027|0.027,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm19,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|ballistaPoisonAffectDamageToDragonModifier,+|+,Increase Food Production production|Poison Increases Damage to Dragon,%|%,0.014|0.017|0.019|0.022,0.021|0.027|0.027|0.027,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm2,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_cannonTower,+|+,Increase Food Production production|Cannon Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm3,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_archerTower,+|+,Increase Food Production production|Archer Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm4,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_trebuchet,+|+,Increase Food Production production|Trebuchet Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm5,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingHPModifier_stormTower,+|+,Increase Food Production production|Increase Storm Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm6,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_ballista,+|+,Increase Food Production production|Ballista Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm7,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingHPModifier_mageTower,+|+,Increase Food Production production|Increase Red Mage Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm8,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingHPModifier_mageBlueTower,+|+,Increase Food Production production|Increase Blue Mage Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_hogFarm9,Epic Food Production,monument,normal,,,4,buildingProductionModifier_hogFarm|buildingSpecialAttackModifier_hogFarm,+|+,Increase Food Production production|Sheep Farm Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_farm_production_03.png,,
Epic_buildingProductionModifier_lumberMill1,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_lightningTower,+|+,Increase Lumber Production production|Lightning Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill10,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_woodFarm,+|+,Increase Lumber Production production|Lumber Mill Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill11,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_lightningTower,+|+,Increase Lumber Production production|Increase Lightning Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill12,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_cannonTower,+|+,Increase Lumber Production production|Increase Cannon Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill13,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_archerTower,+|+,Increase Lumber Production production|Increase Archer Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill14,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_trebuchet,+|+,Increase Lumber Production production|Increase Trebuchet Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill15,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_stormTower,+|+,Increase Lumber Production production|Increase Storm Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill16,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingAttackModifier_ballista,+|+,Increase Lumber Production production|Increase Ballista Tower Attack,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill17,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingProductionModifier_hogFarm,+|+,Increase Lumber Production production|Increase Sheep Farm production,%|%,0.014|0.017|0.019|0.022,0.008|0.011|0.011|0.011,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill18,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|ballistaPoisonAffectDragonDamageModifier,+|-,Increase Lumber Production production|Poison Reduces Dragon Damage,%|%,0.014|0.017|0.019|0.022,0.021|0.027|0.027|0.027,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill19,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|ballistaPoisonAffectDamageToDragonModifier,+|+,Increase Lumber Production production|Poison Increases Damage to Dragon,%|%,0.014|0.017|0.019|0.022,0.021|0.027|0.027|0.027,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill2,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_cannonTower,+|+,Increase Lumber Production production|Cannon Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill3,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_archerTower,+|+,Increase Lumber Production production|Archer Tower Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill4,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_trebuchet,+|+,Increase Lumber Production production|Trebuchet Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill5,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingHPModifier_stormTower,+|+,Increase Lumber Production production|Increase Storm Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill6,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingSpecialAttackModifier_ballista,+|+,Increase Lumber Production production|Ballista Super Shot Damage,%|%,0.014|0.017|0.019|0.022,0.07|0.09|0.09|0.09,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill7,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingHPModifier_mageTower,+|+,Increase Lumber Production production|Increase Red Mage Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
Epic_buildingProductionModifier_lumberMill8,Epic Lumber Production,monument,normal,,,4,buildingProductionModifier_woodFarm|buildingHPModifier_mageBlueTower,+|+,Increase Lumber Production production|Increase Blue Mage Tower HP,%|%,0.014|0.017|0.019|0.022,0.01|0.013|0.017|0.02,12500|19640|31630,monumentHealing,rune_mill_production_03.png,,
