identifier,inBundle,displayName,iconFilename,rewards1,rewardDistributions1,probability1,rewards2,rewardDistributions2,probability2,rewards3,rewardDistributions3,probability3,rewards4,rewardDistributions4,probability4,rewards5,rewardDistributions5,probability5,rewards6,rewardDistributions6,probability6,rewards7,rewardDistributions7,probability7,rewards8,rewardDistributions8,probability8,rewards9,rewardDistributions9,probability9,rewards10,rewardDistributions10,probability10,rewards11,rewardDistributions11,probability11,rewards12,rewardDistributions12,probability12,h
LegendaryBonus1b,,,,invertSpellConsumable01:3,,1,ballistaResistAbilityConsumable01:4,,1,instantKillSpellConsumable01:6,,1,aoeSpellConsumable01:4,,1,battlecrySpellConsumable01:6,,1,cloakSpellConsumable01:6,,1,trebuchetResistAbilityConsumable01:4,,1,invincibleSpellConsumable01:6,,1,hurricaneSpellConsumable01:6,,1,lockdownSpellConsumable01:6,,1,summonDragonSpellConsumable01:6,,1,lightningResistAbilityConsumable01:4,,1,
LegendaryBonus1c,,,,syphonSpellConsumable01:6,,1,selfDestructSpellConsumable01:6,,1,shortCircuitSpellConsumable01:6,,1,fullHeal:5,,1,expediteConsumable1a:12,,1,increaseAttack1:6,,1,increaseHP1:6,,1,increaseBuildingHP1:6,,1,increaseBuildingAttack1:6,,1,chainLightningSpellConsumable01:6,,1,chargeShieldSpellConsumable01:6,,1,dodgeSpellConsumable01:6,,1,
LegendaryBonus1d,,,,freezeSpellConsumable01:6,,1,healSpellConsumable01:6,,1,stoneskinSpellConsumable01:6,,1,archerResistAbilityConsumable01:4,,1,cannonResistAbilityConsumable01:4,,1,stormResistAbilityConsumable01:4,,1,frenzySpellConsumable01:6,,1,,,1,,,,,,,,,,,,,
LegendaryBonus2a,,,,ruby:100,,5,breedingToken:100,,5,foodConsumable0a:5,,3,foodConsumable0b:3,,3,foodConsumable0c:1,,3,foodConsumable1:1,,3,lumberConsumable0a:5,,3,lumberConsumable0b:3,,3,lumberConsumable0c:1,,1,lumberConsumable1:1,,1,xpPotionConsumable1:2,,1,xpPotionConsumable2:1,,1,
LegendaryBonus2b,,,,armorConsumable:5,,1,attackConsumable:5,,1,repairConsumable:5,,1,healingmarkSpellConsumable01:3,,1,curePoisonSpellConsumable01:3,,1,invertSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:3,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:3,,1,cloakSpellConsumable01:3,,1,trebuchetResistAbilityConsumable01:2,,1,
LegendaryBonus2c,,,,invincibleSpellConsumable01:3,,1,hurricaneSpellConsumable01:3,,1,lockdownSpellConsumable01:3,,1,summonDragonSpellConsumable01:3,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:3,,1,selfDestructSpellConsumable01:3,,1,shortCircuitSpellConsumable01:3,,1,fullHeal:2,,1,expediteConsumable1a:6,,1,increaseAttack1:3,,1,increaseHP1:3,,1,
LegendaryBonus2d,,,,increaseBuildingHP1:3,,1,increaseBuildingAttack1:3,,1,chainLightningSpellConsumable01:3,,1,chargeShieldSpellConsumable01:3,,1,dodgeSpellConsumable01:3,,1,freezeSpellConsumable01:3,,1,healSpellConsumable01:3,,1,stoneskinSpellConsumable01:3,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:3,,1,
LegendaryBonus3a,,,,ruby:67,,5,breedingToken:67,,5,foodConsumable0a:3,,3,foodConsumable0b:2,,3,foodConsumable0c:1,,3,lumberConsumable0a:3,,3,lumberConsumable0b:2,,3,lumberConsumable0c:1,,3,xpPotionConsumable0b:3,,1,xpPotionConsumable0c:2,,1,xpPotionConsumable1:1,,1,xpPotionConsumable2:1,,1,
LegendaryBonus3b,,,,armorConsumable:3,,1,attackConsumable:3,,1,repairConsumable:3,,1,healingmarkSpellConsumable01:2,,1,curePoisonSpellConsumable01:2,,1,invertSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:1,,1,instantKillSpellConsumable01:2,,1,aoeSpellConsumable01:1,,1,battlecrySpellConsumable01:2,,1,cloakSpellConsumable01:2,,1,trebuchetResistAbilityConsumable01:1,,1,
LegendaryBonus3c,,,,invincibleSpellConsumable01:2,,1,hurricaneSpellConsumable01:2,,1,lockdownSpellConsumable01:2,,1,summonDragonSpellConsumable01:2,,1,lightningResistAbilityConsumable01:1,,1,syphonSpellConsumable01:2,,1,selfDestructSpellConsumable01:2,,1,shortCircuitSpellConsumable01:2,,1,fullHeal:2,,1,expediteConsumable1a:4,,1,increaseAttack1:2,,1,increaseHP1:2,,1,
LegendaryBonus3d,,,,increaseBuildingHP1:2,,1,increaseBuildingAttack1:2,,1,chainLightningSpellConsumable01:2,,1,chargeShieldSpellConsumable01:2,,1,dodgeSpellConsumable01:2,,1,freezeSpellConsumable01:2,,1,healSpellConsumable01:2,,1,stoneskinSpellConsumable01:2,,1,archerResistAbilityConsumable01:1,,1,cannonResistAbilityConsumable01:1,,1,stormResistAbilityConsumable01:1,,1,frenzySpellConsumable01:2,,1,
LegendaryBonus4a,,,,ruby:50,,5,breedingToken:50,,5,foodConsumable0a:3,,3,foodConsumable0b:1,,3,foodConsumable0c:1,,3,lumberConsumable0a:3,,3,lumberConsumable0b:1,,3,lumberConsumable0c:1,,3,xpPotionConsumable0b:3,,1,xpPotionConsumable0c:1,,1,xpPotionConsumable1:1,,1,armorConsumable:2,,1,
LegendaryBonus4b,,,,attackConsumable:2,,1,repairConsumable:2,,1,healingmarkSpellConsumable01:2,,1,curePoisonSpellConsumable01:2,,1,invertSpellConsumable01:1,,1,ballistaResistAbilityConsumable01:1,,1,instantKillSpellConsumable01:2,,1,aoeSpellConsumable01:1,,1,battlecrySpellConsumable01:2,,1,cloakSpellConsumable01:2,,1,trebuchetResistAbilityConsumable01:1,,1,invincibleSpellConsumable01:2,,1,
LegendaryBonus4c,,,,hurricaneSpellConsumable01:2,,1,lockdownSpellConsumable01:2,,1,summonDragonSpellConsumable01:2,,1,lightningResistAbilityConsumable01:1,,1,syphonSpellConsumable01:2,,1,selfDestructSpellConsumable01:2,,1,shortCircuitSpellConsumable01:2,,1,fullHeal:1,,1,expediteConsumable1a:3,,1,increaseAttack1:1,,1,increaseHP1:1,,1,increaseBuildingHP1:2,,1,
LegendaryBonus4d,,,,increaseBuildingAttack1:2,,1,chainLightningSpellConsumable01:2,,1,chargeShieldSpellConsumable01:2,,1,dodgeSpellConsumable01:2,,1,freezeSpellConsumable01:2,,1,healSpellConsumable01:2,,1,stoneskinSpellConsumable01:2,,1,archerResistAbilityConsumable01:1,,1,cannonResistAbilityConsumable01:1,,1,stormResistAbilityConsumable01:1,,1,frenzySpellConsumable01:2,,1,,,,
DailyCommonBonus1a,,,,ruby:30,,5,breedingToken:30,,5,foodConsumable0a:1,,3,lumberConsumable0a:1,,1,armorConsumable:2,,1,attackConsumable:2,,1,repairConsumable:2,,1,expediteConsumable0:16,,1,expediteConsumable1:10,,1,expediteConsumable1a:2,,1,,,,,,,
DailyCommonBonus2a,,,,ruby:16,,5,breedingToken:16,,5,xpPotionConsumable0a:2,,3,expediteConsumable0a:16,,1,expediteConsumable0:8,,1,expediteConsumable1:6,,,,,,,,,,,,,,,,,,,,,
DailyRareBonus1a,,,,ruby:60,,5,breedingToken:60,,5,foodConsumable0a:4,,3,foodConsumable0b:2,,3,lumberConsumable0a:4,,3,lumberConsumable0b:2,,3,xpPotionConsumable0a:6,,3,xpPotionConsumable0b:4,,3,xpPotionConsumable0c:2,,1,xpPotionConsumable1:2,,1,armorConsumable:2,,1,attackConsumable:2,,1,
DailyRareBonus1b,,,,repairConsumable:2,,1,healingmarkSpellConsumable01:2,,1,curePoisonSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:2,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:2,,1,cloakSpellConsumable01:2,,1,trebuchetResistAbilityConsumable01:2,,1,invincibleSpellConsumable01:2,,1,hurricaneSpellConsumable01:2,,1,lockdownSpellConsumable01:2,,1,
DailyRareBonus1c,,,,summonDragonSpellConsumable01:2,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:2,,1,selfDestructSpellConsumable01:2,,1,shortCircuitSpellConsumable01:2,,1,fullHeal:2,,1,expediteConsumable1:20,,1,expediteConsumable1a:4,,1,increaseAttack1:2,,1,increaseHP1:2,,1,increaseBuildingHP1:2,,1,increaseBuildingAttack1:2,,1,
DailyRareBonus1d,,,,chainLightningSpellConsumable01:2,,1,chargeShieldSpellConsumable01:2,,1,dodgeSpellConsumable01:2,,1,freezeSpellConsumable01:2,,1,healSpellConsumable01:2,,1,stoneskinSpellConsumable01:2,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:2,,1,,,,,,,
DailyRareBonus2a,,,,ruby:30,,5,breedingToken:30,,5,foodConsumable0a:2,,3,lumberConsumable0a:2,,3,xpPotionConsumable0b:2,,3,armorConsumable:2,,1,attackConsumable:2,,1,repairConsumable:2,,1,expediteConsumable0:16,,1,expediteConsumable1:10,,1,expediteConsumable1a:2,,1,,,,
DailyEpicBonus1a,,,,ruby:200,,5,breedingToken:200,,5,foodConsumable0a:10,,3,foodConsumable0b:6,,3,foodConsumable0c:2,,3,foodConsumable1:2,,3,lumberConsumable0a:10,,3,lumberConsumable0b:6,,3,lumberConsumable0c:2,,1,lumberConsumable1:2,,1,xpPotionConsumable0b:10,,1,xpPotionConsumable0c:6,,1,
DailyEpicBonus1b,,,,xpPotionConsumable1:4,,1,xpPotionConsumable2:2,,1,armorConsumable:10,,1,attackConsumable:10,,1,repairConsumable:10,,1,healingmarkSpellConsumable01:6,,1,curePoisonSpellConsumable01:6,,1,invertSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:4,,1,instantKillSpellConsumable01:6,,1,aoeSpellConsumable01:4,,1,battlecrySpellConsumable01:6,,1,
DailyEpicBonus1c,,,,cloakSpellConsumable01:6,,1,trebuchetResistAbilityConsumable01:4,,1,invincibleSpellConsumable01:6,,1,hurricaneSpellConsumable01:6,,1,lockdownSpellConsumable01:6,,1,summonDragonSpellConsumable01:6,,1,lightningResistAbilityConsumable01:4,,1,syphonSpellConsumable01:6,,1,selfDestructSpellConsumable01:6,,1,shortCircuitSpellConsumable01:6,,1,fullHeal:4,,1,expediteConsumable1a:12,,1,
DailyEpicBonus1d,,,,increaseAttack1:6,,1,increaseHP1:6,,1,increaseBuildingHP1:6,,1,increaseBuildingAttack1:6,,1,chainLightningSpellConsumable01:6,,1,chargeShieldSpellConsumable01:6,,1,dodgeSpellConsumable01:6,,1,freezeSpellConsumable01:6,,1,healSpellConsumable01:6,,1,stoneskinSpellConsumable01:6,,1,archerResistAbilityConsumable01:4,,1,cannonResistAbilityConsumable01:4,,1,
DailyEpicBonus1e,,,,stormResistAbilityConsumable01:4,,1,frenzySpellConsumable01:6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyEpicBonus2a,,,,ruby:100,,5,breedingToken:100,,5,foodConsumable0a:6,,3,foodConsumable0b:2,,3,foodConsumable0c:2,,3,lumberConsumable0a:6,,3,lumberConsumable0b:2,,3,lumberConsumable0c:2,,3,xpPotionConsumable0b:6,,1,xpPotionConsumable0c:2,,1,xpPotionConsumable1:2,,1,armorConsumable:4,,1,
DailyEpicBonus2b,,,,attackConsumable:4,,1,repairConsumable:4,,1,healingmarkSpellConsumable01:4,,1,curePoisonSpellConsumable01:4,,1,invertSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:4,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:4,,1,cloakSpellConsumable01:4,,1,trebuchetResistAbilityConsumable01:2,,1,invincibleSpellConsumable01:4,,1,
DailyEpicBonus2c,,,,hurricaneSpellConsumable01:4,,1,lockdownSpellConsumable01:4,,1,summonDragonSpellConsumable01:4,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:4,,1,selfDestructSpellConsumable01:4,,1,shortCircuitSpellConsumable01:4,,1,fullHeal:2,,1,expediteConsumable1a:6,,1,increaseAttack1:2,,1,increaseHP1:2,,1,increaseBuildingHP1:4,,1,
DailyEpicBonus2d,,,,increaseBuildingAttack1:4,,1,chainLightningSpellConsumable01:4,,1,chargeShieldSpellConsumable01:4,,1,dodgeSpellConsumable01:4,,1,freezeSpellConsumable01:4,,1,healSpellConsumable01:4,,1,stoneskinSpellConsumable01:4,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:4,,1,,,,
DailyEpicBonus3a,,,,ruby:70,,5,breedingToken:70,,5,foodConsumable0a:4,,3,foodConsumable0b:2,,3,lumberConsumable0a:4,,3,lumberConsumable0b:2,,3,xpPotionConsumable0a:6,,3,xpPotionConsumable0b:4,,3,xpPotionConsumable0c:2,,1,xpPotionConsumable1:2,,1,armorConsumable:4,,1,attackConsumable:4,,1,
DailyEpicBonus3b,,,,repairConsumable:4,,1,healingmarkSpellConsumable01:2,,1,curePoisonSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:2,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:2,,1,cloakSpellConsumable01:2,,1,trebuchetResistAbilityConsumable01:2,,1,invincibleSpellConsumable01:2,,1,hurricaneSpellConsumable01:2,,1,lockdownSpellConsumable01:2,,1,
DailyEpicBonus3c,,,,summonDragonSpellConsumable01:2,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:2,,1,selfDestructSpellConsumable01:2,,1,shortCircuitSpellConsumable01:2,,1,fullHeal:2,,1,expediteConsumable1:22,,1,expediteConsumable1a:4,,1,increaseAttack1:2,,1,increaseHP1:2,,1,increaseBuildingHP1:2,,1,increaseBuildingAttack1:2,,1,
DailyEpicBonus3d,,,,chainLightningSpellConsumable01:2,,1,chargeShieldSpellConsumable01:2,,1,dodgeSpellConsumable01:2,,1,freezeSpellConsumable01:2,,1,healSpellConsumable01:2,,1,stoneskinSpellConsumable01:2,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:2,,1,,,,,,,
DailyLegendaryBonus1a,,,,ruby:400,,5,breedingToken:400,,5,foodConsumable0b:10,,3,foodConsumable0c:4,,3,foodConsumable1:2,,3,lumberConsumable0b:10,,3,lumberConsumable0c:4,,3,lumberConsumable1:2,,3,xpPotionConsumable1:6,,1,xpPotionConsumable2:4,,1,healingmarkSpellConsumable01:12,,1,curePoisonSpellConsumable01:12,,1,
DailyLegendaryBonus1b,,,,invertSpellConsumable01:6,,1,ballistaResistAbilityConsumable01:8,,1,instantKillSpellConsumable01:12,,1,aoeSpellConsumable01:8,,1,battlecrySpellConsumable01:12,,1,cloakSpellConsumable01:12,,1,trebuchetResistAbilityConsumable01:8,,1,invincibleSpellConsumable01:12,,1,hurricaneSpellConsumable01:12,,1,lockdownSpellConsumable01:12,,1,summonDragonSpellConsumable01:12,,1,lightningResistAbilityConsumable01:8,,1,
DailyLegendaryBonus1c,,,,syphonSpellConsumable01:12,,1,selfDestructSpellConsumable01:12,,1,shortCircuitSpellConsumable01:12,,1,fullHeal:10,,1,expediteConsumable1a:24,,1,increaseAttack1:12,,1,increaseHP1:12,,1,increaseBuildingHP1:12,,1,increaseBuildingAttack1:12,,1,chainLightningSpellConsumable01:12,,1,chargeShieldSpellConsumable01:12,,1,dodgeSpellConsumable01:12,,1,
DailyLegendaryBonus1d,,,,freezeSpellConsumable01:12,,1,healSpellConsumable01:12,,1,stoneskinSpellConsumable01:12,,1,archerResistAbilityConsumable01:8,,1,cannonResistAbilityConsumable01:8,,1,stormResistAbilityConsumable01:8,,1,frenzySpellConsumable01:12,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus2a,,,,ruby:200,,5,breedingToken:200,,5,foodConsumable0a:10,,3,foodConsumable0b:6,,3,foodConsumable0c:2,,3,foodConsumable1:2,,3,lumberConsumable0a:10,,3,lumberConsumable0b:6,,3,lumberConsumable0c:2,,1,lumberConsumable1:2,,1,xpPotionConsumable1:4,,1,xpPotionConsumable2:2,,1,
DailyLegendaryBonus2b,,,,armorConsumable:10,,1,attackConsumable:10,,1,repairConsumable:10,,1,healingmarkSpellConsumable01:6,,1,curePoisonSpellConsumable01:6,,1,invertSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:4,,1,instantKillSpellConsumable01:6,,1,aoeSpellConsumable01:4,,1,battlecrySpellConsumable01:6,,1,cloakSpellConsumable01:6,,1,trebuchetResistAbilityConsumable01:4,,1,
DailyLegendaryBonus2c,,,,invincibleSpellConsumable01:6,,1,hurricaneSpellConsumable01:6,,1,lockdownSpellConsumable01:6,,1,summonDragonSpellConsumable01:6,,1,lightningResistAbilityConsumable01:4,,1,syphonSpellConsumable01:6,,1,selfDestructSpellConsumable01:6,,1,shortCircuitSpellConsumable01:6,,1,fullHeal:4,,1,expediteConsumable1a:12,,1,increaseAttack1:6,,1,increaseHP1:6,,1,
DailyLegendaryBonus2d,,,,increaseBuildingHP1:6,,1,increaseBuildingAttack1:6,,1,chainLightningSpellConsumable01:6,,1,chargeShieldSpellConsumable01:6,,1,dodgeSpellConsumable01:6,,1,freezeSpellConsumable01:6,,1,healSpellConsumable01:6,,1,stoneskinSpellConsumable01:6,,1,archerResistAbilityConsumable01:4,,1,cannonResistAbilityConsumable01:4,,1,stormResistAbilityConsumable01:4,,1,frenzySpellConsumable01:6,,1,
DailyLegendaryBonus3a,,,,ruby:134,,5,breedingToken:134,,5,foodConsumable0a:6,,3,foodConsumable0b:4,,3,foodConsumable0c:2,,3,lumberConsumable0a:6,,3,lumberConsumable0b:4,,3,lumberConsumable0c:2,,3,xpPotionConsumable0b:6,,1,xpPotionConsumable0c:4,,1,xpPotionConsumable1:2,,1,xpPotionConsumable2:2,,1,
DailyLegendaryBonus3b,,,,armorConsumable:6,,1,attackConsumable:6,,1,repairConsumable:6,,1,healingmarkSpellConsumable01:4,,1,curePoisonSpellConsumable01:4,,1,invertSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:4,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:4,,1,cloakSpellConsumable01:4,,1,trebuchetResistAbilityConsumable01:2,,1,
DailyLegendaryBonus3c,,,,invincibleSpellConsumable01:4,,1,hurricaneSpellConsumable01:4,,1,lockdownSpellConsumable01:4,,1,summonDragonSpellConsumable01:4,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:4,,1,selfDestructSpellConsumable01:4,,1,shortCircuitSpellConsumable01:4,,1,fullHeal:4,,1,expediteConsumable1a:8,,1,increaseAttack1:4,,1,increaseHP1:4,,1,
DailyLegendaryBonus3d,,,,increaseBuildingHP1:4,,1,increaseBuildingAttack1:4,,1,chainLightningSpellConsumable01:4,,1,chargeShieldSpellConsumable01:4,,1,dodgeSpellConsumable01:4,,1,freezeSpellConsumable01:4,,1,healSpellConsumable01:4,,1,stoneskinSpellConsumable01:4,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:4,,1,
DailyLegendaryBonus4a,,,,ruby:100,,5,breedingToken:100,,5,foodConsumable0a:6,,3,foodConsumable0b:2,,3,foodConsumable0c:2,,3,lumberConsumable0a:6,,3,lumberConsumable0b:2,,3,lumberConsumable0c:2,,3,xpPotionConsumable0b:6,,1,xpPotionConsumable0c:2,,1,xpPotionConsumable1:2,,1,armorConsumable:4,,1,
DailyLegendaryBonus4b,,,,attackConsumable:4,,1,repairConsumable:4,,1,healingmarkSpellConsumable01:4,,1,curePoisonSpellConsumable01:4,,1,invertSpellConsumable01:2,,1,ballistaResistAbilityConsumable01:2,,1,instantKillSpellConsumable01:4,,1,aoeSpellConsumable01:2,,1,battlecrySpellConsumable01:4,,1,cloakSpellConsumable01:4,,1,trebuchetResistAbilityConsumable01:2,,1,invincibleSpellConsumable01:4,,1,
DailyLegendaryBonus4c,,,,hurricaneSpellConsumable01:4,,1,lockdownSpellConsumable01:4,,1,summonDragonSpellConsumable01:4,,1,lightningResistAbilityConsumable01:2,,1,syphonSpellConsumable01:4,,1,selfDestructSpellConsumable01:4,,1,shortCircuitSpellConsumable01:4,,1,fullHeal:2,,1,expediteConsumable1a:6,,1,increaseAttack1:2,,1,increaseHP1:2,,1,increaseBuildingHP1:4,,1,
DailyLegendaryBonus4d,,,,increaseBuildingAttack1:4,,1,chainLightningSpellConsumable01:4,,1,chargeShieldSpellConsumable01:4,,1,dodgeSpellConsumable01:4,,1,freezeSpellConsumable01:4,,1,healSpellConsumable01:4,,1,stoneskinSpellConsumable01:4,,1,archerResistAbilityConsumable01:2,,1,cannonResistAbilityConsumable01:2,,1,stormResistAbilityConsumable01:2,,1,frenzySpellConsumable01:4,,1,,,,
SalvageDepotBonus,,,,candyCanes:1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailySalvageDepotBonus,,,,candyCanes:1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonBonus1,,,,,CommonBonus1a:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonBonus2,,,,,CommonBonus2a:2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RareBonus1,,,,,RareBonus1a:1,1,,RareBonus1b:1,1,,RareBonus1c:1,1,,RareBonus1d:1,1,,,,,,,,,,,,,,,,,,,,,,,,,
RareBonus2,,,,,RareBonus2a:2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EpicBonus1,,,,,EpicBonus1a:1,1,,EpicBonus1b:1,1,,EpicBonus1c:1,1,,EpicBonus1d:1,1,,EpicBonus1e:1,1,,,,,,,,,,,,,,,,,,,,,,
EpicBonus2,,,,,EpicBonus2a:2,1,,EpicBonus2b:2,1,,EpicBonus2c:2,1,,EpicBonus2d:2,1,,,,,,,,,,,,,,,,,,,,,,,,,
EpicBonus3,,,,,EpicBonus3a:3,1,,EpicBonus3b:3,1,,EpicBonus3c:3,1,,EpicBonus3d:3,1,,,,,,,,,,,,,,,,,,,,,,,,,
LegendaryBonus1,,,,,LegendaryBonus1a:1,1,,LegendaryBonus1b:1,1,,LegendaryBonus1c:1,1,,LegendaryBonus1d:1,1,,,,,,,,,,,,,,,,,,,,,,,,,
LegendaryBonus2,,,,,LegendaryBonus2a:2,1,,LegendaryBonus2b:2,1,,LegendaryBonus2c:2,1,,LegendaryBonus2d:2,1,,,,,,,,,,,,,,,,,,,,,,,,,
LegendaryBonus3,,,,,LegendaryBonus3a:3,1,,LegendaryBonus3b:3,1,,LegendaryBonus3c:3,1,,LegendaryBonus3d:3,1,,,,,,,,,,,,,,,,,,,,,,,,,
LegendaryBonus4,,,,,LegendaryBonus4a:4,1,,LegendaryBonus4b:4,1,,LegendaryBonus4c:4,1,,LegendaryBonus4d:4,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyCommonBonus1,,,,,DailyCommonBonus1a:1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyCommonBonus2,,,,,DailyCommonBonus2a:2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyRareBonus1,,,,,DailyRareBonus1a:1,1,,DailyRareBonus1b:1,1,,DailyRareBonus1c:1,1,,DailyRareBonus1d:1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyRareBonus2,,,,,DailyRareBonus2a:2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyEpicBonus1,,,,,DailyEpicBonus1a:1,1,,DailyEpicBonus1b:1,1,,DailyEpicBonus1c:1,1,,DailyEpicBonus1d:1,1,,DailyEpicBonus1e:1,1,,,,,,,,,,,,,,,,,,,,,,
DailyEpicBonus2,,,,,DailyEpicBonus2a:2,1,,DailyEpicBonus2b:2,1,,DailyEpicBonus2c:2,1,,DailyEpicBonus2d:2,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyEpicBonus3,,,,,DailyEpicBonus3a:3,1,,DailyEpicBonus3b:3,1,,DailyEpicBonus3c:3,1,,DailyEpicBonus3d:3,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus1,,,,,DailyLegendaryBonus1a:1,1,,DailyLegendaryBonus1b:1,1,,DailyLegendaryBonus1c:1,1,,DailyLegendaryBonus1d:1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus2,,,,,DailyLegendaryBonus2a:2,1,,DailyLegendaryBonus2b:2,1,,DailyLegendaryBonus2c:2,1,,DailyLegendaryBonus2d:2,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus3,,,,,DailyLegendaryBonus3a:3,1,,DailyLegendaryBonus3b:3,1,,DailyLegendaryBonus3c:3,1,,DailyLegendaryBonus3d:3,1,,,,,,,,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus4,,,,,DailyLegendaryBonus4a:4,1,,DailyLegendaryBonus4b:4,1,,DailyLegendaryBonus4c:4,1,,DailyLegendaryBonus4d:4,1,,,,,,,,,,,,,,,,,,,,,,,,,
CommonBonus,,,,,CommonBonus1:1,70,,CommonBonus2:1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RareBonus,,,,,RareBonus1:1,70,,RareBonus2:1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EpicBonus,,,,,EpicBonus1:1,50,,EpicBonus2:1,30,,EpicBonus3:1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LegendaryBonus,,,,,LegendaryBonus1:1,40,,LegendaryBonus2:1,30,,LegendaryBonus3:1,20,,LegendaryBonus4:1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DailyCommonBonus,,,,,DailyCommonBonus1:1,70,,DailyCommonBonus2:1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyRareBonus,,,,,DailyRareBonus1:1,70,,DailyRareBonus2:1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyEpicBonus,,,,,DailyEpicBonus1:1,50,,DailyEpicBonus2:1,30,,DailyEpicBonus3:1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DailyLegendaryBonus,,,,,DailyLegendaryBonus1:1,40,,DailyLegendaryBonus2:1,30,,DailyLegendaryBonus3:1,20,,DailyLegendaryBonus4:1,10,,,,,,,,,,,,,,,,,,,,,,,,,
CRM_1_10_a,,,,ruby:30,,3,breedingToken:30,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM_1_10_b,,,,ruby:40,,3,breedingToken:40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRM_1_10_c,,,,ruby:60,,3,breedingToken:60,,10,expediteConsumable1a:5,,3,foodConsumable0a:5,,3,lumberConsumable0a:5,,3,,,,,,,,,,,,,,,,,,,,,,
CRM_11_20_a,,,,ruby:60,,3,breedingToken:60,,10,expediteConsumable1a:5,,3,foodConsumable0a:5,,3,lumberConsumable0a:5,,3,,,,,,,,,,,,,,,,,,,,,,
CRM_11_20_b,,,,ruby:100,,3,breedingToken:100,,10,expediteConsumable1a:5,,3,foodConsumable0a:5,,3,lumberConsumable0a:5,,3,,,,,,,,,,,,,,,,,,,,,,
