identifier,possibleOutcomeDistribution,h
deck0914,T2C1SFdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0915,T2C3HFdragon:22|T2C3HIdragon:4|T2C3SFdragon:4|T3C1HIdragon:4|T3C1SFdragon:4|T3C1SIdragon:2,
deck0916,T2C1WEdragon:22|T2C3SEdragon:4|T2C3SFdragon:4|T2C3WEdragon:4|T3C1SFdragon:4|T3C1WEdragon:2,
deck0917,T2C1WEdragon:22|T2C3SEdragon:4|T2C3SFdragon:4|T2C3WEdragon:4|T3C1SFdragon:4|T3C1WEdragon:2,
deck0918,T2C1SFdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0919,T2C3HFdragon:22|T2C3HIdragon:4|T2C3SFdragon:4|T3C1HIdragon:4|T3C1SFdragon:4|T3C1SIdragon:2,
deck0920,T2C1SFdragon:21|T2C2SUdragon:4|T2C3SFdragon:4|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3,
deck0921,T2C1SFdragon:30|T2C3SFdragon:4|T3C1SFdragon:4|T3C1SIdragon:2,
deck0922,T2C3HFdragon:22|T2C3SEdragon:4|T2C2HEdragon:4|T2C3SFdragon:4|T3C1SFdragon:4|T3C1HEdragon:2,
deck0923,T2C3SEdragon:29|T2C3SFdragon:4|T3C1SFdragon:4|T3C2SEdragon:3,
deck0924,T2C2SUdragon:26|T2C3HFdragon:4|T2C3SFdragon:4|T3C1SFdragon:4|T3C2HUdragon:2,
deck0925,T2C3SFdragon:34|T3C1SFdragon:4|T3C2WFdragon:2,
deck0926,T2C2SUdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0927,T2C3HFdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0928,T2C2WIdragon:28|T2C3SFdragon:4|T3C1SFdragon:4|T3C1SIdragon:2|T3C2WFdragon:2,
deck0929,T2C3HFdragon:22|T2C3HIdragon:4|T2C3SFdragon:4|T3C1HIdragon:4|T3C1SFdragon:4|T3C1SIdragon:2,
deck0930,T2C3SFdragon:36|T3C1SFdragon:4,
deck0931,T2C3HIdragon:25|T3C1HIdragon:4|T3C1SFdragon:4|T3C3HFdragon:3|T3C1SIdragon:2|T3C3HIdragon:2,
deck0932,T2C3SFdragon:26|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3|T3C2WFdragon:2|T3C3SUdragon:2,
deck0933,T2C3SFdragon:36|T3C1SFdragon:4,
deck0934,T2C3HFdragon:24|T2C3SFdragon:4|T3C1SFdragon:4|T3C2SEdragon:3|T3C3HFdragon:3|T3C1HEdragon:2,
deck0935,T2C3HFdragon:29|T2C3SFdragon:4|T3C1SFdragon:4|T3C3HFdragon:3,
deck0936,T2C3SFdragon:29|T3C1SFdragon:4|T3C3WIdragon:3|T3C1SIdragon:2|T3C2WFdragon:2,
deck0937,T2C3SEdragon:29|T2C3SFdragon:4|T3C1SFdragon:4|T3C2SEdragon:3,
deck0938,T2C3HFdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C3HFdragon:3|T3C2HUdragon:2|T3C3SUdragon:2,
deck0939,T2C3SFdragon:34|T3C1SFdragon:4|T3C2WFdragon:2,
deck0940,T3C1SFdragon:34|T3C1SIdragon:2|T4C1SFdragon:4,
deck0941,T3C1SFdragon:34|T3C2WFdragon:2|T4C1SFdragon:4,
deck0942,T3C1SFdragon:27|T3C3HFdragon:3|T4C1HFdragon:4|T4C1SDdragon:3|T4C1SFdragon:4,
deck0943,T3C1SFdragon:35|T3C3SUdragon:2|T4C1SFdragon:4,
deck0944,T3C1SFdragon:29|T3C2SEdragon:3|T3C1WEdragon:2|T3C2WFdragon:2|T4C1SFdragon:4,
deck0945,T3C1SFdragon:25|T3C1WUdragon:3|T3C2WFdragon:2|T3C3SUdragon:2|T4C1SFdragon:4|T4C1WUdragon:5,
deck0946,T3C2SEdragon:24|T3C3HFdragon:3|T3C1HEdragon:2|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4,
deck0947,T3C1SFdragon:32|T3C2WFdragon:2|T4C1SDdragon:3|T4C1SFdragon:4,
deck0948,T3C1SFdragon:36|T4C1SFdragon:4,
deck0949,T3C1HIdragon:27|T3C3HFdragon:3|T3C3HIdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C1HIdragon:1,
deck0950,T3C2SEdragon:32|T4C1SFdragon:4|T4C2SEdragon:5,
deck0951,T3C3HFdragon:30|T4C1HFdragon:4|T4C1SDdragon:3|T4C1SFdragon:4,
deck0952,T3C3WIdragon:32|T3C2WFdragon:2|T4C1SFdragon:4|T4C2WIdragon:2,
deck0953,T3C3SUdragon:36|T4C1SFdragon:4,
deck0954,T3C3HFdragon:33|T4C1HFdragon:4|T4C1SFdragon:4,
deck0955,T3C2WFdragon:36|T4C1SFdragon:4,
deck0956,T4C1SDdragon:36|T4C1SFdragon:4,
deck0957,T3C3HFdragon:25|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C2HUdragon:4,
deck0958,T3C2SEdragon:30|T3C2WFdragon:2|T4C1SFdragon:4|T4C2SEdragon:5,
deck0959,T4C1SFdragon:4,
deck0960,T4C1SFdragon:35|T4C3SIdragon:5,
deck0961,T4C1SFdragon:36|T4C3WFdragon:4,
deck0962,T3C3HFdragon:25|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4|T4C2SEdragon:5,
deck0963,T4C1SDdragon:29|T4C1SFdragon:4|T4C2WDdragon:4|T4C3WFdragon:4,
deck0964,T3C3WIdragon:26|T4C1SFdragon:4|T4C3WFdragon:4|T4C3SIdragon:5|T4C2WIdragon:2,
deck0965,T4C1SFdragon:4,
deck0966,T3C3HFdragon:27|T3C3SUdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C2HUdragon:4|T4C3SUdragon:1,
deck0967,T4C1HFdragon:23|T4C1SFdragon:4|T4C1HIdragon:1|T4C3SIdragon:5|T5C1HIdragon:4|T5C1SFdragon:4,
deck0968,T4C1HFdragon:28|T4C1SFdragon:4|T4C2HUdragon:4|T4C3SUdragon:1|T5C1SFdragon:4,
deck0969,T4C1SFdragon:33|T4C3WFdragon:4|T5C1SFdragon:4,
deck0970,T4C1SDdragon:33|T4C1SFdragon:4|T5C1SFdragon:4,
deck0971,T4C1SFdragon:32|T4C2SEdragon:5|T5C1SFdragon:4,
deck0972,T4C1SDdragon:23|T4C1SFdragon:4|T4C2WDdragon:4|T4C3WFdragon:4|T5C1SFdragon:4|T5C1WDdragon:3,
deck0973,T4C1SFdragon:32|T4C3SIdragon:5|T5C1SFdragon:4,
deck0974,T4C1HFdragon:33|T4C1SFdragon:4|T5C1SFdragon:4,
deck0975,T4C3WFdragon:27|T4C3SIdragon:5|T4C2WIdragon:2|T5C1SFdragon:4|T5C2WIdragon:3,
deck0976,T4C2SEdragon:33|T5C1SFdragon:4|T5C2SEdragon:4,
deck0977,T5C1SFdragon:4,
deck0978,T4C3HDdragon:34|T5C1SFdragon:4|T5C2HDdragon:3,
deck0979,T4C3WEdragon:25|T4C3WFdragon:4|T4C2SEdragon:5|T5C1SFdragon:4|T5C2SEdragon:4,
deck0980,T5C1SFdragon:4,
deck0981,T4C3SIdragon:36|T5C1SFdragon:4,
deck0982,T4C3WFdragon:27|T4C3SIdragon:5|T4C2WIdragon:2|T5C1SFdragon:4|T5C2WIdragon:3,
deck0983,T4C3HDdragon:34|T5C1SFdragon:4|T5C2HDdragon:3,
deck0984,T2C1HIdragon:24|T2C1HUdragon:4|T2C2WIdragon:4|T2C3HIdragon:4|T2C3WUdragon:4,
deck0985,T2C2SUdragon:36|T2C1HUdragon:4,
deck0986,T2C1HUdragon:36|T2C2HEdragon:4,
deck0987,T2C1HUdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck0988,T2C2SUdragon:26|T2C3SEdragon:4|T2C1HUdragon:4|T2C2HEdragon:4|T3C1HEdragon:2,
deck0989,T2C3HFdragon:36|T2C1HUdragon:4,
deck0990,T2C1SFdragon:20|T2C2SUdragon:4|T2C3HFdragon:4|T2C1HUdragon:4|T2C3SFdragon:4|T3C1SFdragon:4,
deck0991,T2C1HIdragon:28|T2C1HUdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck0992,T2C2HEdragon:25|T2C3WUdragon:4|T2C3WEdragon:4|T3C1WUdragon:3|T3C1WEdragon:2|T3C1HEdragon:2,
deck0993,T2C2HEdragon:25|T2C3WUdragon:4|T2C3WEdragon:4|T3C1WUdragon:3|T3C1WEdragon:2|T3C1HEdragon:2,
deck0994,T2C1SFdragon:20|T2C2SUdragon:4|T2C3HFdragon:4|T2C1HUdragon:4|T2C3SFdragon:4|T3C1SFdragon:4,
deck0995,T2C1HIdragon:28|T2C1HUdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck0996,T2C1HUdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck0997,T2C1HIdragon:22|T2C2SUdragon:4|T2C1HUdragon:4|T2C3HIdragon:4|T3C1HIdragon:4|T3C1SIdragon:2,
deck0998,T2C1HUdragon:34|T2C2HEdragon:4|T3C1HEdragon:2,
deck0999,T2C2SUdragon:25|T2C3SEdragon:4|T2C2HEdragon:4|T3C2SEdragon:3|T3C2HUdragon:2|T3C1HEdragon:2,
deck1000,T3C2HUdragon:4,
deck1001,T2C3HFdragon:29|T2C3WUdragon:4|T3C1WUdragon:3|T3C2HUdragon:2|T3C2WFdragon:2,
deck1002,T2C2SUdragon:38|T3C2HUdragon:2,
deck1003,T2C3HFdragon:38|T3C2HUdragon:2,
deck1004,T2C2WIdragon:23|T2C3HIdragon:4|T2C3WUdragon:4|T3C1HIdragon:4|T3C1WUdragon:3|T3C2HUdragon:2,
deck1005,T2C3HIdragon:34|T3C1HIdragon:4|T3C2HUdragon:2,
deck1006,T2C3HFdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C3HFdragon:3|T3C2HUdragon:2|T3C3SUdragon:2,
deck1007,T2C3HIdragon:32|T3C1HIdragon:4|T3C2HUdragon:2|T3C3HIdragon:2,
deck1008,T2C3WUdragon:35|T3C1WUdragon:3|T3C2HUdragon:2,
deck1009,T3C2HUdragon:38|T3C3SUdragon:2,
deck1010,T3C2HUdragon:38|T3C1HEdragon:2,
deck1011,T2C3HFdragon:35|T3C3HFdragon:3|T3C2HUdragon:2,
deck1012,T2C3WUdragon:27|T3C1HIdragon:4|T3C1WUdragon:3|T3C3WIdragon:3|T3C2HUdragon:2|T3C3HIdragon:2,
deck1013,T2C3SEdragon:31|T3C2SEdragon:3|T3C2HUdragon:2|T3C1HEdragon:2|T3C3SUdragon:2,
deck1014,T3C2HUdragon:4,
deck1015,T2C3WUdragon:35|T3C1WUdragon:3|T3C2HUdragon:2,
deck1016,T3C1HIdragon:31|T3C1SIdragon:2|T3C2HUdragon:2|T3C3HIdragon:2|T3C3SUdragon:2|T4C1HIdragon:1,
deck1017,T3C1WUdragon:25|T3C3HFdragon:3|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C1WUdragon:5,
deck1018,T3C2HUdragon:4,
deck1019,T3C2HUdragon:38|T3C3SUdragon:2,
deck1020,T3C1WUdragon:25|T3C1WEdragon:2|T3C2HUdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1WUdragon:5,
deck1021,T3C1WUdragon:33|T3C2HUdragon:2|T4C1WUdragon:5,
deck1022,T3C2HUdragon:34|T3C1HEdragon:2|T4C1HEdragon:4,
deck1023,T3C1WUdragon:33|T3C2HUdragon:2|T4C1WUdragon:5,
deck1024,T3C1SFdragon:26|T3C3HFdragon:3|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HFdragon:4|T4C1SFdragon:4,
deck1025,T3C1HIdragon:35|T3C2HUdragon:2|T3C3HIdragon:2|T4C1HIdragon:1,
deck1026,T3C2SEdragon:24|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HEdragon:4|T4C2HUdragon:4|T4C2SEdragon:5,
deck1027,T3C2HUdragon:36|T4C2HUdragon:4,
deck1028,T3C3WIdragon:26|T3C3HIdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2,
deck1029,T3C2HUdragon:35|T3C3SUdragon:2|T4C2HUdragon:4,
deck1030,T3C3HFdragon:31|T3C2HUdragon:2|T4C1HFdragon:4|T4C2HUdragon:4,
deck1031,T3C3HFdragon:24|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C2HUdragon:4|T4C1WUdragon:5,
deck1032,T3C2HUdragon:32|T3C3SUdragon:2|T4C1SDdragon:3|T4C2HUdragon:4,
deck1033,T3C2HUdragon:36|T4C2HUdragon:4,
deck1034,T3C2HUdragon:28|T4C1HEdragon:4|T4C2HUdragon:4|T4C1WUdragon:5,
deck1035,T3C2HUdragon:32|T3C3HIdragon:2|T3C3SUdragon:2|T4C2HUdragon:4|T4C1HIdragon:1,
deck1036,T3C3HIdragon:28|T3C3SUdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C3SIdragon:5|T4C3SUdragon:1,
deck1037,T3C3HFdragon:25|T4C1HFdragon:4|T4C2HUdragon:4|T4C3WFdragon:4|T4C1WUdragon:5,
deck1038,T4C1HEdragon:36|T4C2HUdragon:4,
deck1039,T4C2HUdragon:27|T4C2WDdragon:4|T4C1WUdragon:5|T4C3HDdragon:5,
deck1040,T3C3WIdragon:26|T3C3HIdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2,
deck1041,T3C3HFdragon:27|T3C3SUdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C2HUdragon:4|T4C3SUdragon:1,
deck1042,T4C2HUdragon:4,
deck1043,T4C2HUdragon:35|T4C1HIdragon:1|T5C1HIdragon:4,
deck1044,T4C2HUdragon:4,
deck1045,T4C1HFdragon:25|T4C2HUdragon:4|T4C3WFdragon:4|T4C1WUdragon:5|T5C1WUdragon:4,
deck1046,T4C1SDdragon:31|T4C2HUdragon:4|T4C3HDdragon:5|T4C3SUdragon:1,
deck1047,T4C1HEdragon:28|T4C2HUdragon:4|T4C2SEdragon:5|T4C3SUdragon:1|T5C1HEdragon:3,
deck1048,T4C2HUdragon:21|T4C2WDdragon:4|T4C1WUdragon:5|T4C3HDdragon:5|T5C1WUdragon:4|T5C1WDdragon:3,
deck1049,T4C2HUdragon:29|T4C1HIdragon:1|T4C3SIdragon:5|T4C3SUdragon:1|T5C1HIdragon:4,
deck1050,T4C1HFdragon:36|T4C2HUdragon:4,
deck1051,T4C2HUdragon:28|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WUdragon:4|T5C2WIdragon:3,
deck1052,T4C2HUdragon:25|T4C2SEdragon:5|T4C3SUdragon:1|T5C2SEdragon:4|T5C2SUdragon:3|T5C1HEdragon:3,
deck1053,T4C2HUdragon:4,
deck1054,T4C2HUdragon:33|T4C3HDdragon:5|T5C2HDdragon:3,
deck1055,T4C2HUdragon:30|T4C3WEdragon:4|T5C1WUdragon:4|T5C1HEdragon:3,
deck1056,T4C2HUdragon:33|T4C3SUdragon:1|T5C1SFdragon:4|T5C2SUdragon:3,
deck1057,T4C2HUdragon:28|T4C3SIdragon:5|T4C3SUdragon:1|T5C1HIdragon:4|T5C2SUdragon:3,
deck1058,T4C2HUdragon:28|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WUdragon:4|T5C2WIdragon:3,
deck1059,T4C2HUdragon:33|T4C3HDdragon:5|T5C2HDdragon:3,
deck1060,T2C2SUdragon:27|T2C2WIdragon:4|T2C3WUdragon:4|T3C1WUdragon:3|T3C1SIdragon:2,
deck1061,T2C2HEdragon:24|T2C3HIdragon:4|T2C3WEdragon:4|T3C1HIdragon:4|T3C1WEdragon:2|T3C1HEdragon:2,
deck1062,T2C2WIdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck1063,T2C1WEdragon:24|T2C3SEdragon:4|T2C2WIdragon:4|T2C3WEdragon:4|T3C1SIdragon:2|T3C1WEdragon:2,
deck1064,T2C1HIdragon:24|T2C3HFdragon:4|T2C2WIdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck1065,T2C1SFdragon:26|T2C2WIdragon:4|T2C3SFdragon:4|T3C1SFdragon:4|T3C1SIdragon:2,
deck1066,T2C1HIdragon:28|T2C2WIdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck1067,T2C1WEdragon:30|T2C2WIdragon:4|T2C3WEdragon:4|T3C1WEdragon:2,
deck1068,T2C2WIdragon:34|T2C3WEdragon:4|T3C1WEdragon:2,
deck1069,T2C2WIdragon:28|T2C3SFdragon:4|T3C1SFdragon:4|T3C1SIdragon:2|T3C2WFdragon:2,
deck1070,T2C2WIdragon:32|T2C3HIdragon:4|T3C1HIdragon:4,
deck1071,T2C2WIdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck1072,T2C2WIdragon:38|T3C1SIdragon:2,
deck1073,T2C2HEdragon:24|T2C3HIdragon:4|T2C3WEdragon:4|T3C1HIdragon:4|T3C1WEdragon:2|T3C1HEdragon:2,
deck1074,T2C3SEdragon:25|T2C2WIdragon:4|T2C3WEdragon:4|T3C2SEdragon:3|T3C1SIdragon:2|T3C1WEdragon:2,
deck1075,T2C2WIdragon:23|T2C3HIdragon:4|T2C3WUdragon:4|T3C1HIdragon:4|T3C1WUdragon:3|T3C2HUdragon:2,
deck1076,T2C2WIdragon:38|T3C2WFdragon:2,
deck1077,T2C3WUdragon:31|T3C1WUdragon:3|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2,
deck1078,T2C3HFdragon:27|T3C1HIdragon:4|T3C3HFdragon:3|T3C3WIdragon:3|T3C3HIdragon:2|T3C2WFdragon:2,
deck1079,T3C3WIdragon:4,
deck1080,T2C3HIdragon:32|T3C1HIdragon:4|T3C3WIdragon:3|T3C3HIdragon:2,
deck1081,T2C3SFdragon:29|T3C1SFdragon:4|T3C3WIdragon:3|T3C1SIdragon:2|T3C2WFdragon:2,
deck1082,T2C3HIdragon:32|T3C1HIdragon:4|T3C3WIdragon:3|T3C3HIdragon:2,
deck1083,T2C3WUdragon:34|T3C1WUdragon:3|T3C3WIdragon:3,
deck1084,T3C3WIdragon:38|T3C1SIdragon:2,
deck1085,T2C3HIdragon:27|T3C1HIdragon:4|T3C3WIdragon:3|T3C1WEdragon:2|T3C3HIdragon:2|T3C1HEdragon:2,
deck1086,T2C3HFdragon:27|T3C1HIdragon:4|T3C3HFdragon:3|T3C3WIdragon:3|T3C3HIdragon:2|T3C2WFdragon:2,
deck1087,T3C3WIdragon:4,
deck1088,T3C2SEdragon:33|T3C3WIdragon:3|T3C1SIdragon:2|T3C1WEdragon:2,
deck1089,T3C1HIdragon:27|T3C3WIdragon:3|T3C2HUdragon:2|T3C3HIdragon:2|T4C1HIdragon:1|T4C1WUdragon:5,
deck1090,T3C3WIdragon:4,
deck1091,T3C3WIdragon:38|T3C1SIdragon:2,
deck1092,T3C3WIdragon:38|T3C2WFdragon:2,
deck1093,T3C1HIdragon:34|T3C3WIdragon:3|T3C3HIdragon:2|T4C1HIdragon:1,
deck1094,T3C1WUdragon:29|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2|T4C1WUdragon:5,
deck1095,T3C3WIdragon:38|T3C1WEdragon:2,
deck1096,T3C3WIdragon:33|T4C1WUdragon:5|T4C2WIdragon:2,
deck1097,T3C3WIdragon:31|T3C3HIdragon:2|T4C1HEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck1098,T3C3WIdragon:34|T4C2WDdragon:4|T4C2WIdragon:2,
deck1099,T3C3WIdragon:32|T3C2WFdragon:2|T4C1SFdragon:4|T4C2WIdragon:2,
deck1100,T3C3WIdragon:35|T3C3HIdragon:2|T4C1HIdragon:1|T4C2WIdragon:2,
deck1101,T3C2SEdragon:30|T3C3WIdragon:3|T4C2SEdragon:5|T4C2WIdragon:2,
deck1102,T3C3WIdragon:31|T3C3HIdragon:2|T4C2WDdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck1103,T3C3WIdragon:38|T4C2WIdragon:2,
deck1104,T3C3WIdragon:31|T3C3SUdragon:2|T4C1WUdragon:5|T4C2WIdragon:2,
deck1105,T3C3HFdragon:26|T3C3WIdragon:3|T4C1HFdragon:4|T4C3WFdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck1106,T3C3WIdragon:34|T4C3WFdragon:4|T4C2WIdragon:2,
deck1107,T3C3WIdragon:27|T4C1SDdragon:3|T4C2WDdragon:4|T4C3SIdragon:5|T4C2WIdragon:2,
deck1108,T3C3WIdragon:26|T3C3HIdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2,
deck1109,T3C3WIdragon:34|T4C3WEdragon:4|T4C2WIdragon:2,
deck1110,T3C3WIdragon:33|T4C3SIdragon:5|T4C2WIdragon:2,
deck1111,T3C3WIdragon:33|T4C3SIdragon:5|T4C2WIdragon:2,
deck1112,T3C3WIdragon:34|T4C3WFdragon:4|T4C2WIdragon:2,
deck1113,T3C3WIdragon:27|T3C3HIdragon:2|T4C1HEdragon:4|T4C3WEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck1114,T3C3WIdragon:34|T4C2WDdragon:4|T4C2WIdragon:2,
deck1115,T3C3WIdragon:38|T4C2WIdragon:2,
deck1116,T3C3WIdragon:26|T4C1SFdragon:4|T4C3WFdragon:4|T4C3SIdragon:5|T4C2WIdragon:2,
deck1117,T4C2HUdragon:25|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WUdragon:4,
deck1118,T4C1HIdragon:34|T4C2WIdragon:2|T5C1HIdragon:4,
deck1119,T4C2HUdragon:25|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WUdragon:4,
deck1120,T4C3WFdragon:38|T4C2WIdragon:2,
deck1121,T4C1SDdragon:27|T4C2WDdragon:4|T4C3SIdragon:5|T4C2WIdragon:2|T5C1WDdragon:3,
deck1122,T4C3WEdragon:28|T4C2SEdragon:5|T4C3SIdragon:5|T4C2WIdragon:2,
deck1123,T4C2WDdragon:32|T4C2WIdragon:2|T5C1WDdragon:3|T5C2WIdragon:3,
deck1124,T4C3SIdragon:35|T4C2WIdragon:2|T5C2WIdragon:3,
deck1125,T4C3WFdragon:31|T4C2WIdragon:2|T5C1HIdragon:4|T5C2WIdragon:3,
deck1126,T4C2WIdragon:37|T5C2WIdragon:3,
deck1127,T4C3WEdragon:22|T4C2SEdragon:5|T4C3SIdragon:5|T4C2WIdragon:2|T5C2SEdragon:4|T5C2WIdragon:3,
deck1128,T4C3WFdragon:31|T4C2WIdragon:2|T5C1HIdragon:4|T5C2WIdragon:3,
deck1129,T4C3HDdragon:26|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WDdragon:3|T5C2WIdragon:3|T5C2HDdragon:3,
deck1130,T4C3WEdragon:34|T5C2WIdragon:3|T5C3WEdragon:3,
deck1131,T4C3WFdragon:24|T4C3SIdragon:5|T5C1SFdragon:4|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WFdragon:3,
deck1132,T4C3SIdragon:34|T5C2WIdragon:3|T5C3SIdragon:3,
deck1133,T5C2WIdragon:4,
deck1134,T4C3HDdragon:28|T5C1HIdragon:4|T5C1WDdragon:3|T5C2WIdragon:3|T5C2HDdragon:3,
deck1135,T2C2SUdragon:26|T2C3SEdragon:4|T2C1HUdragon:4|T2C2HEdragon:4|T3C1HEdragon:2,
deck1136,T2C2SUdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck1137,T2C2SUdragon:36|T2C3SEdragon:4,
deck1138,T2C1SFdragon:20|T2C2SUdragon:4|T2C3HFdragon:4|T2C1HUdragon:4|T2C3SFdragon:4|T3C1SFdragon:4,
deck1139,T2C1SFdragon:28|T2C2SUdragon:4|T2C3SFdragon:4|T3C1SFdragon:4,
deck1140,T2C1HIdragon:22|T2C2SUdragon:4|T2C1HUdragon:4|T2C3HIdragon:4|T3C1HIdragon:4|T3C1SIdragon:2,
deck1141,T2C2SUdragon:23|T2C3SEdragon:4|T2C3WUdragon:4|T2C3WEdragon:4|T3C1WUdragon:3|T3C1WEdragon:2,
deck1142,T2C3SEdragon:24|T2C3WUdragon:4|T2C3WEdragon:4|T3C1WUdragon:3|T3C2SEdragon:3|T3C1WEdragon:2,
deck1143,T2C2SUdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck1144,T2C2SUdragon:28|T2C3HIdragon:4|T3C1HIdragon:4|T3C1SIdragon:2|T3C2HUdragon:2,
deck1145,T2C2SUdragon:33|T2C3WUdragon:4|T3C1WUdragon:3,
deck1146,T2C2SUdragon:38|T3C1SIdragon:2,
deck1147,T2C2SUdragon:25|T2C3SEdragon:4|T2C2HEdragon:4|T3C2SEdragon:3|T3C2HUdragon:2|T3C1HEdragon:2,
deck1148,T2C2SUdragon:33|T2C3SEdragon:4|T3C2SEdragon:3,
deck1149,T2C2SUdragon:38|T3C2HUdragon:2,
deck1150,T2C2SUdragon:23|T2C3SFdragon:4|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3|T3C2WFdragon:2,
deck1151,T3C3SUdragon:4,
deck1152,T2C3HFdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C3HFdragon:3|T3C2HUdragon:2|T3C3SUdragon:2,
deck1153,T2C3WUdragon:31|T3C1WUdragon:3|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2,
deck1154,T2C3HIdragon:28|T3C1HIdragon:4|T3C1SIdragon:2|T3C2HUdragon:2|T3C3HIdragon:2|T3C3SUdragon:2,
deck1155,T2C3SFdragon:34|T3C1SFdragon:4|T3C3SUdragon:2,
deck1156,T2C3HIdragon:28|T3C1HIdragon:4|T3C1SIdragon:2|T3C2HUdragon:2|T3C3HIdragon:2|T3C3SUdragon:2,
deck1157,T2C3WUdragon:36|T3C1WUdragon:3|T3C3SUdragon:2,
deck1158,T3C3SUdragon:4,
deck1159,T2C3SEdragon:31|T3C2SEdragon:3|T3C2HUdragon:2|T3C1HEdragon:2|T3C3SUdragon:2,
deck1160,T2C3HFdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C3HFdragon:3|T3C2HUdragon:2|T3C3SUdragon:2,
deck1161,T3C1WUdragon:29|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2|T4C1WUdragon:5,
deck1162,T3C2SEdragon:38|T3C3SUdragon:2,
deck1163,T3C2HUdragon:38|T3C3SUdragon:2,
deck1164,T3C1WUdragon:31|T3C3SUdragon:2|T4C1SDdragon:3|T4C1WUdragon:5,
deck1165,T3C1SIdragon:38|T3C3SUdragon:2,
deck1166,T3C1SFdragon:25|T3C1WUdragon:3|T3C2WFdragon:2|T3C3SUdragon:2|T4C1SFdragon:4|T4C1WUdragon:5,
deck1167,T3C2HUdragon:36|T3C3SUdragon:2|T4C1SDdragon:3,
deck1168,T3C3SUdragon:4,
deck1169,T3C1WUdragon:29|T3C2SEdragon:3|T3C1WEdragon:2|T3C3SUdragon:2|T4C1WUdragon:5,
deck1170,T3C3SUdragon:35|T4C1WUdragon:5,
deck1171,T3C2SEdragon:24|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HEdragon:4|T4C2HUdragon:4|T4C2SEdragon:5,
deck1172,T3C3SUdragon:29|T4C1SDdragon:3|T4C2WDdragon:4|T4C1WUdragon:5,
deck1173,T3C3SUdragon:36|T4C1SFdragon:4,
