identifier,prerequisiteIdentifiers,position,riderLevelRequired,riderGearIdentifier,h
SkillTree_Kazane_04,SkillTree_Kazane_02|SkillTree_Kazane_03,3~4,1,skill-T2-193-Dragon-HP,
SkillTree_Kazane_05,SkillTree_Kazane_04,4~4,1,skill-T2-194-Dragon-TrainingCost,
SkillTree_Kazane_06,SkillTree_Kazane_05,5~4,1,skill-T3-195-Dragon-Attack,
SkillTree_Kazane_07,SkillTree_Kazane_06,6~2,1,skill-T5-196-Dragon-HP,
SkillTree_Kazane_08,SkillTree_Kazane_06,6~6,1,skill-T5-197-Dragon-Attack,
SkillTree_Kazane_09,SkillTree_Kazane_07|SkillTree_Kazane_08,7~4,1,skill-T5-198-Dragon-HP,
SkillTree_Kazane_10,SkillTree_Kazane_09,8~2,1,skill-T4-199-Dragon-AttackClassWarrior,
SkillTree_Kazane_11,SkillTree_Kazane_09,8~4,1,skill-T4-200-Dragon-HPClassSorcerer,
SkillTree_Kazane_12,SkillTree_Kazane_09,8~6,1,skill-T4-201-Dragon-AttackClassHunter,
Atlas_CaptainFire_01,,1~4,1,skill-T3-15-Dragon-Attack,
Atlas_CaptainFire_02,Atlas_CaptainFire_01,2~4,1,skill-T3-70-Dragon-HP,
Atlas_CaptainFire_03,Atlas_CaptainFire_02,3~6,1,skill-T1-167-Dragon-ResistTower,
Atlas_CaptainFire_04,Atlas_CaptainFire_02,3~4,1,skill-T1-168-Dragon-ResistTower,
Atlas_CaptainFire_05,Atlas_CaptainFire_02,3~2,1,skill-T1-169-Dragon-ResistTower,
Atlas_CaptainFire_06,Atlas_CaptainFire_03|Atlas_CaptainFire_04|Atlas_CaptainFire_05,4~4,1,skill-T2-180-Dragon-Attack,
Atlas_CaptainFire_07,Atlas_CaptainFire_06,5~4,1,skill-T2-181-Dragon-HP,
Atlas_CaptainFire_08,Atlas_CaptainFire_07,6~6,1,skill-T3-207-Dragon-ResistTower,
Atlas_CaptainFire_09,Atlas_CaptainFire_07,6~4,1,skill-T3-208-Dragon-ResistTower,
Atlas_CaptainFire_10,Atlas_CaptainFire_07,6~2,1,skill-T3-209-Dragon-ResistTower,
Atlas_CaptainFire_11,Atlas_CaptainFire_08|Atlas_CaptainFire_09|Atlas_CaptainFire_10,7~4,1,skill-T3-77-Dragon-Attack,
Atlas_CaptainFire_12,Atlas_CaptainFire_11,8~4,1,skill-T3-102-Dragon-HP,
Atlas_CaptainFire_13,Atlas_CaptainFire_12,9~6,1,skill-T4-213-Dragon-AttackClass,
Atlas_CaptainFire_14,Atlas_CaptainFire_12,9~4,1,skill-T4-214-Dragon-AttackClass,
Atlas_CaptainFire_15,Atlas_CaptainFire_12,9~2,1,skill-T4-215-Dragon-AttackClass,
Atlas_CaptainFire_16,Atlas_CaptainFire_13,10~6,1,skill-T4-210-Dragon-HPClass,
Atlas_CaptainFire_17,Atlas_CaptainFire_14,10~4,1,skill-T4-211-Dragon-HPClass,
Atlas_CaptainFire_18,Atlas_CaptainFire_15,10~2,1,skill-T4-212-Dragon-HPClass,
Atlas_CaptainWind_01,,1~4,1,skill-T3-142-Tower-Attack,
Atlas_CaptainWind_02,Atlas_CaptainWind_01,2~4,1,skill-T3-106-Tower-HP,
Atlas_CaptainWind_03,Atlas_CaptainWind_02,3~6,1,skill-T1-143-Production-ProductionAmountWood,
Atlas_CaptainWind_04,Atlas_CaptainWind_02,3~4,1,skill-T1-144-Production-ProductionAmountHog,
Atlas_CaptainWind_05,Atlas_CaptainWind_02,3~2,1,skill-T1-145-Production-ProductionCapacityWood,
Atlas_CaptainWind_06,Atlas_CaptainWind_03|Atlas_CaptainWind_04|Atlas_CaptainWind_05,4~4,1,skill-T4-203-Tower-Attack,
Atlas_CaptainWind_07,Atlas_CaptainWind_06,5~4,1,skill-T4-202-Tower-HP,
Atlas_CaptainWind_08,Atlas_CaptainWind_07,6~4,1,skill-T3-53-Tower-ConstructionUpgradeSpeed-Seasons,
Atlas_CaptainWind_09,Atlas_CaptainWind_08,7~4,1,skill-T4-204-Tower-Attack,
Atlas_CaptainWind_10,Atlas_CaptainWind_09,8~4,1,skill-T4-205-Tower-HP,
Atlas_CaptainWind_11,Atlas_CaptainWind_10,9~4,1,skill-T3-206-Tower-ConstructionUpgradeSpeed,
SkillTree_Leilani_01,,1~4,1,skill-T3-216-Tower-Attack,
SkillTree_Leilani_02,SkillTree_Leilani_01,2~6,1,skill-T2-217-Tower-Attack,
SkillTree_Leilani_03,SkillTree_Leilani_01,2~2,1,skill-T2-218-Tower-HP,
SkillTree_Leilani_04,SkillTree_Leilani_02,3~6,1,skill-T2-219-Production-ProductionAmountWood,
SkillTree_Leilani_05,SkillTree_Leilani_03,3~2,1,skill-T2-220-Production-ProductionAmountHog,
SkillTree_Leilani_06,SkillTree_Leilani_04|SkillTree_Leilani_05,4~4,1,skill-T3-221-Tower-Attack,
SkillTree_Leilani_07,SkillTree_Leilani_06,5~4,1,skill-T4-222-Tower-HP,
SkillTree_Leilani_08,SkillTree_Leilani_07,6~6,1,skill-T5-223-Tower-Attack,
SkillTree_Leilani_09,SkillTree_Leilani_07,6~4,1,skill-T5-224-Tower-HP,
SkillTree_Leilani_10,SkillTree_Leilani_07,6~2,1,skill-T5-225-Tower-Attack,
SkillTree_Leilani_11,SkillTree_Leilani_08|SkillTree_Leilani_09|SkillTree_Leilani_10,7~4,1,skill-T5-226-Tower-HP,
SkillTree_Leilani_12,SkillTree_Leilani_11,8~4,1,skill-T3-227-Tower-ConstructionUpgradeSpeed,
SkillTree_Ano_01,,1~4,1,skill-T3-228-Dragon-HP,
SkillTree_Ano_02,SkillTree_Ano_01,2~4,1,skill-T3-229-Dragon-HP,
SkillTree_Ano_03,SkillTree_Ano_02,3~6,1,skill-T1-230-Dragon-ResistTower,
SkillTree_Ano_04,SkillTree_Ano_02,3~4,1,skill-T1-231-Dragon-ResistTower,
SkillTree_Ano_05,SkillTree_Ano_02,3~2,1,skill-T1-232-Dragon-ResistTower,
SkillTree_Ano_06,SkillTree_Ano_03|SkillTree_Ano_04|SkillTree_Ano_05,4~4,1,skill-T3-233-Dragon-HP,
SkillTree_Ano_07,SkillTree_Ano_06,5~6,1,skill-T5-234-Dragon-HP,
SkillTree_Ano_08,SkillTree_Ano_06,5~2,1,skill-T5-235-Dragon-Attack,
SkillTree_Ano_09,SkillTree_Ano_07|SkillTree_Ano_08,6~4,1,skill-T5-236-Dragon-HP,
SkillTree_Ano_10,SkillTree_Ano_09,7~6,1,skill-T5-237-Dragon-HP,
SkillTree_Ano_11,SkillTree_Ano_09,7~2,1,skill-T5-238-Dragon-Attack,
SkillTree_Ano_12,SkillTree_Ano_10|SkillTree_Ano_11,8~4,1,skill-T5-239-Dragon-RageModifier,
SkillTree_Atlas_Sophia_01,,1~4,1,skill-T3-240-Dragon-Attack,
SkillTree_Atlas_Sophia_02,SkillTree_Atlas_Sophia_01,2~6,1,skill-T2-241-Dragon-TrainingCost,
SkillTree_Atlas_Sophia_03,SkillTree_Atlas_Sophia_01,2~4,1,skill-T2-242-Dragon-XP,
SkillTree_Atlas_Sophia_04,SkillTree_Atlas_Sophia_01,2~2,1,skill-T2-243-Dragon-HealingTime,
SkillTree_Atlas_Sophia_05,SkillTree_Atlas_Sophia_02|SkillTree_Atlas_Sophia_03|SkillTree_Atlas_Sophia_04,3~4,1,skill-T3-244-Dragon-HP,
SkillTree_Atlas_Sophia_06,SkillTree_Atlas_Sophia_05,4~4,1,skill-T2-245-Dragon-TrainingCost,
SkillTree_Atlas_Sophia_07,SkillTree_Atlas_Sophia_06,5~6,1,skill-T4-246-Dragon-AttackClassHunter,
SkillTree_Atlas_Sophia_08,SkillTree_Atlas_Sophia_06,5~4,1,skill-T4-247-Dragon-HPClassSorcerer,
SkillTree_Atlas_Sophia_09,SkillTree_Atlas_Sophia_06,5~2,1,skill-T4-248-Dragon-AttackClassWarrior,
SkillTree_Atlas_Sophia_10,SkillTree_Atlas_Sophia_07,6~6,1,skill-T4-249-Dragon-AttackClassHunter,
SkillTree_Atlas_Sophia_11,SkillTree_Atlas_Sophia_08,6~4,1,skill-T4-250-Dragon-HPClassSorcerer,
SkillTree_Atlas_Sophia_12,SkillTree_Atlas_Sophia_09,6~2,1,skill-T4-251-Dragon-HPClassWarrior,
SkillTree_Atlas_Sophia_13,SkillTree_Atlas_Sophia_10,7~6,1,skill-T4-252-Dragon-HunterAmmo,
SkillTree_Atlas_Sophia_14,SkillTree_Atlas_Sophia_11,7~4,1,skill-T6-253-Dragon-RageModifier,
SkillTree_Atlas_Sophia_15,SkillTree_Atlas_Sophia_12,7~2,1,skill-T4-254-Dragon-HPClassWarrior,
SkillTree_Reginald_01,,1~4,1,skill-T3-255-Dragon-HP,
SkillTree_Reginald_02,SkillTree_Reginald_01,2~6,1,skill-T2-256-Dragon-Attack,
SkillTree_Reginald_03,SkillTree_Reginald_01,2~2,1,skill-T2-257-Dragon-HP,
SkillTree_Reginald_04,SkillTree_Reginald_02|SkillTree_Reginald_03,3~4,1,skill-T3-258-Dragon-HP,
SkillTree_Reginald_05,SkillTree_Reginald_04,4~6,1,skill-T3-259-Dragon-ResistTower,
SkillTree_Reginald_06,SkillTree_Reginald_04,4~2,1,skill-T3-260-Dragon-ResistTower,
SkillTree_Reginald_07,SkillTree_Reginald_05|SkillTree_Reginald_06,5~4,1,skill-T3-261-Dragon-HP,
SkillTree_Reginald_08,SkillTree_Reginald_07,6~6,1,skill-T5-262-Dragon-Attack,
SkillTree_Reginald_09,SkillTree_Reginald_07,6~4,1,skill-T5-263-Dragon-HP,
SkillTree_Reginald_10,SkillTree_Reginald_07,6~2,1,skill-T5-264-Dragon-HP,
SkillTree_Reginald_11,SkillTree_Reginald_08|SkillTree_Reginald_09|SkillTree_Reginald_10,7~4,1,skill-T5-265-Dragon-Attack,
SkillTree_Reginald_12,SkillTree_Reginald_11,8~4,1,skill-T5-266-Dragon-RageModifier,
SkillTree_Vivian_01,,1~4,1,skill-T3-267-Tower-Attack,
SkillTree_Vivian_02,SkillTree_Vivian_01,2~6,1,skill-T2-268-Production-ProductionAmountWood,
SkillTree_Vivian_03,SkillTree_Vivian_01,2~2,1,skill-T2-269-Production-ProductionAmountHog,
SkillTree_Vivian_04,SkillTree_Vivian_02|SkillTree_Vivian_03,3~4,1,skill-T3-270-Tower-Attack,
SkillTree_Vivian_05,SkillTree_Vivian_04,4~6,1,skill-T3-271-Production-ProductionCapacityWood,
SkillTree_Vivian_06,SkillTree_Vivian_04,4~4,1,skill-T3-272-Tower-Attack,
SkillTree_Vivian_07,SkillTree_Vivian_04,4~2,1,skill-T3-273-Tower-HP,
SkillTree_Vivian_08,SkillTree_Vivian_05|SkillTree_Vivian_06|SkillTree_Vivian_07,5~4,1,skill-T5-274-Tower-HP,
SkillTree_Vivian_09,SkillTree_Vivian_08,6~6,1,skill-T5-275-Tower-Attack,
SkillTree_Vivian_10,SkillTree_Vivian_08,6~4,1,skill-T5-276-Tower-Attack,
SkillTree_Vivian_11,SkillTree_Vivian_08,6~2,1,skill-T5-277-Tower-HP,
SkillTree_Vivian_12,SkillTree_Vivian_09|SkillTree_Vivian_10|SkillTree_Vivian_11,7~4,1,skill-T5-278-Tower-HP,
SkillTree_Crom_01,,1~4,1,skill-T3-279-Tower-Attack,
SkillTree_Crom_02,SkillTree_Crom_01,2~6,1,skill-T2-280-Production-ProductionAmountWood,
SkillTree_Crom_03,SkillTree_Crom_01,2~4,1,skill-T2-281-Production-ProductionAmountHog,
SkillTree_Crom_04,SkillTree_Crom_01,2~2,1,skill-T2-282-Production-ProductionCapacityWood,
SkillTree_Crom_05,SkillTree_Crom_02|SkillTree_Crom_03|SkillTree_Crom_04,3~4,1,skill-T2-283-Tower-HP,
SkillTree_Crom_06,SkillTree_Crom_05,4~4,1,skill-T3-284-Tower-Attack,
SkillTree_Crom_07,SkillTree_Crom_06,5~6,1,skill-T4-285-Tower-HP,
SkillTree_Crom_08,SkillTree_Crom_06,5~2,1,skill-T4-286-Tower-Attack,
SkillTree_Crom_09,SkillTree_Crom_07,6~6,1,skill-T4-287-Tower-HP,
SkillTree_Crom_10,SkillTree_Crom_08,6~2,1,skill-T4-288-Tower-Attack,
SkillTree_Crom_11,SkillTree_Crom_09|SkillTree_Crom_10,7~6,1,skill-T4-289-Tower-HP,
SkillTree_Crom_12,SkillTree_Crom_09|SkillTree_Crom_10,7~2,1,skill-T4-290-Tower-Attack,
SkillTree_Crom_13,SkillTree_Crom_11,8~6,1,skill-T5-291-Tower-HP,
SkillTree_Crom_14,SkillTree_Crom_12,8~2,1,skill-T5-292-Tower-Attack,
SkillTree_Crom_15,SkillTree_Crom_13|SkillTree_Crom_14,9~4,1,skill-T4-293-Tower-ConstructionUpgradeSpeed,
SkillTree_Rosheen_01,,1~4,1,skill-T3-309-Dragon-Attack,
SkillTree_Rosheen_02,SkillTree_Rosheen_01,2~6,1,skill-T2-310-Dragon-Attack,
SkillTree_Rosheen_03,SkillTree_Rosheen_01,2~2,1,skill-T2-311-Dragon-HP,
SkillTree_Rosheen_04,SkillTree_Rosheen_02|SkillTree_Rosheen_03,3~4,1,skill-T3-312-Dragon-HP,
SkillTree_Rosheen_05,SkillTree_Rosheen_04,4~6,1,skill-T3-313-Dragon-XP,
SkillTree_Rosheen_06,SkillTree_Rosheen_04,4~2,1,skill-T4-314-Dragon-TrainingCost,
SkillTree_Rosheen_07,SkillTree_Rosheen_05|SkillTree_Rosheen_06,5~4,1,skill-T4-315-Dragon-HP,
SkillTree_Rosheen_08,SkillTree_Rosheen_07,6~6,1,skill-T4-316-Dragon-AttackClassHunter,
SkillTree_Rosheen_09,SkillTree_Rosheen_07,6~4,1,skill-T4-317-Dragon-AttackClassWarrior,
SkillTree_Rosheen_10,SkillTree_Rosheen_07,6~2,1,skill-T4-318-Dragon-HPClassSorcerer,
SkillTree_Rosheen_11,SkillTree_Rosheen_08,7~6,1,skill-T4-319-Dragon-HunterAmmo,
SkillTree_Rosheen_12,SkillTree_Rosheen_08|SkillTree_Rosheen_09|SkillTree_Rosheen_10,7~4,1,skill-T6-320-Dragon-RageModifier,
SkillTree_Mackenzie_01,,1~4,1,skill-T3-321-Tower-Attack,
SkillTree_Mackenzie_02,SkillTree_Mackenzie_01,2~6,1,skill-T2-322-Production-ProductionAmountHog,
SkillTree_Mackenzie_03,SkillTree_Mackenzie_01,2~2,1,skill-T2-323-Production-ProductionAmountWood,
SkillTree_Mackenzie_04,SkillTree_Mackenzie_02|SkillTree_Mackenzie_03,3~4,1,skill-T3-324-Tower-Attack,
SkillTree_Mackenzie_05,SkillTree_Mackenzie_04,4~6,1,skill-T3-325-Production-ProductionCapacityWood,
SkillTree_Mackenzie_06,SkillTree_Mackenzie_04,4~2,1,skill-T3-326-Tower-Attack,
SkillTree_Mackenzie_07,SkillTree_Mackenzie_05|SkillTree_Mackenzie_06,5~4,1,skill-T3-327-Tower-HP,
SkillTree_Mackenzie_08,SkillTree_Mackenzie_07,6~6,1,skill-T5-328-Tower-HP,
SkillTree_Mackenzie_09,SkillTree_Mackenzie_07,6~2,1,skill-T5-329-Tower-Attack,
SkillTree_Mackenzie_10,SkillTree_Mackenzie_08|SkillTree_Mackenzie_09,7~4,1,skill-T5-330-Tower-Attack,
SkillTree_Mackenzie_11,SkillTree_Mackenzie_10,8~6,1,skill-T4-331-Tower-HPTower,
SkillTree_Mackenzie_12,SkillTree_Mackenzie_10,8~2,1,skill-T4-332-Tower-HPTower,
SkillTree_Anja_01,,1~4,1,skill-T3-333-Dragon-Attack,
SkillTree_Anja_02,SkillTree_Anja_01,2~6,1,skill-T2-334-Dragon-XP,
SkillTree_Anja_03,SkillTree_Anja_01,2~2,1,skill-T2-335-Dragon-TrainingCost,
SkillTree_Anja_04,SkillTree_Anja_02|SkillTree_Anja_03,3~4,1,skill-T2-336-Dragon-HP,
SkillTree_Anja_05,SkillTree_Anja_04,4~6,1,skill-T3-337-Dragon-ResistTower,
SkillTree_Anja_06,SkillTree_Anja_04,4~2,1,skill-T3-338-Dragon-ResistTower,
SkillTree_Anja_07,SkillTree_Anja_04,5~4,1,skill-T2-339-Dragon-HP,
SkillTree_Anja_08,SkillTree_Anja_07,6~6,1,skill-T4-340-Dragon-AttackClassHunter,
SkillTree_Anja_09,SkillTree_Anja_07,6~4,1,skill-T4-341-Dragon-HPClassSorcerer,
SkillTree_Anja_10,SkillTree_Anja_07,6~2,1,skill-T4-342-Dragon-AttackClassWarrior,
SkillTree_Anja_11,SkillTree_Anja_08,7~6,1,skill-T5-343-Dragon-AttackClassHunter,
SkillTree_Anja_12,SkillTree_Anja_09,7~4,1,skill-T5-344-Dragon-HPClassSorcerer,
SkillTree_Anja_13,SkillTree_Anja_10,7~2,1,skill-T5-345-Dragon-HPClassWarrior,
SkillTree_Anja_14,SkillTree_Anja_11,8~6,1,skill-T4-346-Dragon-HunterAmmo,
SkillTree_Anja_15,SkillTree_Anja_12,8~4,1,skill-T6-347-Dragon-RageModifier,
SkillTree_Anja_16,SkillTree_Anja_13,8~2,1,skill-T4-348-Dragon-HPClassWarrior,!@#afgcodnhmmbafaip
