identifier,inBundle,initialAmount,defaultMinAmount,defaultMaxAmount,isStoredInStorage,menuSortOrder,displaySingular,displayPlural,logEarnings,sceneFile,grayscaleImageFilename,coloredImageFilename,eggFragmentImageFilename,findMoreDisplayText,componentRewardBuildsText,currencyCategory,h
springDemonSapphireStone,0,0,0,1,0,0,Abraxxas Sapphire Evolution Stone,Abraxxas Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
springDemonGarnetStone,0,0,0,1,0,0,Abraxxas Garnet Evolution Stone,Abraxxas Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
springDemonEmeraldStone,0,0,0,1,0,0,Abraxxas Emerald Evolution Stone,Abraxxas Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springMythicOrangeStone,0,0,0,1,0,0,Morphos Orange Evolution Stone,Morphos Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
springMythicGreenStone,0,0,0,1,0,0,Morphos Green Evolution Stone,Morphos Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springMythicGoldStone,0,0,0,1,0,0,Morphos Gold Evolution Stone,Morphos Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
springMythicPlatinumStone,0,0,0,1,0,0,Morphos Platinum Evolution Stone,Morphos Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
springMythicSapphireStone,0,0,0,1,0,0,Morphos Sapphire Evolution Stone,Morphos Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
springMythicGarnetStone,0,0,0,1,0,0,Morphos Garnet Evolution Stone,Morphos Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
springMythicEmeraldStone,0,0,0,1,0,0,Morphos Emerald Evolution Stone,Morphos Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springHunterOrangeStone,0,0,0,1,0,0,Aster Orange Evolution Stone,Aster Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
springHunterGreenStone,0,0,0,1,0,0,Aster Green Evolution Stone,Aster Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
springHunterGoldStone,0,0,0,1,0,0,Aster Gold Evolution Stone,Aster Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
springHunterPlatinumStone,0,0,0,1,0,0,Aster Platinum Evolution Stone,Aster Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
springHunterSapphireStone,0,0,0,1,0,0,Aster Sapphire Evolution Stone,Aster Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
springHunterGarnetStone,0,0,0,1,0,0,Aster Garnet Evolution Stone,Aster Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
springHunterEmeraldStone,0,0,0,1,0,0,Aster Emerald Evolution Stone,Aster Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
mysteryFragment,0,0,0,10,0,0,Mystery Fragment,Mystery Fragments,1,,,icon_mystery_fragment.png,,Destroy Monuments to Collect mystery fragments!,,none,
obsidianEggCurrency,0,0,-100000000,100000000,0,0,Obsidian egg,Obsidian egg,1,egg_obsidian_V1.lvl,,img_egg_obsidian_01.png,img_egg_emerald_01.png,,,Dragon Egg,
summerDestinySigil,0,0,0,100000000,0,0,Summer Destiny Sigil,Summer Destiny Sigils,1,,,icon_coinSummer.png,,,,none,
summerSorcererOrangeStone,0,0,0,1,0,0,Kinnarus Orange Evolution Stone,Kinnarus Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
summerSorcererGreenStone,0,0,0,1,0,0,Kinnarus Green Evolution Stone,Kinnarus Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerSorcererGoldStone,0,0,0,1,0,0,Kinnarus Gold Evolution Stone,Kinnarus Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
summerSorcererPlatinumStone,0,0,0,1,0,0,Kinnarus Platinum Evolution Stone,Kinnarus Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
summerSorcererSapphireStone,0,0,0,1,0,0,Kinnarus Sapphire Evolution Stone,Kinnarus Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
summerSorcererGarnetStone,0,0,0,1,0,0,Kinnarus Garnet Evolution Stone,Kinnarus Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
summerSorcererEmeraldStone,0,0,0,1,0,0,Kinnarus Emerald Evolution Stone,Kinnarus Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerWarriorOrangeStone,0,0,0,1,0,0,Zamrok Orange Evolution Stone,Zamrok Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
summerWarriorGreenStone,0,0,0,1,0,0,Zamrok Green Evolution Stone,Zamrok Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerWarriorGoldStone,0,0,0,1,0,0,Zamrok Gold Evolution Stone,Zamrok Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
summerWarriorPlatinumStone,0,0,0,1,0,0,Zamrok Platinum Evolution Stone,Zamrok Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
summerWarriorSapphireStone,0,0,0,1,0,0,Zamrok Sapphire Evolution Stone,Zamrok Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
summerWarriorGarnetStone,0,0,0,1,0,0,Zamrok Garnet Evolution Stone,Zamrok Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
summerWarriorEmeraldStone,0,0,0,1,0,0,Zamrok Emerald Evolution Stone,Zamrok Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerDiscountOrangeStone,0,0,0,1,0,0,Drakius Orange Evolution Stone,Drakius Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
summerDiscountGreenStone,0,0,0,1,0,0,Drakius Green Evolution Stone,Drakius Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerDiscountGoldStone,0,0,0,1,0,0,Drakius Gold Evolution Stone,Drakius Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
summerDiscountPlatinumStone,0,0,0,1,0,0,Drakius Platinum Evolution Stone,Drakius Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
summerDiscountSapphireStone,0,0,0,1,0,0,Drakius Sapphire Evolution Stone,Drakius Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
summerDiscountGarnetStone,0,0,0,1,0,0,Drakius Garnet Evolution Stone,Drakius Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
summerDiscountEmeraldStone,0,0,0,1,0,0,Drakius Emerald Evolution Stone,Drakius Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerMythicOrangeStone,0,0,0,1,0,0,Merkt Orange Evolution Stone,Merkt Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
summerMythicGreenStone,0,0,0,1,0,0,Merkt Green Evolution Stone,Merkt Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerMythicGoldStone,0,0,0,1,0,0,Merkt Gold Evolution Stone,Merkt Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
summerMythicPlatinumStone,0,0,0,1,0,0,Merkt Platinum Evolution Stone,Merkt Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
summerMythicSapphireStone,0,0,0,1,0,0,Merkt Sapphire Evolution Stone,Merkt Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
summerMythicGarnetStone,0,0,0,1,0,0,Merkt Garnet Evolution Stone,Merkt Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
summerMythicEmeraldStone,0,0,0,1,0,0,Merkt Emerald Evolution Stone,Merkt Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerMythicObsidianStone,0,0,0,1,0,0,Merkt Obsidian Evolution Stone,Merkt Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
summerHunterOrangeStone,0,0,0,1,0,0,Borgian Orange Evolution Stone,Borgian Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
summerHunterGreenStone,0,0,0,1,0,0,Borgian Green Evolution Stone,Borgian Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
summerHunterGoldStone,0,0,0,1,0,0,Borgian Gold Evolution Stone,Borgian Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
summerHunterPlatinumStone,0,0,0,1,0,0,Borgian Platinum Evolution Stone,Borgian Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
summerHunterSapphireStone,0,0,0,1,0,0,Borgian Sapphire Evolution Stone,Borgian Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
summerHunterGarnetStone,0,0,0,1,0,0,Borgian Garnet Evolution Stone,Borgian Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
summerHunterEmeraldStone,0,0,0,1,0,0,Borgian Emerald Evolution Stone,Borgian Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
hireRiderCurrency,0,0,-100000000,100000000,0,0,Rider Token,Rider Tokens,1,,,icon_rider_token.png,,,,Atlas,
evolvingHunterPurpleStone,0,0,0,1,0,0,Ember Purple Evolution Stone,Ember Purple Evolution Stone,1,,,icon_evolution_stone_purple.png,,,,Evolution Stones,
evolvingHunterBlueStone,0,0,0,1,0,0,Ember Blue Evolution Stone,Ember Blue Evolution Stone,1,,,icon_evolution_stone_blue.png,,,,Evolution Stones,
evolvingHunterOrangeStone,0,0,0,1,0,0,Ember Orange Evolution Stone,Ember Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
chest6,0,0,0,100000000,0,0,Super Sigil Chest,Super Sigil Chest,1,,icon_treasureChest_06.png,icon_treasureChest_06.png,,,,Events,
chest7,0,0,0,100000000,0,0,Runic Chest,Runic Chest,1,,icon_treasureChest_07.png,icon_treasureChest_07.png,,,,Events,
chest8,0,0,0,100000000,0,0,chest8,chest8,1,,icon_treasureChest_01_winter.png,icon_treasureChest_01_winter.png,,,,Events,
chest9,0,0,0,100000000,0,0,chest9,chest9,1,,icon_treasureChest_02_winter.png,icon_treasureChest_02_winter.png,,,,Events,
chest10,0,0,0,100000000,0,0,chest10,chest10,1,,icon_treasureChest_03_winter.png,icon_treasureChest_03_winter.png,,,,Events,
redRiderShard,0,0,0,100000000,0,0,Red Dragon Rider Shard,Red Dragon Rider Shards,1,,,icon_riderShard_red.png,,,,Rider Shards,
blueRiderShard,0,0,0,100000000,0,0,Blue Dragon Rider Shard,Blue Dragon Rider Shards,1,,,icon_riderShard_blue.png,,,,Rider Shards,
pinkRiderShard,0,0,0,100000000,0,0,Pink Dragon Rider Shard,Pink Dragon Rider Shards,1,,,icon_riderShard_pink.png,,,,Rider Shards,
greenRiderShard,0,0,0,100000000,0,0,Green Dragon Rider Shard,Green Dragon Rider Shards,1,,,icon_riderShard_green.png,,,,Rider Shards,
orangeRiderShard,0,0,0,100000000,0,0,Orange Dragon Rider Shard,Orange Dragon Rider Shards,1,,,icon_riderShard_orange.png,,,,Rider Shards,
purpleRiderShard,0,0,0,100000000,0,0,Purple Dragon Rider Shard,Purple Dragon Rider Shards,1,,,icon_riderShard_purple.png,,,,Rider Shards,
yellowRiderShard,0,0,0,100000000,0,0,Yellow Dragon Rider Shard,Yellow Dragon Rider Shards,1,,,icon_riderShard_yellow.png,,,,Rider Shards,
megaCoin,0,0,0,5,0,0,Mega Coin,Mega Coin,1,,,icon_megaCoin_01.png,,,,Events,
cmCrystal,0,0,0,100000000,0,5,Crafting Shard,Crafting Shards,1,,,icon_gemCollections.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
cmCrystalfire,0,0,0,100000000,0,5,Fire Crafting Shard,Fire Crafting Shards,1,,,icon_fireGem1.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
cmCrystalice,0,0,0,100000000,0,5,Ice Crafting Shard,Ice Crafting Shards,1,,,icon_iceGem1.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
cmCrystalearth,0,0,0,100000000,0,5,Earth Crafting Shard,Earth Crafting Shards,1,,,icon_earthGem.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
cmCrystalwind,0,0,0,100000000,0,5,Wind Crafting Shard,Wind Crafting Shards,1,,,icon_airGem.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
cmCrystaldark,0,0,0,100000000,0,5,Dark Crafting Shard,Dark Crafting Shards,1,,,icon_darkGem.png,,Used for crafting and upgrading Dragon Rider Gear,,Crafting/Construction,
craftingScroll,0,0,0,100000000,0,1,Crafting Scroll,Crafting Scrolls,1,,,icon_craftingScrollPage.png,,Used for crafting Dragon Rider Gear,,Crafting/Construction,
sailFaster,0,0,0,100000000,0,0,Haste,Haste,1,,,icon_wingedBoot.png,,Accelerates marching speed,,Atlas,
worldMap_gacha_key,0,0,0,100000000,0,0,Keystone,Keystones,1,,,icon_cardKeystone.png,,Used to unlock Dragon Crates,,Atlas,
fallSorcererOrangeStone,0,0,0,1,0,0,Spindra Orange Evolution Stone,Spindra Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallSorcererGreenStone,0,0,0,1,0,0,Spindra Green Evolution Stone,Spindra Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallSorcererGoldStone,0,0,0,1,0,0,Spindra Gold Evolution Stone,Spindra Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallSorcererPlatinumStone,0,0,0,1,0,0,Spindra Platinum Evolution Stone,Spindra Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallSorcererSapphireStone,0,0,0,1,0,0,Spindra Sapphire Evolution Stone,Spindra Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallSorcererGarnetStone,0,0,0,1,0,0,Spindra Garnet Evolution Stone,Spindra Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallSorcererEmeraldStone,0,0,0,1,0,0,Spindra Emerald Evolution Stone,Spindra Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallSorcererObsidianStone,0,0,0,1,0,0,Spindra Obsidian Evolution Stone,Spindra Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
fallWarriorOrangeStone,0,0,0,1,0,0,Chimerak Orange Evolution Stone,Chimerak Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallWarriorGreenStone,0,0,0,1,0,0,Chimerak Green Evolution Stone,Chimerak Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallWarriorGoldStone,0,0,0,1,0,0,Chimerak Gold Evolution Stone,Chimerak Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallWarriorPlatinumStone,0,0,0,1,0,0,Chimerak Platinum Evolution Stone,Chimerak Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallWarriorSapphireStone,0,0,0,1,0,0,Chimerak Sapphire Evolution Stone,Chimerak Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallWarriorGarnetStone,0,0,0,1,0,0,Chimerak Garnet Evolution Stone,Chimerak Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallWarriorEmeraldStone,0,0,0,1,0,0,Chimerak Emerald Evolution Stone,Chimerak Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallWarriorObsidianStone,0,0,0,1,0,0,Chimerak Obsidian Evolution Stone,Chimerak Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
fallDiscountOrangeStone,0,0,0,1,0,0,Necryx Orange Evolution Stone,Necryx Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallDiscountGreenStone,0,0,0,1,0,0,Necryx Green Evolution Stone,Necryx Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallDiscountGoldStone,0,0,0,1,0,0,Necryx Gold Evolution Stone,Necryx Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallDiscountPlatinumStone,0,0,0,1,0,0,Necryx Platinum Evolution Stone,Necryx Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallDiscountSapphireStone,0,0,0,1,0,0,Necryx Sapphire Evolution Stone,Necryx Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallDiscountGarnetStone,0,0,0,1,0,0,Necryx Garnet Evolution Stone,Necryx Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallDiscountEmeraldStone,0,0,0,1,0,0,Necryx Emerald Evolution Stone,Necryx Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallDiscountObsidianStone,0,0,0,1,0,0,Necryx Obsidian Evolution Stone,Necryx Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
twitchFanPurpleStone,0,0,0,1,0,0,Nydryr Purple Evolution Stone,Nydryr Purple Evolution Stone,1,,,icon_evolution_stone_purple.png,,,,Evolution Stones,
twitchFanBlueStone,0,0,0,1,0,0,Nydryr Blue Evolution Stone,Nydryr Blue Evolution Stone,1,,,icon_evolution_stone_blue.png,,,,Evolution Stones,
twitchFanOrangeStone,0,0,0,1,0,0,Nydryr Orange Evolution Stone,Nydryr Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
twitchFanGreenStone,0,0,0,1,0,0,Nydryr Green Evolution Stone,Nydryr Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
twitchFanGoldStone,0,0,0,1,0,0,Nydryr Gold Evolution Stone,Nydryr Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
twitchFanPlatinumStone,0,0,0,1,0,0,Nydryr Platinum Evolution Stone,Nydryr Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
twitchFanSapphireStone,0,0,0,1,0,0,Nydryr Sapphire Evolution Stone,Nydryr Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
twitchFanGarnetStone,0,0,0,1,0,0,Nydryr Garnet Evolution Stone,Nydryr Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
twitchFanEmeraldStone,0,0,0,1,0,0,Nydryr Emerald Evolution Stone,Nydryr Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
kharnyxMinionShard,0,0,0,100000000,0,0,Grogg Rider Shard,Grogg Rider Shards,1,,,icon_riderKharnyxToken.png,,,,Rider Shards,
summonShips,0,0,0,100000000,0,0,Summon 1k Troops,Summon 1k Troops,1,,,icon_troop_boost.png,,Instantly summons 1k Troops,,Atlas,
fallHunterOrangeStone,0,0,0,1,0,0,Gargula Orange Evolution Stone,Gargula Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallHunterGreenStone,0,0,0,1,0,0,Gargula Green Evolution Stone,Gargula Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallHunterGoldStone,0,0,0,1,0,0,Gargula Gold Evolution Stone,Gargula Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallHunterPlatinumStone,0,0,0,1,0,0,Gargula Platinum Evolution Stone,Gargula Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallHunterSapphireStone,0,0,0,1,0,0,Gargula Sapphire Evolution Stone,Gargula Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallHunterGarnetStone,0,0,0,1,0,0,Gargula Garnet Evolution Stone,Gargula Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallHunterEmeraldStone,0,0,0,1,0,0,Gargula Emerald Evolution Stone,Gargula Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallHunterObsidianStone,0,0,0,1,0,0,Gargula Obsidian Evolution Stone,Gargula Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
fallMythicOrangeStone,0,0,0,1,0,0,Moonfang Orange Evolution Stone,Moonfang Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallMythicGreenStone,0,0,0,1,0,0,Moonfang Green Evolution Stone,Moonfang Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallMythicGoldStone,0,0,0,1,0,0,Moonfang Gold Evolution Stone,Moonfang Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallMythicPlatinumStone,0,0,0,1,0,0,Moonfang Platinum Evolution Stone,Moonfang Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallMythicSapphireStone,0,0,0,1,0,0,Moonfang Sapphire Evolution Stone,Moonfang Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallMythicGarnetStone,0,0,0,1,0,0,Moonfang Garnet Evolution Stone,Moonfang Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallMythicEmeraldStone,0,0,0,1,0,0,Moonfang Emerald Evolution Stone,Moonfang Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallMythicObsidianStone,0,0,0,1,0,0,Moonfang Obsidian Evolution Stone,Moonfang Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
fallEventPurpleStone,0,0,0,1,0,0,Anuba Purple Evolution Stone,Anuba Purple Evolution Stone,1,,,icon_evolution_stone_purple.png,,,,Evolution Stones,
fallEventBlueStone,0,0,0,1,0,0,Anuba Blue Evolution Stone,Anuba Blue Evolution Stone,1,,,icon_evolution_stone_blue.png,,,,Evolution Stones,
fallEventOrangeStone,0,0,0,1,0,0,Anuba Orange Evolution Stone,Anuba Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
fallEventGreenStone,0,0,0,1,0,0,Anuba Green Evolution Stone,Anuba Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallEventGoldStone,0,0,0,1,0,0,Anuba Gold Evolution Stone,Anuba Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
fallEventPlatinumStone,0,0,0,1,0,0,Anuba Platinum Evolution Stone,Anuba Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
fallEventSapphireStone,0,0,0,1,0,0,Anuba Sapphire Evolution Stone,Anuba Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
fallEventGarnetStone,0,0,0,1,0,0,Anuba Garnet Evolution Stone,Anuba Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
fallEventEmeraldStone,0,0,0,1,0,0,Anuba Emerald Evolution Stone,Anuba Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
fallEventObsidianStone,0,0,0,1,0,0,Anuba Obsidian Evolution Stone,Anuba Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
earthEvolvingWarriorGreenStone,0,0,0,1,0,0,Ochre Green Evolution Stone,Ochre Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
earthEvolvingWarriorGoldStone,0,0,0,1,0,0,Ochre Gold Evolution Stone,Ochre Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
earthEvolvingWarriorPlatinumStone,0,0,0,1,0,0,Ochre Platinum Evolution Stone,Ochre Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
E17Q4DiscountDragonOrangeStone,0,0,0,1,0,0,Leos Orange Evolution Stone,Leos Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
E17Q4DiscountDragonGreenStone,0,0,0,1,0,0,Leos Green Evolution Stone,Leos Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
E17Q4DiscountDragonGoldStone,0,0,0,1,0,0,Leos Gold Evolution Stone,Leos Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
E17Q4DiscountDragonPlatinumStone,0,0,0,1,0,0,Leos Platinum Evolution Stone,Leos Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
E17Q4DiscountDragonSapphireStone,0,0,0,1,0,0,Leos Sapphire Evolution Stone,Leos Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
E17Q4DiscountDragonGarnetStone,0,0,0,1,0,0,Leos Garnet Evolution Stone,Leos Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
E17Q4DiscountDragonEmeraldStone,0,0,0,1,0,0,Leos Emerald Evolution Stone,Leos Emerald Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
E17Q4DiscountDragonObsidianStone,0,0,0,1,0,0,Leos Obsidian Evolution Stone,Leos Obsidian Evolution Stone,1,,,icon_evolution_stone_obsidian.png,,,,Evolution Stones,
E17Q4FinalDragonOrangeStone,0,0,0,1,0,0,Neptus Orange Evolution Stone,Neptus Orange Evolution Stone,1,,,icon_evolution_stone_orange.png,,,,Evolution Stones,
E17Q4FinalDragonGreenStone,0,0,0,1,0,0,Neptus Green Evolution Stone,Neptus Green Evolution Stone,1,,,icon_evolution_stone_green.png,,,,Evolution Stones,
E17Q4FinalDragonGoldStone,0,0,0,1,0,0,Neptus Gold Evolution Stone,Neptus Gold Evolution Stone,1,,,icon_evolution_stone_yellow.png,,,,Evolution Stones,
E17Q4FinalDragonPlatinumStone,0,0,0,1,0,0,Neptus Platinum Evolution Stone,Neptus Platinum Evolution Stone,1,,,icon_evolution_stone_platinum.png,,,,Evolution Stones,
E17Q4FinalDragonSapphireStone,0,0,0,1,0,0,Neptus Sapphire Evolution Stone,Neptus Sapphire Evolution Stone,1,,,icon_evolution_stone_sapphire.png,,,,Evolution Stones,
E17Q4FinalDragonGarnetStone,0,0,0,1,0,0,Neptus Garnet Evolution Stone,Neptus Garnet Evolution Stone,1,,,icon_evolution_stone_red.png,,,,Evolution Stones,
