identifier,requiredXp,maxComponentsPerBuilding,minAvailableDragonsToShowWarning,defenderLevelXPPayout,attackerLevelXPPayoutCap,maxParallelGiftTransfers,maxCurrencyPerGiftTransfer,minOpponentLevelForBreederQuest,minOpponentLevelForChallenging,h
String,Integer,Map<String:Integer>,Integer,Float,Integer,Integer,String,Integer,Integer,String
0,0,piercing:1|artillery:1|aura:1|lightning:1,1,0.01,1000,3,piercing:300|ruby:1000|food:300|gold:300,0,5,
195,6027897,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,117695,3,food:243840|piercing:243840|ruby:0|gold:229568,84,10,
196,6068697,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,118955,3,food:245280|piercing:245280|ruby:0|gold:229568,84,10,
197,6109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,120215,3,food:246720|piercing:246720|ruby:0|gold:229568,84,10,
198,6209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,121475,3,food:248160|piercing:248160|ruby:0|gold:229568,84,10,
199,6309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,122735,3,food:249600|piercing:249600|ruby:0|gold:229568,84,10,
200,6409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,123995,3,food:251040|piercing:251040|ruby:0|gold:229568,84,10,
201,6509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,125255,3,food:252480|piercing:252480|ruby:0|gold:229568,84,10,
202,6609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,126515,3,food:253920|piercing:253920|ruby:0|gold:229568,84,10,
203,6709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,127775,3,food:255360|piercing:255360|ruby:0|gold:229568,84,10,
204,6809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,129035,3,food:256800|piercing:256800|ruby:0|gold:229568,84,10,
205,6909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,130295,3,food:258240|piercing:258240|ruby:0|gold:229568,84,10,
206,7009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,131555,3,food:259680|piercing:259680|ruby:0|gold:229568,84,10,
207,7109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,132815,3,food:261120|piercing:261120|ruby:0|gold:229568,84,10,
208,7209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,134075,3,food:262560|piercing:262560|ruby:0|gold:229568,84,10,
209,7309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,135335,3,food:264000|piercing:264000|ruby:0|gold:229568,84,10,
210,7409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,136595,3,food:265440|piercing:265440|ruby:0|gold:229568,84,10,
211,7509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,137855,3,food:266880|piercing:266880|ruby:0|gold:229568,84,10,
212,7609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,139115,3,food:268320|piercing:268320|ruby:0|gold:229568,84,10,
213,7709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,140375,3,food:269760|piercing:269760|ruby:0|gold:229568,84,10,
214,7809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,141635,3,food:271200|piercing:271200|ruby:0|gold:229568,84,10,
215,7909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,142895,3,food:272640|piercing:272640|ruby:0|gold:229568,84,10,
216,8009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,144155,3,food:274080|piercing:274080|ruby:0|gold:229568,84,10,
217,8109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,145415,3,food:275520|piercing:275520|ruby:0|gold:229568,84,10,
218,8209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,146675,3,food:276960|piercing:276960|ruby:0|gold:229568,84,10,
219,8309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,147935,3,food:278400|piercing:278400|ruby:0|gold:229568,84,10,
220,8409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,149195,3,food:279840|piercing:279840|ruby:0|gold:229568,84,10,
221,8509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,150455,3,food:281280|piercing:281280|ruby:0|gold:229568,84,10,
222,8609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,151715,3,food:282720|piercing:282720|ruby:0|gold:229568,84,10,
223,8709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,152975,3,food:284160|piercing:284160|ruby:0|gold:229568,84,10,
224,8809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,154235,3,food:285600|piercing:285600|ruby:0|gold:229568,84,10,
225,8909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,155495,3,food:287040|piercing:287040|ruby:0|gold:229568,84,10,
226,9009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,156755,3,food:288480|piercing:288480|ruby:0|gold:229568,84,10,
227,9109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,158015,3,food:289920|piercing:289920|ruby:0|gold:229568,84,10,
228,9209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,159275,3,food:291360|piercing:291360|ruby:0|gold:229568,84,10,
229,9309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,160535,3,food:292800|piercing:292800|ruby:0|gold:229568,84,10,
230,9409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,161795,3,food:294240|piercing:294240|ruby:0|gold:229568,84,10,
231,9509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,163055,3,food:295680|piercing:295680|ruby:0|gold:229568,84,10,
232,9609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,164315,3,food:296297|piercing:296297|ruby:0|gold:229568,84,10,
233,9709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,165575,3,food:296914|piercing:296914|ruby:0|gold:229568,84,10,
234,9809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,166835,3,food:297531|piercing:297531|ruby:0|gold:229568,84,10,
235,9909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,168095,3,food:298149|piercing:298149|ruby:0|gold:229568,84,10,
236,10009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,169355,3,food:298766|piercing:298766|ruby:0|gold:229568,84,10,
237,10109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,170615,3,food:299383|piercing:299383|ruby:0|gold:229568,84,10,
238,10209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,171875,3,food:300000|piercing:300000|ruby:0|gold:229568,84,10,
239,10309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,173135,3,food:301440|piercing:301440|ruby:0|gold:229568,84,10,
240,10409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,174395,3,food:302880|piercing:302880|ruby:0|gold:229568,84,10,
241,10509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,175655,3,food:304320|piercing:304320|ruby:0|gold:229568,84,10,
242,10609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,176915,3,food:305760|piercing:305760|ruby:0|gold:229568,84,10,
243,10709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,178175,3,food:307200|piercing:307200|ruby:0|gold:229568,84,10,
244,10809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,179435,3,food:308640|piercing:308640|ruby:0|gold:229568,84,10,
245,10909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,180695,3,food:310080|piercing:310080|ruby:0|gold:229568,84,10,
246,11009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,181955,3,food:311520|piercing:311520|ruby:0|gold:229568,84,10,
247,11109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,183215,3,food:312960|piercing:312960|ruby:0|gold:229568,84,10,
248,11209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,184475,3,food:314400|piercing:314400|ruby:0|gold:229568,84,10,
249,11309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,185735,3,food:315840|piercing:315840|ruby:0|gold:229568,84,10,
250,11409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,186995,3,food:317280|piercing:317280|ruby:0|gold:229568,84,10,
251,11509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,188255,3,food:318720|piercing:318720|ruby:0|gold:229568,84,10,
252,11609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,189515,3,food:320160|piercing:320160|ruby:0|gold:229568,84,10,
253,11709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,190775,3,food:321600|piercing:321600|ruby:0|gold:229568,84,10,
254,11809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,192035,3,food:323040|piercing:323040|ruby:0|gold:229568,84,10,
255,11909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,193295,3,food:324480|piercing:324480|ruby:0|gold:229568,84,10,
256,12009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,194555,3,food:325920|piercing:325920|ruby:0|gold:229568,84,10,
257,12109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,195815,3,food:327360|piercing:327360|ruby:0|gold:229568,84,10,
258,12209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,197075,3,food:328800|piercing:328800|ruby:0|gold:229568,84,10,
259,12309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,198335,3,food:330240|piercing:330240|ruby:0|gold:229568,84,10,
260,12409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,199595,3,food:331680|piercing:331680|ruby:0|gold:229568,84,10,
261,12509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,200855,3,food:333120|piercing:333120|ruby:0|gold:229568,84,10,
262,12609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,202115,3,food:334560|piercing:334560|ruby:0|gold:229568,84,10,
263,12709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,203375,3,food:336000|piercing:336000|ruby:0|gold:229568,84,10,
264,12809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,204635,3,food:337440|piercing:337440|ruby:0|gold:229568,84,10,
265,12909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,205895,3,food:338880|piercing:338880|ruby:0|gold:229568,84,10,
266,13009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,207155,3,food:340320|piercing:340320|ruby:0|gold:229568,84,10,
267,13109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,208415,3,food:341760|piercing:341760|ruby:0|gold:229568,84,10,
268,13209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,209675,3,food:343200|piercing:343200|ruby:0|gold:229568,84,10,
269,13309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,210935,3,food:344640|piercing:344640|ruby:0|gold:229568,84,10,
270,13409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,212195,3,food:346080|piercing:346080|ruby:0|gold:229568,84,10,
271,13509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,213455,3,food:347520|piercing:347520|ruby:0|gold:229568,84,10,
272,13609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,214715,3,food:348960|piercing:348960|ruby:0|gold:229568,84,10,
273,13709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,215975,3,food:350400|piercing:350400|ruby:0|gold:229568,84,10,
274,13809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,217235,3,food:351840|piercing:351840|ruby:0|gold:229568,84,10,
275,13909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,218495,3,food:353280|piercing:353280|ruby:0|gold:229568,84,10,
276,14009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,219755,3,food:354720|piercing:354720|ruby:0|gold:229568,84,10,
277,14109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,221015,3,food:356160|piercing:356160|ruby:0|gold:229568,84,10,
278,14209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,222275,3,food:357600|piercing:357600|ruby:0|gold:229568,84,10,
279,14309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,223535,3,food:359040|piercing:359040|ruby:0|gold:229568,84,10,
280,14409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,224795,3,food:360480|piercing:360480|ruby:0|gold:229568,84,10,
281,14509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,226055,3,food:361920|piercing:361920|ruby:0|gold:229568,84,10,
282,14609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,227315,3,food:363360|piercing:363360|ruby:0|gold:229568,84,10,
283,14709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,228575,3,food:364800|piercing:364800|ruby:0|gold:229568,84,10,
284,14809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,229835,3,food:366240|piercing:366240|ruby:0|gold:229568,84,10,
285,14909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,231095,3,food:367680|piercing:367680|ruby:0|gold:229568,84,10,
286,15009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,232355,3,food:369120|piercing:369120|ruby:0|gold:229568,84,10,
287,15109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,233615,3,food:370560|piercing:370560|ruby:0|gold:229568,84,10,
288,15209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,234875,3,food:371820|piercing:371820|ruby:0|gold:229568,84,10,
289,15309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,236135,3,food:373080|piercing:373080|ruby:0|gold:229568,84,10,
290,15409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,237395,3,food:374340|piercing:374340|ruby:0|gold:229568,84,10,
291,15509497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,238655,3,food:375600|piercing:375600|ruby:0|gold:229568,84,10,
292,15609497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,239915,3,food:376860|piercing:376860|ruby:0|gold:229568,84,10,
293,15709497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,241175,3,food:378120|piercing:378120|ruby:0|gold:229568,84,10,
294,15809497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,242435,3,food:379380|piercing:379380|ruby:0|gold:229568,84,10,
295,15909497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,243695,3,food:380640|piercing:380640|ruby:0|gold:229568,84,10,
296,16009497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,244955,3,food:382080|piercing:382080|ruby:0|gold:229568,84,10,
297,16109497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,246215,3,food:383520|piercing:383520|ruby:0|gold:229568,84,10,
298,16209497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,247475,3,food:384960|piercing:384960|ruby:0|gold:229568,84,10,
299,16309497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,248735,3,food:386400|piercing:386400|ruby:0|gold:229568,84,10,
300,16409497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,249995,3,food:387840|piercing:387840|ruby:0|gold:229568,84,10,
301,16510497,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,253744,3,food:389280|piercing:389280|ruby:0|gold:229568,84,10,
302,16612507,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,257550,3,food:390720|piercing:390720|ruby:0|gold:229568,84,10,
303,16715537,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,261413,3,food:392160|piercing:392160|ruby:0|gold:229568,84,10,
304,16819597,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,265334,3,food:393600|piercing:393600|ruby:0|gold:229568,84,10,
305,16924698,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,269314,3,food:395040|piercing:395040|ruby:0|gold:229568,84,10,
306,17030850,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,273353,3,food:396480|piercing:396480|ruby:0|gold:229568,84,10,
307,17138064,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,277453,3,food:397920|piercing:397920|ruby:0|gold:229568,84,10,
308,17246350,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,281614,3,food:399360|piercing:399360|ruby:0|gold:229568,84,10,
309,17355719,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,285838,3,food:400800|piercing:400800|ruby:0|gold:229568,84,10,
310,17466182,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,290125,3,food:402240|piercing:402240|ruby:0|gold:229568,84,10,
311,17577750,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,294476,3,food:403680|piercing:403680|ruby:0|gold:229568,84,10,
312,17690434,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,298893,3,food:405120|piercing:405120|ruby:0|gold:229568,84,10,
313,17804245,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,303376,3,food:406560|piercing:406560|ruby:0|gold:229568,84,10,
314,17919194,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,307926,3,food:408000|piercing:408000|ruby:0|gold:229568,84,10,
315,18035292,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,312544,3,food:409440|piercing:409440|ruby:0|gold:229568,84,10,
316,18152551,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,317232,3,food:410880|piercing:410880|ruby:0|gold:229568,84,10,
317,18270983,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,321990,3,food:412320|piercing:412320|ruby:0|gold:229568,84,10,
318,18390599,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,326819,3,food:413760|piercing:413760|ruby:0|gold:229568,84,10,
319,18511411,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,331721,3,food:415200|piercing:415200|ruby:0|gold:229568,84,10,
320,18633431,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,336696,3,food:416640|piercing:416640|ruby:0|gold:229568,84,10,
321,18756671,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,341746,3,food:418080|piercing:418080|ruby:0|gold:229568,84,10,
322,18881143,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,346872,3,food:419520|piercing:419520|ruby:0|gold:229568,84,10,
323,19006860,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,352075,3,food:420960|piercing:420960|ruby:0|gold:229568,84,10,
324,19133834,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,357356,3,food:422400|piercing:422400|ruby:0|gold:229568,84,10,
325,19262078,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,362716,3,food:423840|piercing:423840|ruby:0|gold:229568,84,10,
326,19391604,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,368156,3,food:425280|piercing:425280|ruby:0|gold:229568,84,10,
327,19522425,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,373678,3,food:426720|piercing:426720|ruby:0|gold:229568,84,10,
328,19654554,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,379283,3,food:428160|piercing:428160|ruby:0|gold:229568,84,10,
329,19788004,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,384972,3,food:429600|piercing:429600|ruby:0|gold:229568,84,10,
330,19922789,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,390746,3,food:431040|piercing:431040|ruby:0|gold:229568,84,10,
331,20058922,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,396607,3,food:432480|piercing:432480|ruby:0|gold:229568,84,10,
332,20196416,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,402556,3,food:433920|piercing:433920|ruby:0|gold:229568,84,10,
333,20335285,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,408594,3,food:435360|piercing:435360|ruby:0|gold:229568,84,10,
334,20475543,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,414722,3,food:436800|piercing:436800|ruby:0|gold:229568,84,10,
335,20617204,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,420942,3,food:438240|piercing:438240|ruby:0|gold:229568,84,10,
336,20760282,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,427256,3,food:439680|piercing:439680|ruby:0|gold:229568,84,10,
337,20904791,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,433664,3,food:441120|piercing:441120|ruby:0|gold:229568,84,10,
338,21050745,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,440168,3,food:442560|piercing:442560|ruby:0|gold:229568,84,10,
339,21198159,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,446770,3,food:444000|piercing:444000|ruby:0|gold:229568,84,10,
340,21347047,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,453471,3,food:445440|piercing:445440|ruby:0|gold:229568,84,10,
341,21497424,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,460273,3,food:446880|piercing:446880|ruby:0|gold:229568,84,10,
342,21649305,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,467177,3,food:448320|piercing:448320|ruby:0|gold:229568,84,10,
343,21802705,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,474184,3,food:449760|piercing:449760|ruby:0|gold:229568,84,10,
344,21957639,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,481296,3,food:451200|piercing:451200|ruby:0|gold:229568,84,10,
345,22114122,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,488515,3,food:452640|piercing:452640|ruby:0|gold:229568,84,10,
346,22272170,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,495842,3,food:454080|piercing:454080|ruby:0|gold:229568,84,10,
347,22431798,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,503279,3,food:455520|piercing:455520|ruby:0|gold:229568,84,10,
348,22593022,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,510828,3,food:456960|piercing:456960|ruby:0|gold:229568,84,10,
349,22755858,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,518490,3,food:458400|piercing:458400|ruby:0|gold:229568,84,10,
350,22920322,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,526267,3,food:459840|piercing:459840|ruby:0|gold:229568,84,10,
351,23086431,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,534161,3,food:461280|piercing:461280|ruby:0|gold:229568,84,10,
352,23254201,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,542173,3,food:462720|piercing:462720|ruby:0|gold:229568,84,10,
353,23423649,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,550305,3,food:464160|piercing:464160|ruby:0|gold:229568,84,10,
354,23594791,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,558559,3,food:465600|piercing:465600|ruby:0|gold:229568,84,10,
355,23767644,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,566937,3,food:467040|piercing:467040|ruby:0|gold:229568,84,10,
356,23942226,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,575441,3,food:468480|piercing:468480|ruby:0|gold:229568,84,10,
357,24118554,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,584072,3,food:469920|piercing:469920|ruby:0|gold:229568,84,10,
358,24296645,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,592833,3,food:471360|piercing:471360|ruby:0|gold:229568,84,10,
359,24476517,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,601725,3,food:472800|piercing:472800|ruby:0|gold:229568,84,10,
360,24658188,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,610750,3,food:474240|piercing:474240|ruby:0|gold:229568,84,10,
361,24841676,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,619911,3,food:475680|piercing:475680|ruby:0|gold:229568,84,10,
362,25026999,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,629209,3,food:477120|piercing:477120|ruby:0|gold:229568,84,10,
363,25214175,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,638647,3,food:478560|piercing:478560|ruby:0|gold:229568,84,10,
364,25403223,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,648226,3,food:480000|piercing:480000|ruby:0|gold:229568,84,10,
365,25594161,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,657949,3,food:481440|piercing:481440|ruby:0|gold:229568,84,10,
366,25787008,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,667818,3,food:482880|piercing:482880|ruby:0|gold:229568,84,10,
367,25981783,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,677835,3,food:484320|piercing:484320|ruby:0|gold:229568,84,10,
368,26178506,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,688002,3,food:485760|piercing:485760|ruby:0|gold:229568,84,10,
369,26377196,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,698322,3,food:487200|piercing:487200|ruby:0|gold:229568,84,10,
370,26577873,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,708796,3,food:488640|piercing:488640|ruby:0|gold:229568,84,10,
371,26780557,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,719427,3,food:490080|piercing:490080|ruby:0|gold:229568,84,10,
372,26985268,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,730218,3,food:491520|piercing:491520|ruby:0|gold:229568,84,10,
373,27192026,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,741171,3,food:492960|piercing:492960|ruby:0|gold:229568,84,10,
374,27400852,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,752288,3,food:494400|piercing:494400|ruby:0|gold:229568,84,10,
375,27611766,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,763572,3,food:495840|piercing:495840|ruby:0|gold:229568,84,10,
376,27824789,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,775025,3,food:497280|piercing:497280|ruby:0|gold:229568,84,10,
377,28039942,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,786650,3,food:498720|piercing:498720|ruby:0|gold:229568,84,10,
378,28257247,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,798449,3,food:500160|piercing:500160|ruby:0|gold:229568,84,10,
379,28476725,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,810425,3,food:501600|piercing:501600|ruby:0|gold:229568,84,10,
380,28698398,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,822581,3,food:503040|piercing:503040|ruby:0|gold:229568,84,10,
381,28922288,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,834919,3,food:504480|piercing:504480|ruby:0|gold:229568,84,10,
382,29148417,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,847442,3,food:505920|piercing:505920|ruby:0|gold:229568,84,10,
383,29376807,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,860153,3,food:507360|piercing:507360|ruby:0|gold:229568,84,10,
384,29607481,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,873055,3,food:508800|piercing:508800|ruby:0|gold:229568,84,10,
385,29840462,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,886150,3,food:510240|piercing:510240|ruby:0|gold:229568,84,10,
386,30075773,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,899442,3,food:511680|piercing:511680|ruby:0|gold:229568,84,10,
387,30313437,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,912933,3,food:513120|piercing:513120|ruby:0|gold:229568,84,10,
388,30553478,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,926626,3,food:514560|piercing:514560|ruby:0|gold:229568,84,10,
389,30795919,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,940525,3,food:516000|piercing:516000|ruby:0|gold:229568,84,10,
390,31040784,piercing:1|artillery:1|aura:1|lightning:1,2,0.002322,954632,3,food:517440|piercing:517440|ruby:0|gold:229568,84,10,
