identifier,inBundle,prerequisiteIdentifiers,numRequiredPrerequisites,tier,researchBuildingLevelRequired,position,displayName,researchDescription,cost,time,icon,iconInProgress,iconComplete,effects,h
researchBoost003,1,economyBuildingHP003,1,4,4,7~4,Poetic Alchemy,+10% Research Speed,orangeEggCurrency:7,388800,icon_research_increase_research.png,icon_research_increase_research_progress.png,icon_research_increase_research_complete.png,researchTimeModifier:-0.10,
healTimerBoost003,1,allDragonHP004,1,4,4,7~2,Healing Remedy,+5% Dragon Healing Speed,orangeEggCurrency:7,388800,icon_research_dragon_heal.png,icon_research_dragon_heal_progress.png,icon_research_dragon_heal_complete.png,dragonHealTimeModifier:-0.05,
superShotHealing002,1,trebuchetLightningHP001|researchBoost003,1,4,4,8~5,Curing Powder,+5% Sheep Farm Supershot Heal|+5% Lumber Mill Supershot Heal,orangeEggCurrency:20,864000,icon_research_lumberfarm_heal.png,icon_research_lumberfarm_heal_progress.png,icon_research_lumberfarm_heal_complete.png,buildingClassSpecialAttackModifier_harvest:0.05,
startingRage003,1,healTimerBoost003,1,4,4,8~3,Essence of Rage,+1 Starting Dragon Rage,orangeEggCurrency:60,864000,icon_research_dragon_rage.png,icon_research_dragon_rage_progress.png,icon_research_dragon_rage_complete.png,initialRageModifier:100,
battlecryBonus001,1,warriorDragonHP002,1,4,4,8~1,Enhanced Battle Cry,+15% Battle Cry Spell Bonus Damage,orangeEggCurrency:40,864000,icon_research_battlecry.png,icon_research_battlecry_progress.png,icon_research_battlecry_complete.png,spellAttackModifier_battlecry:0.15,
allTowerDamage004,1,trebuchetLightningHP001|superShotHealing002,1,5,5,1~6,Sharpened Steel,+4% to All Combat Tower Damage,greenEggCurrency:2,302400,icon_research_tower_damage.png,icon_research_tower_damage_progress.png,icon_research_tower_damage_complete.png,buildingAttackModifier_archerTower:0.04|buildingAttackModifier_cannonTower:0.04|buildingAttackModifier_stormTower:0.04|buildingAttackModifier_ballista:0.04|buildingAttackModifier_mageTower:0.04|buildingAttackModifier_mageBlueTower:0.04|buildingAttackModifier_trebuchet:0.04|buildingAttackModifier_lightningTower:0.04|buildingAttackModifier_elementalFlakDark:0.04|buildingAttackModifier_fireTurret:0.04|buildingAttackModifier_iceTurret:0.04|buildingAttackModifier_elementalFlakFire:0.04|buildingAttackModifier_elementalFlakEarth:0.04|buildingAttackModifier_elementalFlakWind:0.04|buildingAttackModifier_elementalFlakIce:0.04,
incubationBoost002,1,superShotHealing002|researchBoost003|startingRage003,1,5,5,1~4,Heated Chamber,+10% Incubation Speed,greenEggCurrency:2,302400,icon_research_incubation.png,icon_research_incubation_progress.png,icon_research_incubation_complete.png,dragonIncubateTimeModifier:-0.1,
allDragonDamage003,1,healTimerBoost003,1,5,5,1~2,Fiery Breath,+4% Dragon Damage,greenEggCurrency:2,302400,icon_research_dragon_damage.png,icon_research_dragon_damage_progress.png,icon_research_dragon_damage_complete.png,dragonAttackModifier:0.04,
cannonTowerHP001,1,allTowerDamage004,1,5,5,2~7,Protected Ordnance,+4% Cannon Tower HP,greenEggCurrency:13,1728000,icon_research_cannon_hp.png,icon_research_cannon_hp_progress.png,icon_research_cannon_hp_complete.png,buildingHPModifier_cannonTower:0.04,
trebuchetLightningHP002,1,allTowerDamage004,1,5,5,2~5,Galvanized Beams,+4% Lightning Tower HP|+4% Trebuchet HP,greenEggCurrency:20,1728000,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingHPModifier_lightningTower:0.04|buildingHPModifier_trebuchet:0.04,
hunterAmmo002,1,startingRage003|allDragonDamage003,1,5,5,2~3,Advanced Hunter Training,+2 Maximum Hunter Ammo,greenEggCurrency:25,1728000,icon_research_hunter_damage.png,icon_research_hunter_damage_progress.png,icon_research_hunter_damage_complete.png,dragonClassTotalAmmoIncreaseModifier_hunter:2,
lightningTowerResistance001,1,allDragonDamage003,1,5,5,2~1,Enhanced Lightning Resistance,+10% Lightning Tower Resistance Spell,greenEggCurrency:10,1728000,icon_research_lightning_resistance.png,icon_research_lightning_resistance_progress.png,icon_research_lightning_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_lightning:10,
superShotAmmo005,1,allTowerDamage004,1,5,5,3~6,Ammo Reserves,+1 Starting Supershot Ammo,greenEggCurrency:3,432000,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
economyBoost005,1,incubationBoost002,1,5,5,3~4,Construction Efficiency,+5% Construction and Upgrade Speed,greenEggCurrency:3,432000,icon_research_construction.png,icon_research_construction_progress.png,icon_research_construction_complete.png,buildingTimerModifier:-0.05,
allDragonHP005,1,allDragonDamage003,1,5,5,3~2,Organic Dragon Meat,+4% Dragon HP,greenEggCurrency:3,432000,icon_research_dragon_hp.png,icon_research_dragon_hp_progress.png,icon_research_dragon_hp_complete.png,dragonHPModifier:0.04,
cannonAmmoShieldBreak001,1,cannonTowerHP001,1,5,5,4~7,Recycled Shield Breakers,Gain 3 Supershot Ammo Refill if a Cannon Tower Supershot breaks a Dragon Shield of any type,greenEggCurrency:30,1728000,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,increaseAbilitySupershotsAmountForDisruptSpellBuildingModifier_cannonTower:3.0,
lumbermillCapacity002,1,economyBoost005,1,5,5,4~5,Lumber Mill Basement Cache,+20% Lumber Mill Capacity,greenEggCurrency:10,1728000,icon_research_lumber_capacity.png,icon_research_lumber_capacity_progress.png,icon_research_lumber_capacity_complete.png,harvestBuildingCapacityModifier_woodFarm:0.2,
hogfarmCapacity002,1,economyBoost005,1,5,5,4~3,Sheep Farm Basement Cache,+20% Sheep Farm Capacity,greenEggCurrency:10,1728000,icon_research_farm_capacity.png,icon_research_farm_capacity_progress.png,icon_research_farm_capacity_complete.png,harvestBuildingCapacityModifier_hogFarm:0.2,
windwallDuration001,1,allDragonHP005,1,5,5,4~1,Enhanced Wind Wall,+2.0 Second Wind Wall Spell Duration,greenEggCurrency:10,1728000,icon_research_hurricane.png,icon_research_hurricane_progress.png,icon_research_hurricane_complete.png,spellDurationModifier_hurricane:2,
trebuchetLightningDamage001,1,superShotAmmo005,1,5,5,5~6,Galvanized Charge,+4% Lightning Tower Damage|+4% Trebuchet Damage,greenEggCurrency:4,604800,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingAttackModifier_lightningTower:0.04|buildingAttackModifier_trebuchet:0.04,
researchBoost004,1,economyBoost005,1,5,5,5~4,Poetic Alchemy,+15% Research Speed,greenEggCurrency:4,604800,icon_research_increase_research.png,icon_research_increase_research_progress.png,icon_research_increase_research_complete.png,researchTimeModifier:-0.15,
healTimerBoost004,1,allDragonHP005,1,5,5,5~2,Healing Remedy,+5% Dragon Healing Speed,greenEggCurrency:4,604800,icon_research_dragon_heal.png,icon_research_dragon_heal_progress.png,icon_research_dragon_heal_complete.png,dragonHealTimeModifier:-0.05,
lightningTowerHP001,1,trebuchetLightningDamage001,1,5,5,6~7,Multilayered Coils,+4% Lightning Tower HP,greenEggCurrency:15,1728000,icon_research_lightning_hp.png,icon_research_lightning_hp_progress.png,icon_research_lightning_hp_complete.png,buildingHPModifier_lightningTower:0.04,
trebuchetDamage001,1,trebuchetLightningDamage001,1,5,5,6~5,Spiked Mortars,+4% Trebuchet Damage,greenEggCurrency:20,1728000,icon_research_trebuchet_damage.png,icon_research_trebuchet_damage_progress.png,icon_research_trebuchet_damage_complete.png,buildingAttackModifier_trebuchet:0.04,
startingRage004,1,healTimerBoost004,1,5,5,6~3,Essence of Rage,+1 Starting Dragon Rage,greenEggCurrency:30,1728000,icon_research_dragon_rage.png,icon_research_dragon_rage_progress.png,icon_research_dragon_rage_complete.png,initialRageModifier:100,
energySiphonDuration001,1,windwallDuration001,1,5,5,6~1,Enhanced Vampiric Touch,+2.0 Second Vampiric Touch Spell Duration,greenEggCurrency:20,1728000,icon_research_siphon.png,icon_research_siphon_progress.png,icon_research_siphon_complete.png,spellDurationModifier_energySyphon:2,
allTowerDamage005,1,trebuchetLightningDamage001,1,5,5,7~6,Sharpened Steel,+6% to All Combat Tower Damage,greenEggCurrency:6,777600,icon_research_tower_damage.png,icon_research_tower_damage_progress.png,icon_research_tower_damage_complete.png,buildingAttackModifier_archerTower:0.06|buildingAttackModifier_cannonTower:0.06|buildingAttackModifier_stormTower:0.06|buildingAttackModifier_ballista:0.06|buildingAttackModifier_mageTower:0.06|buildingAttackModifier_mageBlueTower:0.06|buildingAttackModifier_trebuchet:0.06|buildingAttackModifier_lightningTower:0.06|buildingAttackModifier_elementalFlakDark:0.06|buildingAttackModifier_fireTurret:0.06|buildingAttackModifier_iceTurret:0.06|buildingAttackModifier_elementalFlakFire:0.06|buildingAttackModifier_elementalFlakEarth:0.06|buildingAttackModifier_elementalFlakWind:0.06|buildingAttackModifier_elementalFlakIce:0.06,
economyBoost006,1,researchBoost004,1,5,5,7~4,Economic Improvements,+5% Sheep Farm Production|+5% Lumber Mill Production,greenEggCurrency:6,777600,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.05|buildingProductionModifier_woodFarm:0.05,
dragonXP004,1,healTimerBoost004,1,5,5,7~2,Dragon Discipline,+12% Dragon XP,greenEggCurrency:6,777600,icon_research_experience.png,icon_research_experience_progress.png,icon_research_experience_complete.png,dragonXPGainModifier:0.12,
lightningProximitySpeed001,1,lightningTowerHP001,1,5,5,8~7,Super Charged Generators,Lightning Towers gain 5% Attack Speed for each other Lightning Tower on the same island,greenEggCurrency:30,1728000,icon_research_tower_07.png,icon_research_tower_07_progress.png,icon_research_tower_07_complete.png,attackSpeedIncreaseForAliveBuildingsOnTheSameIslandForBuildingIdentifier_lightningTower:0.05,
archerAttackSpeed002,1,allTowerDamage005,1,5,5,8~5,Fiber Pulleys,+5% Archer Attack Speed,greenEggCurrency:20,1728000,icon_research_archer_attackspeed.png,icon_research_archer_attackspeed_progress.png,icon_research_archer_attackspeed_complete.png,attacksPerSecondBuildingModifier_archerTower:0.05,
sorcererDamage002,1,dragonXP004,1,5,5,8~3,Sorcerer Fury,+4% Sorcerer Damage,greenEggCurrency:35,1728000,icon_research_dragon_01.png,icon_research_dragon_01_progress.png,icon_research_dragon_01_complete.png,dragonClassAttackModifier_sorcerer:0.04,
hunterDamage002,1,dragonXP004,1,5,5,8~1,Hunter Fury,+4% Hunter Damage,greenEggCurrency:35,1728000,icon_research_hunter_damage.png,icon_research_hunter_damage_progress.png,icon_research_hunter_damage_complete.png,dragonClassAttackModifier_hunter:0.04,
poisonDurationGold,0,lightningProximitySpeed001|archerAttackSpeed002,1,6,6,1~6,Persistent Poison,+3 Seconds Poison Duration,goldEggCurrency:20,1728000,icon_research_ballista_poison.png,icon_research_ballista_poison_progress.png,icon_research_ballista_poison_complete.png,ballistaPoisonDurationModifier:0.1,
superShotPlat,0,poisonDurationGold,1,6,6,2~7,Endless Arsenal,+1 Super Shot,platinumEggCurrency:20,1728000,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
lumberMillProductionGold,0,poisonDurationGold,1,6,6,2~5,Dragon Forestry,+10% Lumber Mill production,goldEggCurrency:20,1728000,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_woodFarm:0.1,
hogFarmProductionGold,0,lumberMillProductionGold,1,6,6,3~4,Super Sheep,+10% Sheep Farm Production,goldEggCurrency:20,1728000,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.1,
poisonDamageDown01,0,lumberMillProductionGold,1,6,6,3~6,Weakening Poison,-6% Dragon Damage while Poisoned,goldEggCurrency:50,1728000,icon_research_doubletower_damage.png,icon_research_doubletower_damage_progress.png,icon_research_doubletower_damage_complete.png,ballistaPoisonAffectDragonDamageModifier:.06,
poisonDamageUp01,0,poisonDamageDown01,1,6,6,4~7,Corrosive Poison,+7% Damage to Dragon when Poisoned,goldEggCurrency:50,1728000,icon_research_ballista_poison.png,icon_research_ballista_poison_progress.png,icon_research_ballista_poison_complete.png,ballistaPoisonAffectDamageToDragonModifier:.07,
healingSuperShotGold,0,hogFarmProductionGold,1,6,6,4~5,Healing Salve,+15% Sheep Farm Supershot Heal|+15% Lumber Mill Supershot Heal,goldEggCurrency:25,1728000,icon_research_lumberfarm_heal.png,icon_research_lumberfarm_heal_progress.png,icon_research_lumberfarm_heal_complete.png,buildingClassSpecialAttackModifier_harvest:0.15,
buildingConstructionPlat,0,healingSuperShotGold,1,6,6,5~5,Diamond Tools,+5% Building Construction Speed,platinumEggCurrency:35,1728000,icon_research_construction.png,icon_research_construction_progress.png,icon_research_construction_complete.png,buildingTimerModifier:-0.05,
sorcAttackGold1,0,sorcererDamage002|hunterDamage002,1,6,6,1~2,Sorcerer Wrath,+4% Sorcerer Dragon Damage,goldEggCurrency:25,1728000,icon_research_dragon_01.png,icon_research_dragon_01_progress.png,icon_research_dragon_01_complete.png,dragonClassAttackModifier_sorcerer:0.04,
sorcStunPlat,0,sorcAttackGold1,1,6,6,2~3,Suffocating Flames,+2% Chance for Sorcerer Attack to Stun,platinumEggCurrency:15,1728000,icon_research_dragon_damage.png,icon_research_dragon_damage_progress.png,icon_research_dragon_damage_complete.png,sorcererAttackStunChanceModifier:.02,
dragonXPGold,0,sorcAttackGold1,1,6,6,2~1,Knowledge of the Ancients,+12% Dragon XP gained,goldEggCurrency:25,1728000,icon_research_experience.png,icon_research_experience_progress.png,icon_research_experience_complete.png,dragonXPGainModifier:0.12,
sorcAttackGold2,0,dragonXPGold,1,6,6,3~2,Sorcerer Savagery,+4% Sorcerer Dragon Attack,goldEggCurrency:35,1728000,icon_research_dragon_01.png,icon_research_dragon_01_progress.png,icon_research_dragon_01_complete.png,dragonClassAttackModifier_sorcerer:0.04,
iceTurretResistPlat,0,sorcAttackGold2,1,6,6,4~3,Insulating Scales,+10% Ice Turret Resist,platinumEggCurrency:30,1728000,icon_research_slowing_01.png,icon_research_slowing_01_progress.png,icon_research_slowing_01_complete.png,resistAbilityIncreaseModifierKeyFormat_ice:10,
dragonIncubateGold,0,sorcAttackGold2,1,6,6,4~1,Incubator Flame Vents,+5% Dragon Incubation Speed,goldEggCurrency:25,1728000,icon_research_incubation.png,icon_research_incubation_progress.png,icon_research_incubation_complete.png,dragonIncubateTimeModifier:-0.05,
fireTurretResistPlat,0,iceTurretResistPlat,1,6,6,5~3,Reflective Scales,+10% Fire Turret Resist,platinumEggCurrency:30,1728000,icon_research_slowing_01.png,icon_research_slowing_01_progress.png,icon_research_slowing_01_complete.png,resistAbilityIncreaseModifierKeyFormat_fire:10,
cloakHealingPlat,0,dragonIncubateGold,1,6,6,5~1,Shadow Healing,Heals up to 15% while Cloaked,platinumEggCurrency:35,1728000,icon_research_cure_poison.png,icon_research_cure_poison_progress.png,icon_research_cure_poison_complete.png,spellHealingIncreaseModifier_cloak:.15,
research_building_ice_atk,0,cloakHealingPlat,1,6,6,6~1,Permafrost,+5% Ice Turret Damage,platinumEggCurrency:35,1728000,icon_research_iceTurret_01.png,icon_research_iceTurret_01_progress.png,icon_research_iceTurret_01_complete.png,buildingAttackModifier_iceTurret:0.05,
research_building_fire_atk,0,fireTurretResistPlat,1,6,6,6~3,Prewarmed Flamer,+5% Fire Turret Damage,platinumEggCurrency:35,1728000,icon_research_fireTurret_01.png,icon_research_fireTurret_01_progress.png,icon_research_fireTurret_01_complete.png,buildingAttackModifier_fireTurret:0.05,
research_building_flakdark_hp,0,buildingConstructionPlat,1,6,6,6~5,Dark Matter,+5% Dark Flak Tower HP,platinumEggCurrency:35,1728000,icon_research_darkFlak_03.png,icon_research_darkFlak_03_progress.png,icon_research_darkFlak_03_complete.png,buildingHPModifier_elementalFlakDark:0.05,
research_building_foodwood_capacity,0,research_building_ice_atk|research_building_fire_atk|research_building_flakdark_hp,1,7,7,1~3,Production Capacity,+10% Lumber Mill and Sheep Farm Capacity,sapphireEggCurrency:10,1728000,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,harvestBuildingCapacityModifier_woodFarm:0.1|harvestBuildingCapacityModifier_hogFarm:0.1,
research_building_flakdark_atk,0,poisonDamageUp01,1,7,7,1~7,Intense Explosion,+5% Dark Flak Tower Damage,sapphireEggCurrency:10,1728000,icon_research_darkFlak_01.png,icon_research_darkFlak_01_progress.png,icon_research_darkFlak_01_complete.png,buildingAttackModifier_elementalFlakDark:0.05,
research_dragon_warrior_hp,0,research_building_foodwood_capacity,1,7,7,2~1,Heavy Warrior Armor,+5% Warrior Dragon HP,sapphireEggCurrency:25,1728000,icon_research_warrior_hp.png,icon_research_warrior_hp_progress.png,icon_research_warrior_hp_complete.png,dragonClassHPModifier_warrior:0.05,
research_dragon_hunter_hp,0,research_building_foodwood_capacity,1,7,7,2~3,Wing Guard Plate,+5% Hunter Dragon HP,sapphireEggCurrency:20,1728000,icon_research_dragon_03.png,icon_research_dragon_03_progress.png,icon_research_dragon_03_complete.png,dragonClassHPModifier_hunter:0.05,
research_dragon_sorcerer_hp,0,research_building_foodwood_capacity,1,7,7,2~5,Magic Armor,+5% Sorcerer Dragon HP,sapphireEggCurrency:20,1728000,icon_research_dragon_01.png,icon_research_dragon_01_progress.png,icon_research_dragon_01_complete.png,dragonClassHPModifier_sorcerer:0.05,
research_dragon_mehaten_heatshield_duration,0,research_dragon_warrior_hp,1,7,7,3~1,Enhanced Heat Shield,+2 Seconds Heat Shield Spell Duration,sapphireEggCurrency:10,1728000,icon_research_spell_heatBlastShield.png,icon_research_spell_heatBlastShield_progress.png,icon_research_spell_heatBlastShield_complete.png,spellDurationModifier_heatBlastShield:2,
research_dragon_resist_flakdark,0,research_dragon_hunter_hp,1,7,7,3~3,Enhanced Dark Flak Resistance,+10% Dark Flak Tower Resist,sapphireEggCurrency:15,1728000,icon_research_darkFlak_resistance.png,icon_research_darkFlak_resistance_progress.png,icon_research_darkFlak_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_flak:10,
research_dragon_apophet_nocturnalfissure_duration,0,research_dragon_sorcerer_hp,1,7,7,3~5,Enhanced Nocturnal Fissure,+2 Seconds Nocturnal Fissure Spell Duration,sapphireEggCurrency:10,1728000,icon_research_spell_nocturnalFissure.png,icon_research_spell_nocturnalFissure_progress.png,icon_research_spell_nocturnalFissure_complete.png,spellDurationModifier_nocturnalFissure:2,
research_building_flakdark_hp002,0,research_dragon_mehaten_heatshield_duration|research_dragon_resist_flakdark|research_dragon_apophet_nocturnalfissure_duration,1,7,7,4~3,Voidstone Plating,+5% Dark Flak Tower HP,garnetEggCurrency:24,1728000,icon_research_darkFlak_03.png,icon_research_darkFlak_03_progress.png,icon_research_darkFlak_03_complete.png,buildingHPModifier_elementalFlakDark:0.05,
research_building_flakdark_atk002,0,research_building_flakdark_atk,1,7,7,4~7,Dark Matter Rounds,+5% Dark Flak Tower Damage,garnetEggCurrency:24,1728000,icon_research_darkFlak_01.png,icon_research_darkFlak_01_progress.png,icon_research_darkFlak_01_complete.png,buildingAttackModifier_elementalFlakDark:0.05,
research_building_flakelectro_atk001,0,research_building_flakdark_hp002,1,7,7,5~1,Energized Coils,+10% Electro Flak Tower Damage,garnetEggCurrency:50,1728000,icon_research_electroFlak_01.png,icon_research_electroFlak_01_progress.png,icon_research_electroFlak_01_complete.png,buildingAttackModifier_elementalFlakWind:0.1,
research_building_flakice_atk001,0,research_building_flakdark_hp002,1,7,7,5~3,Snap-Freezing Shells,+10% Ice Flak Tower Damage,garnetEggCurrency:50,1728000,icon_research_iceFlak_01.png,icon_research_iceFlak_01_progress.png,icon_research_iceFlak_01_complete.png,buildingAttackModifier_elementalFlakIce:0.1,
research_building_flakfire_atk001,0,research_building_flakdark_hp002,1,7,7,5~5,Flame-Treated Barrel,+10% Fire Flak Tower Damage,garnetEggCurrency:50,1728000,icon_research_fireFlak_01.png,icon_research_fireFlak_01_progress.png,icon_research_fireFlak_01_complete.png,buildingAttackModifier_elementalFlakFire:0.1,
research_building_flakelectro_hp001,0,research_building_flakelectro_atk001,1,7,7,6~1,Electrostatic Shielding,+10% Electro Flak Tower HP,garnetEggCurrency:50,1728000,icon_research_electroFlak_03.png,icon_research_electroFlak_03_progress.png,icon_research_electroFlak_03_complete.png,buildingHPModifier_elementalFlakWind:0.1,
research_building_flakice_hp001,0,research_building_flakice_atk001,1,7,7,6~3,Permafrost Plating,+10% Ice Flak Tower HP,garnetEggCurrency:50,1728000,icon_research_iceFlak_03.png,icon_research_iceFlak_03_progress.png,icon_research_iceFlak_03_complete.png,buildingHPModifier_elementalFlakIce:0.1,
research_building_flakfire_hp001,0,research_building_flakfire_atk001,1,7,7,6~5,Heat-Resistant Frame,+10% Fire Flak Tower HP,garnetEggCurrency:50,1728000,icon_research_fireFlak_03.png,icon_research_fireFlak_03_progress.png,icon_research_fireFlak_03_complete.png,buildingHPModifier_elementalFlakFire:0.1,!@#nbbbpfhflmplmeof
