identifier,inBundle,currencies,eggs,eggParents,dragons,breeders,consumables,dragonArmors,runes,eliteAccountTime,riderGear,rankedRewardIdentifier,displayName,iconFilename,isIAPReward,isAdReward,rewardTargets,h
S1-BOOTS-R3-A_Reward,,,,,,,,,,,S1-BOOTS-R3-A:1,,,,,,,
S2-BOOTS-R3-A_Reward,,,,,,,,,,,S2-BOOTS-R3-A:1,,,,,,,
S3-BOOTS-R3-A_Reward,,,,,,,,,,,S3-BOOTS-R3-A:1,,,,,,,
S4-BOOTS-R3-A_Reward,,,,,,,,,,,S4-BOOTS-R3-A:1,,,,,,,
S5-BOOTS-R3-A_Reward,,,,,,,,,,,S5-BOOTS-R3-A:1,,,,,,,
S6-BOOTS-R3-A_Reward,,,,,,,,,,,S6-BOOTS-R3-A:1,,,,,,,
S7-BOOTS-R3-A_Reward,,,,,,,,,,,S7-BOOTS-R3-A:1,,,,,,,
S8-BOOTS-R3-A_Reward,,,,,,,,,,,S8-BOOTS-R3-A:1,,,,,,,
S9-BOOTS-R3-A_Reward,,,,,,,,,,,S9-BOOTS-R3-A:1,,,,,,,
S10-BOOTS-R3-A_Reward,,,,,,,,,,,S10-BOOTS-R3-A:1,,,,,,,
S1-CHEST-R3-A_Reward,,,,,,,,,,,S1-CHEST-R3-A:1,,,,,,,
S2-CHEST-R3-A_Reward,,,,,,,,,,,S2-CHEST-R3-A:1,,,,,,,
S3-CHEST-R3-A_Reward,,,,,,,,,,,S3-CHEST-R3-A:1,,,,,,,
S4-CHEST-R3-A_Reward,,,,,,,,,,,S4-CHEST-R3-A:1,,,,,,,
S5-CHEST-R3-A_Reward,,,,,,,,,,,S5-CHEST-R3-A:1,,,,,,,
S6-CHEST-R3-A_Reward,,,,,,,,,,,S6-CHEST-R3-A:1,,,,,,,
S7-CHEST-R3-A_Reward,,,,,,,,,,,S7-CHEST-R3-A:1,,,,,,,
S8-CHEST-R3-A_Reward,,,,,,,,,,,S8-CHEST-R3-A:1,,,,,,,
S9-CHEST-R3-A_Reward,,,,,,,,,,,S9-CHEST-R3-A:1,,,,,,,
S10-CHEST-R3-A_Reward,,,,,,,,,,,S10-CHEST-R3-A:1,,,,,,,
S1-GLOVES-R3-A_Reward,,,,,,,,,,,S1-GLOVES-R3-A:1,,,,,,,
S2-GLOVES-R3-A_Reward,,,,,,,,,,,S2-GLOVES-R3-A:1,,,,,,,
S3-GLOVES-R3-A_Reward,,,,,,,,,,,S3-GLOVES-R3-A:1,,,,,,,
S4-GLOVES-R3-A_Reward,,,,,,,,,,,S4-GLOVES-R3-A:1,,,,,,,
S5-GLOVES-R3-A_Reward,,,,,,,,,,,S5-GLOVES-R3-A:1,,,,,,,
S6-GLOVES-R3-A_Reward,,,,,,,,,,,S6-GLOVES-R3-A:1,,,,,,,
S7-GLOVES-R3-A_Reward,,,,,,,,,,,S7-GLOVES-R3-A:1,,,,,,,
S8-GLOVES-R3-A_Reward,,,,,,,,,,,S8-GLOVES-R3-A:1,,,,,,,
S9-GLOVES-R3-A_Reward,,,,,,,,,,,S9-GLOVES-R3-A:1,,,,,,,
S10-GLOVES-R3-A_Reward,,,,,,,,,,,S10-GLOVES-R3-A:1,,,,,,,
S1-HEAD-R3-A_Reward,,,,,,,,,,,S1-HEAD-R3-A:1,,,,,,,
S2-HEAD-R3-A_Reward,,,,,,,,,,,S2-HEAD-R3-A:1,,,,,,,
S3-HEAD-R3-A_Reward,,,,,,,,,,,S3-HEAD-R3-A:1,,,,,,,
S4-HEAD-R3-A_Reward,,,,,,,,,,,S4-HEAD-R3-A:1,,,,,,,
S5-HEAD-R3-A_Reward,,,,,,,,,,,S5-HEAD-R3-A:1,,,,,,,
S6-HEAD-R3-A_Reward,,,,,,,,,,,S6-HEAD-R3-A:1,,,,,,,
S7-HEAD-R3-A_Reward,,,,,,,,,,,S7-HEAD-R3-A:1,,,,,,,
S8-HEAD-R3-A_Reward,,,,,,,,,,,S8-HEAD-R3-A:1,,,,,,,
S9-HEAD-R3-A_Reward,,,,,,,,,,,S9-HEAD-R3-A:1,,,,,,,
S10-HEAD-R3-A_Reward,,,,,,,,,,,S10-HEAD-R3-A:1,,,,,,,
S1-PANTS-R3-A_Reward,,,,,,,,,,,S1-PANTS-R3-A:1,,,,,,,
S2-PANTS-R3-A_Reward,,,,,,,,,,,S2-PANTS-R3-A:1,,,,,,,
S3-PANTS-R3-A_Reward,,,,,,,,,,,S3-PANTS-R3-A:1,,,,,,,
S4-PANTS-R3-A_Reward,,,,,,,,,,,S4-PANTS-R3-A:1,,,,,,,
S5-PANTS-R3-A_Reward,,,,,,,,,,,S5-PANTS-R3-A:1,,,,,,,
S6-PANTS-R3-A_Reward,,,,,,,,,,,S6-PANTS-R3-A:1,,,,,,,
S7-PANTS-R3-A_Reward,,,,,,,,,,,S7-PANTS-R3-A:1,,,,,,,
S8-PANTS-R3-A_Reward,,,,,,,,,,,S8-PANTS-R3-A:1,,,,,,,
S9-PANTS-R3-A_Reward,,,,,,,,,,,S9-PANTS-R3-A:1,,,,,,,
S10-PANTS-R3-A_Reward,,,,,,,,,,,S10-PANTS-R3-A:1,,,,,,,
S1-RINGS-R3-B_Reward,,,,,,,,,,,S1-RINGS-R3-B:1,,,,,,,
S3-RINGS-R3-B_Reward,,,,,,,,,,,S3-RINGS-R3-B:1,,,,,,,
S5-RINGS-R3-B_Reward,,,,,,,,,,,S5-RINGS-R3-B:1,,,,,,,
S7-RINGS-R3-B_Reward,,,,,,,,,,,S7-RINGS-R3-B:1,,,,,,,
S9-RINGS-R3-B_Reward,,,,,,,,,,,S9-RINGS-R3-B:1,,,,,,,
S1-RINGS-R3-A_Reward,,,,,,,,,,,S1-RINGS-R3-A:1,,,,,,,
S2-RINGS-R3-A_Reward,,,,,,,,,,,S2-RINGS-R3-A:1,,,,,,,
S3-RINGS-R3-A_Reward,,,,,,,,,,,S3-RINGS-R3-A:1,,,,,,,
S4-RINGS-R3-A_Reward,,,,,,,,,,,S4-RINGS-R3-A:1,,,,,,,
S5-RINGS-R3-A_Reward,,,,,,,,,,,S5-RINGS-R3-A:1,,,,,,,
S6-RINGS-R3-A_Reward,,,,,,,,,,,S6-RINGS-R3-A:1,,,,,,,
S7-RINGS-R3-A_Reward,,,,,,,,,,,S7-RINGS-R3-A:1,,,,,,,
S8-RINGS-R3-A_Reward,,,,,,,,,,,S8-RINGS-R3-A:1,,,,,,,
S9-RINGS-R3-A_Reward,,,,,,,,,,,S9-RINGS-R3-A:1,,,,,,,
S10-RINGS-R3-A_Reward,,,,,,,,,,,S10-RINGS-R3-A:1,,,,,,,
S1-SHIELD-R3-A_Reward,,,,,,,,,,,S1-SHIELD-R3-A:1,,,,,,,
S2-SHIELD-R3-A_Reward,,,,,,,,,,,S2-SHIELD-R3-A:1,,,,,,,
S3-SHIELD-R3-A_Reward,,,,,,,,,,,S3-SHIELD-R3-A:1,,,,,,,
S4-SHIELD-R3-A_Reward,,,,,,,,,,,S4-SHIELD-R3-A:1,,,,,,,
S5-SHIELD-R3-A_Reward,,,,,,,,,,,S5-SHIELD-R3-A:1,,,,,,,
S6-SHIELD-R3-A_Reward,,,,,,,,,,,S6-SHIELD-R3-A:1,,,,,,,
S7-SHIELD-R3-A_Reward,,,,,,,,,,,S7-SHIELD-R3-A:1,,,,,,,
S8-SHIELD-R3-A_Reward,,,,,,,,,,,S8-SHIELD-R3-A:1,,,,,,,
S9-SHIELD-R3-A_Reward,,,,,,,,,,,S9-SHIELD-R3-A:1,,,,,,,
S10-SHIELD-R3-A_Reward,,,,,,,,,,,S10-SHIELD-R3-A:1,,,,,,,
S1-WEAPONS-R3-A_Reward,,,,,,,,,,,S1-WEAPONS-R3-A:1,,,,,,,
S1-WEAPONS-R3-B_Reward,,,,,,,,,,,S1-WEAPONS-R3-B:1,,,,,,,
S2-WEAPONS-R3-A_Reward,,,,,,,,,,,S2-WEAPONS-R3-A:1,,,,,,,
S3-WEAPONS-R3-A_Reward,,,,,,,,,,,S3-WEAPONS-R3-A:1,,,,,,,
S3-WEAPONS-R3-B_Reward,,,,,,,,,,,S3-WEAPONS-R3-B:1,,,,,,,
S4-WEAPONS-R3-A_Reward,,,,,,,,,,,S4-WEAPONS-R3-A:1,,,,,,,
S5-WEAPONS-R3-A_Reward,,,,,,,,,,,S5-WEAPONS-R3-A:1,,,,,,,
S5-WEAPONS-R3-B_Reward,,,,,,,,,,,S5-WEAPONS-R3-B:1,,,,,,,
S6-WEAPONS-R3-A_Reward,,,,,,,,,,,S6-WEAPONS-R3-A:1,,,,,,,
S7-WEAPONS-R3-A_Reward,,,,,,,,,,,S7-WEAPONS-R3-A:1,,,,,,,
S7-WEAPONS-R3-B_Reward,,,,,,,,,,,S7-WEAPONS-R3-B:1,,,,,,,
S8-WEAPONS-R3-A_Reward,,,,,,,,,,,S8-WEAPONS-R3-A:1,,,,,,,
S9-WEAPONS-R3-A_Reward,,,,,,,,,,,S9-WEAPONS-R3-A:1,,,,,,,
S9-WEAPONS-R3-B_Reward,,,,,,,,,,,S9-WEAPONS-R3-B:1,,,,,,,
S10-WEAPONS-R3-A_Reward,,,,,,,,,,,S10-WEAPONS-R3-A:1,,,,,,,
S1-BOOTS-R4-A_Reward,,,,,,,,,,,S1-BOOTS-R4-A:1,,,,,,,
S2-BOOTS-R4-A_Reward,,,,,,,,,,,S2-BOOTS-R4-A:1,,,,,,,
S3-BOOTS-R4-A_Reward,,,,,,,,,,,S3-BOOTS-R4-A:1,,,,,,,
S4-BOOTS-R4-A_Reward,,,,,,,,,,,S4-BOOTS-R4-A:1,,,,,,,
S5-BOOTS-R4-A_Reward,,,,,,,,,,,S5-BOOTS-R4-A:1,,,,,,,
S6-BOOTS-R4-A_Reward,,,,,,,,,,,S6-BOOTS-R4-A:1,,,,,,,
S7-BOOTS-R4-A_Reward,,,,,,,,,,,S7-BOOTS-R4-A:1,,,,,,,
S8-BOOTS-R4-A_Reward,,,,,,,,,,,S8-BOOTS-R4-A:1,,,,,,,
S9-BOOTS-R4-A_Reward,,,,,,,,,,,S9-BOOTS-R4-A:1,,,,,,,
S10-BOOTS-R4-A_Reward,,,,,,,,,,,S10-BOOTS-R4-A:1,,,,,,,
S1-CHEST-R4-A_Reward,,,,,,,,,,,S1-CHEST-R4-A:1,,,,,,,
S2-CHEST-R4-A_Reward,,,,,,,,,,,S2-CHEST-R4-A:1,,,,,,,
S3-CHEST-R4-A_Reward,,,,,,,,,,,S3-CHEST-R4-A:1,,,,,,,
S4-CHEST-R4-A_Reward,,,,,,,,,,,S4-CHEST-R4-A:1,,,,,,,
S5-CHEST-R4-A_Reward,,,,,,,,,,,S5-CHEST-R4-A:1,,,,,,,
S6-CHEST-R4-A_Reward,,,,,,,,,,,S6-CHEST-R4-A:1,,,,,,,
S7-CHEST-R4-A_Reward,,,,,,,,,,,S7-CHEST-R4-A:1,,,,,,,
S8-CHEST-R4-A_Reward,,,,,,,,,,,S8-CHEST-R4-A:1,,,,,,,
S9-CHEST-R4-A_Reward,,,,,,,,,,,S9-CHEST-R4-A:1,,,,,,,
S10-CHEST-R4-A_Reward,,,,,,,,,,,S10-CHEST-R4-A:1,,,,,,,
S1-GLOVES-R4-A_Reward,,,,,,,,,,,S1-GLOVES-R4-A:1,,,,,,,
S2-GLOVES-R4-A_Reward,,,,,,,,,,,S2-GLOVES-R4-A:1,,,,,,,
S3-GLOVES-R4-A_Reward,,,,,,,,,,,S3-GLOVES-R4-A:1,,,,,,,
S4-GLOVES-R4-A_Reward,,,,,,,,,,,S4-GLOVES-R4-A:1,,,,,,,
S5-GLOVES-R4-A_Reward,,,,,,,,,,,S5-GLOVES-R4-A:1,,,,,,,
S6-GLOVES-R4-A_Reward,,,,,,,,,,,S6-GLOVES-R4-A:1,,,,,,,
S7-GLOVES-R4-A_Reward,,,,,,,,,,,S7-GLOVES-R4-A:1,,,,,,,
S8-GLOVES-R4-A_Reward,,,,,,,,,,,S8-GLOVES-R4-A:1,,,,,,,
S9-GLOVES-R4-A_Reward,,,,,,,,,,,S9-GLOVES-R4-A:1,,,,,,,
S10-GLOVES-R4-A_Reward,,,,,,,,,,,S10-GLOVES-R4-A:1,,,,,,,
S1-HEAD-R4-A_Reward,,,,,,,,,,,S1-HEAD-R4-A:1,,,,,,,
S2-HEAD-R4-A_Reward,,,,,,,,,,,S2-HEAD-R4-A:1,,,,,,,
S3-HEAD-R4-A_Reward,,,,,,,,,,,S3-HEAD-R4-A:1,,,,,,,
S4-HEAD-R4-A_Reward,,,,,,,,,,,S4-HEAD-R4-A:1,,,,,,,
S5-HEAD-R4-A_Reward,,,,,,,,,,,S5-HEAD-R4-A:1,,,,,,,
S6-HEAD-R4-A_Reward,,,,,,,,,,,S6-HEAD-R4-A:1,,,,,,,
S7-HEAD-R4-A_Reward,,,,,,,,,,,S7-HEAD-R4-A:1,,,,,,,
S8-HEAD-R4-A_Reward,,,,,,,,,,,S8-HEAD-R4-A:1,,,,,,,
S9-HEAD-R4-A_Reward,,,,,,,,,,,S9-HEAD-R4-A:1,,,,,,,
S10-HEAD-R4-A_Reward,,,,,,,,,,,S10-HEAD-R4-A:1,,,,,,,
S1-PANTS-R4-A_Reward,,,,,,,,,,,S1-PANTS-R4-A:1,,,,,,,
S2-PANTS-R4-A_Reward,,,,,,,,,,,S2-PANTS-R4-A:1,,,,,,,
S3-PANTS-R4-A_Reward,,,,,,,,,,,S3-PANTS-R4-A:1,,,,,,,
S4-PANTS-R4-A_Reward,,,,,,,,,,,S4-PANTS-R4-A:1,,,,,,,
S5-PANTS-R4-A_Reward,,,,,,,,,,,S5-PANTS-R4-A:1,,,,,,,
S6-PANTS-R4-A_Reward,,,,,,,,,,,S6-PANTS-R4-A:1,,,,,,,
S7-PANTS-R4-A_Reward,,,,,,,,,,,S7-PANTS-R4-A:1,,,,,,,
S8-PANTS-R4-A_Reward,,,,,,,,,,,S8-PANTS-R4-A:1,,,,,,,
S9-PANTS-R4-A_Reward,,,,,,,,,,,S9-PANTS-R4-A:1,,,,,,,
S10-PANTS-R4-A_Reward,,,,,,,,,,,S10-PANTS-R4-A:1,,,,,,,
S1-RINGS-R4-B_Reward,,,,,,,,,,,S1-RINGS-R4-B:1,,,,,,,
S3-RINGS-R4-B_Reward,,,,,,,,,,,S3-RINGS-R4-B:1,,,,,,,
S5-RINGS-R4-B_Reward,,,,,,,,,,,S5-RINGS-R4-B:1,,,,,,,
S7-RINGS-R4-B_Reward,,,,,,,,,,,S7-RINGS-R4-B:1,,,,,,,
S9-RINGS-R4-B_Reward,,,,,,,,,,,S9-RINGS-R4-B:1,,,,,,,
S1-RINGS-R4-A_Reward,,,,,,,,,,,S1-RINGS-R4-A:1,,,,,,,
S2-RINGS-R4-A_Reward,,,,,,,,,,,S2-RINGS-R4-A:1,,,,,,,
S3-RINGS-R4-A_Reward,,,,,,,,,,,S3-RINGS-R4-A:1,,,,,,,
S4-RINGS-R4-A_Reward,,,,,,,,,,,S4-RINGS-R4-A:1,,,,,,,
S5-RINGS-R4-A_Reward,,,,,,,,,,,S5-RINGS-R4-A:1,,,,,,,
S6-RINGS-R4-A_Reward,,,,,,,,,,,S6-RINGS-R4-A:1,,,,,,,
S7-RINGS-R4-A_Reward,,,,,,,,,,,S7-RINGS-R4-A:1,,,,,,,
S8-RINGS-R4-A_Reward,,,,,,,,,,,S8-RINGS-R4-A:1,,,,,,,
S9-RINGS-R4-A_Reward,,,,,,,,,,,S9-RINGS-R4-A:1,,,,,,,
S10-RINGS-R4-A_Reward,,,,,,,,,,,S10-RINGS-R4-A:1,,,,,,,
S1-SHIELD-R4-A_Reward,,,,,,,,,,,S1-SHIELD-R4-A:1,,,,,,,
S2-SHIELD-R4-A_Reward,,,,,,,,,,,S2-SHIELD-R4-A:1,,,,,,,
S3-SHIELD-R4-A_Reward,,,,,,,,,,,S3-SHIELD-R4-A:1,,,,,,,
S4-SHIELD-R4-A_Reward,,,,,,,,,,,S4-SHIELD-R4-A:1,,,,,,,
S5-SHIELD-R4-A_Reward,,,,,,,,,,,S5-SHIELD-R4-A:1,,,,,,,
S6-SHIELD-R4-A_Reward,,,,,,,,,,,S6-SHIELD-R4-A:1,,,,,,,
S7-SHIELD-R4-A_Reward,,,,,,,,,,,S7-SHIELD-R4-A:1,,,,,,,
S8-SHIELD-R4-A_Reward,,,,,,,,,,,S8-SHIELD-R4-A:1,,,,,,,
S9-SHIELD-R4-A_Reward,,,,,,,,,,,S9-SHIELD-R4-A:1,,,,,,,
S10-SHIELD-R4-A_Reward,,,,,,,,,,,S10-SHIELD-R4-A:1,,,,,,,
S1-WEAPONS-R4-A_Reward,,,,,,,,,,,S1-WEAPONS-R4-A:1,,,,,,,
S1-WEAPONS-R4-B_Reward,,,,,,,,,,,S1-WEAPONS-R4-B:1,,,,,,,
S2-WEAPONS-R4-A_Reward,,,,,,,,,,,S2-WEAPONS-R4-A:1,,,,,,,
S3-WEAPONS-R4-A_Reward,,,,,,,,,,,S3-WEAPONS-R4-A:1,,,,,,,
S3-WEAPONS-R4-B_Reward,,,,,,,,,,,S3-WEAPONS-R4-B:1,,,,,,,
S4-WEAPONS-R4-A_Reward,,,,,,,,,,,S4-WEAPONS-R4-A:1,,,,,,,
S5-WEAPONS-R4-A_Reward,,,,,,,,,,,S5-WEAPONS-R4-A:1,,,,,,,
S5-WEAPONS-R4-B_Reward,,,,,,,,,,,S5-WEAPONS-R4-B:1,,,,,,,
S6-WEAPONS-R4-A_Reward,,,,,,,,,,,S6-WEAPONS-R4-A:1,,,,,,,
S7-WEAPONS-R4-A_Reward,,,,,,,,,,,S7-WEAPONS-R4-A:1,,,,,,,
S7-WEAPONS-R4-B_Reward,,,,,,,,,,,S7-WEAPONS-R4-B:1,,,,,,,
S8-WEAPONS-R4-A_Reward,,,,,,,,,,,S8-WEAPONS-R4-A:1,,,,,,,
S9-WEAPONS-R4-A_Reward,,,,,,,,,,,S9-WEAPONS-R4-A:1,,,,,,,
S9-WEAPONS-R4-B_Reward,,,,,,,,,,,S9-WEAPONS-R4-B:1,,,,,,,
S10-WEAPONS-R4-A_Reward,,,,,,,,,,,S10-WEAPONS-R4-A:1,,,,,,,
S11-WEAPONS-R2-A_Reward,,,,,,,,,,,S11-WEAPONS-R2-A:1,,,,,,,
S11-SHIELD-R2-A_Reward,,,,,,,,,,,S11-SHIELD-R2-A:1,,,,,,,
S11-RINGS-R2-A_Reward,,,,,,,,,,,S11-RINGS-R2-A:1,,,,,,,
S11-PANTS-R2-A_Reward,,,,,,,,,,,S11-PANTS-R2-A:1,,,,,,,
S11-HEAD-R2-A_Reward,,,,,,,,,,,S11-HEAD-R2-A:1,,,,,,,
S11-GLOVES-R2-A_Reward,,,,,,,,,,,S11-GLOVES-R2-A:1,,,,,,,
S11-CHEST-R2-A_Reward,,,,,,,,,,,S11-CHEST-R2-A:1,,,,,,,
S11-BOOTS-R2-A_Reward,,,,,,,,,,,S11-BOOTS-R2-A:1,,,,,,,
skill-T3-1-Dragon-HP_Reward,,,,,,,,,,,skill-T3-1-Dragon-HP:1,,,,,,,
skill-T1-2-Dragon-XP_Reward,,,,,,,,,,,skill-T1-2-Dragon-XP:1,,,,,,,
skill-T1-3-Rider-XP_Reward,,,,,,,,,,,skill-T1-3-Rider-XP:1,,,,,,,
skill-T2-4-Dragon-Attack_Reward,,,,,,,,,,,skill-T2-4-Dragon-Attack:1,,,,,,,
skill-T2-5-Dragon-TotemDebuffResist_Reward,,,,,,,,,,,skill-T2-5-Dragon-TotemDebuffResist:1,,,,,,,
skill-T2-6-Dragon-TrainingCost_Reward,,,,,,,,,,,skill-T2-6-Dragon-TrainingCost:1,,,,,,,
skill-T2-7-Rider-XP_Reward,,,,,,,,,,,skill-T2-7-Rider-XP:1,,,,,,,
skill-T2-8-Dragon-XP_Reward,,,,,,,,,,,skill-T2-8-Dragon-XP:1,,,,,,,
skill-T2-9-Dragon-HealingTime_Reward,,,,,,,,,,,skill-T2-9-Dragon-HealingTime:1,,,,,,,
skill-T3-10-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-10-Dragon-ResistTower:1,,,,,,,
skill-T3-11-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-11-Dragon-ResistTower:1,,,,,,,
skill-T3-12-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-12-Dragon-ResistTower:1,,,,,,,
skill-T4-13-Dragon-HPClass_Reward,,,,,,,,,,,skill-T4-13-Dragon-HPClass:1,,,,,,,
skill-T4-14-Dragon-AttackClass_Reward,,,,,,,,,,,skill-T4-14-Dragon-AttackClass:1,,,,,,,
skill-T3-15-Dragon-Attack_Reward,,,,,,,,,,,skill-T3-15-Dragon-Attack:1,,,,,,,
skill-T1-16-Dragon-XP_Reward,,,,,,,,,,,skill-T1-16-Dragon-XP:1,,,,,,,
skill-T1-17-Rider-XP_Reward,,,,,,,,,,,skill-T1-17-Rider-XP:1,,,,,,,
skill-T2-18-Dragon-HP_Reward,,,,,,,,,,,skill-T2-18-Dragon-HP:1,,,,,,,
skill-T2-19-Dragon-TotemDebuffResist_Reward,,,,,,,,,,,skill-T2-19-Dragon-TotemDebuffResist:1,,,,,,,
skill-T2-20-Dragon-TrainingCost_Reward,,,,,,,,,,,skill-T2-20-Dragon-TrainingCost:1,,,,,,,
skill-T2-21-Rider-XP_Reward,,,,,,,,,,,skill-T2-21-Rider-XP:1,,,,,,,
skill-T2-22-Dragon-XP_Reward,,,,,,,,,,,skill-T2-22-Dragon-XP:1,,,,,,,
skill-T2-23-Dragon-HealingTime_Reward,,,,,,,,,,,skill-T2-23-Dragon-HealingTime:1,,,,,,,
skill-T3-24-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-24-Dragon-ResistTower:1,,,,,,,
skill-T3-25-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-25-Dragon-ResistTower:1,,,,,,,
skill-T3-26-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-26-Dragon-ResistTower:1,,,,,,,
skill-T4-27-Dragon-HPClass_Reward,,,,,,,,,,,skill-T4-27-Dragon-HPClass:1,,,,,,,
skill-T4-28-Dragon-AttackClass_Reward,,,,,,,,,,,skill-T4-28-Dragon-AttackClass:1,,,,,,,
skill-T3-29-Dragon-Attack_Reward,,,,,,,,,,,skill-T3-29-Dragon-Attack:1,,,,,,,
skill-T1-30-Dragon-XP_Reward,,,,,,,,,,,skill-T1-30-Dragon-XP:1,,,,,,,
skill-T1-31-Rider-XP_Reward,,,,,,,,,,,skill-T1-31-Rider-XP:1,,,,,,,
skill-T2-32-Dragon-HP_Reward,,,,,,,,,,,skill-T2-32-Dragon-HP:1,,,,,,,
skill-T2-33-Dragon-TotemDebuffResist_Reward,,,,,,,,,,,skill-T2-33-Dragon-TotemDebuffResist:1,,,,,,,
skill-T2-34-Dragon-TrainingCost_Reward,,,,,,,,,,,skill-T2-34-Dragon-TrainingCost:1,,,,,,,
skill-T2-35-Rider-XP_Reward,,,,,,,,,,,skill-T2-35-Rider-XP:1,,,,,,,
skill-T2-36-Dragon-XP_Reward,,,,,,,,,,,skill-T2-36-Dragon-XP:1,,,,,,,
skill-T2-37-Dragon-HealingTime_Reward,,,,,,,,,,,skill-T2-37-Dragon-HealingTime:1,,,,,,,
skill-T3-38-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-38-Dragon-ResistTower:1,,,,,,,
skill-T3-39-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-39-Dragon-ResistTower:1,,,,,,,
skill-T3-40-Dragon-ResistTower_Reward,,,,,,,,,,,skill-T3-40-Dragon-ResistTower:1,,,,,,,
skill-T4-41-Dragon-HPClass_Reward,,,,,,,,,,,skill-T4-41-Dragon-HPClass:1,,,,,,,
skill-T4-42-Dragon-AttackClass_Reward,,,,,,,,,,,skill-T4-42-Dragon-AttackClass:1,,,,,,,
skill-T3-43-Tower-HP_Reward,,,,,,,,,,,skill-T3-43-Tower-HP:1,,,,,,,
skill-T1-44-Tower-Attack_Reward,,,,,,,,,,,skill-T1-44-Tower-Attack:1,,,,,,,
skill-T1-45-Tower-HP_Reward,,,,,,,,,,,skill-T1-45-Tower-HP:1,,,,,,,
skill-T2-46-ETC-ResearchSpeed_Reward,,,,,,,,,,,skill-T2-46-ETC-ResearchSpeed:1,,,,,,,
skill-T2-47-Tower-HPTower_Reward,,,,,,,,,,,skill-T2-47-Tower-HPTower:1,,,,,,,
skill-T2-48-Tower-HPTower_Reward,,,,,,,,,,,skill-T2-48-Tower-HPTower:1,,,,,,,
skill-T2-49-Tower-AttackTower_Reward,,,,,,,,,,,skill-T2-49-Tower-AttackTower:1,,,,,,,
skill-T2-50-Tower-ConstructionUpgradeSpeed_Reward,,,,,,,,,,,skill-T2-50-Tower-ConstructionUpgradeSpeed:1,,,,,,,
skill-T3-51-Production-ProductionAmountWood_Reward,,,,,,,,,,,skill-T3-51-Production-ProductionAmountWood:1,,,,,,,
skill-T3-52-Production-ProductionAmountHog_Reward,,,,,,,,,,,skill-T3-52-Production-ProductionAmountHog:1,,,,,,,
skill-T3-53-Tower-ConstructionUpgradeSpeed_Reward,,,,,,,,,,,skill-T3-53-Tower-ConstructionUpgradeSpeed:1,,,,,,,
skill-T4-54-Tower-HPTower_Reward,,,,,,,,,,,skill-T4-54-Tower-HPTower:1,,,,,,,
skill-T4-55-Tower-AttackTower_Reward,,,,,,,,,,,skill-T4-55-Tower-AttackTower:1,,,,,,,
skill-T4-56-Tower-HPTower_Reward,,,,,,,,,,,skill-T4-56-Tower-HPTower:1,,,,,,,
skill-T4-57-Tower-AttackTower_Reward,,,,,,,,,,,skill-T4-57-Tower-AttackTower:1,,,,,,,
valuePack_wm_1a,,cmCrystalfire:12300|cmCrystalice:12300|cmCrystalwind:12300|cmCrystalearth:12300|cmCrystaldark:12300|craftingScroll:820,,,,,,,,,,,,,,,,
valuePack_wm_1b,,bullhorn:5|diamond:6000,,,,,,,,,,,,,,,,
valuePack_wm_1c,,redRiderShard:8|diamond:6000,,,,,,,,,,,,,,,,
valuePack_wm_1d,,bullhorn:15|atlasChest:1,,,,,,,,,,,,,,,,
valuePack_wm_1e,,redRiderShard:20|diamond:3000,,,,,,,,,,,,,,,,
valuePack_wm_2a,,cmCrystalfire:35000|cmCrystalice:35000|cmCrystalwind:35000|cmCrystalearth:35000|cmCrystaldark:35000|craftingScroll:2300,,,,,,,,,,,,,,,,
valuePack_wm_2b,,bullhorn:15|diamond:16000,,,,,,,,,,,,,,,,
valuePack_wm_2c,,redRiderShard:20|diamond:16000,,,,,,,,,,,,,,,,
valuePack_wm_2d,,bullhorn:40|atlasChest:3,,,,,,,,,,,,,,,,
valuePack_wm_2e,,redRiderShard:50|diamond:8000|atlasChest:2,,,,,,,,,,,,,,,,
valuePack_wm_2f,,cmCrystalfire:153000|craftingScroll:1400,,,,,,,,,,,,,,,,
valuePack_wm_2g,,cmCrystalearth:153000|craftingScroll:1400,,,,,,,,,,,,,,,,
valuePack_wm_2h,,cmCrystalwind:153000|craftingScroll:1400,,,,,,,,,,,,,,,,
valuePack_wm_2i,,cmCrystalice:153000|craftingScroll:1400,,,,,,,,,,,,,,,,
valuePack_wm_2j,,cmCrystaldark:153000|craftingScroll:1400,,,,,,,,,,,,,,,,
valuePack_wm_2k,,diamond:30000,,,,,,,,,,,,,,,,
valuePack_wm_2l,,cmCrystalearth:28000,,,,,,,,,IAP1-BOOTS-R2-A:1|IAP1-CHEST-R2-A:1|IAP1-GLOVES-R2-A:1|IAP1-HEAD-R2-A:1|IAP1-PANTS-R2-A:1|IAP1-RINGS-R2-A:1|IAP1-SHIELD-R2-A:1|IAP1-WEAPONS-R2-A:1,,,,,,,
