identifier,currencies,h
water_932,chineseDragon02:16,
water_933,chineseDragon02:16,
water_934,chineseDragon02:16,
water_935,chineseDragon02:16,
water_936,chineseDragon02:16,
water_937,chineseDragon02:16,
water_938,chineseDragon02:16,
water_939,chineseDragon02:16,
water_940,chineseDragon02:16,
water_941,chineseDragon02:16,
water_942,chineseDragon02:16,
water_943,chineseDragon02:16,
water_944,chineseDragon02:16,
water_945,chineseDragon02:16,
water_946,chineseDragon02:16,
water_947,chineseDragon02:16,
water_948,chineseDragon02:16,
water_949,chineseDragon02:16,
water_950,chineseDragon02:16,
water_951,chineseDragon02:16,
water_952,chineseDragon02:16,
water_953,chineseDragon02:16,
water_954,chineseDragon02:16,
water_955,chineseDragon02:16,
water_956,chineseDragon02:16,
water_957,chineseDragon02:16,
water_958,chineseDragon02:16,
water_959,chineseDragon02:16,
water_960,chineseDragon02:16,
water_961,chineseDragon02:16,
water_962,chineseDragon02:16,
water_963,chineseDragon02:16,
water_964,chineseDragon02:16,
water_965,chineseDragon02:16,
water_966,chineseDragon02:16,
water_967,chineseDragon02:16,
water_968,chineseDragon02:16,
water_969,chineseDragon02:16,
water_970,chineseDragon02:16,
water_971,chineseDragon02:16,
water_972,chineseDragon02:16,
water_973,chineseDragon02:16,
water_974,chineseDragon02:16,
water_975,chineseDragon02:16,
water_976,chineseDragon02:16,
water_977,chineseDragon02:16,
water_978,chineseDragon02:16,
water_979,chineseDragon02:16,
water_980,chineseDragon02:16,
water_981,chineseDragon02:16,
water_982,chineseDragon02:16,
water_983,chineseDragon02:16,
water_984,chineseDragon02:16,
water_985,chineseDragon02:16,
water_986,chineseDragon02:16,
water_987,chineseDragon02:16,
water_988,chineseDragon02:16,
water_989,chineseDragon02:16,
water_990,chineseDragon02:16,
water_991,chineseDragon02:16,
water_992,chineseDragon02:16,
water_993,chineseDragon02:16,
water_994,chineseDragon02:16,
water_995,chineseDragon02:16,
water_996,chineseDragon02:16,
water_997,chineseDragon02:16,
water_998,chineseDragon02:16,
water_999,chineseDragon02:16,!@#ccahmngjdknkmbie
