identifier,androidSpellOrdering,iOSSpellOrdering,h
T4C2WIdragon,curePoison:0|chargedShield:1|archerResist01:2|cannonResist01:3,curePoison:0|chargedShield:1|archerResist01:2|cannonResist01:3,
T4C3HDdragon,instantKill:0|cloak:1|trebuchetResist01:2,cloak:0|instantKill:1|trebuchetResist01:2,
T4C3SIdragon,invertSpell:0|aoeSpell:1|lightningResist01:2,invertSpell:0|aoeSpell:1|lightningResist01:2,
T4C3SUdragon,chainLightning:0|invincibleSpell:1|invertSpell:2|lightningResist01:3,invincibleSpell:0|invertSpell:1|chainLightning:2|lightningResist01:3,
T4C3WEdragon,battlecry:0|ballistaResist01:1,battlecry:0|ballistaResist01:1,
T4C3WFdragon,healDragon:0|cannonResist01:1,healDragon:0|cannonResist01:1,
T4GGSDdragon,chainLightning:0|invertSpell:1|summonAIDragon:2|stormResist01:3,invertSpell:0|chainLightning:1|summonAIDragon:2|stormResist01:3,
T5C1HEdragon,cloak:0|lockdown:1|kamikaze:2|archerResist01:3,cloak:0|lockdown:1|kamikaze:2|archerResist01:3,
T5C1HIdragon,dodge:0|cannonResist01:1,dodge:0|cannonResist01:1,
T5C1SFdragon,shortCircuit:0|ballistaResist01:1,shortCircuit:0|ballistaResist01:1,
T5C1WDdragon,curePoison:0|healDragon:1|stormResist01:2,curePoison:0|healDragon:1|stormResist01:2,
T5C1WUdragon,energySyphon:0|stormResist01:1,energySyphon:0|stormResist01:1,
T5C2HDdragon,healingMark:0|dodge:1|frenzySpell:2|ballistaResist01:3,healingMark:0|dodge:1|frenzySpell:2|ballistaResist01:3,
T5C2SEdragon,aoeSpell:0|trebuchetResist01:1,aoeSpell:0|trebuchetResist01:1,
T5C2SUdragon,invertSpell:0|shortCircuit:1|ballistaResist01:2,invertSpell:0|shortCircuit:1|ballistaResist01:2,
T5C2WIdragon,chargedShield:0|battlecry:1|lightningResist01:2,chargedShield:0|battlecry:1|lightningResist01:2,
T5C3HFdragon,lockdown:0|kamikaze:1|lightningResist01:2,lockdown:0|kamikaze:1|lightningResist01:2,
T5C3HUdragon,cloak:0|healingMark:1|kamikaze:2|cannonResist01:3,cloak:0|healingMark:1|kamikaze:2|cannonResist01:3,
T5C3SDdragon,invincibleSpell:0|shortCircuit:1|aoeSpell:2|cannonResist01:3,shortCircuit:0|invincibleSpell:1|aoeSpell:2|cannonResist01:3,
T5C3SIdragon,freezeSpell:0|invertSpell:1|shortCircuit:2|stormResist01:3,invertSpell:0|shortCircuit:1|freezeSpell:2|stormResist01:3,
T5C3WEdragon,chargedShield:0|healDragon:1|hurricane:2|lightningResist01:3,chargedShield:0|healDragon:1|hurricane:2|lightningResist01:3,
T5C3WFdragon,chargedShield:0|hurricane:1|energySyphon:2|ballistaResist01:3,chargedShield:0|hurricane:1|energySyphon:2|ballistaResist01:3,
T5GGWUdragon,curePoison:0|stoneskin:1|energySyphon:2|archerResist01:3,curePoison:0|stoneskin:1|energySyphon:2|archerResist01:3,
T6C1HEdragon,sacrifice:0|frenzySpell:1|cannonResist01:2,sacrifice:0|frenzySpell:1|cannonResist01:2,
T6C1SFdragon,thunderstorm:0|stormResist01:1,thunderstorm:0|stormResist01:1,
T6C1SIdragon,thunderstorm:0|chainLightning:1|lightningResist01:2,chainLightning:0|thunderstorm:1|lightningResist01:2,
T6C1WDdragon,intimidatingRoar:0|archerResist01:1,intimidatingRoar:0|archerResist01:1,
T6C1WFdragon,intimidatingRoar:0|energySyphon:1|ballistaResist01:2,intimidatingRoar:0|energySyphon:1|ballistaResist01:2,
T6C1WIdragon,battlecry:0|ballistaResist01:1,battlecry:0|ballistaResist01:1,
T6C2HUdragon,stealEssence:0|sacrifice:1|kamikaze:2,stealEssence:0|sacrifice:1|kamikaze:2,
T6C3HIdragon,stealEssence:0|sacrifice:1|cloak:2|lightningResist01:3,stealEssence:0|sacrifice:1|cloak:2|lightningResist01:3,
T6C3HUdragon,stealEssence:0|healingMark:1|cannonResist01:2|ballistaResist01:3,stealEssence:0|healingMark:1|cannonResist01:2|ballistaResist01:3,
T6C3SDdragon,freezeSpell:0|thunderstorm:1|summonAIDragon:2|archerResist01:3,freezeSpell:0|thunderstorm:1|summonAIDragon:2|archerResist01:3,
T6C3SEdragon,chainLightning:0|invincibleSpell:1|shortCircuit:2|cannonResist01:3,invincibleSpell:0|shortCircuit:1|chainLightning:2|cannonResist01:3,
T6C3WFdragon,intimidatingRoar:0|healDragon:1|trebuchetResist01:2|lightningResist01:3,intimidatingRoar:0|healDragon:1|trebuchetResist01:2|lightningResist01:3,
T7C1HFdragon,galvanicOverloadSpell:0|iceTurretResist01:1,galvanicOverloadSpell:0|iceTurretResist01:1,
T7C1SIdragon,frozenTomb:0|archerResist01:1,frozenTomb:0|archerResist01:1,
T7C1WDdragon,seethingSpark:0|fireTurretResist01:1,seethingSpark:0|fireTurretResist01:1,
T7C2HDdragon,stealEssence:0|galvanicOverloadSpell:1|trebuchetResist01:2,stealEssence:0|galvanicOverloadSpell:1|trebuchetResist01:2,
T7C2HFdragon,healingMark:0|cloak:1|fireTurretResist01:2,cloak:0|healingMark:1|fireTurretResist01:2,
T7C2SEdragon,chainLightning:0|fluxSpell:1|ballistaResist01:2,chainLightning:0|fluxSpell:1|ballistaResist01:2,
T7C2WIdragon,intimidatingRoar:0|battlecry:1|cannonResist01:2,intimidatingRoar:0|battlecry:1|cannonResist01:2,
T7C3HDdragon,stealEssence:0|cloak:1|galvanicOverloadSpell:2|cannonResist01:3,stealEssence:0|galvanicOverloadSpell:1|cloak:2|cannonResist01:3,
T7C3SFdragon,risingPhoenix:0|aoeSpell:1|fluxSpell:2|archerResist01:3,aoeSpell:0|fluxSpell:1|risingPhoenix:2|archerResist01:3,
T7C3SIdragon,invertSpell:0|fluxSpell:1|frozenTomb:2|iceTurretResist01:3,invertSpell:0|fluxSpell:1|frozenTomb:2|iceTurretResist01:3,
T7C3WEdragon,seethingSpark:0|hurricane:1|lightningResist01:2|stormResist01:3,seethingSpark:0|hurricane:1|lightningResist01:2|stormResist01:3,
T7C3WIdragon,seethingSpark:0|chargedShield:1|trebuchetResist01:2|ballistaResist01:3,seethingSpark:0|chargedShield:1|trebuchetResist01:2|ballistaResist01:3,
T8C3HFdragon,stealEssence:0|cloak:1|crumbleToDust:2|ballistaResist01:3,stealEssence:0|cloak:1|crumbleToDust:2|ballistaResist01:3,
T8C3HIdragon,stealEssence:0|sacrifice:1|desiccatingSand:2|fireTurretResist01:3,stealEssence:0|sacrifice:1|desiccatingSand:2|fireTurretResist01:3,
T8C3SAdragon,umbralSpike:0|risingPhoenix:1|fluxSpell:2|stormResist01:3,umbralSpike:0|fluxSpell:1|risingPhoenix:2|stormResist01:3,
T8C3SIdragon,nocturnalFissure:0|frozenTomb:1|thunderstorm:2|trebuchetResist01:3,nocturnalFissure:0|thunderstorm:1|frozenTomb:2|trebuchetResist01:3,
T8C3WDdragon,heatedPiercingBreath:0|intimidatingRoar:1|iceTurretResist01:2|cannonResist01:3,heatedPiercingBreath:0|intimidatingRoar:1|iceTurretResist01:2|cannonResist01:3,
T8C3WEdragon,seethingSpark:0|heatBlastShield:1|archerResist01:2|lightningResist01:3,seethingSpark:0|heatBlastShield:1|archerResist01:2|lightningResist01:3,
T8C4HEdragon,borrowTime:0|timeShift:1|desiccatingSand:2|crumbleToDust:3,borrowTime:0|timeShift:1|desiccatingSand:2|crumbleToDust:3,
T8C4SDdragon,shadowApophet:0|umbralSpike:1|nightfall:2|nocturnalFissure:3,shadowApophet:0|nightfall:1|umbralSpike:2|nocturnalFissure:3,
T8C4WFdragon,daybreak:0|radiance:1|heatedPiercingBreath:2|heatBlastShield:3,daybreak:0|radiance:1|heatedPiercingBreath:2|heatBlastShield:3,
T9C3HEdragon,stealEssence:0|desiccatingSand:1|crystallineShield:2|fireTurretResist01:3,stealEssence:0|desiccatingSand:1|crystallineShield:2|fireTurretResist01:3,
T9C3HIdragon,cloak:0|crumbleToDust:1|crystallineShield:2|iceTurretResist01:3,cloak:0|crystallineShield:1|crumbleToDust:2|iceTurretResist01:3,
T9C3SDdragon,umbralSpike:0|northernLights:1|thunderstorm:2|archerResist01:3,umbralSpike:0|thunderstorm:1|northernLights:2|archerResist01:3,
T9C3SFdragon,fluxSpell:0|nocturnalFissure:1|southernCross:2|cannonResist01:3,fluxSpell:0|nocturnalFissure:1|southernCross:2|cannonResist01:3,
T9C3WDdragon,maleficBreath:0|seethingSpark:1|heatBlastShield:2|trebuchetResist01:3,seethingSpark:0|maleficBreath:1|heatBlastShield:2|trebuchetResist01:3,
T9C3WIdragon,heatedPiercingBreath:0|dreadfulRoar:1|battlecry:2|lightningResist01:3,heatedPiercingBreath:0|dreadfulRoar:1|battlecry:2|lightningResist01:3,
T9C4HIdragon,frostbite:0|shattershard:1|crystallineShield:2|iceTurretResist01:3,frostbite:0|crystallineShield:1|shattershard:2|iceTurretResist01:3,
T9C4SEdragon,cosmicEnergy:0|celestialDance:1|northernLights:2|southernCross:3,cosmicEnergy:0|celestialDance:1|northernLights:2|southernCross:3,
T9C4WWdragon,devourHope:0|maleficBreath:1|gloomAndDoom:2|dreadfulRoar:3,gloomAndDoom:0|devourHope:1|maleficBreath:2|dreadfulRoar:3,
tarandDragon,chargedShield:0|intimidatingRoar:1|cannonResist01:2|fireTurretResist01:3,intimidatingRoar:0|chargedShield:1|cannonResist01:2|fireTurretResist01:3,
tenguDragon,umbralSpike:0|frenzySpell:1|northernLights:2|lightningResist01:3,umbralSpike:0|northernLights:1|frenzySpell:2|lightningResist01:3,
twitchFanDragon,umbralSpike:0|nocturnalFissure:1|dreadfulRoar:2|risingPhoenix:3,umbralSpike:0|dreadfulRoar:1|risingPhoenix:2|nocturnalFissure:3,
yaziDragon,intimidatingRoar:0|stoneskin:1|lightningResist01:2,intimidatingRoar:0|stoneskin:1|lightningResist01:2,
ZalonLTODragon,chargedShield:0|healDragon:1|ballistaResist01:2,healDragon:0|chargedShield:1|ballistaResist01:2,
E19Q3DiscountDragon,darkFlakResist01:3|freezeSpell:2|bloodFury:1|invincibleSpell:0,darkFlakResist01:3|freezeSpell:2|bloodFury:1|invincibleSpell:0,
E19Q3InvokerDragon,darkFlakResist01:3|maleficBreath:2|dissipate:1|southernCross:0,darkFlakResist01:3|maleficBreath:2|dissipate:1|southernCross:0,
E19Q3MythicWarriorDragon,elementalResist01:3|shieldAssault:2|intimidatingRoar:1|fluxSpell:0,elementalResist01:3|shieldAssault:2|intimidatingRoar:1|fluxSpell:0,
E19Q3MythicHunterDragon,mindControl:3|dissipate:2|umbralSpike:1|adaptiveBreath:0,mindControl:3|dissipate:2|umbralSpike:1|adaptiveBreath:0,!@#ogjpgekmadbefeld
