identifier,inBundle,displayName,defaultSceneFile,dragonClass,dragonType,defaultRarity,elementIdentifier,displayDescription,stableHint,defaultDiscoveredImage,undiscoveredImage,defaultIconFilename,iconFilenameLocked,upgradeCSVFileName,fidgets,unlockAchievement,attackStartVal,sellBasePrice,unavailableSpellTypes,showcaseNodeLocation,isAttainable,sortPriority,minDragonLevelForBreeding,minBreedingCaveBuildingLevelToBreed,incubatingTime,incubationAchievementRequirement,incubationBuildingLevelRequirement,defaultMaxLevel,researchMaxLevelIncrease,eggCurrencyType,eggDisplaySceneFile,defaultAttackBoostRange,defaultHPBoostRange,canSell,canUpgrade,canBeSummoned,deathPenaltyPercentage,defaultTierNumber,priorityWithinTier,showInStable,numberOfFragmentsNeeded,isShrineDragon,isGoldDragon,limitedTimeOfferDragonActiveEvent,limitedTimeOfferDragonParentsInfoFile,isEvolveDragon,canPlaceIntoPerch,isUnbreedableDragon,buffEndTime,h
T4C1HIdragon,0,Noss,drg_stormIce.lvl,hunter,Glacier Drake,4,iceElement,Known for stealthy attacks. Don't turn your back on this one.,Look for the dragon at the breeding grounds,dragon_stormIce_discovered_thumbnail.png,dragon_storm_undiscovered_thumbnail.png,dragonThumbnail_stormIce.png,dragonThumbnail_storm_undiscovered.png,T4C1HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,42,8,4,311040,,4,20,,orangeEggCurrency,egg_orange_V2.lvl,0-0,0-0,1,1,0,15,4,2,1,48,0,0,,,,1,,0,
T4C1WUdragon,0,Hydron,drg_nature_v2.lvl,warrior,Poison Swamp Avatar,4,earthElement,Resistance is futile.,Look for the dragon at the breeding grounds,dragon_nature_v2_discovered_thumbnail.png,dragon_nature_v2_undiscovered_thumbnail.png,dragonThumbnail_nature_v2.png,dragonThumbnail_nature_undiscovered.png,T4C1WUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,43,8,4,311040,,4,20,,orangeEggCurrency,egg_orange_V3.lvl,0-0,0-0,1,1,0,15,4,3,1,48,0,0,,,,1,,0,
T4C1SDdragon,0,Slynx,drg_metalSorcerer2_v1.lvl,sorcerer,Jagged Serpent,0,darkElement,Black as night and just as dangerous.,Look for the dragon at the breeding grounds,dragon_metalSorcerer2_v1_discovered_thumbnail.png,dragon_metalSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_metalSorcerer_v1.png,dragonThumbnail_metalSorcerer_undiscovered.png,T4C1SDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,44,4,4,75600,,4,10,,orangeEggCurrency,egg_orange_V4.lvl,0-0,0-0,1,1,0,15,4,4,1,,0,0,,,,1,,0,
T4C1HEdragon,0,Habrok,drg_undead_spectral_v1.lvl,hunter,Blasting Dragon,3,darkElement,Forged from the earth. It is familiar with the powers of elemental fire.,Look for the dragon at the breeding grounds,dragon_spectral_v1_discovered_thumbnail.png,dragon_spectral_undiscovered_thumbnail.png,dragonThumbnail_spectral_v1.png,dragonThumbnail_spectral_undiscovered.png,T4C1HEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,45,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V5.lvl,0-0,0-0,1,1,0,15,4,5,1,20,0,0,,,,1,,0,
T4C1HFdragon,0,Volos,drg_fire_brimstone.lvl,hunter,Bristleback Wyvern,0,fireElement,Not your friendly neighborhood dragon.,Look for the dragon at the breeding grounds,dragon_fire_brimstone_discovered_thumbnail.png,dragon_fire_brimstone_undiscovered_thumbnail.png,dragonThumbnail_fire_brimstone.png,dragonThumbnail_fire_brimstone_undiscovered.png,T4C1HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,46,4,4,75600,,4,10,,orangeEggCurrency,egg_orange_V6.lvl,0-0,0-0,1,1,0,15,4,6,1,12,0,0,,,,1,,0,
T4C2WIdragon,0,Amarok,drg_armoredBlue.lvl,warrior,Knight Dragon,5,iceElement,A prince among dragons. It carries the strength that you would expect of a noble.,Look for the dragon at the breeding grounds,dragon_armoredBlue_discovered_thumbnail.png,dragon_armored_undiscovered_thumbnail.png,dragonThumbnail_armoredBlue.png,dragonThumbnail_armored_undiscovered.png,T4C2WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,47,12,4,423360,,4,30,,orangeEggCurrency,egg_orange_V7.lvl,0-0,0-0,1,1,0,15,4,7,1,60,0,0,,,,1,,0,
T4C2SEdragon,0,Luminark,drg_noblePrey_v1.lvl,sorcerer,Tower Serpent,4,windElement,Feathered and furious. It crushes any resistance with fire and magicks.,Look for the dragon at the breeding grounds,dragon_noblePrey_v1_discovered_thumbnail.png,dragon_noblePrey_v1_undiscovered_thumbnail.png,dragonThumbnail_noblePrey_v1.png,dragonThumbnail_noblePrey_undiscovered.png,T4C2SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,48,8,4,311040,,4,20,,orangeEggCurrency,egg_orange_V8.lvl,0-0,0-0,1,1,0,15,4,8,1,48,0,0,,,,1,,0,
T4C2HUdragon,0,Lucius,drg_undead_zombie_v2.lvl,hunter,Undead Wyvern,3,darkElement,Deadly and fast.,Look for the dragon at the breeding grounds,dragon_zombie_v2_discovered_thumbnail.png,dragon_zombie_undiscovered_thumbnail.png,dragonThumbnail_zombie_v2.png,dragonThumbnail_zombie_undiscovered.png,T4C2HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,49,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V9.lvl,0-0,0-0,1,1,0,15,4,9,1,20,0,0,,,,1,,0,
T4C2WDdragon,0,Bronze,drg_metalWarrior_v3.lvl,warrior,Bronze Dragon,3,windElement,It seeks for more than silver or gold.,Look for the dragon at the breeding grounds,dragon_metalWarrior_v3_discovered_thumbnail.png,dragon_metalWarrior_undiscovered_thumbnail.png,dragonThumbnail_metalWarrior_v3.png,dragonThumbnail_metalWarrior_undiscovered.png,T4C2WDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,50,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V10.lvl,0-0,0-0,1,1,0,15,4,10,1,20,0,0,,,,1,,0,
T4C3SIdragon,0,Septys,drg_elegant_level01.lvl,sorcerer,Pale Phoenix Dragon,4,fireElement,A legendary serpent that sought to enter the heavens.,Look for the dragon at the breeding grounds,dragon_elegant_discovered_thumbnail.png,dragon_elegant_undiscovered_thumbnail.png,dragonThumbnail_elegant.png,dragonThumbnail_elegant_undiscovered.png,T4C3SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,51,8,4,311040,,4,20,,orangeEggCurrency,egg_orange_V11.lvl,0-0,0-0,1,1,0,15,4,11,1,48,0,0,,,,1,,0,
T4C3WFdragon,0,Ruma,drg_fire_v3.lvl,warrior,Holy Armor Dragon,3,fireElement,Avoid its gaze at all costs.,Look for the dragon at the breeding grounds,dragon_fireV3_discovered_thumbnail.png,dragon_fire_undiscovered_thumbnail.png,dragonThumbnail_fireV3.png,dragonThumbnail_fire_undiscovered.png,T4C3WFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,52,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V12.lvl,0-0,0-0,1,1,0,15,4,12,1,20,0,0,,,,1,,0,
T4C3HDdragon,0,Enki,drg_metalHunter_v1.lvl,hunter,Armored Wyvern,4,earthElement,If you shall survive its flame you can't escape its bite.,Look for the dragon at the breeding grounds,dragon_metalHunter_v1_discovered_thumbnail.png,dragon_metalHunter_undiscovered_thumbnail.png,dragonThumbnail_metalHunter_v1.png,dragonThumbnail_metalHunter_undiscovered.png,T4C3HDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,53,8,4,311040,,4,20,,orangeEggCurrency,egg_orange_V13.lvl,0-0,0-0,1,0,0,15,4,13,1,48,0,0,,,,1,,0,
T4C3SUdragon,0,Durga,drg_undead_diablo2_v1.lvl,sorcerer,Great Horned Dragon,5,windElement,Full of hatred. Known for causing great destruction.,Look for the dragon at the breeding grounds,dragon_diablo2_v1_discovered_thumbnail.png,dragon_diablo2_undiscovered_thumbnail.png,dragonThumbnail_diablo_v1.png,dragonThumbnail_diablo_undiscovered.png,T4C3SUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,54,12,4,423360,,4,30,,orangeEggCurrency,egg_orange_V17.lvl,0-0,0-0,1,0,0,15,4,14,1,60,0,0,,,,1,,0,
T4C3WEdragon,0,Kolo,drg_hammerhead.lvl,warrior,Bladed Dragon,3,earthElement,Good luck piercing its near-impervious scales.,Look for the dragon at the breeding grounds,dragon_hammerhead_discovered_thumbnail.png,dragon_hammerhead_undiscovered_thumbnail.png,dragonThumbnail_hammerhead.png,dragonThumbnail_hammerhead_undiscovered.png,T4C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,55,6,4,172800,,4,15,,orangeEggCurrency,egg_orange_V15.lvl,0-0,0-0,1,0,0,15,4,15,1,20,0,0,,,,1,,0,
T4GGSDdragon,0,Darja,drg_metalSorcerer_v2.lvl,sorcerer,Iron Channeler,5,windElement,Nothing gets past its armor of steel.,Look for the dragon at the breeding grounds,dragon_metalSorcerer_v2_discovered_thumbnail.png,dragon_metalSorcerer_undiscovered_thumbnail.png,dragonThumbnail_metalSorcerer_v2.png,dragonThumbnail_metalSorcerer_undiscovered.png,T4GGSDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,56,1,4,3,,4,15,,orangeEggCurrency,egg_orange_V16.lvl,0-0,0-0,1,0,0,15,4,16,1,,0,1,,,,1,,0,
T5C1WUdragon,0,Gaspar,drg_skeletalNightmare.lvl,warrior,Spectral Dragon,3,darkElement,You might not see it at first glance but you'll definitely notice the firey destruction.,Look for the dragon at the breeding grounds,dragon_skeletalNightmare_discovered_thumbnail.png,dragon_skeletal_undiscovered_thumbnail.png,dragonThumbnail_skeletalNightmare.png,dragonThumbnail_skeletal_undiscovered.png,T5C1WUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,57,6,5,336960,,5,15,,greenEggCurrency,egg_green_V13.lvl,0-0,0-0,1,1,0,15,5,1,1,40,0,0,,,,1,,0,
T5C1HEdragon,0,Karna,drg_stormSand.lvl,hunter,Great Sand Drake,5,fireElement,Destructive and stealthy. The perfect combination for this harbringer of destruction.,Look for the dragon at the breeding grounds,dragon_stormSand_discovered_thumbnail.png,dragon_storm_undiscovered_thumbnail.png,dragonThumbnail_stormSand.png,dragonThumbnail_storm_undiscovered.png,T5C1HEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,58,12,5,734400,,5,30,,greenEggCurrency,egg_green_V12.lvl,0-0,0-0,1,1,0,15,5,2,1,96,0,0,,,,1,,0,
T5C1WDdragon,0,Naga,drg_metalWarrior2_v3.lvl,warrior,Iron Dragon,4,earthElement,This dragon will always be able to put itself back together.,Look for the dragon at the breeding grounds,dragon_metalWarrior2_v3_discovered_thumbnail.png,dragon_metalWarrior2_undiscovered_thumbnail.png,dragonThumbnail_metalWarrior2_v3.png,dragonThumbnail_metalWarrior2_undiscovered.png,T5C1WDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,59,8,5,518400,,5,20,,greenEggCurrency,egg_green_V11.lvl,0-0,0-0,1,1,0,15,5,3,1,72,0,0,,,,1,,0,
T5C1SFdragon,0,Nassus,drg_chineseFlame.lvl,sorcerer,Elemental Spirit,3,fireElement,It will wreak havoc amongst your defenses.,Look for the dragon at the breeding grounds,dragon_chineseFlame_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chineseFlame.png,dragonThumbnail_chineseSuper_undiscovered.png,T5C1SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,60,6,5,336960,,5,15,,greenEggCurrency,egg_green_V10.lvl,0-0,0-0,1,1,0,15,5,4,1,40,0,0,,,,1,,0,
T5C1HIdragon,0,Garzev,drg_water_wyvern_v3.lvl,hunter,Abyss Wyvern,3,iceElement,This dragon ruled the seas. Now it rules the skies.,Look for the dragon at the breeding grounds,dragon_water_wyvern_v3_discovered_thumbnail.png,dragon_water_wyvern_v3_undiscovered_thumbnail.png,dragonThumbnail_water_wyvern_v3.png,dragonThumbnail_water_wyvern_undiscovered.png,T5C1HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,61,6,5,336960,,5,15,,greenEggCurrency,egg_green_V9.lvl,0-0,0-0,1,1,0,15,5,5,1,40,0,0,,,,1,,0,
T5C2SEdragon,0,Serabis,drg_earthSorcerer2_v3.lvl,sorcerer,Serrated Serpent,3,earthElement,So many teeth and so many deadly things to do with them...,Look for the dragon at the breeding grounds,dragon_earthSorcerer2_v3_discovered_thumbnail.png,dragon_earthSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_earthSorcerer_v3.png,dragonThumbnail_earthSorcerer_undiscovered.png,T5C2SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,62,6,5,336960,,5,15,,greenEggCurrency,egg_green_V8.lvl,0-0,0-0,1,1,0,15,5,6,1,40,0,0,,,,1,,0,
T5C2HDdragon,0,Urden,drg_metalHunter_v2.lvl,hunter,Reinforced Plate Wyvern,5,earthElement,Finely constructed. Don't even try to take it apart.,Look for the dragon at the breeding grounds,dragon_metalHunter_v2_discovered_thumbnail.png,dragon_metalHunter_undiscovered_thumbnail.png,dragonThumbnail_metalHunter_v2.png,dragonThumbnail_metalHunter_undiscovered.png,T5C2HDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,63,12,5,734400,,5,30,,greenEggCurrency,egg_green_V7.lvl,0-0,0-0,1,1,0,15,5,7,1,96,0,0,,,,1,,0,
T5C2WIdragon,0,Ith,drg_threeHeadedBlue.lvl,warrior,Three-Headed Dragon,4,iceElement,Three heads is better than one. And definitely scarier.,Look for the dragon at the breeding grounds,dragon_threeHeadedBlue_discovered_thumbnail.png,dragon_threeHeaded_undiscovered_thumbnail.png,dragonThumbnail_threeheadedBlue.png,dragonThumbnail_threeheaded_undiscovered.png,T5C2WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,64,8,5,518400,,5,20,,greenEggCurrency,egg_green_V6.lvl,0-0,0-0,1,1,0,15,5,8,1,72,0,0,,,,1,,0,
T5C2SUdragon,0,Elixis,drg_nightcrawler_v1.lvl,sorcerer,Greater Wyrm,4,fireElement,It can use your base against you. Don't look away.,Look for the dragon at the breeding grounds,dragon_nightcrawler_v1_discovered_thumbnail.png,dragon_nightcrawler_undiscovered_thumbnail.png,dragonThumbnail_nightcrawler_v1.png,dragonThumbnail_nightcrawler_undiscovered.png,T5C2SUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,65,8,5,518400,,5,20,,greenEggCurrency,egg_green_V5.lvl,0-0,0-0,1,1,0,15,5,9,1,72,0,0,,,,1,,0,
T5C3HFdragon,0,Pandi,drg_stoneLava_level01.lvl,hunter,Molten Dragon,4,fireElement,Full of magma. With the firepower to prove it.,Look for the dragon at the breeding grounds,dragon_stoneLava_discovered_thumbnail.png,dragon_stone_undiscovered_thumbnail.png,dragonThumbnail_stoneLava.png,dragonThumbnail_stone_undiscovered.png,T5C3HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,66,8,5,518400,,5,20,,greenEggCurrency,egg_green_V4.lvl,0-0,0-0,1,1,0,15,5,10,1,72,0,0,,,,1,,0,
T5C3WFdragon,0,Danzig,drg_armoredRed.lvl,warrior,Royal Dragon,5,fireElement,Regal and bold. It commands your respect.,Look for the dragon at the breeding grounds,dragon_armoredRed_discovered_thumbnail.png,dragon_armored_undiscovered_thumbnail.png,dragonThumbnail_armoredRed.png,dragonThumbnail_armored_undiscovered.png,T5C3WFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,67,12,5,734400,,5,30,,greenEggCurrency,egg_green_V3.lvl,0-0,0-0,1,1,0,15,5,11,1,96,0,0,,,,1,,0,
T5C3SDdragon,0,Nix,drg_metalSorcerer2_v3.lvl,sorcerer,Jagged Serpent,5,windElement,Always on the move. Always looking for the next delicious target.,Look for the dragon at the breeding grounds,dragon_metalSorcerer2_v3_discovered_thumbnail.png,dragon_metalSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_metalSorcerer_v3.png,dragonThumbnail_metalSorcerer_undiscovered.png,T5C3SDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,68,12,5,734400,,5,30,,greenEggCurrency,egg_green_V2.lvl,0-0,0-0,1,1,0,15,5,12,1,96,0,0,,,,1,,0,
T5C3HUdragon,0,Ettin,drg_undead_zombie_v3.lvl,hunter,Great Undead Wyvern,5,darkElement,Pitch black. Unbelievably fast. Lethal.,Look for the dragon at the breeding grounds,dragon_zombie_v3_discovered_thumbnail.png,dragon_zombie_undiscovered_thumbnail.png,dragonThumbnail_zombie_v3.png,dragonThumbnail_zombie_undiscovered.png,T5C3HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,69,12,5,734400,,5,30,,greenEggCurrency,egg_green_V17.lvl,0-0,0-0,1,1,0,15,5,13,1,96,0,0,,,,1,,0,
T5GGWUdragon,0,Carsis,drg_undead_soulless.lvl,warrior,Death Keeper,5,darkElement,Here before many of it brethren. It carries limitless wisdom.,Look for the dragon at the breeding grounds,dragon_soulless_discovered_thumbnail.png,dragon_soulless_undiscovered_thumbnail.png,dragonThumbnail_soulless.png,dragonThumbnail_soulless_undiscovered.png,T5GGWUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,70,1,5,3,,5,15,,greenEggCurrency,egg_green_V15.lvl,0-0,0-0,1,1,0,15,5,14,1,,0,1,,,,1,,0,
pumpkinDragon,0,Dodopyyr,drg_dodoPumpkin.lvl,sorcerer,Vampire Dodo Dragon,5,fireElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_dodoPumpkin_discovered_thumbnail.png,dragon_dodo_undiscovered_thumbnail.png,dragonThumbnail_dodoPumpkin.png,dragonThumbnail_dodoBlue_undiscovered.png,pumpkinDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,100,6,4,164160,,2,15,,purpleEggCurrency,egg_orange_V15.lvl,0-0,0-0,1,1,0,15,4,17,1,48,0,0,,,,1,1,0,
summonDragon,0,Summon,drg_armoredSun.lvl,warrior,Summoned Dragon,0,fireElement,This dragon was summoned.,Look for the dragon at the breeding grounds,,,dragonThumbnail_armoredSun.png,dragonThumbnail_armored_undiscovered.png,SummonDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,1,1,60,,1,75,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,1,15,1,1,0,48,0,0,,,,0,,0,
summonDodo,0,Summon,drg_dodo_level01.lvl,warrior,Summoned Dodo,0,fireElement,This dragon was summoned.,Look for the dragon at the breeding grounds,,,dragonThumbnail_dodo.png,dragonThumbnail_dodoBlue_undiscovered.png,SummonDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,2,1,60,,1,75,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,1,15,1,1,0,48,0,0,,,,0,,0,
summonRuneDragon,0,Summon,drg_drakeRune.lvl,warrior,Summoned Rune Dragon,0,fireElement,This dragon was summoned.,Look for the dragon at the breeding grounds,,,dragonThumbnail_drakeRune.png,dragonThumbnail_drakeRune_undiscovered.png,SummonDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,2,1,60,,1,75,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,1,15,1,1,0,48,0,0,,,,1,,0,
summonDemonDragon,0,Hellspawn,drg_hellspawn.lvl,warrior,Summoned Demon Dragon,0,fireElement,This dragon was summoned.,Look for the dragon at the breeding grounds,,,dragonThumbnail_demon_discovered.png,dragonThumbnail_demon_undiscovered.png,SummonDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,2,1,0,,1,75,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,1,15,1,1,0,48,0,0,,,,0,,0,
dodoDragon,0,Dodo,drg_dodo_level01.lvl,sorcerer,Dodo Dragon,4,fireElement,Friendly at first. But if you cross it you'll quickly regret it.,Look for the dragon at the breeding grounds,dragon_dodo_discovered_thumbnail.png,dragon_dodo_undiscovered_thumbnail.png,dragonThumbnail_dodo.png,dragonThumbnail_dodoBlue_undiscovered.png,DododragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,1,8,3,164160,,3,20,,blueEggCurrency,egg_blue_V2.lvl,0-0,0-0,1,1,0,15,3,1,1,50,0,0,,,,1,1,0,
LythLTODragon,0,Lyth,drg_alienbug_level01.lvl,sorcerer,Alien Creature,4,fireElement,One of a kind. No one knows quite where it came from.,Look for the dragon at the breeding grounds,dragon_alienBug_discovered_thumbnail.png,dragon_alienBug_undiscovered_thumbnail.png,dragonThumbnail_alien.png,dragonThumbnail_alien_undiscovered.png,LythLTODragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,9,8,1,43200,,1,20,,redEggCurrency,egg_red_V9.lvl,0-0,0-0,1,1,0,15,1,9,1,50,0,0,testLTOdragonAchievement,LythLTODragonBreeding.csv,,1,,0,
ZalonLTODragon,0,Zalon,drg_metalWarrior2_v1.lvl,warrior,Metal Dragon,4,fireElement,You'll hear the screech before the fire.,Look for the dragon at the breeding grounds,dragon_metalWarrior2_v1_discovered_thumbnail.png,dragon_metalWarrior2_undiscovered_thumbnail.png,dragonThumbnail_metalWarrior2_v1.png,dragonThumbnail_metalWarrior2_undiscovered.png,ZalonLTODragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,35,8,3,164160,,3,20,,blueEggCurrency,egg_blue_V6.lvl,0-0,0-0,1,1,0,15,3,9,1,50,0,0,LTOdragonAchievementApril2,ZalonLTODragonBreeding.csv,,1,,0,
OrmarrLTODragon,0,Ormarr,drg_magma_v3.lvl,hunter,Magma Dragon,5,fireElement,This dragon only heeds those who have proven themselves worthy of its respect.,Look for the dragon at the breeding grounds,dragon_magma_v3_discovered_thumbnail.png,dragon_magma_undiscovered_thumbnail.png,dragonThumbnail_magma_v3.png,dragonThumbnail_magma_undiscovered.png,OrmarrLTODragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,53,8,4,311040,,4,30,,orangeEggCurrency,egg_orange_V13.lvl,0-0,0-0,1,0,0,15,4,13,1,50,0,0,aprilOrmarrAchievement,OrmarrLTODragonBreeding.csv,,1,,0,
LadonLTODragon,0,Ladon,drg_skeletalFrozen.lvl,warrior,Icicle Dragon,4,fireElement,A balance between ice and fire that seems impossible.,Look for the dragon at the breeding grounds,dragon_skeletalFrozen_discovered_thumbnail.png,dragon_skeletal_undiscovered_thumbnail.png,dragonThumbnail_skeletalFrozen.png,dragonThumbnail_skeletal_undiscovered.png,LadonLTODragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,25,8,2,97200,,2,20,,purpleEggCurrency,egg_purple_V17.lvl,0-0,0-0,1,1,0,15,2,16,1,50,0,0,LTOdragonAchievementJuly2,LadonLTODragonBreeding.csv,,1,,0,
T5C3WEdragon,0,Hugin,drg_lightning_v3.lvl,warrior,Great Southern Dragon,5,windElement,Near impossible to take down.,Look for the dragon at the breeding grounds,dragon_lightning_v3_discovered_thumbnail.png,dragon_lightning_undiscovered_thumbnail.png,dragonThumbnail_lightning_v3.png,dragonThumbnail_lightning_undiscovered.png,T5C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,67,12,5,734400,,5,30,,greenEggCurrency,egg_green_V3.lvl,0-0,0-0,1,1,0,15,5,11,1,96,0,0,,,,1,,0,
T5C3SIdragon,0,Munin,drg_ice_phoenix2.lvl,sorcerer,Great Northern Dragon,5,iceElement,Hopeless to defend against.,Look for the dragon at the breeding grounds,dragon_ice_phoenix2_discovered_thumbnail.png,dragon_ice_phoenix_undiscovered_thumbnail.png,dragonThumbnail_ice_phoenix.png,dragonThumbnail_phoenix_undiscovered.png,T5C3SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,68,12,5,734400,,5,30,,greenEggCurrency,egg_green_V2.lvl,0-0,0-0,1,1,0,15,5,12,1,96,0,0,,,,1,,0,
T6C1SIdragon,0,Caladbolg,drg_arcane_v1.lvl,sorcerer,Arcane Dragon,4,windElement,A symbol of tempered force; the wise general; the patient lord.,Look for the dragon at the breeding grounds,dragon_arcane_v1_discovered_thumbnail.png,dragon_arcane_undiscovered_thumbnail.png,dragonThumbnail_arcane_v1.png,dragonThumbnail_arcane_undiscovered.png,T6C1SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,69,8,6,1360800,,6,20,,goldEggCurrency,egg_gold_V1.lvl,0-0,0-0,1,1,0,15,6,12,1,60,0,0,,,,1,,0,
T6C1HEdragon,0,Firactus,drg_earth_wyvern_v1.lvl,hunter,Berserker Dragon,4,earthElement,Fueled by an endless fury.,Look for the dragon at the breeding grounds,dragon_earth_wyvern_v1_discovered_thumbnail.png,dragon_earth_wyvern_v1_undiscovered_thumbnail.png,dragonThumbnail_earth_wyvern_v1.png,dragonThumbnail_earth_wyvern_undiscovered.png,T6C1HEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,70,8,6,1360800,,6,20,,goldEggCurrency,egg_gold_V2.lvl,0-0,0-0,1,1,0,15,6,13,1,60,0,0,,,,1,,0,
T6C1WFdragon,0,Bander,drg_snapping_v2.lvl,warrior,Northern Fire Dragon,4,fireElement,Raw power. Red in tooth and claw.,Look for the dragon at the breeding grounds,dragon_snapping_v2_discovered_thumbnail.png,dragon_snapping_undiscovered_thumbnail.png,dragonThumbnail_snapping_v2.png,dragonThumbnail_snapping_undiscovered.png,T6C1WFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,71,8,6,1360800,,6,20,,goldEggCurrency,egg_gold_V3.lvl,0-0,0-0,1,1,0,15,6,14,1,60,0,0,,,,1,,0,
T6C1WDdragon,0,Ferrox,drg_threeHeadedMetal.lvl,warrior,Blackiron Dragon,3,earthElement,Unflinching brutality; impenetrable might. Its roar shakes dust from the rafters of heaven.,Look for the dragon at the breeding grounds,dragon_threeHeadedMetal_discovered_thumbnail.png,dragon_threeHeaded_undiscovered_thumbnail.png,dragonThumbnail_threeheadedMetal.png,dragonThumbnail_threeheaded_undiscovered.png,T6C1WDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,72,6,6,712800,,6,15,,goldEggCurrency,egg_gold_V4.lvl,0-0,0-0,1,1,0,15,6,15,1,35,0,0,,,,1,,0,
T6C1WIdragon,0,Lumen,drg_lightning_v1.lvl,warrior,Nacreous Dragon,3,windElement,A softly glowing dragon said to mimic the light of the waxing moon.,Look for the dragon at the breeding grounds,dragon_lightning_v1_discovered_thumbnail.png,dragon_lightning_undiscovered_thumbnail.png,dragonThumbnail_lightning_v1.png,dragonThumbnail_lightning_undiscovered.png,T6C1WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,73,6,6,712800,,6,15,,goldEggCurrency,egg_gold_V5.lvl,0-0,0-0,1,1,0,15,6,16,1,35,0,0,,,,1,,0,
