identifier,displayName,location,fragments,defaultMaxAmountOwned,priority,compatibleDragons,sceneFile,iconFile,undiscoveredIconFile,flavorText,canBeObtained,h
egyptian_emerald_mask_2H_armor,Emerald Godking Armor,helm,1,,97,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_emerald_neckSet.lvl,icon_ar_egyptian_helm_emerald.png,icon_ar_egyptian_helm_locked.png,"Emerald desert helm, fitted for two-headed dragons.",1,
egyptian_emerald_body_2H_armor,Emerald Godking Plate,body,1,,98,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_emerald_legSet.lvl,icon_ar_egyptian_body_emerald.png,icon_ar_egyptian_body_locked.png,"Emerald desert armor, fitted for two-headed dragons.",1,
egyptian_emerald_tail_2H_armor,Emerald Godking Harness,tail,1,,99,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_emerald_tailSet.lvl,icon_ar_egyptian_tail_emerald.png,icon_ar_egyptian_tail_locked.png,"Emerald desert harness, fitted for two-headed dragons.",1,
egyptian_emerald_mask_E_armor,Kaiju's Emerald Helm,helm,1,,100,T7C3WIdragon,ar_egyptian_classE_emerald_neckSet.lvl,icon_ar_egyptian_helm_emerald.png,icon_ar_egyptian_helm_locked.png,"Emerald desert helm, fitted specifically for Kaiju.",1,
egyptian_emerald_body_E_armor,Kaiju's Emerald Plate,body,1,,101,T7C3WIdragon,ar_egyptian_classE_emerald_legSet.lvl,icon_ar_egyptian_body_emerald.png,icon_ar_egyptian_body_locked.png,"Emerald desert armor, fitted specifically for Kaiju.",1,
egyptian_emerald_mask_D_armor,Emerald Asp Helm,helm,1,,102,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_emerald_neckSet.lvl,icon_ar_egyptian_helm_emerald.png,icon_ar_egyptian_helm_locked.png,"Emerald desert armor, fitted for serpents.",1,
egyptian_emerald_body_D_armor,Emerald Asp Plate,body,1,,103,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_emerald_legSet.lvl,icon_ar_egyptian_body_emerald.png,icon_ar_egyptian_body_locked.png,"Emerald desert helm, fitted for serpents.",1,
egyptian_emerald_tail_D_armor,Emerald Asp Harness,tail,1,,104,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_emerald_tailSet.lvl,icon_ar_egyptian_tail_emerald.png,icon_ar_egyptian_tail_locked.png,"Emerald desert harness, fitted for serpents.",1,
egyptian_ruby_mask_B_armor,Ruby Desert Drake Helm,helm,1,,105,OrmarrLTODragon|T6C3HUdragon,ar_egyptian_classB_ruby_neckSet.lvl,icon_ar_egyptian_helm_ruby.png,icon_ar_egyptian_helm_locked.png,"Ruby desert helm, fitted specifically for Ormarr and Consurgens.",1,
egyptian_ruby_body_B_armor,Ruby Desert Drake Plate,body,1,,106,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_ruby_legSet.lvl,icon_ar_egyptian_body_ruby.png,icon_ar_egyptian_body_locked.png,"Ruby desert armor, fitted for certain Hunters.",1,
egyptian_ruby_tail_B_armor,Ruby Desert Drake Harness,tail,1,,107,OrmarrLTODragon|T6C3HUdragon|T7C2HDdragon|T7C3HDdragon,ar_egyptian_classB_ruby_tailSet.lvl,icon_ar_egyptian_tail_ruby.png,icon_ar_egyptian_tail_locked.png,"Ruby desert harness, fitted for certain Hunters.",1,
egyptian_ruby_mask_C_armor,Hydron's Ruby Helm,helm,1,,108,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_ruby_neckSet.lvl,icon_ar_egyptian_helm_ruby.png,icon_ar_egyptian_helm_locked.png,"Ruby desert helm, fitted specifically for Hydron and Arborius.",1,
egyptian_ruby_body_C_armor,Hydron's Ruby Plate,body,1,,109,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_ruby_legSet.lvl,icon_ar_egyptian_body_ruby.png,icon_ar_egyptian_body_locked.png,"Ruby desert armor, fitted specifically for Hydron and Arborius.",1,
egyptian_ruby_tail_C_armor,Hydron's Ruby Harness,tail,1,,110,T4C1WUdragon|T2C3WEdragon,ar_egyptian_classC_ruby_tailSet.lvl,icon_ar_egyptian_tail_ruby.png,icon_ar_egyptian_tail_locked.png,"Ruby desert harness, fitted specifically for Hydron and Arborius.",1,
egyptian_ruby_mask_2H_armor,Ruby Godking Armor,helm,1,,111,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_ruby_neckSet.lvl,icon_ar_egyptian_helm_ruby.png,icon_ar_egyptian_helm_locked.png,"Ruby desert helm, fitted for two-headed dragons.",1,
egyptian_ruby_body_2H_armor,Ruby Godking Plate,body,1,,112,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_ruby_legSet.lvl,icon_ar_egyptian_body_ruby.png,icon_ar_egyptian_body_locked.png,"Ruby desert armor, fitted for two-headed dragons.",1,
egyptian_ruby_tail_2H_armor,Ruby Godking Harness,tail,1,,113,T7C1SIdragon|T7C3SIdragon|T7C3SFdragon,ar_egyptian_class2H_ruby_tailSet.lvl,icon_ar_egyptian_tail_ruby.png,icon_ar_egyptian_tail_locked.png,"Ruby desert harness, fitted for two-headed dragons.",1,
egyptian_ruby_mask_E_armor,Kaiju's Ruby Helm,helm,1,,114,T7C3WIdragon,ar_egyptian_classE_ruby_neckSet.lvl,icon_ar_egyptian_helm_ruby.png,icon_ar_egyptian_helm_locked.png,"Ruby desert helm, fitted specifically for Kaiju.",1,
egyptian_ruby_body_E_armor,Kaiju's Ruby Plate,body,1,,115,T7C3WIdragon,ar_egyptian_classE_ruby_legSet.lvl,icon_ar_egyptian_body_ruby.png,icon_ar_egyptian_body_locked.png,"Ruby desert armor, fitted specifically for Kaiju.",1,
egyptian_ruby_mask_D_armor,Ruby Asp Helm,helm,1,,116,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_ruby_neckSet.lvl,icon_ar_egyptian_helm_ruby.png,icon_ar_egyptian_helm_locked.png,"Ruby desert helm, fitted for serpents.",1,
egyptian_ruby_body_D_armor,Ruby Asp Plate,body,1,,117,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_ruby_legSet.lvl,icon_ar_egyptian_body_ruby.png,icon_ar_egyptian_body_locked.png,"Ruby desert armor, fitted for serpents.",1,
egyptian_ruby_tail_D_armor,Ruby Asp Harness,tail,1,,118,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_ruby_tailSet.lvl,icon_ar_egyptian_tail_ruby.png,icon_ar_egyptian_tail_locked.png,"Ruby desert harness, fitted for serpents.",1,
roman_mask_W_v1_armor,Jungle Legion Drape,helm,1,,119,T7C3WEdragon|T7C2WIdragon,ar_roman_classC_neckSet_v1.lvl,icon_ar_roman_v1_helm.png,icon_ar_roman_generic_helm_locked.png,"Drape for experienced warriors accustomed to Junle terrain, Kulan and Quetz.",1,
roman_body_W_v1_armor,Jungle Legion Plate,body,1,,120,T7C3WEdragon|T7C2WIdragon,ar_roman_classC_legSet_v1.lvl,icon_ar_roman_v1_body.png,icon_ar_roman_generic_body_locked.png,"Plate for experienced warriors accustomed to Junle terrain, Kulan and Quetz.",1,
roman_tail_W_v1_armor,Jungle Legion Harness,tail,1,,121,T7C3WEdragon|T7C2WIdragon,ar_roman_classC_tailSet_v1.lvl,icon_ar_roman_v1_tail.png,icon_ar_roman_generic_tail_locked.png,"Harness for experienced warriors accustomed to Junle terrain, Kulan and Quetz.",1,
roman_wing_W_v1_armor,Jungle Legion Pauldron,wing,1,,122,T7C3WEdragon|T7C2WIdragon,ar_roman_classC_wingSet_v1.lvl,icon_ar_roman_v1_wing.png,icon_ar_roman_generic_wing_locked.png,"Pauldrons for experienced warriors accustomed to Junle terrain, Kulan and Quetz.",1,
roman_mask_H_v1_armor,Aerial Legion Drape,helm,1,,127,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_neckSet_v1.lvl,icon_ar_roman_v1_helm.png,icon_ar_roman_generic_helm_locked.png,Ceremonial drape awarded to brave hunters accustomed to night missions.,1,
roman_body_H_v1_armor,Aerial Legion Plate,body,1,,128,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_legSet_v1.lvl,icon_ar_roman_v1_body.png,icon_ar_roman_generic_body_locked.png,Ceremonial plate awarded to brave hunters accustomed to night missions.,1,
roman_tail_H_v1_armor,Aerial Legion Harness,tail,1,,129,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_tailSet_v1.lvl,icon_ar_roman_v1_tail.png,icon_ar_roman_generic_tail_locked.png,Ceremonial harness awarded to brave hunters accustomed to night missions.,1,
roman_wing_H_v1_armor,Aerial Legion Pauldron,wing,1,,130,T7C2HFdragon|T7C1HFdragon,ar_roman_classB_wingSet_v1.lvl,icon_ar_roman_v1_wing.png,icon_ar_roman_generic_wing_locked.png,Ceremonial pauldrons awarded to the night hunters Nosfer and Necura.,1,
roman_mask_S_v1_armor,Naval Legion Drape,helm,1,,135,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_neckSet_v1.lvl,icon_ar_roman_v1_helm.png,icon_ar_roman_generic_helm_locked.png,Polished drape awarded to aquatic sorcerers that have sunken many ships.,1,
roman_body_S_v1_armor,Naval Legion Plate,body,1,,136,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_legSet_v1.lvl,icon_ar_roman_v1_body.png,icon_ar_roman_generic_body_locked.png,Polished plate awarded to aquatic sorcerers that have sunken many ships.,1,
roman_tail_S_v1_armor,Naval Legion Harness,tail,1,,137,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_tailSet_v1.lvl,icon_ar_roman_v1_tail.png,icon_ar_roman_generic_tail_locked.png,Polished harness awarded to aquatic sorcerers that have sunken many ships.,1,
roman_wing_S_v1_armor,Naval Legion Pauldron,wing,1,,138,T4C3SUdragon|T2C2SUdragon,ar_roman_classD_wingSet_v1.lvl,icon_ar_roman_v1_wing.png,icon_ar_roman_generic_wing_locked.png,Polished pauldrons awarded to the bottomfeeders Huli and Durga.,1,
roman_mask_S_v2_armor,Naval Gladiator Drape,helm,1,,139,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_neckSet_v2.lvl,icon_ar_roman_v2_helm.png,icon_ar_roman_generic_helm_locked.png,Waterlogged drape awarded to aquatic sorcerers that have sunken many ships.,1,
roman_body_S_v2_armor,Naval Gladiator Plate,body,1,,140,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_legSet_v2.lvl,icon_ar_roman_v2_body.png,icon_ar_roman_generic_body_locked.png,Waterlogged plate awarded to aquatic sorcerers that have sunken many ships.,1,
roman_tail_S_v2_armor,Naval Gladiator Harness,tail,1,,141,T4C3SUdragon|T2C2SUdragon|T6C3SEdragon|augustPlatinumDragon,ar_roman_classD_tailSet_v2.lvl,icon_ar_roman_v2_tail.png,icon_ar_roman_generic_tail_locked.png,Waterlogged harness awarded to aquatic sorcerers that have sunken many ships.,1,
roman_wing_S_v2_armor,Naval Gladiator Pauldron,wing,1,,142,T4C3SUdragon|T2C2SUdragon,ar_roman_classD_wingSet_v2.lvl,icon_ar_roman_v2_wing.png,icon_ar_roman_generic_wing_locked.png,Waterlogged pauldrons awarded to the bottomfeeders Huli and Durga.,1,
hal_bunny_H_v1,Hallowed Hunter Bunny Ears,helm,1,,143,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_bunny.lvl,icon_ar_halloween_bunny.png,icon_ar_halloween_bunny_locked.png,Even dragons can have a warm and fuzzy side.,1,
hal_pirate_H_v1,Hallowed Hunter Pirate Garb,helm,1,,144,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_pirate.lvl,icon_ar_halloween_pirate.png,icon_ar_halloween_pirate_locked.png,Yaaaaarrrr!,1,
hal_pumpkin_H_v1,Hallowed Hunter Jack-o-Lantern ,helm,1,,145,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_pumpkin.lvl,icon_ar_halloween_pumpkin.png,icon_ar_halloween_pumpkin_locked.png,Don't lose your head over this sweet halloween disguise!,1,
hal_robinHood_H_v1,Hallowed Hunter Archery Cap ,helm,1,,146,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_robinHood.lvl,icon_ar_halloween_robinHood.png,icon_ar_halloween_robinHood_locked.png,For dragons that just love destroying Archer Towers.,1,
hal_topHat_H_v1,Hallowed Hunter Accoutrements ,helm,1,,147,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_topHat.lvl,icon_ar_halloween_topHat.png,icon_ar_halloween_topHat_locked.png,Look like a dapper gentleman as you lay waste to your foes.,1,
hal_witch_H_v1,Hallowed Hunter Witch Hat ,helm,1,,148,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_halloween_classBv1_witch.lvl,icon_ar_halloween_witch.png,icon_ar_halloween_witch_locked.png,Extra spells not included.,1,
hal_bunny_H_v2,Evil Hunter Bunny Ears,helm,1,,149,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_bunny.lvl,icon_ar_halloween_bunny.png,icon_ar_halloween_bunny_locked.png,Even dragons can have a warm and fuzzy side.,1,
hal_pirate_H_v2,Evil Hunter Pirate Garb ,helm,1,,150,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_pirate.lvl,icon_ar_halloween_pirate.png,icon_ar_halloween_pirate_locked.png,Yaaaaarrrr!,1,
hal_pumpkin_H_v2,Evil Hunter Jack-o-Lantern ,helm,1,,151,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_pumpkin.lvl,icon_ar_halloween_pumpkin.png,icon_ar_halloween_pumpkin_locked.png,Don't lose your head over this sweet halloween disguise!,1,
hal_robinHood_H_v2,Evil Hunter Archery Cap ,helm,1,,152,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_robinHood.lvl,icon_ar_halloween_robinHood.png,icon_ar_halloween_robinHood_locked.png,For dragons that just love destroying Archer Towers.,1,
hal_topHat_H_v2,Evil Hunter Accoutrements ,helm,1,,153,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_topHat.lvl,icon_ar_halloween_topHat.png,icon_ar_halloween_topHat_locked.png,Look like a dapper gentleman as you lay waste to your foes.,1,
hal_witch_H_v2,Evil Hunter Witch Hat ,helm,1,,154,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_halloween_classBv2_witch.lvl,icon_ar_halloween_witch.png,icon_ar_halloween_witch_locked.png,Extra spells not included.,1,
hal_bunny_W_v1,Hallowed Warrior Bunny Ears ,helm,1,,155,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_bunny.lvl,icon_ar_halloween_bunny.png,icon_ar_halloween_bunny_locked.png,Even dragons can have a warm and fuzzy side.,1,
hal_pirate_W_v1,Hallowed Warrior Pirate Garb ,helm,1,,156,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_pirate.lvl,icon_ar_halloween_pirate.png,icon_ar_halloween_pirate_locked.png,Yaaaaarrrr!,1,
hal_pumpkin_W_v1,Hallowed Warrior Jack-o-Lantern ,helm,1,,157,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_pumpkin.lvl,icon_ar_halloween_pumpkin.png,icon_ar_halloween_pumpkin_locked.png,Don't lose your head over this sweet halloween disguise!,1,
hal_robinHood_W_v1,Hallowed Warrior Archery Cap ,helm,1,,158,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_robinHood.lvl,icon_ar_halloween_robinHood.png,icon_ar_halloween_robinHood_locked.png,For dragons that just love destroying Archer Towers.,1,
hal_topHat_W_v1,Hallowed Warrior Accoutrements ,helm,1,,159,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_topHat.lvl,icon_ar_halloween_topHat.png,icon_ar_halloween_topHat_locked.png,Look like a dapper gentleman as you lay waste to your foes.,1,
hal_witch_W_v1,Hallowed Warrior Witch Hat ,helm,1,,160,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon|ZalonLTODragon,ar_halloween_classA_witch.lvl,icon_ar_halloween_witch.png,icon_ar_halloween_witch_locked.png,Extra spells not included.,1,
hal_bunny_W_v2,Evil Warrior Bunny Ears ,helm,1,,161,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_bunny.lvl,icon_ar_halloween_bunny.png,icon_ar_halloween_bunny_locked.png,Even dragons can have a warm and fuzzy side.,1,
hal_pirate_W_v2,Evil Warrior Pirate Garb ,helm,1,,162,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_pirate.lvl,icon_ar_halloween_pirate.png,icon_ar_halloween_pirate_locked.png,Yaaaaarrrr!,1,
hal_pumpkin_W_v2,Evil Warrior Jack-o-Lantern ,helm,1,,163,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_pumpkin.lvl,icon_ar_halloween_pumpkin.png,icon_ar_halloween_pumpkin_locked.png,Don't lose your head over this sweet halloween disguise!,1,
hal_robinHood_W_v2,Evil Warrior Archery Cap ,helm,1,,164,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_robinHood.lvl,icon_ar_halloween_robinHood.png,icon_ar_halloween_robinHood_locked.png,For dragons that just love destroying Archer Towers.,1,
hal_topHat_W_v2,Evil Warrior Accoutrements ,helm,1,,165,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_topHat.lvl,icon_ar_halloween_topHat.png,icon_ar_halloween_topHat_locked.png,Look like a dapper gentleman as you lay waste to your foes.,1,
hal_witch_W_v2,Evil Warrior Witch Hat ,helm,1,,166,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T4C2WDdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon,ar_halloween_classC_witch.lvl,icon_ar_halloween_witch.png,icon_ar_halloween_witch_locked.png,Extra spells not included.,1,
hal_bunny_S,Hallowed Sorcerer Bunny Ears,helm,1,,167,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_bunny.lvl,icon_ar_halloween_bunny.png,icon_ar_halloween_bunny_locked.png,Even dragons can have a warm and fuzzy side.,1,
hal_pirate_S,Hallowed Sorcerer Pirate Garb,helm,1,,168,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_pirate.lvl,icon_ar_halloween_pirate.png,icon_ar_halloween_pirate_locked.png,Yaaaaarrrr!,1,
hal_pumpkin_S,Hallowed Sorcerer Jack-o-Lantern,helm,1,,169,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_pumpkin.lvl,icon_ar_halloween_pumpkin.png,icon_ar_halloween_pumpkin_locked.png,Don't lose your head over this sweet halloween disguise!,1,
hal_robinHood_S,Hallowed Sorcerer Archery Cap,helm,1,,170,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_robinHood.lvl,icon_ar_halloween_robinHood.png,icon_ar_halloween_robinHood_locked.png,For dragons that just love destroying Archer Towers.,1,
hal_topHat_S,Hallowed Sorcerer Accoutrements,helm,1,,171,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_topHat.lvl,icon_ar_halloween_topHat.png,icon_ar_halloween_topHat_locked.png,Look like a dapper gentleman as you lay waste to your foes.,1,
hal_witch_S,Hallowed Sorcerer Witch Hat,helm,1,,172,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_halloween_classD_witch.lvl,icon_ar_halloween_witch.png,icon_ar_halloween_witch_locked.png,Extra spells not included.,1,
reduxRoman_mask_H_v1_armor,(ARMOR)RED Hunter Helm,helm,1,1,143,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_neckSet_red.lvl,icon_ar_roman_red_helm.png,icon_ar_roman_generic_helm_locked.png,Earned through a special event,1,
reduxRoman_body_H_v1_armor,(ARMOR)RED Hunter Plate,body,1,1,144,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_legSet_red.lvl,icon_ar_roman_red_body.png,icon_ar_roman_generic_body_locked.png,Earned through a special event,1,
