identifier,firstDragonIdentifier,secondDragonIdentifier,possibleRawEggDistribution,goldPossibleRawEggDistribution,eggNumber,h
847,T2C1WEdragon,T3C2SEdragon,deck0847:1,deck0847:1,1,
848,T2C1WEdragon,T3C2HUdragon,deck0848:1,deck0848:1,1,
849,T2C1WEdragon,T3C2WFdragon,deck0849:1,deck0849:1,1,
850,T2C1WEdragon,T3C3SUdragon,deck0850:1,deck0850:1,1,
851,T2C1WEdragon,T3C3HFdragon,deck0851:1,deck0851:1,1,
852,T2C1WEdragon,T3C3WIdragon,deck0852:1,deck0852:1,1,
853,T2C1WEdragon,T3C3HIdragon,deck0853:1,deck0853:1,1,
854,T2C1WEdragon,T4C1SFdragon,deck0854:1,deck0854:1,1,
855,T2C1WEdragon,T4C1HIdragon,deck0855:1,deck0855:1,1,
856,T2C1WEdragon,T4C1WUdragon,deck0856:1,deck0856:1,1,
857,T2C1WEdragon,T4C1SDdragon,deck0857:1,deck0857:1,1,
858,T2C1WEdragon,T4C1HEdragon,deck0858:1,deck0858:1,1,
859,T2C1WEdragon,T4C1HFdragon,deck0859:1,deck0859:1,1,
860,T2C1WEdragon,T4C2WIdragon,deck0860:1,deck0860:1,1,
861,T2C1WEdragon,T4C2SEdragon,deck0861:1,deck0861:1,1,
862,T2C1WEdragon,T4C2HUdragon,deck0862:1,deck0862:1,1,
863,T2C1WEdragon,T4C2WDdragon,deck0863:1,deck0863:1,1,
864,T2C1WEdragon,T4C3SIdragon,deck0864:1,deck0864:1,1,
865,T2C1WEdragon,T4C3WFdragon,deck0865:1,deck0865:1,1,
866,T2C1WEdragon,T4C3HDdragon,deck0866:1,deck0866:1,1,
867,T2C1WEdragon,T4C3SUdragon,deck0867:1,deck0867:1,1,
868,T2C1WEdragon,T4C3WEdragon,deck0868:1,deck0868:1,1,
869,T2C1WEdragon,T5C1WUdragon,deck0869:1,deck0869:1,1,
870,T2C1WEdragon,T5C1HEdragon,deck0870:1,deck0870:1,1,
871,T2C1WEdragon,T5C1WDdragon,deck0871:1,deck0871:1,1,
872,T2C1WEdragon,T5C1SFdragon,deck0872:1,deck0872:1,1,
873,T2C1WEdragon,T5C1HIdragon,deck0873:1,deck0873:1,1,
874,T2C1WEdragon,T5C2SEdragon,deck0874:1,deck0874:1,1,
875,T2C1WEdragon,T5C2HDdragon,deck0875:1,deck0875:1,1,
876,T2C1WEdragon,T5C2WIdragon,deck0876:1,deck0876:1,1,
877,T2C1WEdragon,T5C2SUdragon,deck0877:1,deck0877:1,1,
878,T2C1WEdragon,T5C3HFdragon,deck0878:1,deck0878:1,1,
879,T2C1WEdragon,T5C3WFdragon,deck0879:1,deck0879:1,1,
880,T2C1WEdragon,T5C3SDdragon,deck0880:1,deck0880:1,1,
881,T2C1WEdragon,T5C3HUdragon,deck0881:1,deck0881:1,1,
882,T2C1WEdragon,T5C3SIdragon,deck0882:1,deck0882:1,1,
883,T2C1WEdragon,T6C1SIdragon,deck0883:1,deck0883:1,1,
884,T2C1WEdragon,T6C1WFdragon,deck0884:1,deck0884:1,1,
885,T2C1WEdragon,T6C1HEdragon,deck0885:1,deck0885:1,1,
886,T2C1WEdragon,T6C1WDdragon,deck0886:1,deck0886:1,1,
887,T2C1WEdragon,T6C1WIdragon,deck0887:1,deck0887:1,1,
888,T2C1WEdragon,T6C1SFdragon,deck0888:1,deck0888:1,1,
889,T2C1WEdragon,T6C2HUdragon,deck0889:1,deck0889:1,1,
890,T2C1WEdragon,T6C3HIdragon,deck0890:1,deck0890:1,1,
891,T2C1WEdragon,T6C3HUdragon,deck0891:1,deck0891:1,1,
892,T2C1WEdragon,T6C3WFdragon,deck0892:1,deck0892:1,1,
893,T2C1WEdragon,T6C3SDdragon,deck0893:1,deck0893:1,1,
894,T2C1WEdragon,T6C3SEdragon,deck0894:1,deck0894:1,1,
895,T2C1WEdragon,T7C1WDdragon,deck0895:1,deck0895:1,1,
896,T2C1WEdragon,T7C1SIdragon,deck0896:1,deck0896:1,1,
897,T2C1WEdragon,T7C1HFdragon,deck0897:1,deck0897:1,1,
898,T2C1WEdragon,T7C2WIdragon,deck0898:1,deck0898:1,1,
899,T2C1WEdragon,T7C2SEdragon,deck0899:1,deck0899:1,1,
900,T2C1WEdragon,T7C2HFdragon,deck0900:1,deck0900:1,1,
901,T2C1WEdragon,T7C2HDdragon,deck0901:1,deck0901:1,1,
902,T2C1WEdragon,T7C3WEdragon,deck0902:1,deck0902:1,1,
903,T2C1WEdragon,T7C3SFdragon,deck0903:1,deck0903:1,1,
904,T2C1WEdragon,T7C3SIdragon,deck0904:1,deck0904:1,1,
905,T2C1WEdragon,T7C3WIdragon,deck0905:1,deck0905:1,1,
906,T2C1WEdragon,T7C3HDdragon,deck0906:1,deck0906:1,1,
907,T2C1SFdragon,T2C1HUdragon,deck0907:1,deck0907:1,1,
908,T2C1SFdragon,T2C2WIdragon,deck0908:1,deck0908:1,1,
909,T2C1SFdragon,T2C2SUdragon,deck0909:1,deck0909:1,1,
910,T2C1SFdragon,T2C2HEdragon,deck0910:1,deck0910:1,1,
911,T2C1SFdragon,T2C3WUdragon,deck0911:1,deck0911:1,1,
912,T2C1SFdragon,T2C3SEdragon,deck0912:1,deck0912:1,1,
913,T2C1SFdragon,T2C3HFdragon,deck0913:1,deck0913:1,1,
914,T2C1SFdragon,T2C3SFdragon,deck0914:1,deck0914:1,1,
915,T2C1SFdragon,T2C3HIdragon,deck0915:1,deck0915:1,1,
916,T2C1SFdragon,T2C3WEdragon,deck0916:1,deck0916:1,1,
917,T2C1SFdragon,T3C1WEdragon,deck0917:1,deck0917:1,1,
918,T2C1SFdragon,T3C1SFdragon,deck0918:1,deck0918:1,1,
919,T2C1SFdragon,T3C1HIdragon,deck0919:1,deck0919:1,1,
920,T2C1SFdragon,T3C1WUdragon,deck0920:1,deck0920:1,1,
921,T2C1SFdragon,T3C1SIdragon,deck0921:1,deck0921:1,1,
922,T2C1SFdragon,T3C1HEdragon,deck0922:1,deck0922:1,1,
923,T2C1SFdragon,T3C2SEdragon,deck0923:1,deck0923:1,1,
924,T2C1SFdragon,T3C2HUdragon,deck0924:1,deck0924:1,1,
925,T2C1SFdragon,T3C2WFdragon,deck0925:1,deck0925:1,1,
926,T2C1SFdragon,T3C3SUdragon,deck0926:1,deck0926:1,1,
927,T2C1SFdragon,T3C3HFdragon,deck0927:1,deck0927:1,1,
928,T2C1SFdragon,T3C3WIdragon,deck0928:1,deck0928:1,1,
929,T2C1SFdragon,T3C3HIdragon,deck0929:1,deck0929:1,1,
930,T2C1SFdragon,T4C1SFdragon,deck0930:1,deck0930:1,1,
931,T2C1SFdragon,T4C1HIdragon,deck0931:1,deck0931:1,1,
932,T2C1SFdragon,T4C1WUdragon,deck0932:1,deck0932:1,1,
933,T2C1SFdragon,T4C1SDdragon,deck0933:1,deck0933:1,1,
934,T2C1SFdragon,T4C1HEdragon,deck0934:1,deck0934:1,1,
935,T2C1SFdragon,T4C1HFdragon,deck0935:1,deck0935:1,1,
936,T2C1SFdragon,T4C2WIdragon,deck0936:1,deck0936:1,1,
937,T2C1SFdragon,T4C2SEdragon,deck0937:1,deck0937:1,1,
938,T2C1SFdragon,T4C2HUdragon,deck0938:1,deck0938:1,1,
939,T2C1SFdragon,T4C2WDdragon,deck0939:1,deck0939:1,1,
940,T2C1SFdragon,T4C3SIdragon,deck0940:1,deck0940:1,1,
941,T2C1SFdragon,T4C3WFdragon,deck0941:1,deck0941:1,1,
942,T2C1SFdragon,T4C3HDdragon,deck0942:1,deck0942:1,1,
943,T2C1SFdragon,T4C3SUdragon,deck0943:1,deck0943:1,1,
944,T2C1SFdragon,T4C3WEdragon,deck0944:1,deck0944:1,1,
945,T2C1SFdragon,T5C1WUdragon,deck0945:1,deck0945:1,1,
946,T2C1SFdragon,T5C1HEdragon,deck0946:1,deck0946:1,1,
947,T2C1SFdragon,T5C1WDdragon,deck0947:1,deck0947:1,1,
948,T2C1SFdragon,T5C1SFdragon,deck0948:1,deck0948:1,1,
949,T2C1SFdragon,T5C1HIdragon,deck0949:1,deck0949:1,1,
950,T2C1SFdragon,T5C2SEdragon,deck0950:1,deck0950:1,1,
951,T2C1SFdragon,T5C2HDdragon,deck0951:1,deck0951:1,1,
952,T2C1SFdragon,T5C2WIdragon,deck0952:1,deck0952:1,1,
953,T2C1SFdragon,T5C2SUdragon,deck0953:1,deck0953:1,1,
954,T2C1SFdragon,T5C3HFdragon,deck0954:1,deck0954:1,1,
955,T2C1SFdragon,T5C3WFdragon,deck0955:1,deck0955:1,1,
956,T2C1SFdragon,T5C3SDdragon,deck0956:1,deck0956:1,1,
957,T2C1SFdragon,T5C3HUdragon,deck0957:1,deck0957:1,1,
958,T2C1SFdragon,T5C3WEdragon,deck0958:1,deck0958:1,1,
959,T2C1SFdragon,T5C3SIdragon,deck0959:1,deck0959:1,1,
960,T2C1SFdragon,T6C1SIdragon,deck0960:1,deck0960:1,1,
961,T2C1SFdragon,T6C1WFdragon,deck0961:1,deck0961:1,1,
962,T2C1SFdragon,T6C1HEdragon,deck0962:1,deck0962:1,1,
963,T2C1SFdragon,T6C1WDdragon,deck0963:1,deck0963:1,1,
964,T2C1SFdragon,T6C1WIdragon,deck0964:1,deck0964:1,1,
965,T2C1SFdragon,T6C1SFdragon,deck0965:1,deck0965:1,1,
966,T2C1SFdragon,T6C2HUdragon,deck0966:1,deck0966:1,1,
967,T2C1SFdragon,T6C3HIdragon,deck0967:1,deck0967:1,1,
968,T2C1SFdragon,T6C3HUdragon,deck0968:1,deck0968:1,1,
969,T2C1SFdragon,T6C3WFdragon,deck0969:1,deck0969:1,1,
970,T2C1SFdragon,T6C3SDdragon,deck0970:1,deck0970:1,1,
971,T2C1SFdragon,T6C3SEdragon,deck0971:1,deck0971:1,1,
972,T2C1SFdragon,T7C1WDdragon,deck0972:1,deck0972:1,1,
973,T2C1SFdragon,T7C1SIdragon,deck0973:1,deck0973:1,1,
974,T2C1SFdragon,T7C1HFdragon,deck0974:1,deck0974:1,1,
975,T2C1SFdragon,T7C2WIdragon,deck0975:1,deck0975:1,1,
976,T2C1SFdragon,T7C2SEdragon,deck0976:1,deck0976:1,1,
977,T2C1SFdragon,T7C2HFdragon,deck0977:1,deck0977:1,1,
978,T2C1SFdragon,T7C2HDdragon,deck0978:1,deck0978:1,1,
979,T2C1SFdragon,T7C3WEdragon,deck0979:1,deck0979:1,1,
980,T2C1SFdragon,T7C3SFdragon,deck0980:1,deck0980:1,1,
981,T2C1SFdragon,T7C3SIdragon,deck0981:1,deck0981:1,1,
982,T2C1SFdragon,T7C3WIdragon,deck0982:1,deck0982:1,1,
983,T2C1SFdragon,T7C3HDdragon,deck0983:1,deck0983:1,1,
984,T2C1HUdragon,T2C2WIdragon,deck0984:1,deck0984:1,1,
985,T2C1HUdragon,T2C2SUdragon,deck0985:1,deck0985:1,1,
986,T2C1HUdragon,T2C2HEdragon,deck0986:1,deck0986:1,1,
987,T2C1HUdragon,T2C3WUdragon,deck0987:1,deck0987:1,1,
988,T2C1HUdragon,T2C3SEdragon,deck0988:1,deck0988:1,1,
989,T2C1HUdragon,T2C3HFdragon,deck0989:1,deck0989:1,1,
990,T2C1HUdragon,T2C3SFdragon,deck0990:1,deck0990:1,1,
991,T2C1HUdragon,T2C3HIdragon,deck0991:1,deck0991:1,1,
992,T2C1HUdragon,T2C3WEdragon,deck0992:1,deck0992:1,1,
993,T2C1HUdragon,T3C1WEdragon,deck0993:1,deck0993:1,1,
994,T2C1HUdragon,T3C1SFdragon,deck0994:1,deck0994:1,1,
995,T2C1HUdragon,T3C1HIdragon,deck0995:1,deck0995:1,1,
996,T2C1HUdragon,T3C1WUdragon,deck0996:1,deck0996:1,1,
997,T2C1HUdragon,T3C1SIdragon,deck0997:1,deck0997:1,1,
998,T2C1HUdragon,T3C1HEdragon,deck0998:1,deck0998:1,1,
999,T2C1HUdragon,T3C2SEdragon,deck0999:1,deck0999:1,1,
1000,T2C1HUdragon,T3C2HUdragon,deck1000:1,deck1000:1,1,
1001,T2C1HUdragon,T3C2WFdragon,deck1001:1,deck1001:1,1,
1002,T2C1HUdragon,T3C3SUdragon,deck1002:1,deck1002:1,1,
1003,T2C1HUdragon,T3C3HFdragon,deck1003:1,deck1003:1,1,
1004,T2C1HUdragon,T3C3WIdragon,deck1004:1,deck1004:1,1,
1005,T2C1HUdragon,T3C3HIdragon,deck1005:1,deck1005:1,1,
1006,T2C1HUdragon,T4C1SFdragon,deck1006:1,deck1006:1,1,
1007,T2C1HUdragon,T4C1HIdragon,deck1007:1,deck1007:1,1,
1008,T2C1HUdragon,T4C1WUdragon,deck1008:1,deck1008:1,1,
1009,T2C1HUdragon,T4C1SDdragon,deck1009:1,deck1009:1,1,
1010,T2C1HUdragon,T4C1HEdragon,deck1010:1,deck1010:1,1,
1011,T2C1HUdragon,T4C1HFdragon,deck1011:1,deck1011:1,1,
1012,T2C1HUdragon,T4C2WIdragon,deck1012:1,deck1012:1,1,
1013,T2C1HUdragon,T4C2SEdragon,deck1013:1,deck1013:1,1,
1014,T2C1HUdragon,T4C2HUdragon,deck1014:1,deck1014:1,1,
1015,T2C1HUdragon,T4C2WDdragon,deck1015:1,deck1015:1,1,
1016,T2C1HUdragon,T4C3SIdragon,deck1016:1,deck1016:1,1,
1017,T2C1HUdragon,T4C3WFdragon,deck1017:1,deck1017:1,1,
1018,T2C1HUdragon,T4C3HDdragon,deck1018:1,deck1018:1,1,
1019,T2C1HUdragon,T4C3SUdragon,deck1019:1,deck1019:1,1,
1020,T2C1HUdragon,T4C3WEdragon,deck1020:1,deck1020:1,1,
1021,T2C1HUdragon,T5C1WUdragon,deck1021:1,deck1021:1,1,
1022,T2C1HUdragon,T5C1HEdragon,deck1022:1,deck1022:1,1,
1023,T2C1HUdragon,T5C1WDdragon,deck1023:1,deck1023:1,1,
1024,T2C1HUdragon,T5C1SFdragon,deck1024:1,deck1024:1,1,
1025,T2C1HUdragon,T5C1HIdragon,deck1025:1,deck1025:1,1,
1026,T2C1HUdragon,T5C2SEdragon,deck1026:1,deck1026:1,1,
1027,T2C1HUdragon,T5C2HDdragon,deck1027:1,deck1027:1,1,
1028,T2C1HUdragon,T5C2WIdragon,deck1028:1,deck1028:1,1,
1029,T2C1HUdragon,T5C2SUdragon,deck1029:1,deck1029:1,1,
1030,T2C1HUdragon,T5C3HFdragon,deck1030:1,deck1030:1,1,
1031,T2C1HUdragon,T5C3WFdragon,deck1031:1,deck1031:1,1,
1032,T2C1HUdragon,T5C3SDdragon,deck1032:1,deck1032:1,1,
1033,T2C1HUdragon,T5C3HUdragon,deck1033:1,deck1033:1,1,
1034,T2C1HUdragon,T5C3WEdragon,deck1034:1,deck1034:1,1,
1035,T2C1HUdragon,T5C3SIdragon,deck1035:1,deck1035:1,1,
1036,T2C1HUdragon,T6C1SIdragon,deck1036:1,deck1036:1,1,
1037,T2C1HUdragon,T6C1WFdragon,deck1037:1,deck1037:1,1,
1038,T2C1HUdragon,T6C1HEdragon,deck1038:1,deck1038:1,1,
1039,T2C1HUdragon,T6C1WDdragon,deck1039:1,deck1039:1,1,
1040,T2C1HUdragon,T6C1WIdragon,deck1040:1,deck1040:1,1,
1041,T2C1HUdragon,T6C1SFdragon,deck1041:1,deck1041:1,1,
1042,T2C1HUdragon,T6C2HUdragon,deck1042:1,deck1042:1,1,
1043,T2C1HUdragon,T6C3HIdragon,deck1043:1,deck1043:1,1,
1044,T2C1HUdragon,T6C3HUdragon,deck1044:1,deck1044:1,1,
1045,T2C1HUdragon,T6C3WFdragon,deck1045:1,deck1045:1,1,
1046,T2C1HUdragon,T6C3SDdragon,deck1046:1,deck1046:1,1,
1047,T2C1HUdragon,T6C3SEdragon,deck1047:1,deck1047:1,1,
1048,T2C1HUdragon,T7C1WDdragon,deck1048:1,deck1048:1,1,
1049,T2C1HUdragon,T7C1SIdragon,deck1049:1,deck1049:1,1,
1050,T2C1HUdragon,T7C1HFdragon,deck1050:1,deck1050:1,1,
1051,T2C1HUdragon,T7C2WIdragon,deck1051:1,deck1051:1,1,
1052,T2C1HUdragon,T7C2SEdragon,deck1052:1,deck1052:1,1,
1053,T2C1HUdragon,T7C2HFdragon,deck1053:1,deck1053:1,1,
1054,T2C1HUdragon,T7C2HDdragon,deck1054:1,deck1054:1,1,
1055,T2C1HUdragon,T7C3WEdragon,deck1055:1,deck1055:1,1,
1056,T2C1HUdragon,T7C3SFdragon,deck1056:1,deck1056:1,1,
1057,T2C1HUdragon,T7C3SIdragon,deck1057:1,deck1057:1,1,
1058,T2C1HUdragon,T7C3WIdragon,deck1058:1,deck1058:1,1,
1059,T2C1HUdragon,T7C3HDdragon,deck1059:1,deck1059:1,1,
1060,T2C2WIdragon,T2C2SUdragon,deck1060:1,deck1060:1,1,
1061,T2C2WIdragon,T2C2HEdragon,deck1061:1,deck1061:1,1,
1062,T2C2WIdragon,T2C3WUdragon,deck1062:1,deck1062:1,1,
1063,T2C2WIdragon,T2C3SEdragon,deck1063:1,deck1063:1,1,
1064,T2C2WIdragon,T2C3HFdragon,deck1064:1,deck1064:1,1,
1065,T2C2WIdragon,T2C3SFdragon,deck1065:1,deck1065:1,1,
1066,T2C2WIdragon,T2C3HIdragon,deck1066:1,deck1066:1,1,
1067,T2C2WIdragon,T2C3WEdragon,deck1067:1,deck1067:1,1,
1068,T2C2WIdragon,T3C1WEdragon,deck1068:1,deck1068:1,1,
1069,T2C2WIdragon,T3C1SFdragon,deck1069:1,deck1069:1,1,
1070,T2C2WIdragon,T3C1HIdragon,deck1070:1,deck1070:1,1,
1071,T2C2WIdragon,T3C1WUdragon,deck1071:1,deck1071:1,1,
1072,T2C2WIdragon,T3C1SIdragon,deck1072:1,deck1072:1,1,
1073,T2C2WIdragon,T3C1HEdragon,deck1073:1,deck1073:1,1,
1074,T2C2WIdragon,T3C2SEdragon,deck1074:1,deck1074:1,1,
1075,T2C2WIdragon,T3C2HUdragon,deck1075:1,deck1075:1,1,
1076,T2C2WIdragon,T3C2WFdragon,deck1076:1,deck1076:1,1,
1077,T2C2WIdragon,T3C3SUdragon,deck1077:1,deck1077:1,1,
1078,T2C2WIdragon,T3C3HFdragon,deck1078:1,deck1078:1,1,
1079,T2C2WIdragon,T3C3WIdragon,deck1079:1,deck1079:1,1,
1080,T2C2WIdragon,T3C3HIdragon,deck1080:1,deck1080:1,1,
1081,T2C2WIdragon,T4C1SFdragon,deck1081:1,deck1081:1,1,
1082,T2C2WIdragon,T4C1HIdragon,deck1082:1,deck1082:1,1,
1083,T2C2WIdragon,T4C1WUdragon,deck1083:1,deck1083:1,1,
1084,T2C2WIdragon,T4C1SDdragon,deck1084:1,deck1084:1,1,
1085,T2C2WIdragon,T4C1HEdragon,deck1085:1,deck1085:1,1,
1086,T2C2WIdragon,T4C1HFdragon,deck1086:1,deck1086:1,1,
1087,T2C2WIdragon,T4C2WIdragon,deck1087:1,deck1087:1,1,
1088,T2C2WIdragon,T4C2SEdragon,deck1088:1,deck1088:1,1,
1089,T2C2WIdragon,T4C2HUdragon,deck1089:1,deck1089:1,1,
1090,T2C2WIdragon,T4C2WDdragon,deck1090:1,deck1090:1,1,
1091,T2C2WIdragon,T4C3SIdragon,deck1091:1,deck1091:1,1,
1092,T2C2WIdragon,T4C3WFdragon,deck1092:1,deck1092:1,1,
1093,T2C2WIdragon,T4C3HDdragon,deck1093:1,deck1093:1,1,
1094,T2C2WIdragon,T4C3SUdragon,deck1094:1,deck1094:1,1,
1095,T2C2WIdragon,T4C3WEdragon,deck1095:1,deck1095:1,1,
1096,T2C2WIdragon,T5C1WUdragon,deck1096:1,deck1096:1,1,
1097,T2C2WIdragon,T5C1HEdragon,deck1097:1,deck1097:1,1,
1098,T2C2WIdragon,T5C1WDdragon,deck1098:1,deck1098:1,1,
1099,T2C2WIdragon,T5C1SFdragon,deck1099:1,deck1099:1,1,
1100,T2C2WIdragon,T5C1HIdragon,deck1100:1,deck1100:1,1,
1101,T2C2WIdragon,T5C2SEdragon,deck1101:1,deck1101:1,1,
1102,T2C2WIdragon,T5C2HDdragon,deck1102:1,deck1102:1,1,
1103,T2C2WIdragon,T5C2WIdragon,deck1103:1,deck1103:1,1,
1104,T2C2WIdragon,T5C2SUdragon,deck1104:1,deck1104:1,1,
1105,T2C2WIdragon,T5C3HFdragon,deck1105:1,deck1105:1,1,
1106,T2C2WIdragon,T5C3WFdragon,deck1106:1,deck1106:1,1,
1107,T2C2WIdragon,T5C3SDdragon,deck1107:1,deck1107:1,1,
1108,T2C2WIdragon,T5C3HUdragon,deck1108:1,deck1108:1,1,
1109,T2C2WIdragon,T5C3WEdragon,deck1109:1,deck1109:1,1,
1110,T2C2WIdragon,T5C3SIdragon,deck1110:1,deck1110:1,1,
1111,T2C2WIdragon,T6C1SIdragon,deck1111:1,deck1111:1,1,
1112,T2C2WIdragon,T6C1WFdragon,deck1112:1,deck1112:1,1,
1113,T2C2WIdragon,T6C1HEdragon,deck1113:1,deck1113:1,1,
1114,T2C2WIdragon,T6C1WDdragon,deck1114:1,deck1114:1,1,
1115,T2C2WIdragon,T6C1WIdragon,deck1115:1,deck1115:1,1,
1116,T2C2WIdragon,T6C1SFdragon,deck1116:1,deck1116:1,1,
1117,T2C2WIdragon,T6C2HUdragon,deck1117:1,deck1117:1,1,
1118,T2C2WIdragon,T6C3HIdragon,deck1118:1,deck1118:1,1,
1119,T2C2WIdragon,T6C3HUdragon,deck1119:1,deck1119:1,1,
1120,T2C2WIdragon,T6C3WFdragon,deck1120:1,deck1120:1,1,
1121,T2C2WIdragon,T6C3SDdragon,deck1121:1,deck1121:1,1,
1122,T2C2WIdragon,T6C3SEdragon,deck1122:1,deck1122:1,1,
1123,T2C2WIdragon,T7C1WDdragon,deck1123:1,deck1123:1,1,
1124,T2C2WIdragon,T7C1SIdragon,deck1124:1,deck1124:1,1,
1125,T2C2WIdragon,T7C1HFdragon,deck1125:1,deck1125:1,1,
1126,T2C2WIdragon,T7C2WIdragon,deck1126:1,deck1126:1,1,
1127,T2C2WIdragon,T7C2SEdragon,deck1127:1,deck1127:1,1,
1128,T2C2WIdragon,T7C2HFdragon,deck1128:1,deck1128:1,1,
1129,T2C2WIdragon,T7C2HDdragon,deck1129:1,deck1129:1,1,
1130,T2C2WIdragon,T7C3WEdragon,deck1130:1,deck1130:1,1,
1131,T2C2WIdragon,T7C3SFdragon,deck1131:1,deck1131:1,1,
1132,T2C2WIdragon,T7C3SIdragon,deck1132:1,deck1132:1,1,
1133,T2C2WIdragon,T7C3WIdragon,deck1133:1,deck1133:1,1,
1134,T2C2WIdragon,T7C3HDdragon,deck1134:1,deck1134:1,1,
1135,T2C2SUdragon,T2C2HEdragon,deck1135:1,deck1135:1,1,
1136,T2C2SUdragon,T2C3WUdragon,deck1136:1,deck1136:1,1,
1137,T2C2SUdragon,T2C3SEdragon,deck1137:1,deck1137:1,1,
1138,T2C2SUdragon,T2C3HFdragon,deck1138:1,deck1138:1,1,
1139,T2C2SUdragon,T2C3SFdragon,deck1139:1,deck1139:1,1,
1140,T2C2SUdragon,T2C3HIdragon,deck1140:1,deck1140:1,1,
1141,T2C2SUdragon,T2C3WEdragon,deck1141:1,deck1141:1,1,
1142,T2C2SUdragon,T3C1WEdragon,deck1142:1,deck1142:1,1,
1143,T2C2SUdragon,T3C1SFdragon,deck1143:1,deck1143:1,1,
1144,T2C2SUdragon,T3C1HIdragon,deck1144:1,deck1144:1,1,
1145,T2C2SUdragon,T3C1WUdragon,deck1145:1,deck1145:1,1,
1146,T2C2SUdragon,T3C1SIdragon,deck1146:1,deck1146:1,1,
1147,T2C2SUdragon,T3C1HEdragon,deck1147:1,deck1147:1,1,
1148,T2C2SUdragon,T3C2SEdragon,deck1148:1,deck1148:1,1,
1149,T2C2SUdragon,T3C2HUdragon,deck1149:1,deck1149:1,1,
1150,T2C2SUdragon,T3C2WFdragon,deck1150:1,deck1150:1,1,
1151,T2C2SUdragon,T3C3SUdragon,deck1151:1,deck1151:1,1,
1152,T2C2SUdragon,T3C3HFdragon,deck1152:1,deck1152:1,1,
1153,T2C2SUdragon,T3C3WIdragon,deck1153:1,deck1153:1,1,
1154,T2C2SUdragon,T3C3HIdragon,deck1154:1,deck1154:1,1,
1155,T2C2SUdragon,T4C1SFdragon,deck1155:1,deck1155:1,1,
1156,T2C2SUdragon,T4C1HIdragon,deck1156:1,deck1156:1,1,
1157,T2C2SUdragon,T4C1WUdragon,deck1157:1,deck1157:1,1,
1158,T2C2SUdragon,T4C1SDdragon,deck1158:1,deck1158:1,1,
1159,T2C2SUdragon,T4C1HEdragon,deck1159:1,deck1159:1,1,
1160,T2C2SUdragon,T4C1HFdragon,deck1160:1,deck1160:1,1,
1161,T2C2SUdragon,T4C2WIdragon,deck1161:1,deck1161:1,1,
1162,T2C2SUdragon,T4C2SEdragon,deck1162:1,deck1162:1,1,
1163,T2C2SUdragon,T4C2HUdragon,deck1163:1,deck1163:1,1,
1164,T2C2SUdragon,T4C2WDdragon,deck1164:1,deck1164:1,1,
1165,T2C2SUdragon,T4C3SIdragon,deck1165:1,deck1165:1,1,
1166,T2C2SUdragon,T4C3WFdragon,deck1166:1,deck1166:1,1,
1167,T2C2SUdragon,T4C3HDdragon,deck1167:1,deck1167:1,1,
1168,T2C2SUdragon,T4C3SUdragon,deck1168:1,deck1168:1,1,
1169,T2C2SUdragon,T4C3WEdragon,deck1169:1,deck1169:1,1,
1170,T2C2SUdragon,T5C1WUdragon,deck1170:1,deck1170:1,1,
1171,T2C2SUdragon,T5C1HEdragon,deck1171:1,deck1171:1,1,
1172,T2C2SUdragon,T5C1WDdragon,deck1172:1,deck1172:1,1,
1173,T2C2SUdragon,T5C1SFdragon,deck1173:1,deck1173:1,1,
1174,T2C2SUdragon,T5C1HIdragon,deck1174:1,deck1174:1,1,
1175,T2C2SUdragon,T5C2SEdragon,deck1175:1,deck1175:1,1,
1176,T2C2SUdragon,T5C2HDdragon,deck1176:1,deck1176:1,1,
1177,T2C2SUdragon,T5C2WIdragon,deck1177:1,deck1177:1,1,
1178,T2C2SUdragon,T5C2SUdragon,deck1178:1,deck1178:1,1,
1179,T2C2SUdragon,T5C3HFdragon,deck1179:1,deck1179:1,1,
1180,T2C2SUdragon,T5C3WFdragon,deck1180:1,deck1180:1,1,
1181,T2C2SUdragon,T5C3SDdragon,deck1181:1,deck1181:1,1,
1182,T2C2SUdragon,T5C3HUdragon,deck1182:1,deck1182:1,1,
1183,T2C2SUdragon,T5C3WEdragon,deck1183:1,deck1183:1,1,
1184,T2C2SUdragon,T5C3SIdragon,deck1184:1,deck1184:1,1,
1185,T2C2SUdragon,T6C1SIdragon,deck1185:1,deck1185:1,1,
1186,T2C2SUdragon,T6C1WFdragon,deck1186:1,deck1186:1,1,
1187,T2C2SUdragon,T6C1HEdragon,deck1187:1,deck1187:1,1,
1188,T2C2SUdragon,T6C1WDdragon,deck1188:1,deck1188:1,1,
1189,T2C2SUdragon,T6C1WIdragon,deck1189:1,deck1189:1,1,
1190,T2C2SUdragon,T6C1SFdragon,deck1190:1,deck1190:1,1,
1191,T2C2SUdragon,T6C2HUdragon,deck1191:1,deck1191:1,1,
1192,T2C2SUdragon,T6C3HIdragon,deck1192:1,deck1192:1,1,
1193,T2C2SUdragon,T6C3HUdragon,deck1193:1,deck1193:1,1,
1194,T2C2SUdragon,T6C3WFdragon,deck1194:1,deck1194:1,1,
1195,T2C2SUdragon,T6C3SDdragon,deck1195:1,deck1195:1,1,
1196,T2C2SUdragon,T6C3SEdragon,deck1196:1,deck1196:1,1,
1197,T2C2SUdragon,T7C1WDdragon,deck1197:1,deck1197:1,1,
1198,T2C2SUdragon,T7C1SIdragon,deck1198:1,deck1198:1,1,
