identifier,commonIdentifier,level,maxTimes,debuffType,debuffEffectInfoIdentifier,radius,percentageIncreasedDamage,ragePoints,damageAsPercentageOfMaxHP,h
whiteDreadfulRoar120,whiteDreadfulRoar,120,100,gloomCloud,gloomCloud120,80,20,200,,
whiteDreadfulRoar121,whiteDreadfulRoar,121,100,gloomCloud,gloomCloud121,80,20,200,,
whiteDreadfulRoar122,whiteDreadfulRoar,122,100,gloomCloud,gloomCloud122,80,20,200,,
whiteDreadfulRoar123,whiteDreadfulRoar,123,100,gloomCloud,gloomCloud123,80,20,200,,
whiteDreadfulRoar124,whiteDreadfulRoar,124,100,gloomCloud,gloomCloud124,80,20,200,,
whiteDreadfulRoar125,whiteDreadfulRoar,125,100,gloomCloud,gloomCloud125,80,20,200,,
whiteDreadfulRoar126,whiteDreadfulRoar,126,100,gloomCloud,gloomCloud126,80,20,200,,
whiteDreadfulRoar127,whiteDreadfulRoar,127,100,gloomCloud,gloomCloud127,80,20,200,,
whiteDreadfulRoar128,whiteDreadfulRoar,128,100,gloomCloud,gloomCloud128,80,20,200,,
whiteDreadfulRoar129,whiteDreadfulRoar,129,100,gloomCloud,gloomCloud129,80,20,200,,
whiteDreadfulRoar130,whiteDreadfulRoar,130,100,gloomCloud,gloomCloud130,80,20,200,,
whiteDreadfulRoar131,whiteDreadfulRoar,131,100,gloomCloud,gloomCloud131,80,20,200,,
whiteDreadfulRoar132,whiteDreadfulRoar,132,100,gloomCloud,gloomCloud132,80,20,200,,
whiteDreadfulRoar133,whiteDreadfulRoar,133,100,gloomCloud,gloomCloud133,80,20,200,,
whiteDreadfulRoar134,whiteDreadfulRoar,134,100,gloomCloud,gloomCloud134,80,20,200,,
whiteDreadfulRoar135,whiteDreadfulRoar,135,100,gloomCloud,gloomCloud135,80,20,200,,
whiteDreadfulRoar136,whiteDreadfulRoar,136,100,gloomCloud,gloomCloud136,80,20,200,,
whiteDreadfulRoar137,whiteDreadfulRoar,137,100,gloomCloud,gloomCloud137,80,20,200,,
whiteDreadfulRoar138,whiteDreadfulRoar,138,100,gloomCloud,gloomCloud138,80,20,200,,
whiteDreadfulRoar139,whiteDreadfulRoar,139,100,gloomCloud,gloomCloud139,80,20,200,,
whiteDreadfulRoar140,whiteDreadfulRoar,140,100,gloomCloud,gloomCloud140,80,20,200,,
whiteDreadfulRoar141,whiteDreadfulRoar,141,100,gloomCloud,gloomCloud141,80,20,200,,
whiteDreadfulRoar142,whiteDreadfulRoar,142,100,gloomCloud,gloomCloud142,80,20,200,,
whiteDreadfulRoar143,whiteDreadfulRoar,143,100,gloomCloud,gloomCloud143,80,20,200,,
whiteDreadfulRoar144,whiteDreadfulRoar,144,100,gloomCloud,gloomCloud144,80,20,200,,
whiteDreadfulRoar145,whiteDreadfulRoar,145,100,gloomCloud,gloomCloud145,80,20,200,,
whiteDreadfulRoar146,whiteDreadfulRoar,146,100,gloomCloud,gloomCloud146,80,20,200,,
whiteDreadfulRoar147,whiteDreadfulRoar,147,100,gloomCloud,gloomCloud147,80,20,200,,
whiteDreadfulRoar148,whiteDreadfulRoar,148,100,gloomCloud,gloomCloud148,80,20,200,,
whiteDreadfulRoar149,whiteDreadfulRoar,149,100,gloomCloud,gloomCloud149,80,20,200,,
whiteDreadfulRoar150,whiteDreadfulRoar,150,100,gloomCloud,gloomCloud150,80,20,200,,
whiteDreadfulRoar151,whiteDreadfulRoar,151,100,gloomCloud,gloomCloud151,80,20,200,,
whiteDreadfulRoar152,whiteDreadfulRoar,152,100,gloomCloud,gloomCloud152,80,20,200,,
whiteDreadfulRoar153,whiteDreadfulRoar,153,100,gloomCloud,gloomCloud153,80,20,200,,
whiteDreadfulRoar154,whiteDreadfulRoar,154,100,gloomCloud,gloomCloud154,80,20,200,,
whiteDreadfulRoar155,whiteDreadfulRoar,155,100,gloomCloud,gloomCloud155,80,20,200,,
whiteDreadfulRoar156,whiteDreadfulRoar,156,100,gloomCloud,gloomCloud156,80,20,200,,
whiteDreadfulRoar157,whiteDreadfulRoar,157,100,gloomCloud,gloomCloud157,80,20,200,,
whiteDreadfulRoar158,whiteDreadfulRoar,158,100,gloomCloud,gloomCloud158,80,20,200,,
whiteDreadfulRoar159,whiteDreadfulRoar,159,100,gloomCloud,gloomCloud159,80,20,200,,
whiteDreadfulRoar160,whiteDreadfulRoar,160,100,gloomCloud,gloomCloud160,80,20,200,,
whiteDreadfulRoar161,whiteDreadfulRoar,161,100,gloomCloud,gloomCloud161,80,20,200,,
whiteDreadfulRoar162,whiteDreadfulRoar,162,100,gloomCloud,gloomCloud162,80,20,200,,
whiteDreadfulRoar163,whiteDreadfulRoar,163,100,gloomCloud,gloomCloud163,80,20,200,,
whiteDreadfulRoar164,whiteDreadfulRoar,164,100,gloomCloud,gloomCloud164,80,20,200,,
whiteDreadfulRoar165,whiteDreadfulRoar,165,100,gloomCloud,gloomCloud165,80,20,200,,
whiteDreadfulRoar166,whiteDreadfulRoar,166,100,gloomCloud,gloomCloud166,80,20,200,,
whiteDreadfulRoar167,whiteDreadfulRoar,167,100,gloomCloud,gloomCloud167,80,20,200,,
whiteDreadfulRoar168,whiteDreadfulRoar,168,100,gloomCloud,gloomCloud168,80,20,200,,
whiteDreadfulRoar169,whiteDreadfulRoar,169,100,gloomCloud,gloomCloud169,80,20,200,,
whiteDreadfulRoar170,whiteDreadfulRoar,170,100,gloomCloud,gloomCloud170,80,20,200,,
whiteDreadfulRoar171,whiteDreadfulRoar,171,100,gloomCloud,gloomCloud171,80,20,200,,
whiteDreadfulRoar172,whiteDreadfulRoar,172,100,gloomCloud,gloomCloud172,80,20,200,,
whiteDreadfulRoar173,whiteDreadfulRoar,173,100,gloomCloud,gloomCloud173,80,20,200,,
whiteDreadfulRoar174,whiteDreadfulRoar,174,100,gloomCloud,gloomCloud174,80,20,200,,
whiteDreadfulRoar175,whiteDreadfulRoar,175,100,gloomCloud,gloomCloud175,80,20,200,,
whiteDreadfulRoar176,whiteDreadfulRoar,176,100,gloomCloud,gloomCloud176,80,20,200,,
whiteDreadfulRoar177,whiteDreadfulRoar,177,100,gloomCloud,gloomCloud177,80,20,200,,
whiteDreadfulRoar178,whiteDreadfulRoar,178,100,gloomCloud,gloomCloud178,80,20,200,,
whiteDreadfulRoar179,whiteDreadfulRoar,179,100,gloomCloud,gloomCloud179,80,20,200,,
whiteDreadfulRoar180,whiteDreadfulRoar,180,100,gloomCloud,gloomCloud180,80,20,200,,
whiteDreadfulRoar181,whiteDreadfulRoar,181,100,gloomCloud,gloomCloud181,80,20,200,,
whiteDreadfulRoar182,whiteDreadfulRoar,182,100,gloomCloud,gloomCloud182,80,20,200,,
flashFreeze1,flashFreeze,1,100,freeze,freeze02,80,150,200,0.1,
derisiveShriek1,derisiveShriek,1,100,gloomCloud,gloomCloud01,80,20,200,0.1,
timeStop1,timeStop,1,100,freeze,freeze02,80,0,200,0.12,
debilitatingSludge1,debilitatingSludge,1,100,freeze,freeze02,80,100,200,0.12,
causticSpines1,causticSpines,1,100,gloomCloud,gloomCloudCausticSpines,80,85,200,0.15,
tanglingKelp1,tanglingKelp,1,100,freeze,freeze03,80,30,200,0.05,
synapticWave1,synapticWave,1,100,freeze,freezeSynapticWave,80,50,100,0.05,
wingGust1,wingGust,1,100,freeze,freezeWingGust,80,0,100,0,
whiteout1,whiteout,1,100,freeze,freeze03,80,30,200,0.08,
petrifyingGaze1,petrifyingGaze,1,100,freeze,freeze03,80,50,200,0,!@#bdlpbcbbogmkhnfm
