identifier,inBundle,imageFilename,text,attackerColorString,defenderColorString,introEffect,showTime,attackerScreenPosition,defenderScreenPosition,h
arcaneAegisSpellText,1,icon_arcaneAegis.png,ARCANE AEGIS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bloodLustSpellText,1,icon_bloodlust.png,BLOODLUST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
derisiveShriekSpellText,1,icon_derisiveShriek.png,DERISIVE SHRIEK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
harrowingBoltSpellText,1,icon_harrowing_Bolt.png,HARROWING BOLT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
mystifySpellText,1,icon_mystify.png,MYSTIFY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
enshroudSpellText,1,icon_enshroud.png,ENSHROUD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
scarletFeverSpellText,1,icon_scarletFever.png,SCARLET FEVER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
infernoSpellText,1,icon_inferno.png,INFERNO!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
soulBarrageSpellText,1,icon_soulBarrage.png,SOUL BARRAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
deathKnellSpellText,1,icon_deathKnell.png,DEATH KNELL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ectoplasmicBreathSpellText,1,icon_ectoplasmicBreath.png,ECTOPLASMIC BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
earthFlakShotText,1,icon_flak_tower_earth.png,INVINCIBLE TOWERS!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
snowBlindSpellText,1,icon_snowBlind.png,SNOW BLIND!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
huntersMarkSpellText,1,icon_huntersMark.png,HUNTERS MARK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
burningHatredSpellText,1,icon_burningHatred.png,BURNING HATRED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ragnarokSpellText,1,icon_ragnarok2.png,RAGNAROK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
incinerateSpellText,1,icon_incinerate.png,INCINERATE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spiritualGuardianSpellText,1,icon_apophetshadow_01.png,SPIRITUAL GUARDIAN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spearSalvoSpellText,1,icon_spearSalvo.png,SPEAR SALVO!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
pillagingFlamesSpellText,1,icon_pillagingFlames.png,PILLAGING FLAMES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
staticBlastSpellText,1,icon_staticBlast.png,STATIC BLAST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
timeStopSpellText,1,icon_timeStop.png,TIME STOP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
solarVolleySpellText,0,icon_solarVolley.png,SOLAR VOLLEY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
moonShroudSpellText,1,icon_moonShroud.png,MOONSHROUD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
alterFateSpellText,1,icon_alterFate.png,ALTER FATE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
cannotTeleportText,1,,TELEPORT BLOCKED: TOO CLOSE TO END!,238~117~21,238~117~21,none,1.5,onDragon,,
onslaughtSpellText,1,icon_onslaught_01.png,ONSLAUGHT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
debilitatingSludgeSpellText,1,icon_debilitatingSludge.png,DEBILITATING SLUDGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
miasmicBreathSpellText,1,icon_miasmicBreath.png,MIASMIC BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
unnervingShriekText,1,icon_unnervingShriek.png,UNNERVING SHRIEK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
coldSnapSpellText,1,icon_coldsnap.png,COLDSNAP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
dragonfireMissileSpellText,1,icon_dragonfireMissile.png,DRAGONFIRE MISSILE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonPuppetSpellText,1,icon_summonPuppet.png,SUMMON PUPPET!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
spiralingMadnessSpellText,1,icon_spiralingMadness.png,SPIRALING MADNESS,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
revitalizeSpellText,1,icon_revitalize.png,REVITALIZE,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
darkRebirthSpellText,1,icon_darkRebirth.png,DARK REBIRTH,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
celestialShieldSpellText,1,icon_celestialShield.png,CELESTIAL SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
divineStormSpellText,1,icon_divineStorm.png,DIVINE STORM!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
frostBreathSpellText,1,icon_frostBreath.png,FROST BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
immolatingBreathSpellText,1,icon_immolatingBreath.png,IMMOLATING BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
leechingBreathSpellText,1,icon_leechingBreath.png,LEECHING BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
skulkSpellText,1,icon_skulk.png,SKULK!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
hysteriaSpellText,1,icon_hysteria.png,HYSTERIA!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
corruptionOfTheVoidSpellText,1,icon_corruptionVoid.png,CORRUPTION OF THE VOID!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
scavengeSpellText,1,icon_scavenge.png,SCAVENGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
wellOfPowerSpellText,1,icon_wellOfPower.png,WELL OF POWER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
breathOfTheDrownedSpellText,1,icon_breathOfTheDrowned.png,BREATH OF THE DROWNED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
undertowSpellText,1,icon_undertow.png,UNDERTOW!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
purifyingAegisSpellText,1,icon_purifyingAegis.png,PURIFYING AEGIS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
protectiveTalismanSpellText,1,icon_protectiveTalisman.png,PROTECTIVE TALISMAN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
wayOfTheBladeSpellText,1,icon_wayOfTheBlade.png,WAY OF THE BLADE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
fightingSpiritSpellText,1,icon_fightingSpirit.png,FIGHTING SPIRIT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
sliceSpellText,1,icon_slice.png,SLICE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
thrustSpellText,1,icon_thrust.png,THRUST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
executeSpellText,1,icon_execute.png,EXECUTE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
adaptiveImmunitySpellText,1,icon_adaptiveImmunity.png,ADAPTIVE IMMUNITY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
trickstersToolkitSpellText,1,icon_trickstersToolkit.png,SPELL STOLEN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
kitsuneMischiefSpellText,1,icon_kitsuneMischief.png,KITSUNE MISCHIEF!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
foxfireBoltSpellText,1,icon_foxfireBolt.png,FOXFIRE BOLT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
risingTemperSpellText,1,icon_risingTemper.png,RISING TEMPER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
moltenBarrierSpellText,1,icon_moltenBarrier.png,MOLTEN BARRIER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
eruptionSpellText,1,icon_eruption.png,ERUPTION!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
scatterSpellText,1,icon_scatter.png,SCATTER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ensnaringVinesSpellText,1,icon_noxiousVines.png,ENSNARING VINES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shrineGuardianSpellText,1,icon_rage_passive.png,SHRINE GUARDIAN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonWaterSpiritSpellText,1,icon_summonWaterSpirit.png,SUMMON WATER SPIRIT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
empoweredBreathText,1,icon_riderBuffs_dragonAttack.png,BREATH ATTACK EMPOWERED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
nourishingShadowsSpellText,1,icon_nourishingShadows.png,NOURISHING SHADOWS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whirlpoolSpellText,1,icon_whirlpool.png,WHIRLPOOL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
sandblastSpellText,1,icon_sandBlast.png,SAND BLAST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
reefFamiliarSpellText,1,icon_reefFamiliar.png,REEF FAMILIAR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
vaporShieldSpellText,1,icon_vaporShield.png,VAPOR SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
causticSpinesSpellText,1,icon_causticSpines.png,CAUSTIC SPINES!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
apexPredatorSpellText,1,icon_apexPredator.png,WAY OF THE BLADE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
primordialBreathSpellText,1,icon_primordialBreath.png,PRIMORDIAL BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
primalShieldSpellText,1,icon_primalShield.png,PRIMAL SHIELD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
tanglingKelpSpellText,1,icon_tanglingKelp.png,TANGLING KELP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
underwhelmingFireballSpellText,1,icon_underwhelmingFireball.png,UNDERWHELMING FIREBALL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
getAngrySpellText,1,icon_getAngry.png,GET ANGRY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
deflectingGaleSpellText,1,icon_deflectingGale.png,DEFLECTING GALE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ammoRechargeTimeChangeText,1,,REDUCE AMMO RECHARGE TIME!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
crestingWaveSpellText,1,icon_crestingWave.png,CRESTING WAVE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
invokeFreezeText,1,,EMPOWERED ATTACK INVOKED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
hydrostrikeSpellText,1,icon_hydrostrike.png,HYDROSTRIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
contagionSpellText,1,icon_contagion.png,CONTAGION!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
deliriumSpellText,1,icon_contagionDelirium.png,DELIRIUM!,238~117~21,238~117~21,none,1,onDragon,onDragonDefender,
defileSpellText,1,icon_contagionDefile.png,DEFILE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
lightningSurgeSpellText,1,icon_lightningSurge.png,LIGHTNING SURGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
swarmStrikeSpellText,1,icon_swarmStrike.png,SWARM STRIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
summonSwarmSpellText,1,icon_summonSwarm.png,SUMMON SWARM!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
locustCloudSpellText,1,icon_locustCloud.png,LOCUST CLOUD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
acidSpitSpellText,1,icon_acidSpit.png,ACID SPIT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
meteorSpellText,1,icon_meteor.png,METEOR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
invokeAssimilateSpellText,1,,EMPOWERED ATTACK INVOKED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
writheSpellText,1,icon_writhe.png,WRITHE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
entropySpellText,1,icon_entropy.png,ENTROPY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
cosmicGazeSpellText,1,icon_cosmicGaze.png,COSMIC GAZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
evilEyeSpellText,1,icon_evilEye_01.png,EVIL EYE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
roarFromBeyondText,1,icon_roarFromBeyond.png,ROAR FROM BEYOND!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
twistedVisageSpellText,1,,TWISTED VISAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
maskOfMiserySpellText,1,icon_maskOfMisery.png,MASK OF MISERY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
maskOfManiaSpellText,1,icon_maskOfMania.png,MASK OF MANIA!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
realityWarpSpellText,1,icon_realityWarp.png,REALITY WARP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
mindSpikeSpellText,1,icon_mindSpike.png,MIND SPIKE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
bloodMistSpellText,1,icon_bloodMist.png,BLOOD MIST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
elderSignSpellText,1,icon_elderSign.png,ELDER SIGN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
eternalMightSpellText,1,icon_eternalMight.png,ETERNAL MIGHT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
awakenSpellText,1,icon_awaken.png,AWAKEN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
touchOfTheDeepSpellText,1,icon_touchOfTheDeep.png,TOUCH OF THE DEEP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whispersOfMadnessSpellText,1,icon_whispersOfMadness.png,WHISPERS OF MADNESS!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
synapticWaveSpellText,1,icon_synapticWave.png,SYNAPTIC WAVE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
overchargeSpellText,1,icon_overload.png,OVERCHARGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ferociousDiveSpellText,1,icon_ferociousDive.png,FEROCIOUS DIVE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
marshBoltSpellText,1,icon_marshBolt.png,MARSH BOLT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
prowlSpellText,1,icon_prowl.png,PROWL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ravageSpellText,1,icon_ravage.png,RAVAGE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
dragonCurseSpellText,1,icon_curseOfGreed.png,CURSE OF GREED!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
stormBreathSpellText,1,icon_stormBreath.png,STORM BREATH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
wingGustSpellText,1,icon_wingGust.png,WING GUST!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
invokeExcavateSpellText,1,,INVOKE: EXCAVATE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
hoverSpellText,1,icon_hover.png,HOVER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
rapidCoolingSpellText,1,icon_rapidCooling.png,RAPID COOLING!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
snowdriftSpellText,1,icon_snowdrift.png,SNOWDRIFT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
silentSwoopSpellText,1,icon_silentSwoop.png,SILENT SWOOP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
battleScreechSpellText,1,icon_battleScreech.png,BATTLE SCREECH!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
avariceSpellText,1,icon_avarice.png,AVARICE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
shiningSplendorSpellText,1,icon_shiningSplendor.png,SHINING SPLENDOR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
goldenHexSpellText,1,,,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
gildSpellText,1,icon_goldenHex.png,GILD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
chompSpellText,1,icon_chomp.png,CHOMP!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
whiteoutSpellText,1,icon_whiteOut.png,WHITEOUT!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
hibernateSpellText,1,icon_hibernate.png,HIBERNATE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
iceLanceSpellText,1,icon_iceLance.png,ICE LANCE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
threeGiftsSpellText,1,,,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
giftGivenSpellText,1,icon_threeGifts.png,GIFT GIVEN!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
holidayHelperSpellText,1,icon_holidayHelper.png,HOLIDAY HELPER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
howlOfTheUnderworldSpellText,1,icon_howlOfTheUnderworld.png,HOWL OF THE UNDERWORLD!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
ancientFurySpellText,0,icon_howlAncientFury.png,ANCIENT FURY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
pitilessWailSpellText,0,icon_howlPitilessWail.png,PITILESS WAIL!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
petrifyingGazeSpellText,0,icon_petrifyingGaze.png,PETRIFYING GAZE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
gorgonsGuideSpellText,0,icon_gorgonsGuise.png,GORGON'S GUISE!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
smotherSpellText,0,icon_smother.png,SMOTHER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
markOfHungerSpellText,0,icon_markOfHunger.png,MARK OF HUNGER!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
devourSpellText,0,icon_devour.png,DEVOUR!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
damageCeilingText,0,icon_stoneskin_01.png,SHIELD: DAMAGE REDUCED!,238~117~21,238~117~21,none,1.5,onBuilding,onBuilding,
fireLanceResetSpellText,1,icon_flameTorrent.png,DAMAGE BONUS RESET!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,
violentFrenzySpellText,1,icon_howlViolentFrenzy.png,VIOLENT FRENZY!,238~117~21,238~117~21,none,1.5,onDragon,onDragonDefender,!@#fniomgddmbodcfje
