identifier,videoFilename,inBundle,title,name,text,iconFilename,h
burningHatredSpell,burningHatred.m4v,0,Burning Hatred,Burning Hatred,Instantly gain rage. Gain health on building destruction.,icon_burningHatred.png,
ragnarokSpell,ragnarok.m4v,0,Ragnarok,Ragnarok,Deals massive damage in a large area of effect.,icon_ragnarok2.png,
incinerateSpell,incinerate.m4v,0,Incinerate,Incinerate,Fires a projectile that destroys an automatically chosen tower. Restores health on cast.,icon_incinerate.png,
spiritualGuardianSpell,spiritual_Guardian.m4v,0,Spiritual Guardian,Spiritual Guardian,Passively summon an ethereal dragon. Absorbs damage and increases rage generation.,icon_spiritualGuardian.png,
spearSalvoSpell,spear_Salvo.m4v,0,Spear Salvo,Spear Salvo,Fires multiple projectiles at randomly chosen towers.,icon_spearSalvo.png,
pillagingFlamesSpell,pillagingFlames.m4v,0,Pillaging Flames,Pillaging Flames,Dragon's flamethrower attack causes towers to take increased damage from all sources.,icon_pillagingFlames.png,
staticBlastSpell,static_Blast.m4v,0,Static Blast,Static Blast,Damages and disables all towers in target area.,icon_staticBlast.png,
timeStopSpell,timeStop.m4v,0,Time Stop,Time Stop,Instantly damages and freezes all towers in range.,icon_timeStop.png,
solarVolleySpell,solar_volley.m4v,0,Solar Volley,Solar Volley,Dragon's fireball attack consumes no Hunter ammo but deals less damage.,icon_solarVolley.png,
moonShroudSpell,moon_shroud.m4v,0,Moonshroud,Moonshroud,Blocks all incoming elemental damage. Heal based on elemental damage received.,icon_moonShroud.png,
alterFateSpell,alterFate.m4v,0,Alter Fate,Alter Fate,Dragon teleports forward and gains a shield. Reactivate within a short time to return to original location.,icon_alterFate.png,
earthFlakTower,earthFlakTower.m4v,,,,,,
onslaughtSpell,onslaught.m4v,0,Onslaught,Onslaught,Toggle to reduce incoming damage and increase breath damage. Drains rage while active.,icon_onslaught_01.png,
debilitatingSludgeSpell,debilitatingSludge.m4v,0,Debilitating Sludge,Debilitating Sludge,Damages and disables all towers within range. Disabled towers take additional damage.,icon_debilitatingSludge.png,
miasmicBreathSpell,miasmic_breath.m4v,0,Miasmic Breath,Miasmic Breath,Increases breath damage and causes towers to take damage over time.,icon_miasmicBreath.png,
unnervingShriekSpell,unnerving_shriek.m4v,0,Unnerving Shriek,Unnerving Shriek,Damages nearby buildings and reduces their damage for the entire battle.,icon_unnervingShriek.png,
coldSnapSpell,cold_snap.m4v,0,Coldsnap,Coldsnap,Freezes and damages buildings in the target area.,icon_coldsnap.png,
dragonfireMissileSpell,dragonfire_missile.m4v,0,Dragonfire Missile,Dragonfire Missile,Fires a projectile that destroys an automatically chosen tower. Restores rage on cast.,icon_dragonfireMissile.png,
summonPuppetSpell,summon_puppet.m4v,0,Summon Puppet,Summon Puppet,Summons a Dragon Puppet to fight for you.,icon_summonPuppet.png,
spiralingMadnessSpell,spiraling_madness.m4v,0,Spiraling Madness,Spiraling Madness,Passive: Dragon restores health over time.,icon_spiralingMadness.png,
revitalizeSpell,revitalize.m4v,0,Revitalize,Revitalize,Restores a large amount of health over time.,icon_revitalize.png,
darkRebirthSpell,darkRebirth.m4v,0,Dark Rebirth,Dark Rebirth,"If dragon dies while this ability is active, damage nearby buildings and restore health instead.",icon_darkRebirth.png,
celestialShieldSpell,celestialShield.m4v,0,Celestial Shield,Celestial Shield,Blocks all damage and mage supershots. Apply health marks to towers after shield expires.,icon_celestialShield.png,
divineStormSpell,divineStorm.m4v,0,Divine Storm,Divine Storm,Summons a cloud of lightning bolts that repeatedly damage random towers.,icon_divineStorm.png,
frostBreathSpell,frostBreath.m4v,0,Frost Breath,Frost Breath,Dragon's flamethrower attack deals increased damage and freezes buildings.,icon_frostBreath.png,
immolatingBreathSpell,immolatingBreath.m4v,0,Immolating Breath,Immolating Breath,Dragon's flamethrower attack deals increased damage.,icon_immolatingBreath.png,
leechingBreathSpell,leechingBreath.m4v,0,Leeching Breath,Leeching Breath,Increases dragon's breath damage. Destroying towers restores health.,icon_leechingBreath.png,
skulkSpell,skulk.m4v,0,Skulk,Skulk,Dragon becomes invisible and cannot be targeted until it attacks.,icon_skulk.png,
hysteriaSpell,hysteria.m4v,0,Hysteria,Hysteria,Dragon deals greatly increased damage with its breath attack.,icon_hysteria.png,
corruptionOfTheVoidSpell,corruptionOfTheVoid.m4v,0,Corruption of the Void,Corruption of the Void,Cycle between an invisible spell and a damage boost.,icon_corruptionVoid.png,
scavengeSpell,scavenge.m4v,0,Scavenge,Scavenge,Increases breath damage. Destroying towers grants health.,icon_scavenge.png,
stormShieldWhiteSpell,stormShieldWhite.m4v,0,Storm Shield,Storm Shield,Absorbs damage until depleted then explodes damaging buildings,icon_stormShield.png,
wellOfPowerSpell,wellOfPower.m4v,0,Well of Power,Well of Power,Increases attack and rage generation. Destroying towers restores health.,icon_wellOfPower.png,
breathOfTheDrownedSpell,breathOfTheDrowned.m4v,0,Breath of the Drowned,Breath of the Drowned,Dragon's breath attack deals increased damage and freezes buildings.,icon_breathOfTheDrowned.png,
undertowSpell,undertow.m4v,0,Undertow,Undertow,Passive: Dragon's breath attack causes towers to take increased damage. Dragon has increased rage generation.,icon_undertow.png,
purifyingAegisSpell,purifyingAegis.m4v,0,Purifying Aegis,Purifying Aegis,Blocks a percentage of incoming damage and restores health.,icon_purifyingAegis.png,
protectiveTalismanSpell,protectiveTalisman.m4v,0,Protective Talisman,Protective Talisman,Dragon becomes briefly immune to damage and rage drain super shots.,icon_protectiveTalisman.png,
wayOfTheBladeSpell,wayOfTheBlade.m4v,0,Way of the Blade,Way of the Blade,Cycle through three strikes of increasing size and damage.,icon_wayOfTheBlade.png,
fightingSpiritSpell,fightingSpirit.m4v,0,Fighting Spirit,Fighting Spirit,Consumes all Hunter ammo then heals based on Hunter ammo spent.,icon_fightingSpirit.png,
sliceSpell,umbralSpikeWhite.m4v,0,Slice,Slice,Deals moderate damage to a target tower.,icon_slice.png,
thrustSpell,umbralSpikeWhite.m4v,0,Thrust,Thrust,Deals moderate damage to all towers in a small area.,icon_thrust.png,
executeSpell,umbralSpikeWhite.m4v,0,Execute,Execute,Deals massive damage to all towers in a large area.,icon_execute.png,
adaptiveImmunitySpell,adaptiveImmunity.m4v,0,Adaptive Immunity,Adaptive Immunity,Changes Resist type and gain small amount of rage on use.,icon_adaptiveImmunity.png,
trickstersToolktSpell,trickstersToolkit.m4v,0,Trickster's Toolkit,Trickster's Toolkit,Dragon gains rage and a spell when it destroys a tower.,icon_trickstersToolkit.png,
kitsuneMischiefSpell,kitsuneMischief.m4v,0,Kitsune Mischief,Kitsune Mischief,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers and deals increased breath damage.",icon_kitsuneMischief.png,
foxfireBoltSpell,foxfireBolt.m4v,0,Foxfire Bolt,Foxfire Bolt,Heavily damages target tower and restores health on cast.,icon_foxfireBolt.png,
risingTemperSpell,risingTemper.m4v,0,Rising Temper,Rising Temper,Passive: Dragon has increased breath damage.,icon_risingTemper.png,
moltenBarrierSpell,moltenBarrier.m4v,0,Molten Barrier,Molten Barrier,Blocks all projectile and beam attack damage.,icon_moltenBarrier.png,
eruptionSpell,eruption.m4v,0,Eruption,Eruption,Deals area damage and gain brief invincibility. Restores health on cast.,icon_eruption.png,
scatterSpell,scatter.m4v,0,Scatter,Scatter,"Dragon cloaks briefly and recovers Hunter ammo. Upon uncloaking, damages nearby towers.",icon_scatter.png,
shrineGuardianSpell,shrineGuardian.m4v,0,Shrine Guardian,Shrine Guardian,Passive: Dragon has increased rage generation.,icon_rage_passive.png,
summonWaterSpiritSpell,summonWaterSpirit.m4v,0,Summon Water Spirit,Summon Water Spirit,Summons a Water Spirit Dragon to fight for you.,icon_summonWaterSpirit.png,
nourishingShadowsSpell,nourishingShadows.m4v,0,Nourishing Shadows,Nourishing Shadows,Dragon has massively increased Hunter ammo regeneration for a short time. Restores health on cast.,icon_nourishingShadows.png,
whirlpoolSpell,whirlpool.m4v,0,Whirlpool,Whirlpool,"Disables towers in the target area for a short duration, or until it takes damage.",icon_whirlpool.png,
sandblastSpell,sandblast.m4v,0,Sand Blast,Sand Blast,Damages and freezes all towers in target area.,icon_sandBlast.png,
reefFamiliarSpell,reefFamiliar.m4v,0,Reef Familiar,Reef Familiar,Summons a Reef Familiar to fight for you.,icon_reefFamiliar.png,
vaporShieldSpell,vaporShield.m4v,0,Vapor Shield,Vapor Shield,Greatly reduces incoming damage. Restores health on cast.,icon_vaporShield.png,
causticSpinesSpell,causticSpines.m4v,0,Caustic Spines,Caustic Spines,Damages towers and causes them to take damage over time. Damaged towers take increased damage.,icon_causticSpines.png,
apexPredatorSpell,apexPredator.m4v,0,Apex Predator,Apex Predator,Alternates between Primordial Breath and Primal Shield.,icon_apexPredator.png,
primordialBreathSpell,primordialBreath.m4v,0,Primordial Breath,Primordial Breath,Dragon's breath attack deals greatly increased damage.,icon_primordialBreath.png,
primalShieldSpell,primalShield.m4v,0,Primal Shield,Primal Shield,"Absorbs damage until depleted then explodes, damaging nearby towers.",icon_primalShield.png,
tanglingKelpSpell,tanglingKelp.m4v,0,Tangling Kelp,Tangling Kelp,Damages and freezes all towers within range. Towers take additional damage after being frozen.,icon_tanglingKelp.png,
underwhelmingFireballSpell,underwhelming_Fireball.m4v,0,Underwhelming Fireball,Underwhelming Fireball,Does a mediocre amount of damage to all towers in the target area.,icon_underwhelmingFireball.png,
getAngrySpell,get_Angry.m4v,0,Get Angry!,Get Angry!,Greatly increases dragon's rage generation while active. Destroying towers restores health.,icon_getAngry.png,
crestingWaveSpell,crestingWave.m4v,0,Cresting Wave,Cresting Wave,Heavily damages target tower. Restores health on cast.,icon_crestingWave.png,
invokeFreezeSpell,invokeFreeze.m4v,0,Invoke: Freeze,Invoke: Freeze,"Dragon's empowered breath attack freezes towers, deals bonus damage, and has increased AOE.",icon_freeze_01.png,
deflectingGaleSpell,deflectingGale.m4v,0,Deflecting Gale,Deflecting Gale,Dragon dodges all incoming projectiles and periodically damages nearby towers.,icon_deflectingGale.png,
hydrostrikeSpell,hydrostrike.m4v,0,Hydrostrike,Hydrostrike,Heavily damages target tower and restores health on cast.,icon_hydrostrike.png,
defileSpell,IntimidatingRoar.m4v,0,Defile,Defile,Damages nearby buildings and reduces their damage.,icon_contagionDefile.png,
deliriumSpell,berserk.m4v,0,Delirium,Delirium,Increases Damage and Rage generation.,icon_contagionDelirium.png,
contagionSpell,contagion.m4v,0,Contagion,Contagion,Alternates between a breath damage boost and an area-of-effect tower debuff.,icon_contagion.png,
lightningSurgeSpell,lightningSurge.m4v,0,Lightning Surge,Lightning Surge,Strikes target tower with lightning that chains to random nearby towers.,icon_lightningSurge.png,
swarmStrikeSpell,swarmStrike.m4v,0,Swarm Strike,Swarm Strike,Fires multiple projectiles at random nearby towers.,icon_swarmStrike.png,
summonSwarmSpell,summonSwarm.m4v,0,Summon Swarm,Summon Swarm,Summons a bug swarm to fight for you.,icon_summonSwarm.png,
locustCloudSpell,locustCloud.m4v,0,Locust Cloud,Locust Cloud,Dragon dodges all incoming projectiles and periodically damages nearby towers.,icon_locustCloud.png,
acidSpitSpell,acidSpit.m4v,0,Acid Spit,Acid Spit,Heavily damages target tower.,icon_acidSpit.png,
meteorSpell,meteor.m4v,0,Meteor,Meteor,Damages and freezes all towers in target area.,icon_meteor.png,
invokeAssimilateSpell,invokeAssimilate.m4v,0,Invoke: Assimilate,Invoke: Assimilate,Dragon's Invoked attack deals bonus damage and has increased AOE. Any towers destroyed restore health.,icon_invokeAssimilate.png,
writheSpell,writhe.m4v,0,Writhe,Writhe,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers.",icon_writhe.png,
entropySpell,entropy.m4v,0,Entropy,Entropy,"Dragon's breath attack poisons towers, causing them to take damage over time indefinitely.",icon_entropy.png,
cosmicGazeSpell,cosmicGaze.m4v,0,Cosmic Gaze,Cosmic Gaze,Fires a projectile that destroys an automatically chosen tower. Restores health on cast.,icon_cosmicGaze.png,
evilEyeSpell,evilEye.m4v,0,Evil Eye,Evil Eye,Toggle to massively increase breath damage and reduce incoming damage. Drains rage while active.,icon_evilEye_01.png,
roarFromBeyondSpell,roarFromBeyond.m4v,0,Roar from Beyond,Roar from Beyond,Damages and debuffs nearby buildings. Debuffed towers deal reduced damage.,icon_roarFromBeyond.png,
twistedVisageSpell,twistedVisage.m4v,0,Twisted Visage,Twisted Visage,Alternates between Mask of Misery and Mask of Mania.,icon_twistedVisage.png,
maskOfMiserySpell,Sacrifice.m4v,0,Mask of Misery,Mask of Misery,"On cast, dragon takes damage and restores rage.",icon_rage_passive.png,
maskOfManiaSpell,consume.m4v,0,Mask of Mania,Mask of Mania,Consumes all Hunter Ammo then heals based on Hunter ammo spent.,icon_consume.png,
realityWarpSpell,realityWarp.m4v,0,Reality Warp,Reality Warp,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers and deals increased breath damage.",icon_realityWarp.png,
mindSpikeSpell,mindSpike.m4v,0,Mind Spike,Mind Spike,Heavily damages target tower. Restores health on cast.,icon_mindSpike.png,
bloodMistSpell,bloodMist.m4v,0,Blood Mist,Blood Mist,Dragon cloaks briefly and recovers hunter ammo. Has increased breath damage after uncloaking.,icon_bloodMist.png,
elderSignSpell,elderSign.m4v,0,Elder Sign,Elder Sign,Shields dragon. Next cast removes shield and damages and debuffs towers.,icon_elderSign.png,
eternalMightSpell,eternalMight.m4v,0,Eternal Might,Eternal Might,Passive: Dragon has massively increased health and breath damage.,icon_eternalMight.png,
awakenSpell,awaken.m4v,0,Awaken!,Awaken!,Deals area damage and gain brief invincibility. Fully restore health and rage.,icon_awaken.png,
touchOfTheDeepSpell,touchOfTheDeep.m4v,0,Touch of the Deep,Touch of the Deep,Freezes and damages buildings in the target area.,icon_touchOfTheDeep.png,
whispersOfMadnessSpell,whispersOfMadness.m4v,0,Whispers of Madness,Whispers of Madness,Target tower is forced to attack other towers for a short duration. Tower is heavily damaged when duration ends.,icon_whispersOfMadness.png,
synapticWaveSpell,synapticWave.m4v,0,Synaptic Wave,Synaptic Wave,Damages and freezes all towers within range. Towers take additional damage after being frozen.,icon_synapticWave.png,
overchargeSpell,overcharge.m4v,0,Overcharge,Overcharge,Dragon gains increased breath damage and rage generation. Destroying towers restores health.,icon_overload.png,
ferociousDiveSpell,ferociousDive.m4v,0,Ferocious Dive,Ferocious Dive,Dragon cloaks briefly and rushes forward. Restores health on cast.,icon_ferociousDive.png,
marshBoltSpell,marshBolt.m4v,0,Marsh Bolt,Marsh Bolt,Heavily damages target tower.,icon_marshBolt.png,
prowlSpell,prowl.m4v,0,Prowl,Prowl,Restores rage on cast. Destroying towers restores health.,icon_prowl.png,
ravageSpell,ravage.m4v,0,Ravage,Ravage,Dragon gains increased breath damage and restores health whenever a tower is destroyed.,icon_ravage.png,
dragonCurseSpell,curseOfGreed.m4v,0,Curse of Greed,Curse of Greed,Passive: Dragon doesn't generate rage over time. Destroying towers restores health and rage.,icon_curseOfGreed.png,
stormBreathSpell,stormBreath.m4v,0,STORM BREATH,STORM BREATH,Dragon gains increased breath damage for a short duration.,icon_stormBreath.png,
wingGustSpell,wingGust.m4v,0,WING GUST,WING GUST,Destroys all mid-air projectiles and briefly stuns towers.,icon_wingGust.png,
invokeExcavateSpell,invokeAssimilate.m4v,0,INVOKE: EXCAVATE,INVOKE: EXCAVATE,Dragon's Invoked attack deals massive damage and restores health when it becomes ready.,icon_invokeExcavate.png,
hoverModeSpell,spectral_Form.m4v,0,HOVER,HOVER,"Dragon cloaks, hovers in-place, and has increased rage generation. Dragon can cast spells and use its breath attack without uncloaking.",icon_hover.png,
rapidCoolingSpell,deflectingGale.m4v,0,RAPID COOLING,RAPID COOLING,Damages all nearby towers and massively decreases dragon's next reload time.,icon_rapidCooling.png,
snowdriftSpell,snowdrift.m4v,0,SNOWDRIFT,SNOWDRIFT,Disables all towers in target area until they take damage. Towers cannot attack or use supershots while disabled.,icon_snowdrift.png,
silentSwoopSpell,silentSwoop.m4v,0,SILENT SWOOP,SILENT SWOOP,"Dragon cloaks briefly and recovers hunter ammo. Upon uncloaking, dragon gains increased breath damage.",icon_silentSwoop.png,
battleScreechSpell,battleScreech.m4v,0,BATTLE SCREECH,BATTLE SCREECH,Dragon gains increased breath damage for the rest of the battle. Can stack multiple times. Buff applies to all following dragons.,icon_battleScreech.png,
avariceSpell,avarice.m4v,0,AVARICE,AVARICE,"On cast, dragon takes damage and restores rage.",icon_avarice.png,
shiningSplendorSpell,shiningSplendor.m4v,0,SHINING SPLENDOR,SHINING SPLENDOR,Dragon dodges all incoming projectiles and periodically damages nearby towers.,icon_shiningSplendor.png,
goldenHexSpell,goldenHex.m4v,0,GOLDEN HEX,GOLDEN HEX,Dragon can rapidly cast two targeted debuff spells. Recasting the spell on debuffed towers destroys them.,icon_goldenHex.png,
chompSpell,chomp.m4v,0,CHOMP!,CHOMP!,Heavily damages target tower.,icon_chomp.png,
whiteoutSpell,flashFreeze.m4v,0,WHITEOUT,WHITEOUT,Damages and freezes nearby towers. Towers take increased damage after being frozen.,icon_whiteOut.png,
hibernateSpell,revitalize.m4v,0,HIBERNATE,HIBERNATE,Dragon restores a massive amount of health over a long duration. Can only be used once.,icon_hibernate.png,
iceLanceSpell,harrowingBolt.m4v,0,ICE LANCE,ICE LANCE,Fires a projectile that destroys an automatically chosen tower.,icon_iceLance.png,
threeGiftsSpell,threeGifts.m4v,0,THREE GIFTS,THREE GIFTS,"Marks a target tower. When marked tower is destroyed, gain health and rage. Can be used three times.",icon_threeGifts.png,
holidayHelperSpell,holidayHelper.m4v,0,HOLIDAY HELPER,HOLIDAY HELPER,Summons a flamethrower-bearing friend to fight for you.,icon_holidayHelper.png,
fireLanceSpell,flameTorrent.m4v,0,Flame Torrent,Flame Torrent,Passive: Breath attack that ramps up damage on sustained attack up to cap.,icon_flameTorrent.png,
howlOfTheUnderworldSpell,howlOfTheUnderworld.m4v,0,Howl of the Underworld,Howl of the Underworld,"Alternates between an area-of-effect tower debuff, health stealing, and single target damage.",icon_howlOfTheUnderworld.png,
petrifyingGazeSpell,petrifyingGaze.m4v,0,Petrifying Gaze,Petrifying Gaze,Freezes all towers within range. Towers take additional damage after being frozen.,icon_petrifyingGaze.png,
gorgonsGuiseSpell,gorgonsGuise.m4v,0,Gorgon's Guise,Gorgon's Guise,"Dragon cloaks briefly. Upon uncloaking, deals increased breath damage.",icon_gorgonsGuise.png,
smotherSpell,smother.m4v,0,Smother,Smother,Disables towers in target area until they take damage.,icon_smother.png,
markOfHungerSpell,markOfHunger.m4v,0,Mark of Hunger,Mark of Hunger,Spreads heal marks across nearby towers,icon_markOfHunger.png,
devourSpell,devour.m4v,0,Devour,Devour,Heavily damages target tower. Restores health on cast.,icon_devour.png,!@#eloebdibpepbfmbe
