identifier,inBundle,sceneFilename,speed,launchDuration,invertible,dodgeable,viewControllerClassName,fireSoundIdentifier,impactTargetSoundFilename,chargingParticleEffectIdentifier,chargingParticleEffectScale,originParticleEffectIdentifier,originParticleEffectScale,onTargetParticleEffectIdentifier,onTargetParticleEffectScale,onGroundParticleEffectIdentifier,onGroundParticleEffectScale,onWaterParticleEffectIdentifier,onWaterParticleEffectScale,projectileParticleEffectIdentifier,additionalParameters,h
rainbow_tower_fake_spell,0,prop_monument_rainbowStatue.lvl,55,0,0,0,,,,,,,,ptl_imp_drg_twitchFan_hit,10,ptl_imp_drg_twitchFan_miss,10,ptl_ocean_splash,5,,,
rainbow_tower_death_fake_spell,0,prop_monument_rainbowStatue_death.lvl,55,0,0,0,,,,,,,,ptl_imp_drg_twitchFan_hit,10,ptl_imp_drg_twitchFan_miss,10,ptl_ocean_splash,5,,,
prj_drg_src_spider,0,prj_drg_spider.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_spider_hit,6,ptl_imp_drg_spider_miss,6,ptl_ocean_splash,5,,,
prj_drg_revenant,0,prj_drg_revenant.lvl,110,0,1,1,,,,,,,,ptl_imp_drg_revenant_hit,10,ptl_imp_drg_revenant_miss,10,ptl_ocean_splash,5,,,
drg_patchwork_flame,0,prj_drg_patchwork.lvl,300,0,1,1,,,,,,,,ptl_imp_drg_patchwork_hit,5,ptl_imp_drg_patchwork_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_fullMoon_flame_01,0,prj_drg_fullMoon_flame_01.lvl,95,0,0,0,,,,,,,,imp_drg_fullMoon_hit,5,imp_drg_fullMoon_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_gargoyle,0,prj_drg_gargoyle.lvl,110,0,1,1,,,,,,,,imp_drg_gargoyle_hit,7,imp_drg_gargoyle_miss,7,ptl_ocean_splash,5,,,
prj_drg_werewolf,0,prj_drg_werewolf_01.lvl,95,0,1,1,,,,,,,,imp_drg_werewolf_hit,5,imp_drg_werewolf_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_src_mummy,0,prj_drg_mummy.lvl,80,0,1,1,,,,,,,,ptl_imp_drg_mummy_hit,6,ptl_imp_drg_mummy_miss,6,ptl_ocean_splash,5,,,
prj_elementalFlakIce,0,prj_elementalFlakIce.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakIceInitiate,3,ptl_onHit_elementalFlakIceExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakIce_special,0,prj_elementalFlakIce.lvl,100,0.03,0,1,,,,iceFlak_ChargeUp,5,ptl_elementalFlakIceSuper,3,ptl_onHit_elementalFlakIceExplosion,3,,,ptl_ocean_splash,5,,,
seekerShots,0,prj_seekerShots.lvl,100,0,0,0,,,,,,,,ptl_seekerShots_hit,2,,,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
drg_lightningFamiliar_flame_01,0,prj_drg_lightningFamiliar_flame.lvl,100,0,1,1,,,,,,,,drg_lightningFamiliar_flame_impact_01,2,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1.5|maximumDistance:700,
tidalSurge,0,prj_tidalSurge.lvl,100,0,0,0,,,,,,,,tidalSurge_hit,1,tidalSurge_miss,0.5,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
prj_drg_lion_flame,0,prj_drg_lion.lvl,95,0,1,1,,,,,,,,imp_drg_lion_hit,,imp_drg_lion_miss,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_chariot_lockon,0,prj_drg_chariot.lvl,80,0,1,1,,,,,,,,imp_drg_chariot_hit,10,,10,ptl_ocean_splash,5,,,
prj_drg_gladiator_flame,0,prj_drg_gladiator.lvl,95,0,1,1,,,,,,,,imp_drg_gladiator_hit,,imp_drg_gladiator_miss,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_warhawk_fireball,0,prj_drg_warhawk.lvl,110,0,1,1,,,,,,,,imp_drg_warhawk_hit,10,imp_drg_warhawk_miss,10,ptl_ocean_splash,5,,,
prj_drg_neptune_fireball,0,prj_drg_neptune.lvl,110,0,1,1,,,,,,,,imp_drg_neptune_hit,10,imp_drg_neptune_miss,10,ptl_ocean_splash,5,,,
drg_shieldAssault_flame_01,0,prj_drg_shieldAssault_flame.lvl,95,0,0,0,,,,,,,,imp_drg_shieldAssault,9,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_elementalFlakWind,0,prj_elementalFlakWind.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakWindInitiate,3,ptl_onHit_elementalFlakWindExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakWind_special,0,prj_elementalFlakWindSpecial.lvl,100,0.03,1,1,,,,,,ptl_elementalFlakWindSuper,3,ptl_onHit_elementalFlakWindSuper,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakEarth,0,prj_elementalFlakEarth.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakEarthInitiate,3,ptl_onHit_elementalFlakEarthExplosion,3,,,ptl_ocean_splash,5,,,
prj_elementalFlakEarth_special,0,prj_elementalFlakEarthSpecial.lvl,100,0.03,0,1,,,,,,ptl_elementalFlakEarthSuper,3,ptl_onHit_elementalFlakEarthExplosion,3,,,ptl_ocean_splash,5,,,
prj_drg_tundra_flame,0,prj_drg_Tundra.lvl,95,0,1,1,,,,,,,,imp_drg_tundra_hit,4,imp_drg_tundra_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_furnace_flame,0,prj_drg_furnace.lvl,95,0,1,1,,,,,,,,imp_drg_furnace_hit,4,imp_drg_furnace_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_elven_fireball,0,prj_drg_elven.lvl,110,0,1,1,,,,,,,,imp_drg_elven_hit,6,imp_drg_elven_miss,6,ptl_ocean_splash,5,,,
prj_drg_oasis_lockon,0,prj_drg_oasis.lvl,80,0,1,1,,,,,,,,imp_drg_oasis_hit,8,,10,ptl_ocean_splash,5,,,
prj_drg_tundraWar_flame,0,prj_drg_TundraWar.lvl,95,0,1,1,,,,,,,,imp_drg_tundraWar_hit,6,imp_drg_tundraWar_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_oasisWar_lockon,0,prj_drg_oasisWar.lvl,80,0,1,1,,,,,,,,imp_drg_oasisWar_hit,8,,10,ptl_ocean_splash,5,,,
prj_drg_swampWar_fireball,0,prj_drg_swampWar.lvl,110,0,1,1,,,,,,,,imp_drg_swampWar_hit,7,imp_drg_swampWar_miss,7,ptl_ocean_splash,5,,,
prj_drg_celestial_lockon,0,prj_drg_celestial.lvl,80,0,1,1,,,,,,,,imp_drg_celestial_hit,10,,5,ptl_ocean_splash,5,,,
prj_drg_swamp_fireball,0,prj_drg_swamp.lvl,110,0,1,1,,,,,,,,imp_drg_swamp_hit,7,imp_drg_swamp_miss,7,ptl_ocean_splash,5,,,
prj_drg_unicorn_flame,0,prj_drg_unicorn.lvl,95,0,1,1,,,,,,,,imp_drg_unicorn_hit,5,imp_drg_unicorn_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_wintersBite_flame_01,0,prj_drg_wintersBite_flame.lvl,300,0,0,0,,,,,,,,imp_drg_wintersBite,9,imp_drg_wintersBite,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_autumnsReap_fireball,0,prj_drg_autumnsReap_fireball.lvl,120,0,0,0,,,,,,,,drg_autumnsReap_fireball_hit,9,drg_autumnsReap_fireball_hit,9,ptl_ocean_splash,5,,,
solarStrike,0,prj_solarStrike.lvl,100,0,0,0,,,,,,,,solarStrike_hit,3,solarStrike_miss,2,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
ghostfireBlast,1,prj_drg_ghostfireBlast_spell_01.lvl,55,0,0,0,,,,,,,,ptl_ghostfireBlast_spell_impact_02,10,ptl_ghostfireBlast_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
summersPurification,0,prj_desiccating_sand.lvl,125,0,0,0,,,,,,ptl_drg_summersPurification_impact_01,2,ptl_drg_summersPurification_impact_01,7,ptl_drg_summersPurification_impact_01,7,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
prj_drg_feySpring_fireball,0,prj_drg_feySpring.lvl,110,0,1,1,,,,,,,,imp_drg_feySpring_hit,5,imp_drg_feySpring_miss,5,ptl_ocean_splash,5,,,
prj_drg_feySummer_lockon,0,prj_drg_feySummer.lvl,80,0,1,1,,,,,,,,imp_drg_feySummer_hit,5,,5,ptl_ocean_splash,5,,,
prj_drg_feyAutumn_fireball,0,prj_drg_feyAutumn.lvl,110,0,1,1,,,,,,,,imp_drg_feyAutumn_hit,4,imp_drg_feyAutumn_miss,4,ptl_ocean_splash,5,,,
prj_drg_feyWinter_flame,0,prj_drg_feyWinter.lvl,95,0,1,1,,,,,,,,imp_drg_feyWinter_hit,5,imp_drg_feyWinter_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_feyBonfire_lockon,0,prj_drg_feyBonfire.lvl,80,0,1,1,,,,,,,,imp_drg_feyBonfire_hit,8,,5,ptl_ocean_splash,5,,,
prj_drg_goofy_hippo_flame,0,prj_drg_goofy_hippo.lvl,95,0,1,1,,,,,,,,imp_drg_goofy_hippo_hit,7,imp_drg_goofy_hippo_miss,7,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
entrap,0,prj_lockdown_01.lvl,120,0,0,0,,,,,,,,,3,,,ptl_ocean_splash,5,,splashRange:8.0|attackRange:110,
prj_drg_viking_flame,0,prj_drg_viking.lvl,95,0,1,1,,,,,,,,imp_drg_viking_hit,5,imp_drg_viking_miss,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_leopard_flame,0,prj_drg_leopard.lvl,95,0,1,1,,,,,,,,imp_drg_leopard_hit,5,imp_drg_leopard_miss,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_feyBloodmoon_fireball,0,prj_drg_feyBloodmoon.lvl,120,0,1,1,,,,,,,,imp_drg_feyBloodmoon_hit,5,imp_drg_feyBloodmoon_miss,,ptl_ocean_splash,5,,,
prj_drg_furnaceHunter_fireball,0,prj_drg_furnaceHunter.lvl,120,0,1,1,,,,,,,,imp_drg_furnaceHunter_hit,5,imp_drg_furnaceHunter_miss,,ptl_ocean_splash,5,,,
prj_drg_natureSorcerer_lockon,0,prj_drg_natureSorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_natureSorcerer_hit,5,,,ptl_ocean_splash,5,,,
prj_drg_gohei_lockon,0,prj_drg_gohei.lvl,80,0,1,1,,,,,,,,imp_drg_gohei_hit,5,,,ptl_ocean_splash,5,,,
drg_rampage_flame,0,prj_drg_rampage_flame.lvl,120,0,0,0,,,,,,,,imp_drg_rampage,9,imp_drg_rampage,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_heatstroke_fireball,0,prj_drg_heatstroke_fireball.lvl,110,0,0,0,,,,,,,,imp_drg_heatstroke_hit,5,imp_drg_heatstroke_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_jungleSorcerer_lockon,0,prj_drg_jungleSorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_jungleSorcerer_hit,8,,,ptl_ocean_splash,5,,,
prj_drg_vulture_fireball,0,prj_drg_vulture.lvl,110,0,1,1,,,,,,,,imp_drg_vulture_hit,8,imp_drg_vulture_miss,,ptl_ocean_splash,5,,,
prj_drg_shamanWarrior_flame,0,prj_drg_shamanWarrior.lvl,95,0,1,1,,,,,,,,imp_drg_shamanWarrior_hit,5,imp_drg_shamanWarrior_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
syphonStrike,0,prj_syphonStrike.lvl,100,0,0,0,,,,,,,,imp_syphonStrike_hit,3,imp_syphonStrike_miss,3,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
prj_drg_bat_lockon,0,prj_drg_bat.lvl,80,0,1,1,,,,,,,,imp_drg_bat_hit,5,,5,ptl_ocean_splash,5,,,
prj_drg_jaguar_flame,0,prj_drg_jaguar.lvl,95,0,1,1,,,,,,,,imp_drg_jaguar_hit,5,imp_drg_jaguar_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_goofy_axolotl_fireball,0,prj_drg_goofy_axolotl.lvl,110,0,1,1,,,,,,,,imp_drg_goofy_axolotl_hit,8,imp_drg_goofy_axolotl_miss,,ptl_ocean_splash,5,,,
rainbowShot,0,prj_drg_rainbowShot.lvl,80,0,0,0,,,,,,,,rainbowShot_impact_miss,10,rainbowShot_impact_miss,10,ptl_ocean_splash,5,,splashRange:8.0|attackRange:140,
prj_drg_spectralForm,0,prj_drg_spectralForm.lvl,150,0,0,0,,,,,,,,ptl_imp_drg_lightspeed_hit,10,ptl_imp_drg_lightspeed_miss,10,ptl_ocean_splash,5,,,
prj_drg_spectralForm_flame,0,prj_drg_spectralForm_flame.lvl,120,0,0,0,,,,,,,,drg_berserk_flame_impact_01,9,drg_berserk_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
etherealChains,0,prj_ethereal_Chains.lvl,100,0,0,0,,,,,,,,,3,ptl_drg_ethereal_Chains_onGround,3,ptl_ocean_splash,5,,splashRange:12.0|attackRange:110,
cripplingChill,0,prj_drg_cripplingChill_spell.lvl,105,0,0,0,,,,,,,,ptl_cripplingChill_spell_impact,10,ptl_cripplingChill_spell_impact,10,ptl_ocean_splash,5,,splashRange:8.0|attackRange:140,
prj_drg_maskKnight_flame,0,prj_drg_maskKnight.lvl,95,0,1,1,,,,,,,,imp_drg_maskKnight_hit,4,imp_drg_maskKnight_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_maskWind_lockon,0,prj_drg_maskWind.lvl,80,0,1,1,,,,,,,,imp_drg_maskWind_hit,8,,10,ptl_ocean_splash,5,,,
prj_drg_maskPlague_fireball,0,prj_drg_maskPlague.lvl,110,0,1,1,,,,,,,,imp_drg_maskPlague_hit,6,imp_drg_maskPlague_miss,6,ptl_ocean_splash,5,,,
prj_drg_oni_flame,0,prj_drg_oni.lvl,120,0,1,1,,,,,,,,imp_drg_oni_hit,5,imp_drg_oni_miss,5,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_shaman_fireball,0,prj_drg_shaman.lvl,110,0,1,1,,,,,,,,imp_drg_shaman_hit,5,imp_drg_shaman_miss,5,ptl_ocean_splash,5,,,
prj_drg_worldSerpent_lockon,0,prj_drg_worldSerpent.lvl,80,0,1,1,,,,,,,,imp_drg_worldSerpent_hit,5,,5,ptl_ocean_splash,5,,,
drg_inferno_flame_heated,0,prj_drg_inferno_flame_heated.lvl,120,0,0,0,,,,,,,,drg_inferno_heated_flame_impact_01,9,drg_inferno_heated_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_inferno_flame_radiance,0,prj_drg_inferno_flame_radiance.lvl,120,0,0,0,,,,,,,,drg_inferno_radiance_flame_impact_01,4,drg_inferno_radiance_flame_impact_01,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_inferno_flame_piercing,0,prj_drg_inferno_flame_piercing.lvl,120,0,0,0,,,,,,,,drg_inferno_piercing_flame_impact_01,4,drg_inferno_piercing_flame_impact_01,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_maskRedDeath_fireball,0,prj_drg_maskRedDeath.lvl,110,0,1,1,,,,,,,,imp_drg_maskRedDeath_hit,6,imp_drg_maskRedDeath_miss,6,ptl_ocean_splash,5,,,
prj_drg_maskNoble_flame,0,prj_drg_maskNoble.lvl,95,0,1,1,,,,,,,,imp_drg_maskNoble_hit,6,imp_drg_maskNoble_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_harrowingBolt,0,prj_drg_harrowingBolt.lvl,220,0,1,1,,,,,,,,imp_drg_harrowingBolt_hit,6,imp_drg_harrowingBolt_hit,6,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
prj_drg_maskFestive_lockon,0,prj_drg_maskFestive.lvl,80,0,1,1,,,,,,,,imp_drg_maskFestive_hit,8,imp_drg_maskFestive_hit,10,ptl_ocean_splash,5,,,
soulBarrage,0,prj_soulBarrage.lvl,100,0,0,0,,,,,,,,imp_soulBarrage_hit,2,imp_soulBarrage_hit,2,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
drg_ectoplasmicBreath_lockon,0,prj_drg_ectoplasmicBreath.lvl,110,0,0,0,,,,,,,,imp_ectoplasmicBreath_hit,8,,10,ptl_ocean_splash,5,,,
drg_onslaught_flame_01,0,prj_drg_onslaught_flame.lvl,95,0,0,0,,,,,,,,imp_drg_onslaught,9,,,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_miasmic_flame_01,0,prj_drg_miasmic_flame_01.lvl,120,0,0,0,,,,,,,,imp_drg_miasmic_flame_01,9,imp_drg_miasmic_flame_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
coldSnap,0,prj_drg_coldSnap_spell.lvl,105,0,0,0,,,,,,,,ptl_coldSnap_spell_impact,10,ptl_coldSnap_spell_impact,10,ptl_ocean_splash,5,,splashRange:8.0|attackRange:140,
prj_drg_dragonfireMissile,0,prj_drg_dragonfireMissile.lvl,220,0,1,1,,,,,,,,imp_drg_dragonfireMissile_hit,6,imp_drg_dragonfireMissile_hit,6,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
drg_frostBreath_flame,0,prj_drg_frostBreath_flame.lvl,300,0,0,0,,,,,,,,imp_drg_frostBreath,9,imp_drg_frostBreath,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_immolatingBreath_flame_heated,0,prj_drg_immolatingBreath_flame_heated.lvl,120,0,0,0,,,,,,,,drg_immolatingBreath_heated_flame_impact_01,9,drg_immolatingBreath_heated_flame_impact_01,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_leechingBreath_flame,0,prj_drg_leechingBreath_flame.lvl,120,0,0,0,,,,,,,,imp_drg_leechingBreath,9,imp_drg_leechingBreath,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_summonPuppet_flame,1,prj_drg_summonPuppet_flame.lvl,120,0,1,1,,,,,,,,imp_drg_summonPuppet,9,imp_drg_summonPuppet,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_vikingRaider_fireball,0,prj_drg_vikingRaider.lvl,110,0,1,1,,,,,,,,imp_drg_vikingRaider_hit,6,imp_drg_vikingRaider_miss,6,ptl_ocean_splash,5,,,
prj_drg_vikingWolves_fireball,0,prj_drg_vikingWolves.lvl,110,0,1,1,,,,,,,,imp_drg_vikingWolves_hit,6,imp_drg_vikingWolves_miss,6,ptl_ocean_splash,5,,,
prj_drg_vikingFire_lockon,0,prj_drg_vikingFire.lvl,80,0,1,1,,,,,,,,imp_drg_vikingFire_hit,8,imp_drg_vikingFire_miss,10,ptl_ocean_splash,5,,,
prj_drg_vikingTrio_flame,0,prj_drg_vikingTrio.lvl,300,0,1,1,,,,,,,,imp_drg_vikingTrio_hit,6,imp_drg_vikingTrio_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_vikingValkyrie_lockon,0,prj_drg_vikingValkyrie.lvl,80,0,1,1,,,,,,,,imp_drg_vikingValkyrie_hit,8,imp_drg_vikingValkyrie_miss,10,ptl_ocean_splash,5,,,
prj_drg_vikingJarl_flame,0,prj_drg_vikingJarl.lvl,95,0,1,1,,,,,,,,imp_drg_vikingJarl_hit,6,imp_drg_vikingJarl_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_snowBlind_fireball,0,prj_drg_snowBlind.lvl,150,0,1,1,,,,,,,,imp_drg_snowBlind,9,imp_drg_snowBlind,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
ragnarok,0,prj_ragnarok.lvl,100,0,0,0,,,,,,,,ragnarok_hit,10,ragnarok_hit,10,ptl_ocean_splash,10,,splashRange:19.0|attackRange:110,
incinerate,0,prj_drg_incinerate.lvl,100,0,0,0,,,,,,,,incinerate_onBuilding,5,incinerate_onBuilding,5,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
drg_spiritualGuardian_flame,0,prj_drg_spiritualGuardian.lvl,95,0,1,1,,,,,,,,imp_drg_spiritualGuardian_hit,6,imp_drg_spiritualGuardian_miss,6,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
spearSalvo,0,prj_spearSalvo.lvl,160,0,0,0,,,,,,,,imp_spearSalvo_hit,2,imp_spearSalvo_hit,2,ptl_ocean_splash,5,,splashRange:3.0|attackRange:110,
staticBlast,1,prj_drg_staticBlast_spell_01.lvl,80,0,0,0,,,,,,,,ptl_staticBlast_spell_impact_02,10,ptl_staticBlast_spell_impact_02,10,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
prj_drg_solarVolley,0,prj_drg_solarVolley.lvl,110,0,0,0,,,,,,,,ptl_imp_drg_solarVolley_hit,10,ptl_imp_drg_solarVolley_miss,10,ptl_ocean_splash,5,,,
prj_drg_gladiatorLegion_flame,0,prj_drg_gladiatorLegion.lvl,95,0,1,1,,,,,,,,imp_drg_gladiatorLegion_hit,9,imp_drg_gladiatorLegion_miss,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_swampFire_flame,0,prj_drg_swampFire.lvl,95,0,1,1,,,,,,,,imp_drg_swampFire_hit,4,imp_drg_swampFire_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_egyptianHawk_fireball,0,prj_drg_egyptianHawk.lvl,120,0,1,1,,,,,,,,imp_drg_egyptianHawk_hit,9,imp_drg_egyptianHawk_miss,9,ptl_ocean_splash,5,,,
prj_drg_glacialProwler_fireball,0,prj_drg_glacialProwler.lvl,120,0,1,1,,,,,,,,imp_drg_glacialProwler_hit,9,imp_drg_glacialProwler_miss,9,ptl_ocean_splash,5,,,
prj_drg_furnaceSorcerer_lockon,0,prj_drg_furnaceSorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_furnaceSorcerer_hit,9,,9,ptl_ocean_splash,5,,,
prj_drg_maskSorcerer_lockon,0,prj_drg_maskSorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_maskSorcerer_hit,9,,9,ptl_ocean_splash,5,,,
prj_drg_celestialWarrior_flame,0,prj_drg_celestialWarrior.lvl,95,0,1,1,,,,,,,,imp_drg_celestialWarrior_hit,9,imp_drg_celestialWarrior_miss,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_celestialCorrupt_fireball,0,prj_drg_celestialCorrupt.lvl,120,0,1,1,,,,,,,,imp_drg_celestialCorrupt_hit,9,imp_drg_celestialCorrupt_miss,9,ptl_ocean_splash,5,,,
prj_drg_celestialSorcerer_lockon,0,prj_drg_celestialSorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_celestialSorcerer_hit,9,,9,ptl_ocean_splash,5,,,
drg_rampage_sorcerer_lockon,0,prj_drg_rampage_sorcerer.lvl,120,0,0,0,,,,,,,,imp_drg_rampage_sorcerer,9,,9,ptl_ocean_splash,5,,,
prj_drg_valentine_lockon,0,prj_valentine_hunter_sorcerer.lvl,80,0,1,1,,,,,,,,imp_drg_valentine_sorcerer_hit,5,,5,ptl_ocean_splash,5,,,
prj_drg_valentine_flame,0,prj_drg_valentine_warrior.lvl,95,0,1,1,,,,,,,,imp_drg_valentine_warrior_hit,7,imp_drg_valentine_warrior_miss,7,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_valentine_fireball,0,prj_valentine_hunter_sorcerer.lvl,110,0,1,1,,,,,,,,imp_drg_valetine_hunter_hit,8,imp_drg_valentine_hunter_miss,,ptl_ocean_splash,5,,,
prj_drg_summonPuppet2_flame,0,prj_drg_summonPuppet2.lvl,95,0,1,1,,,,,,,,imp_drg_summonPuppet,9,imp_drg_summonPuppet,9,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
drg_breathOfTheDrowned_lockon,0,prj_drg_breathOfTheDrowned_lockon.lvl,100,0,0,0,,,,,,,,imp_drg_breathOfTheDrowned_hit,10,,5,ptl_ocean_splash,5,,,
slice,0,prj_slice.lvl,120,0,1,1,,,,,,,,imp_slice_hit,3,imp_slice_miss,3,ptl_ocean_splash,5,,splashRange:2.0|attackRange:110,
thrust,0,prj_thrust.lvl,120,0,0,0,,,,,,,,imp_thrust_hit,4,imp_thrust_miss,4,ptl_ocean_splash,5,,splashRange:5.0|attackRange:110,
execute,0,prj_execute.lvl,120,0,0,0,,,,,,,,imp_execute_hit,5,imp_execute_miss,5,ptl_ocean_splash,5,,splashRange:10.0|attackRange:110,
foxfireBolt,0,prj_foxfireBolt.lvl,120,0,0,0,,,,,,,,imp_foxfireBolt_hit,3,imp_foxfireBolt_miss,3,ptl_ocean_splash,5,,splashRange:2.0|attackRange:110,
prj_drg_japanStatue_flame,0,prj_drg_japanStatue.lvl,95,0,0,0,,,,,,,,imp_drg_japanStatue_hit,4,imp_drg_japanStatue_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_japanKappa_lockon,0,prj_drg_japanKappa.lvl,100,0,1,1,,,,,,,,imp_drg_japanKappa_hit,9,,9,ptl_ocean_splash,5,,,
prj_drg_japanRonin_fireball,0,prj_drg_japanRonin.lvl,120,0,1,1,,,,,,,,imp_drg_japanRonin_hit,9,imp_drg_japanRonin_miss,9,ptl_ocean_splash,5,,,
prj_drg_japanSamurai_flame,0,prj_drg_japanSamurai.lvl,95,0,1,1,,,,,,,,imp_drg_japanSamurai_hit,4,imp_drg_japanSamurai_miss,4,ptl_ocean_splash,5,,unscaledDistance:130|flamethrowerDuration:1|maximumDistance:700,
prj_drg_japanFox_lockon,0,prj_drg_japanFox.lvl,80,0,1,1,,,,,,,,imp_drg_japanFox_hit,9,,9,ptl_ocean_splash,5,,,
prj_drg_japanBlossom_fireball,0,prj_drg_japanBlossom.lvl,120,0,1,1,,,,,,,,imp_drg_japanBlossom_hit,9,imp_drg_japanBlossom_miss,9,ptl_ocean_splash,5,,,
