identifier,inBundle,isSecondary,canShowOnAnything,speakerDisplayName,dialog,bubblePosition,bubblePositionIPad,firstCharacterChanged,firstCharacterRepeatAnimation,firstCharacterPosition,firstCharacterPositionIPad,firstCharacterSpriteSheet,firstCharacterStaticImage,firstCharacterNumFrames,firstCharacterFlipped,backgroundImage,darkenBackground,h
narrationV3PostPve03_0,1,1,0,Orin,Mission accomplished! Here are some Egg Tokens for a job well done. I'll have another mission for you later.,0~30,0~60,0,1,-10~-20,-20~-40,,general.png,1,1,,0,
narrationV3CrossBreeding_0,1,0,0,Ash,Great work acquiring some Egg Tokens. Let's breed a new egg at the Breeding Castle.,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3IncubateDragon_0,1,0,0,Ash,A dragon egg needs to incubate before it can hatch.,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3BuildArcher_0,1,0,0,Ash,"One of the Blackbloods' dragons is approaching the Dragon Keep! We must build an archer tower, right away!",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3IncomingAttack_0,1,0,0,Ash,Brace yourself! We must defend against the enemy dragon!,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3PostDefenseBattle_0,1,0,0,Ash,You fought bravely. Those barbarians show no signs of attacking further. We can now focus on further developing the Dragon Keep.,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3ForestStart_0,1,0,0,Ash,We will need to clear the surrounding forest in order to gather more resources and strengthen our defenses.,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3ForestFinish_0,1,0,0,Ash,"There is no doubt in my mind that you are ready, Dragon Lord. I know we're going to accomplish great things, and I look forward to serving by your side.",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationV3ForestFinish_1,1,0,0,Ash,"If you are ever lost or in need of guidance, there are many here who can advise you on how to progress. Check the Quest Menu for suggestions.",0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,
narrationNewMapIntroDialgoue_0,1,0,0,Ash,All Dragon Lords are called to battle! The lich Kharnyx has opened a portal to the Void that must be closed!,0~30,0~60,0,1,-10~-20,-20~-40,,alessia.png,1,1,,0,!@#dcaeojiigojndlaj
