identifier,text,h
gachaMenu_silver_title,High Chance of RARE drop!,
gachaMenu_bronze_title,Chance of RARE drop!,
gachaMenu_gold_title,Guaranteed EPIC drop!,
gachaMenu_silver_epic_text,Open %ld Silver Chests for bonus Epic or Legendary Rune,
gachaMenu_gold_epic_text,Open %ld Gold Chests for a Legendary Drop,
gachaMenu_bronze_epic_text,Open %ld Bronze Chests for a Legendary Drop,
spell_ChaosSpell_spellName,Chaos,
salvage_empty_label_no_consumable,"You currently don't have any items to salvage. Play events, attack players, forge boosts, or buy value packs in the store to acquire more items!",
salvage_empty_label_tap_category,Tap a category above to see boosts you can salvage.,
spell_SuperRejuvenateSpell_spellName,Super Rejuvenate,
spell_SuperRejuvenateSpell_spellDescription,Restores a large amount of health over time,
spell_SuperHeatedBreathSpell_spellName,Super Heated Breath,
spell_SuperHeatedBreathSpell_spellDescription,Increase your flamethrower's damage for a short time by 65%,
spell_TectonicTombSpell_spellName,Tectonic Tomb,
spell_TectonicTombSpell_spellDescription,Traps and damages towers. Gain shield based on the number of hit towers.,
spell_SeismicScreechSpell_spellName,Seismic Screech,
spell_SeismicScreechSpell_spellDescription,Deals damage to nearby buildings and reduces their damage for entire battle.,
spell_EarthquakeSpell_spellName,Earthquake,
spell_EarthquakeSpell_spellDescription,Traps and damages all buildings in targeted area.,
spell_NoxiousVinesSpell_spellName,Noxious Vines,
spell_NoxiousVinesSpell_spellDescription,Wraps towers in choking vines.,
spell_UprootSpell_spellName,Uproot,
spell_Uproot_spellDescription,Destroys targeted tower and heals dragon.,
spell_ShieldAssaultSpell_spellName,Shield Assault,
spell_ShieldAssaultSpell_spellDescription,Toggle on for a shielded assault boost,
spell_ShieldBlastSpell_spellName,Shield Blast,
spell_ShieldBlastSpell_spellDescription,"Absorbs damage until depleted, then explodes",
spell_ElementalBarrier_spellDescription,Takes no damage from elemental attacks. Heals based on elemental damage received.,
spell_ElementalBarrier_spellName,Elemental Barrier,
battle_result_label_destroyed,Destroyed:,
battle_result_label_lost,Lost:,
battle_result_label_taxed,Taxed:,
lowActivityWarning,"Your status is now ""low activity"". This may affect your guild eligibility! See mail for tips on how to improve status.",
spell_WhiteChainLightningSpell_spellName,Thunderbolt,
spell_WhiteChainLightningSpell_spellDescription,Strikes buildings with lightning that chains randomly,
spell_HellspawnSpell_spellName,Summon Hellspawn,
spell_HellspawnSpell_spellDescription,Summons a Hellspawn Warrior Dragon to fight for you.,
spell_ResistAbility_darkFlakResist01_spellName,Dark Flak Resist,
spell_ResistAbility_darkFlakResist01_spellDescription,Provides resistance to Dark Flak Resist.,
spell_FlashSpell_spellName,Flash,
spell_FlashSpell_spellDescription,Blinds towers to dodge all non-beam attacks. Dragon moves slower.,
spell_ExtractEssenceSpell_spellName,Extract Essence,
spell_ExtractEssenceSpell_spellDescription,Gain rage and a spell from the last tower your dragon destroyed.,
spell_LightSpeedSpell_spellName,Light Speed,
spell_LightSpeedSpell_spellDescription,Deal area damage and gain reduced Hunter ammo cost at reduced damage.,
spell_summonDodoSpell_spellName,Dodo Guardian,
spell_summonDodoSpell_spellDescription,Passive Summoned Dodo Guardian. Absorbs damage and increases rage generation.,
spell_LethalBarrierSpell_spellName,Lethal Barrier,
spell_LethalBarrierSpell_spellDescription,"Absorbs damage until depleted, then explodes",
buildingDescription_fireFlakTower,Elemental Damage. Supershot reduces dragon damage by 50% for 2.5 seconds. On destruction explodes and deals damage.,
reduceDragonPowerText,Dragon damage reduced!,
spell_NorthernLightsDarkSpell_spellName,Northern Lights (Dark),
spell_NorthernLightsDarkSpell_spellDescription,Invincible shield that creates Rage marks on towers when destroyed,
spell_AshenBreathSpell_spellName,Ashen Breath,
spell_AshenBreathSpell_spellDescription,Attack inflicts clouds of decay on targeted buildings for short duration.,
spell_MysticWindSpell_spellName,Mystic Winds,
spell_MysticWindSpell_spellDescription,Deflects incoming projectiles and mage tower shots for 4.5 seconds,
spell_WhiteInstantKillSpell_spellName,Death Stare,
spell_WhiteInstantKillSpell_spellDescription,Dragon's next attack deals enough damage to destroy most buildings instantly,
buildingDescription_goldMine,Produces the gold mined from Atlas,
buildingUpgradeDescription_goldMine,Upgrade Gold Mine to increase your gold production.,
spell_StaticShieldSpell_spellName,Static Shield,
spell_StaticShieldSpell_spellDescription,"A crackling shield of electricity that absorbs damage until depleted, then explodes",
rateMyApp_Title,LOVE US?,
rateMyApp_Message_Apple,Rate us in app store!,
rateMyApp_Message_Android,Rate us in play store!,
rateMyApp_YesButton,Yes!,
rateMyApp_NoButton,Not now,
rateMyApp_FeedbackButton,Feedback,
iap_Promotion_ItemNotAvailable_Title,Item Not available,
iap_Promotion_ItemNotAvailable_Message,No available item,
iap_Promotion_TransactionNotFinished_Title,In App Purchase Not Available,
iap_Promotion_TransactionNotFinished_Message,Please finish your pending transaction first!,
iap_Promotion_TutorialNotFinished_Title,In App Purchase Not Available,
iap_Promotion_TutorialNotFinished_Message,Please finish tutorial first!,
iap_Promotion_ResumeTransaction_Title,Resuming transaction,
iap_Promotion_ResumeFromTutorial_Message,You finished tutorial! Do you want to resume your transaction from App Store?,
debuff,Fort Debuff,
tauntCD,Taunt Cooldown,
interdict,Trap Duration,
worldmap_setHome_fail,This place is already your home. You can move your home to any neutral castle or any castle your team controls.,
worldmap_lockedDown,Enemy Primarch(s) have this location locked down. You must destroy them first.,
worldmap_notInTeam,You must be on a team to do this.,
worldmap_moveHere_conquer,You must move your Primarch here to conquer this territory. Try To Move Now.,
worldmap_selectDrake,Please select a Primarch before performing this operation,
worldmap_continent_neutral,Neutral Castle (Safe Zone),
worldmap_continent_unknow,Unowned Castle,
worldmap_continent_allied,Your Team's Castle,
worldmap_continent_enemy,Enemy Castle,
worldmap_setHome,Set Home,
server_waiting_set_home,Moving your Home...,
worldmap_continent_destroyed,Castle has been destroyed and no longer available,
worldmap_conquer_success_title,You Conquered Castle %@,
worldmap_conquer_success_body,Castle %@now belongs to your team. Congratulations!,
worldmap_conquer_fail_title,Failed to conquer,
worldmap_conquer_fail_body,Wipe out the competition first,
worldmap_continent,Castle,
worldmap_manage,Manage,
worldmap_detail,Details,
worldmap_detail_info_drake_delayed,Delayed,
worldmap_error,Error,
worldmap_select_button,Select,
worldmap_train_button,Train,
worldmap_Interdict_button,Trap,
worldmap_dataNotLoaded,Map data is not loaded yet,
worldmap_cannotAttackDrake_notPlaced,Primarch is not placed in the world,
worldmap_cannotAttackDrake_safeZone,Combat is not allowed in this safe zone.,
worldmap_cannotAttackDrake_attackSelf,You may not attack yourself.,
worldmap_cannotAttackDrake_attactTeammate,You may not attack your team's members.,
worldmap_cannotAttackDrake_safeTime,PvP is currently disabled. Fight in: %@,
worldmap_cannotAttackDrake_trapped,Your Primarch has been trapped! Attack the Trapper which trapped your Primarch to get it free first.,
worldmap_drake_yours,Your,
worldmap_drake_allied,Allied,
worldmap_drake_enemy,Enemy,
worldmap_drake_delayed,(Delayed by Trapper %ld seconds left),
worldmap_drake_alreadySelected,Already Selected,
worldmap_no_transfer_self,"Oops, you're trying to transfer from your selected Primarch to itself! Please choose a castle or another Primarch you own that you would like to transfer troops and resources with.",
worldmap_interdict_cooldown,Your trap ability is on cooldown. You can trap again in %d seconds,
worldmap_interdict_fromChockPT,You cannot trap Primarchs while you are traveling through a chokepoint.,
worldmap_interdict_toChockPT,You cannot trap Primarchs while they are traveling through a chokepoint.,
worldmap_interdict_dist,You can only trap Primarchs in the same region.,
worldmap_poacher,Poacher,
worldmap_poacher_lockdown,Enemy Primarch(s) have this location locked down. You must destroy them first.,
worldmap_poacher_is_spawning,This poacher is currently spawning. You will be able to attack it after it finishes spawning.,
worldmap_no_drake,You have no Primarch. Please summon one in order move.,
worldmap_already_en_route,Your %@ is already here.,
worldmap_move_now,Move Now,
worldmap_processing,Processing...,
worldmap_move_next,Move Next,
worldmap_next_same_as_now,"Your Primarch is not moving. Use the 'Move Now' option to immediately start moving to a new location. After you're en route, you can use this 'Move Next' option to add additional waypoints to your route.",
worldmap_attack,Attack,
worldmap_moveHere_attack,You must move your Primarch here to attack. Try Move Now.,
worldmap_destroy_enemy_attack,Enemy Primarch(s) have this location locked down. You must destroy them first.,
worldmap_moveHere_generic,You must move your Primarch here to do this. Try Move Now,
worldmap_selectDrake_generic,You must have a Primarch selected to do this.,
worldmap_conquer_toDonate,Only the team which owns this castle may donate to this castle's team bank.,
worldmap_warning,Warning,
worldmap_no_transfer_enemy,You cannot transfer troops to an enemy Barracks,
worldmap_continent_shield_title,Castle Shielded,
worldmap_continent_shield_body,You can't conquer this castle until the shield dissipates.,
worldmap_continent_shield_desc,This castle has taken serious damage. Shield dissipates in: %@,
worldmap_not_enough_energy_portal,Portal does not have enough energy,
worldmap_continent_shield_event,An ongoing events protects all castle from attack. Have fun playing the event without worrying about your castle falling prey to enemies!,
worldmap_continent_taunter_title,Attack Blocked By %@,
worldmap_continent_taunter_message,An enemy %@ blocks you from attacking your target. Do you want to attack the %@ blocking you instead?,
worldmap_fail_set_home,Failed to set home,
worldmap_fail_add_waypoint,Failed to add waypoint,
worldmap_conquer,Conquer,
worldmap_mine_title,Gold Mine (Safe Zone),
worldmap_mine_title_level,Gold Mine level %d,
worldmap_poacher_already_scrached,"You have already defeated a poacher here. Get your teammates to help defeat the other poacher members (like war, each team member can only scratch off one poacher)!",
worldmap_attackPlayerBaseTitle,Attack,
worldmap_attackPlayerBaseMessage,Do you want to attack this player?,
worldmap_noOpenRadialMenuTitle,Locked,
worldmap_noOpenRadialMenuMessage,This area is still controlled by Kharnyx and not available as part of the Atlas. Please look somewhere safer!,
worldmap_title_level,level %d,
worldmap_use_portal,Use,
worldmap_portal_lockdown,Enemy Primarch(s) have this portal locked down. You must destroy them first.,
worldmap_moveHere_portal,You must move your Primarch to the Portal in order to use it. Try Move Now.,
worldmap_fail_use_portal,Failed to use Portal,
worldmap_portal_title,Portal,
worldmap_noMansLand,This is a No Man's Land. You cannot conquer these ruins.,
worldmap_noAttackAlliesTitle,"Cannot attack ally players, please try other castles.",
worldmap_noAttackAlliesMessage,No enemies,
worldmap_interdictFailed,"Sorry, your attempt to trap an enemy failed. Please try again later",
worldmap_never_expires,Never,
worldmap_expired_portal,This portal has disappeared back into the ether.,
server.world.actors.FLEET_ARRIVED,Primarch already arrived,
server.world.actors.FLEET_IN_PORT,Your Primarch is in port,
battle.gloryEarned.TITLE,You were attacked,
battle.gloryEarned.BODY,You were attacked near {{contname}} by {{attacker}} of {{teamname}}. Your Primarch earned {{gloryamount}} glory. Go to your battle reports to view the details.,
poacher.spawned.TITLE,Poacher Spawned,
poacher.spawned.BODY,The poacher in region {{region}} has finished spawning. You can attack it with your Primarch now.,
free_drake.TITLE,Primarch Freed,
free_drake.BODY,"Your Primarch has been freed, please summon a new one",
enemy_here,Cannot Summon. Enemy Primarch(s) are at this location.,
poacher.defeated.TITLE,Poacher Already Defeated,
poacher.defeated.BODY,The poacher in region {{region}} was defeated before you could complete your attack.,
worldmap_cannot_move_trapped,You cannot move your primarch now because you are trapped by a Trapper,
spell_FullMoonSpell_spellName,Full Moon,
spell_FullMoonSpell_spellDescription,Turn health into attack & rage. Destroy towers to gain health.,
spell_StoneformSpell_spellName,Stoneform,
spell_StoneformSpell_spellDescription,Greatly reduces damage taken,
spell_FeralRageSpell_spellName,Feral Rage,
spell_FeralRageSpell_spellDescription,The dragon's savage nature grants it faster rage regeneration,
worldmap_mine_loot,%d x loot,
worldmap_mineLoot_message,How much gold you can win from a mine increases as your team conquers more territory and upgrades its Banks. The amount of bonus XP you can earn increases as your team conquers more territory and upgrades its HQs.,
worldmap_mineLoot_title,Gold Mine,
worldmap_poacher_bonus_title,Poacher Bonus,
worldmap_poacher_bonus,"If your team defeats more of this poacher's members than any other team, you will earn up +%ld%% extra loot. Maximum loot is earned if your team defeats ALL of this poacher's members.",
worldmap_poacher_bonus_bound,up to %ld%% bonus,
worldmap_poacher_refinery_bonus,Refineries %ld%%,
worldmap_general_error,"Sorry, we were unable process your request. Please try again, or contact support if this problem persists.",
worldmap_move_block_warning_title,Path Blockaded,
worldmap_move_block_warning_message,The route you have selected includes an enemy blockade where your primarch will be delayed. Are you sure you want to continue with this move?,
worldmap_team_rank,Global #%ld,
worldmap_gold_loot_mult,%d x loot,
worldmap_troopTransfer_toDrake_message,Troops transferred to Primarch %@,
worldmap_troopTransfer_toGarrison_message,Troops transferred to Barracks,
worldmap_enemy_primarch_block_summoning,You cannot summon a primarch while an enemy primarch is at your home.,
worldmap_infrastructure_not_online_block_summoning,infrastructure must be online to summon.,
worldmap_garrison_protected_title,Castle Protected,
worldmap_garrison_protected,This castle is protected by enemy Primarchs. You must destroy them before you can attack this castle.,
worldmap_move_to_the_same_region_to_attck,You must be in the same region to attack a beast or mine.,
worldmap_move_to_the_same_region_to_move,You must first be in the same region as the portal in order to move to it.,
poacher.escaped.TITLE,Poacher Escaped,
poacher.escaped.BODY,The poacher in region {{region}} has escaped. Rally your team to fully defeat the poacher next time. All poachers must be beaten by your team in order to earn its loot!,
poacher.gotBonusLoot.TITLE,Bonus Poacher Loot,
poacher.gotBonusLoot.BODY,You earned rider gear crafting material bonus loot because your team defeated the majority of a poacher in region {{region}}.,
poacher.gotBonusLootPartial.TITLE,Bonus Poacher Loot,
poacher.gotBonusLootPartial.BODY,You earned rider gear crafting material bonus loot because your team defeated the majority of a poacher in region {{region}}. Your team only defeated {{numScratches}} of the {{numPoacherFleets}} poacher members. Defeat all of the poacher members to get {{missedPercent}}% more bonus loot.,
poacher.scratchStolen.TITLE,Poacher Stolen,
poacher.scratchStolen.BODY,{{name}} of {{team}} stole the poacher you defeated in region {{region}}.,
teambeast.gotTeamBeastBonusLoot.TITLE,Team Beast Bonus Loot,
teambeast.gotTeamBeastBonusLoot.BODY,Bonus loot was sent to your team's bank because your team defeated the daily team beast.,
teambeast.escaped.TITLE,Beast Escaped,
teambeast.escaped.BODY,The beast escaped before your attack was completed. Please attack another beast.,
beast.escaped.TITLE,Beast Escaped,
beast.escaped.BODY,The beast escaped before your attack was completed. Please attack another beast.,
teambeast.new_join.TITLE,Beast Attack Failed,
teambeast.new_join.BODY,You cannot attack this beast on the same day you join the team.,
teambeast.scratched.TITLE,Team Beast Attack Failed,
teambeast.scratched.BODY,You already scratched this team beast slot.,
teambeast.fully_scratched.TITLE,Team Beast Already Defeated,
teambeast.fully_scratched.BODY,Your team already defeated this team beast.,
spell_FrostShieldSpell_spellName,Frost Shield,
spell_FrostShieldSpell_spellDescription,Blocks all projectile damage. Reduces beam attack damage.,
spell_SoulDevourSpell_spellName,Soul Devour,
spell_SoulDevourSpell_spellDescription,"While active, gain health and rage for each tower destroyed.",
spell_BloodFurySpell_spellName,Bloodfury,
spell_BloodFurySpell_spellDescription,Gains Rage but slows regen rate. Gain health on building destruction.,
spell_AbsorbMagicSpell_spellName,Absorb Magic,
spell_AbsorbMagicSpell_spellDescription,Decrease all damage received and absorbs mage supershot to gain rage.,
spell_AdaptiveResistSpell_spellName,Adaptive Resist,
spell_AdaptiveResistSpell_spellDescription,Changes Resist type and gain small amount of rage on use.,
spell_SeekerShotsSpell_spellName,Seeker Shots,
spell_SeekerShotsSpell_spellDescription,Instantly shoot multiple magic projectiles at targets in front.,
worldmap_detail_lock_reason,This function is not valid during your training.,
worldmap_skip_tutorial_title,Skip Training,
worldmap_skip_tutorial_message,Are you sure you want to skip this training?,
spell_ReanimateSpell_spellName,Reanimate,
spell_ReanimateSpell_spellDescription,"If dragon dies during spell duration, it returns to life!",
worldmap_error_conquer_exceeds_ownable_limit_region_lvl2,Teams cannot own more than 20 level 2 castles. Conquer higher level castles or stop paying upkeep on a current level 2 castle,
worldmap_error_conquer_exceeds_ownable_limit_region_lvl3,Teams cannot own more than 20 level 3 castles. Conquer higher level castles or stop paying upkeep on a current level 3 castle,
worldmap_error_primarch_not_here,Primarch not here,
worldmap_error_primarch_not_found,Primarch not found,
worldmap_error_primarch_still_summoning,Primarch summoning still in progress,
worldmap_error_drake_summoned,This type of Primarch already summoned.,
worldmap_error_slot_unavailable,No slot available.,
worldmap_error_slot_invalid,Invalid slot.,
worldmap_error_slot_invalid_request,Incorrect slot unlock requested.,
worldmap_error_slot_all_unlocked,Max slots already unlocked.,
worldmap_error_drake_travel_order,Primarch has travel orders.,
worldmap_error_drake_no_home,Primarch has no home.,
worldmap_error_drake_not_at_home,Primarch is not at home.,
worldmap_error_drake_too_many_ships,Too many troops on your old Primarch.,
worldmap_error_train_invalid_diamonds,Invalid diamonds tendered.,
worldmap_error_train_no_xp,No XP for new Primarch.,
worldmap_error_train_incorrect_level,Incorrect level.,
worldmap_error_train_insufficient_xp,Insufficient XP.,
worldmap_error_expedite_negative_diamonds,Unexpected negative value of diamonds.,
worldmap_error_expedite_no_build,No builds ongoing.,
worldmap_error_expedite_build_finished,Some build finished while you were making this request.,
worldmap_error_expedite_invalid_build,Invalid build.,
worldmap_error_expedite_already_done,Already done.,
worldmap_error_expedite_unknown,Unknown expedite.,
worldmap_error_expedite_insufficient_diamonds,Insufficient diamonds tendered.,
worldmap_error_player_not_found,Player not found.,
worldmap_error_player_no_team,You are no longer in a team with access to Atlas.,
worldmap_error_player_no_free_slot,No free slot.,
worldmap_error_negative_value,Unexpected negative value.,
worldmap_error_too_many_ships,Cannot build that many troops at once.,
worldmap_error_invalid_ships_count,Invalid ship count.,
worldmap_error_no_enough_ship_repair,Not enough troops to repair,
worldmap_error_no_enough_resources,Not enough resources.,
worldmap_error_no_enough_sailors,Not enough farmers.,
worldmap_error_no_enough_gold,Not enough gold.,
worldmap_error_home_not_set,Home not set.,
worldmap_error_incorrect_kingdom,Incorrect kingdom.,
worldmap_error_waypoint_invalid_drake_slot,Invalid Primarch slot.,
spell_TalonFrenzySpell_spellName,Talon Frenzy,
spell_TalonFrenzySpell_spellDescription,Dragon deals greatly increased damage with its attacks.,
spell_CorrosiveBrineSpell_spellName,Corrosive Brine,
spell_CorrosiveBrineSpell_spellDescription,Fireball attacks increase damage dealt to buildings.,
spell_LionsRageSpell_spellName,Lion's Rage,
spell_LionsRageSpell_spellDescription,"Passive: At low dragon HP, attacks increase damage dealt to buildings.",
spell_SummonLightningFamiliar_spellName,Lightning Familiar,
spell_SummonLightningFamiliar_spellDescription,Summons a lightning dragon.,
spell_TidalSurgeSpell_spellName,Tidal Surge,
spell_TidalSurgeSpell_spellDescription,Damages a building and restores health.,
spell_LightningStormSpell_spellName,Lightning Storm,
spell_RiptideSpell_spellName,Riptide,
spell_RiptideSpell_spellDescription,"Cloak briefly. Upon uncloaking, damage nearby towers.",
spell_BlazingShieldSpell_spellName,Blazing Shield,
spell_BlazingShieldSpell_spellDescription,Reduces incoming damage and restores health.,
client_update_block_war_popup_message,War Dragons is currently undergoing maintenance. Declaring Wars has been disabled for the during of the maintenance. Please check again once the maintenance has concluded.,
worldmap_empty_team_continent_explanation,Your team has not conquered any castles. Have a team member conquer a castle for it to show up here.,
worldmap_empty_target_continent_explanation,Your team has not targeted any castles. Have a team member target a castle for it to show up here.,
worldmap_empty_bookmark_continent_explanation,Your team has not bookmarked any castles. Have a team member bookmark a castle for it to show up here.,
worldmap_empty_team_capital_explanation,Your team has no capitals.,
worldmap_noMansLand_no_transfer,This is a No Man's Land. You cannot transfer troops to these ruins.,
hud_icon_gacha_label,ARMORY,
hud_icon_result_label,RESULT,
worldmap_poacher_king,Kingpin,
spell_ResistAbility_fireFlakResist01_spellName,Fire Flak Resist,
spell_ResistAbility_fireFlakResist01_spellDescription,Provides Resistance to Fire Flak Towers.,
world_map_king_poacher_guard_all_defeated,You have defeated all of this Kingpin's troops! Send your Primarch to another Kingpin to fight more.,
buildingDescription_iceFlakTower,Deals Elemental damage from long range. Supershot disables spell cast.,
iap_subscription_consumed,You have an active subscription for your current game progress linked to another Apple account. Please login with that account to claim your subscription.,
spell_WarCrySpell_spellName,War Cry,
spell_WarCrySpell_spellDescription,Increase the damage of this and the next dragon to attack,
cantFindPoacherInRequestTitle,No Poacher In Your Region,
cantFindPoacherInRequestMessage,"There are no poachers in your region right now, try again later.",
poacher.noBonusLoot.TITLE,No Bonus Poacher Loot,
poacher.noBonusLoot.BODY,No bonus poacher loot was awarded for the defeat of the poacher at {{region}} because no team defeated the majority of that poacher's members,
noResearchWarning_body,You need to build a Research Hall.,
noResearchWarning_title,Build a Hall of Research.,
worldmap_error_primarch_already_moving,You must complete your current movement before you can move again.,
worldmap_error_primarch_blockaded,Your Primarch is blockaded.,
worldmap_error_primarch_invalid_destination,You cannot fly directly to an enemy or unowned castle. You must first fly to a nearby friendly or neutral castle and move through the enemy castles one by one to reach it.,
worldmap_move_to_the_same_region,Your %@ Primarch is not currently in this region. First move to this region and then you can attack poachers and mines on this region,
worldmap_destroy_enemy_on_continent,You cannot attack a mine or team beast while enemy primarchs are at the same castle as your primarch. You must first destroy them or wait for them to leave.,
worldmap_cannot_attack_while_traveling,You can not attack while traveling.,
worldmap_error_primarch_interdicted,You cannot move your primarch now because you are trapped by a Trapper,
worldmap_cannot_attack_while_blockaded,"You cannot attack a mine or beast while your primarch is currently delayed in a blockade at Castle %@. You must first wait for the delay to end, or conquer the enemy castle.",
worldmap_cannot_attack_while_trapped,You are currently being trapped by a Trapper. You must destroy the Trapper or wait for the trap to wear off before moving or attacking.,
spell_SummersPurifcation_spellName,Summer's Purification,
spell_SummersPurifcation_spellDescription,Heavily damage all towers in target area. Restore health for each tower destroyed,
spell_Regenerate_spellName,Regenerate,
spell_Regenerate_spellDescription,Restores health over time.,
spell_AutumnsReap_spellName,Autumn's Reap,
spell_AutumnsReap_spellDescription,Increases attack & rage generation. Destroying towers grants health.,
spell_GhostfireBlast_spellName,Ghostfire Blast,
spell_GhostfireBlast_spellDescription,Damage and disable all buildings in the affected area,
spell_SolarStrike_spellName,Solar Strike,
spell_SolarStrike_spellDescription,Heavily damages target tower.,
spell_Vanish_spellName,Vanish,
spell_Vanish_spellDescription,Dragon becomes invisible and cannot be targeted until it attacks,
spell_GhostfireWreath_spellName,Ghostfire Wreath,
spell_GhostfireWreath_spellDescription,Absorbs all incoming damage and projectiles.,
spell_ResistAbility_iceFlakResist01_spellName,Ice Flak Resist,
spell_ResistAbility_iceFlakResist01_spellDescription,Provides resistance to Ice Flak Towers.,
spell_WintersBiteSpell_spellName,Winter's Bite,
spell_WinterBiteSpell_spellDescription,Dragon's flamethrower attack deals increased damage and freezes buildings.,
spell_HealthRageDeathMarkSpell_spellName,Spring's Renewal,
spell_HealthRageDeathMarkSpell_spellDescription,"Mark target tower. When marked tower is destroyed, gain health and rage. ",
spell_bellyFlop_spellName,Belly Flop,
spell_bellyFlop_spellDescription,Dragon self destructs and deals tremendous damage to every tower in the area,
spell_whiteSuperRejuvenateSpell_spellName,Super Rejuvenate,
spell_whiteSuperRejuvenateSpell_spellDescription,Restores a large amount of health over time,
worldmap_move,Move,
alliance_menu_tab0_label_create,Create,
alliance_menu_tab0_label_manage,Alliance,
alliance_menu_tab1_label,Join,
alliance_menu_tab2_label,Requests,
alliance_menu_tab3_label,Invitations,
alliance_leave_confirmation_title,Leave Alliance,
alliance_leave_confirmation_message,Are you sure you want to leave your alliance?,
alliance_leave_to_join_confirmation_title,Join Alliance,
alliance_leave_to_join_confirmation_message,"If you accept this invitation to join %@, you will leave your alliance. Are you sure you wish to accept?",
alliance_apply_to_join_confirmation_title,Alliance Application,
alliance_apply_to_join_confirmation_message,If this alliance accepts your application you will leave your current alliance. Are you sure you wish to apply?,
alliance_locked_for_event,You can't change alliance during event,
alliance_operation_by_non_team_officer,You are not an officer!,
alliance_non_exist,Alliance doesn't exist!,
alliance_operation_by_non_alliance_leader,Only Alliance leader should do this!,
alliance_team_already_in_alliance,Team already in alliance,
alliance_name_restricted,That name is not allowed,
alliance_already_exist,Name already used!,
alliance_accept_application_withdrawn,The applicant seems to withdrawn their application,
alliance_invite_already_sent,You already sent invitation to that team,
world_team_non_exist,That team no longer exist in altas!,
alliance_invitation_wrong,This Invitation seems to be malformed,
alliance_reach_maximum_team,Alliance is already full!,
alliance_team_not_in_alliance,Team not in alliance!,
alliance_should_not_accept,Should not add this team to alliance!,
worldmap_continent_really_allied,Your Ally's castle,
alliance_info_dialog_title,Alliance Info,
alliance_info_dialog_message,"Alliances are currently limited to a maximum of 5 teams.

Allied castles will have yellow labels and primarchs.

Teams in your alliance cannot be attacked.

Restart your game to see allied colors after joining an alliance.

Alliances can be joined or left at anytime.

Primarchs can freely pass through allied castles.

Primarch special abilities do not affect allies (Taunt, Trap, Fort De-buff).",
alliance_join_withdraw_application_confirmation_title,Withdraw Application,
alliance_join_withdraw_application_confirmation_message,Are you sure you want to withdraw your application to %@?,
alliance_accept_invitation_confirmation_title,Accept Invitation,
alliance_accept_invitation_confirmation_message,Are you sure you want to accept the invitation to join %@? This will leave your current alliance if you are in one.,
alliance_reject_invitation_confirmation_title,Reject Invitation,
alliance_reject_invitation_confirmation_message,Are you sure you want to reject invitation to join %@?,
alliance_withdraw_invitation_confirmation_title,Withdraw Invitation,
alliance_withdraw_invitation_confirmation_message,Are you sure you want to withdraw the invitation to %@ to join your alliance?,
alliance_kick_member_confirmation_title,Remove Member,
alliance_kick_member_confirmation_message,Are you sure you want to remove %@ from your alliance?,
alliance_invite_team_confirmation_title,Invite Team,
alliance_invite_team_confirmation_message,Are you sure you want to invite %@ to your alliance?,
alliance_accept_application_confirmation_title,Accept Application,
alliance_accept_application_confirmation_message,Are you sure you want to accept %@ to your alliance?,
alliance_reject_application_confirmation_title,Reject Application,
alliance_reject_application_confirmation_message,Are you sure you wish to reject this application from %@ to join your alliance?,
alliance_create_description_label,Name your alliance,
alliance_invite_team_to_join_you_description_label,Invite team to join your alliance,
alliance_pending_request_description_label,Your applications to join other alliances,
alliance_pending_invite_team_to_join_you_description_label,Outgoing invitations to join your alliance,
alliance_invite_from_other_description_label,Requests to join other alliances,
alliance_request_to_join_you_description_label,Requests to join your alliance,
alliance_change_too_frequent,Team is changing alliance too frequently! Please try again later!,
equip_dragon_runeMenuText_default,Already equipped rune types are not displayed here.,
equip_dragon_runeMenuText_equipped,Already equipped rune types are displayed here.,
worldmap_cannot_transfer_while_transfering,You can not transfer troops to or from a summoning Primarch.,
alliance_chat_msg_create,{TEAM} has created Alliance {ALLIANCE},
alliance_chat_msg_join,{TEAM} has joined Alliance {ALLIANCE},
alliance_chat_msg_left,{TEAM} has left Alliance {ALLIANCE},
alliance_chat_msg_kicked,{TEAM} was kicked from Alliance {ALLIANCE},
alliance_application_already_sent,You already applied to that alliance.,
worldmap_error_conquer_exceeds_ownable_limit,Teams cannot own more than 50 castles. Stop paying upkeep at one of your team's castles to free up space to conquer this one.,
worldmap_no_transfer_no_ship,There are no friendly Primarchs here to transfer to your %@,
worldmap_ability_locked_shield,Primarch abilities do not work while Shields are active.,
alliance_try_to_leave_alliance_chat_channel_title_text,Cannot leave alliance chat,
alliance_try_to_leave_alliance_chat_channel_message_text,You are not allowed to leave alliance chat,
spell_LeechEssenceSpell_spellName,Leech Essence,
spell_LeechEssenceSpell_spellDescription,Gain rage and a spell from the last tower your dragon destroyed.,
buildingDescription_windFlakTower,Elemental Damage. Increases nearby flak towers' supershot damage.,
spell_StormShieldSpell_spellName,Storm Shield,
spell_StormShieldSpell_spellDescription,Absorbs damage until depleted then explodes damaging buildings,
spell_RampageSpell_spellName,Rampage,
spell_RampageSpell_spellDescription,Increased attack & rage generation. Destroying towers grants health.,
spell_magicBarrierSpell_spellName,Magic Barrier,
spell_magicBarrierSpell_spellDescription,Shields dragon from all damage for a short duration.,
spell_AdaptiveFlakResistSpell_spellName,Adaptive Flak Resist,
spell_AdaptiveFlakResistSpell_spellDescription,Changes Resist type on use and restores a small amount of rage.,
