identifier,activeAchievement,priority,narrativeActionType,narrativeItem,narrationIdentifier,delayTime,menuButton,tableName,tableItemIdentifier,arrowRotation,arrowScale,narrativeAction,tutorialMessage,shouldAlwaysScroll,additionalParameters,h
tutorialWaitingToCompleteHogFarm1_expediteArrow,tutorialWaitingToCompleteHogFarm1,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Speed Up,1,cameraHeight:350,
tutorialWaitingToCompleteHogFarm1_timerExpedite,tutorialWaitingToCompleteHogFarm1,5,TimerOverlayNarrativeAction,hogFarm_timer,,,,,,,1,,Speed Up,,cameraHeight:350,
tutorialCollectHogFarm_narration,tutorialCollectHogFarm,1,NarrationNarrativeAction,,narrationCollectFood,,,,,,,,,,,
tutorialCollectHogFarm_worldArrow,tutorialCollectHogFarm,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Collect Food,1,,
tutorialCollectHogFarm_fillHog,tutorialCollectHogFarm,,MakeHarvestBuildingCollectibleNarrativeAction,expansion_001-building,,,,,,,,,,,,
tutorialBuildArcher_narration,tutorialBuildArcher,,NarrationNarrativeAction,,narrationBuildArcher,,,,,,,,,,,
tutorialBuildArcher_worldArrow,tutorialBuildArcher,2,BuildModeWorldObjectNarrativeAction,expansion_002,,,,,,,,,Build Archer,1,,
tutorialBuildArcher_storeArrow,tutorialBuildArcher,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabTower,archerTower,0,,,Build Archer,,,
tutorialBuildArcher_disableNo,tutorialBuildArcher,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
tutorialBuildArcher_yesArrow,tutorialBuildArcher,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,,,,,,
tutorialReadyArcher_expediteArrow,tutorialReadyArcher,2,BuildModeWorldObjectNarrativeAction,expansion_002-building,,,,,,,,,Speed Up,1,cameraHeight:350,
tutorialReadyArcher_timerExpedite,tutorialReadyArcher,5,TimerOverlayNarrativeAction,archerTower_timer,,,,,,,1,,Speed Up,1,cameraHeight:350,
tutAuxDefense1Arrow_defendArrow,tutAuxDefense1Arrow,,MenuArrowDisableWorldTouchesNarrativeAction,joinBattleNotification,,,button,,,180,1,,Defend!,,,
tutorialDefense1Finish_disableCancel,tutorialDefense1Finish,,DisableMenuButtonNarrativeAction,replayHud,,,quitDefenseContainerNode,,,,,,,,,
tutAuxDefense1HardPauseStep_Pause,tutAuxDefense1HardPause,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
tutAuxDefense1Hint01Step_Hint,tutAuxDefense1Hint01,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"Towers Attack Automatically
(tap to continue)",,time:100000|x:50|y:50,
tutAuxDefense1Hint02Step_Hint,tutAuxDefense1Hint02,,MenuArrowNarrativeAction,replayHud,,,fillRageSprite,,,90,1.25,,"You get a limited number of powerful Super Shots per round
(tap to continue)",,showHint:1,
tutAuxDefense1Hint04_pause,tutAuxDefense1Hint04,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
tutAuxDefense1Hint04_hint,tutAuxDefense1Hint04,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"Great!  The tower is charging up to fire the super shot!
(tap to continue)",,time:100000|x:50|y:50,
tutAuxDefense1Hint05_pause,tutAuxDefense1Hint05,,PauseBattleNarrativeAction,replayHud,,,pauseLayer,,,,,,,,,
tutAuxDefense1Hint05_hint,tutAuxDefense1Hint05,,ShowHintOnScreenNarrativeAction,replayHud,,,,,,0,1.25,,"This flaming arrow will deal 3x damage!
(tap to continue)",,time:100000|x:50|y:50,
tutAuxDefense1Hint03Step_Arrow,tutAuxDefense1Hint03,,DefenseWorldObjectNarrativeAction,expansion_002-building,,,,,,0,1.25,,Tap to Fire Super Shot!,,,
tutorialClearExpansion1Start_narration,tutorialClearExpansion1Start,,NarrationNarrativeAction,,narrationClearExpansion1,,,,,,,,,,,
tutorialClearExpansion1Start_worldArrow,tutorialClearExpansion1Start,1,BuildModeWorldObjectNarrativeAction,expansion_003,,,,,,,,,Start Clearing,1,,
tutorialClearExpansion1Start_contextArrow,tutorialClearExpansion1Start,2,MenuArrowNarrativeAction,expansionContext,,,expansionButton,,,,,,Start Clearing,,,
tutorialDefense2ModalOpen_defenseModal,tutorialDefense2ModalOpen,,ShowBuildingTutorialMenuNarrativeAction,expansion_002-building,,,,,,,,,,,numberOfSuperShots:5,
tutorialDefense2ModalArrow_defenseModalArrow,tutorialDefense2ModalArrow,,MenuArrowNarrativeAction,buildingInfoMenu,,,buildingSupershotTargetedLayer,,,,0.75,,Fire 5 Supershots,,,
tutorialPve03Finish_attackButtonArrow,tutorialPve03Finish,1,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Khan,,,
tutorialPve03Finish_narration,tutorialPve03Start,,NarrationNarrativeAction,,narrationPve03,,,,,,,,,,,
tutorialPve04Finish_attackButtonArrow,tutorialPve04Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Laria,,,
tutorialPve04ReachIsland1_DisableSpell,tutorialPve04ReachIsland1,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
tutorialPve04ReachIsland1_DisableSpell01,tutorialPve04Hint01,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
tutorialPve04ReachIsland1_DisableSpell02,tutorialPve04Hint02,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
tutorialPve04HardPause_Pause,tutorialPve04HardPause,,PauseBattleNarrativeAction,battleHud,,0.2,pauseLayer,,,,,,,,,
tutorialPve04Hint01_Hint,tutorialPve04Hint01,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Those towers look too strong! Let's sneak by with Cloak!
(tap to continue)",,time:100000|x:50|y:50,
tutorialPve04Hint03_SpellArrow,tutorialPve04Hint03,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.5,,Cloak!,,,
tutorialPve04Hint04_Hint,tutorialPve04Hint04,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,Careful!  If you attack you will uncloak!,,time:100000|x:50|y:50,
tutorialPve04Hint05_Hint,tutorialPve04Hint05,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,You only need to destroy 70% of the base to win!,,time:100000|x:50|y:50,
tutorialPve04ReachedIsland2_disableattack,tutorialPve04ReachedIsland2,,DisableDragonAttackNarrativeAction,,,,,,,,,,,,,
tutorialPve04ReachedIsland3_tapToAttack,tutorialPve04ReachedIsland3,,ShowAttackTooltipNarrativeAction,,,,,,,,,,,,,
tutAuxDisableAttack4_disableAttack,tutAuxDisableAttack4,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Not Ready to Attack|Visit the breeder balloon for your latest mission!,,,
tutAuxDisableAttack4_disablePulse,tutAuxDisableAttack4,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack4_disableBreederAttack,tutAuxDisableAttack4,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,Not Ready to Attack|Visit the breeder balloon for your latest mission!,,,
tutorialPve05Hint01_Hint,tutorialPve05Hint01,,ShowHintOnScreenNarrativeAction,attackPreviewHud,,,,,,0,1.25,,"You can use up to three dragons per battle, one at a time!
(tap to continue)",,time:100000|x:50|y:50,
tutorialPve05Finish_attackButtonArrow,tutorialPve05Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Titan,,,
tutorialPve06Hint01_Hint,tutorialPve06Hint01,,ShowHintOnScreenNarrativeAction,attackPreviewHud,,,,,,0,1.25,,"Dragons are each weak to one type of tower.  Choose the order of dragons carefully!
(tap to continue)",,time:100000|x:50|y:50,
tutorialPve06Finish_attackButtonArrow,tutorialPve06Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Deathclaw,,,
tutAuxDisableAttack5_disableAttack,tutAuxDisableAttack5,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Not Ready to Attack|Breed a dragon!,,,
tutAuxDisableAttack5_disablePulse,tutAuxDisableAttack5,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
tutAuxDisableAttack5_disableBreederAttack,tutAuxDisableAttack5,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,Not Ready to Attack|Breed a dragon!,,,
tutorialCollectEggTokens_worldArrow,tutorialCollectEggTokens,,TimerOverlayNarrativeAction,BLIMP_collection,,,,,,270,1,,Collect Egg Tokens,,cameraHeight:350,
tutorialCollectEggTokens2_worldArrow,tutorialCollectEggTokens2,,TimerOverlayNarrativeAction,BLIMP_collection,,,,,,270,1,,Collect Egg Tokens,,cameraHeight:350,
tutorialCollectEggTokens_disableWorldTouches,tutorialCollectEggTokens,,DisableWorldTouchesNarrativeAction,BLIMP_collection,,,,,,,,,,,,
tutorialCollectEggTokens2_disableWorldTouches,tutorialCollectEggTokens2,,DisableWorldTouchesNarrativeAction,BLIMP_collection,,,,,,,,,,,,
tutorialBuyStoneEgg_narration,tutorialBuyStoneEgg,4,NarrationNarrativeAction,,narrationGetStoneDragon,1,,,,,,,,,,
tutorialBuyStoneEgg_worldArrow,tutorialBuyStoneEgg,2,BuildModeWorldObjectNarrativeAction,expansion_058-building,,,,,,,,,Get Another Dragon,1,cameraHeight:300,
tutorialBuyStoneEgg_contextMenuArrow,tutorialBuyStoneEgg,3,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Get Dragon Egg,,,
tutorialBuyStoneEgg_arrowEgg,tutorialBuyStoneEgg,3,MenuTableArrowNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,T1C2HEdragon,90,0.75,,Get Dragon Egg,,,
tutorialBuyStoneEgg_arrowPurchase,tutorialBuyStoneEgg,4,MenuArrowNarrativeAction,dragonDiscoveryInfoPopup,,,purchaseEggMenuItem,,,,0.75,,,,,
tutorialBuyStoneEgg_disableDraco,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,0,,,,,,,
tutorialBuyStoneEgg_disableFrigg,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,1,,,,,,,
tutorialBuyStoneEgg_disableGhaum,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,3,,,,,,,
tutorialBuyStoneEgg_disableAktyl,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,4,,,,,,,
tutorialBuyStoneEgg_disableSerabis,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,5,,,,,,,
tutorialBuyStoneEgg_disableZydron,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,6,,,,,,,
tutorialBuyStoneEgg_disableOhm,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,7,,,,,,,
tutorialBuyStoneEgg_disableLlyom,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,8,,,,,,,
tutorialBuyStoneEgg_disableTsom,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,9,,,,,,,
tutorialBuyStoneEgg_disableTrollis,tutorialBuyStoneEgg,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,10,,,,,,,
tutorialBuyStoneEgg_disableScroll,tutorialBuyStoneEgg,,DisableMenuTableNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,,,,,,,,
tutorialBuyStoneEgg_disableBreedingTab,tutorialBuyStoneEgg,,DisableMenuButtonNarrativeAction,breedingGround-dragonDiscovery,,,tab2,0,,,,,,,,
tutAuxIncubationStarted_disableBreedMore7,tutAuxIncubationStarted,,HideMenuButtonNarrativeAction,breedingGroundNewEggPopup,,,closeButton,,,,,,,,,
tutAuxIncubationStarted_disableBreedMore1,level999,,MenuTableCellArrowNarrativeAction,incubatorMenu,,,incubateMenuItem,tableView,0,,,,,,,
tutAuxIncubationStarted_disableBreedMore2,tutAuxIncubationStarted,,DisableMenuButtonNarrativeAction,incubatorMenu,,,closeButton,,,,,,,,,
tutAuxIncubationStarted_disableBreedMore3,tutAuxIncubationStarted,,DisableMenuButtonNarrativeAction,incubatorMenu,,,increaseCapacityButton,,,,,,,,,
tutAuxIncubationStarted_disableBreedMore4,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,deleteMenuItem,tableView,0,,,,,,,
tutAuxIncubationStarted_disableBreedMore5,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,breedAgainButton,tableView,0,,,,,,,
tutAuxIncubationStarted_disableBreedMore6,level999,,MenuTableCellDisableButtonNarrativeAction,incubatorMenu,,,lastCellGoToBreedingGroundButton,tableView,1,,,,,,,
tutAuxIncubationStarted_disableFlipEgg,tutAuxIncubationStarted,,MenuCustomNarrativeAction,incubatorMenu,,,,,,,,narrativeStopFlip,,,,
tutAuxIncubationStarted_disableBreedMore9,level999,,DisableMenuButtonNarrativeAction,incubatorMenu,,,goToResearchButton,,,,,,,,,
tutAuxIncubationStarted_arrowIncubator,tutAuxIncubationStarted,2,BuildModeWorldObjectNarrativeAction,expansion_061-building,,,,,,,,,Incubate Egg,,,
tutAuxIncubationStarted_contextArrow,tutAuxIncubationStarted,3,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Incubate Egg,,,
tutorialEnterBreeder2_worldArrow,tutorialEnterBreeder2,,BuildModeWorldObjectNarrativeAction,breeder-breederMaster,,,,,,270,,,Dragon Guard,1,,
tutAuxDefense2Arrow_defendArrow,tutorialDefense2Arrow,,MenuArrowNarrativeAction,joinBattleNotification,,,button,,,180,1,,Defend!,,,
tutorialDefense2HintShow_hintSuperShot,tutorialDefense2HintShow,,DefenseWorldObjectNarrativeAction,expansion_005-building,,,,,,0,1,,Fire Super Shot!,,,
tutorialDefense2ModalOpenDelay_narration,tutorialDefense2ModalOpenDelay,,NarrationNarrativeAction,,narrationDefenseModal,,,,,,,,,,,
tutorialDefense2Finish_HideQuit,tutorialDefense2Finish,,DisableMenuButtonNarrativeAction,replayHud,,,quitDefenseContainerNode,,,,,,,,,
tutorialCrossBreeding1_narration,tutorialCrossBreeding1,,NarrationNarrativeAction,,narrationCrossBreeding,1,,,,,,,,,,
tutorialCrossBreeding1_worldArrow,tutorialCrossBreeding1,1,BuildModeWorldObjectNarrativeAction,expansion_058-building,,,,,,,,,Breed a Dragon,1,cameraHeight:300,
tutorialCrossBreeding1_contextMenuArrow,tutorialCrossBreeding1,2,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Breed a Dragon,,,
tutorialCrossBreeding1_dragonArrow,tutorialCrossBreeding1,3,MenuTableArrowNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,T1C2WIdragon,90,0.75,,Breed Dragon,,,
tutorialCrossBreeding1_goToCrossbreedingArrow,tutorialCrossBreeding1,4,MenuArrowNarrativeAction,dragonDiscoveryInfoPopup,,,crossbreedButtonLabel,,,,0.75,,,,,
tutorialCrossBreeding1_disableScroll,tutorialCrossBreeding1,,DisableMenuTableNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,,,,,,,,
tutorialCrossBreeding1_disableGemEggs,tutorialCrossBreeding1,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,breedEggPremiumMenuItem,,,,,,,,,
tutorialCrossBreeding1_disableDiscoveryTab,tutorialCrossBreeding1,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,tab1,,,,,,,,,
tutorialCrossBreeding1_disableDivineTab,tutorialCrossBreeding1,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,tab3,,,,,,,,,
crossBreedingFirstParentHint_hint,level999,,MenuTableArrowNarrativeAction,breedingGround-crossbreeding,,,,dragonLeftTableView,T1C1WFdragon,90,1.3,,"You can choose the first dragon parent to breed here
(tap to continue)",,showHint:1,
crossBreedingSecondParentHint_hint,level999,,MenuTableArrowNarrativeAction,breedingGround-crossbreeding,,,,dragonRightTableView,T1C1HIdragon,270,1.3,,"You can choose the second dragon parent to breed here
(tap to continue)",,showHint:1,
crossBreedingEggsHint_hint,level999,,MenuTableArrowNarrativeAction,breedingGround-crossbreeding,,,,possibleEggsTableView,T1C1WFdragon,,1.3,,"Here are the possible eggs that can come out of the selected pair of parents
(tap to continue)",,showHint:1,
crossBreedingBreedArrow_breedArrow,tutorialCrossBreeding1,,MenuArrowNarrativeAction,breedingGround-crossbreeding,,,breedEggMenuItem,,,,,,Breed Egg,,,
tutorialUpgradeDragon1_setDragon,tutorialUpgradeDragon1,,SetSelectedDragonInStableAction,,T1C1WFdragon,,,,,,,,,,,
tutorialUpgradeDragon1_disableExit,level999,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
tutorialUpgradeDragon1_disableBookmark,level999,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
tutorialUpgradeDragon1_disableLayerTaps,level999,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
tutorialUpgradeDragon1_UpgradeDragonArrow,level999,,MenuArrowNarrativeAction,battleResults,,,dragonHolderNarrativeNode,,,0,1.2,,Tap to train dragon,,showHint:1,
unlockGuildLeaderboardHide_disableHUDLeaderboard,unlockGuildLeaderboardHide,,DisableMenuButtonNarrativeAction,hud,,,leaderboardButtonNode,,,,,,,,,
hideQuitButtonGuilds_hideQuitButton,level999,,DisableMenuButtonNarrativeAction,guildApplyMenu,,,closeButton,,,,,,,,,
tutorialQuestMenuDisable_disableIcon,level999,,DisableMenuButtonNarrativeAction,hud,,,questsNode,,,,,,,,,
unlockQuestsDelay_narration,unlockQuestsDelay,,NarrationNarrativeAction,,narrationUnlockQuestsDelay,,,,,,,,,,,
tutorialEnterBreeder1_narration,tutorialEnterBreeder1,,NarrationNarrativeAction,,narrationEnterBreeder,,,,,,,,,,,
tutorialEnterBreeder1_arrowOnBlimp,tutorialEnterBreeder1,,BuildModeWorldObjectNarrativeAction,breeder-breederMaster,,,,,,,,,Breeder Mission,1,,
tutorialEnterBreeder1_disableAttackHUDButton,tutorialEnterBreeder1,,DisableMenuButtonNarrativeAction,hud,,,attackNode,,,,,,,,,
tutorialNotificationsPrompt_prompt,tutorialNotificationsPromptDelay,,PromptNotificationsNarrativeAction,,,,,,,,,,,,,
tutAuxDefense1DisableCancel_disableCancel,tutAuxDefense1DisableCancel,,DisableMenuButtonNarrativeAction,replayHud,,,quitDefenseContainerNode,,,,,,,,,
tutAuxDefense1DisableSuperShot_disableSuperShot,tutAuxDefense1DisableSuperShot,,DisableActiveAbilitiesNarrativeAction,,,,,,,,,,,,,
tutorialInteractiveDefenseFinish_disableScroll,tutorialDefense2Finish,,DisableWorldScrollNarrativeAction,replayHud,,,,,,,,,,,,
questGetNewDragonFail_narration,questGetNewDragonFail,,NarrationNarrativeAction,,narrationEggFail,,,,,,,,,,,
questGetNewDragonFail_panToBreeder,questGetNewDragonFail,,BuildModeWorldObjectNarrativeAction,breeder-breederMaster,,,,,,,,,,1,,
questBreederDefense2_prompt,questGetNewDragonGo,,NarrationNarrativeAction,,narrationGetEgg,,,,,,,,,,,
questIntroPVP_PVPNarrative,questIntroPVP,,NarrationNarrativeAction,,narrationPVPIntro,,,,,,,,,,,
questIntroPVP_PvPMenu,questIntroPVP,,MenuArrowNarrativeAction,hud,,,leaderboardButton,,,,,,,,,
cutBattleScene,level999,,CutSceneNarrativeAction,replayHud,,,,,,,,,,,,
spellUsageTestArrow,level999,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,270,0.7,,Use Spell,,,
rageBarArrow,level999,,MenuArrowNarrativeAction,battleHud,,,rageBarCenterNode,,,270,0.7,,Rage Bar,,,
testRageBarGlowHighlight,level999,,MenuCustomNarrativeAction,battleHud,,,rageBarHighlight,,,,,narrativeSpriteHighlight,,,,
testRageBarDragonHeadHighlight,level999,,MenuCustomNarrativeAction,battleHud,,,dragonHeadHighlight,,,,,narrativeSpriteHighlight,,,,
testSpellButtonHighlight,level999,,MenuCustomNarrativeAction,battleHud,,,spellButton1,,,,,narrativeSpriteHighlight,,,,
testHighlightPauseBattle,level999,,PauseBattleNarrativeAction,battleHud,,0.2,pauseLayer,,,,,,,,,
testAlterAttackButton,level999,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Add title here|Not ready to attack.,,,
testDisableAttackButtonAnimation,level999,,MenuCustomNarrativeAction,hud,,,,,,,,disableAttackButtonAnimation,,,,
testDragonEggDistribution,level999,,DragonEggDistributionNarrativeAction,T1C1WFdragon|T1C1HIdragon,,,,,,,,,,,deck01:1,
tutAuxPve02SelectDragon_disableQuit,tutAuxPve02SelectDragon,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutAuxPve03SelectDragon_disableQuit,tutorialPve03Finish,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutAuxPve04SelectDragon_disableQuit,tutorialPve04Finish,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutAuxPve05SelectDragon_disableQuit,level999,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutAuxPve06SelectDragon_disableQuit,level999,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
tutorialPve04Finish_narration,tutorialPve04Finish,,NarrationNarrativeAction,,narrationtutorialPve04Finish,1,,,,,,,,,,
tutorialPve05Finish_narration,level999,,NarrationNarrativeAction,,narrationtutorialPve05Finish,1,,,,,,,,,,
tutorialPve06Finish_narration,tutorialPve06Finish,,NarrationNarrativeAction,,narrationtutorialPve06Finish,1,,,,,,,,,,
tutorialGustavPop_narration,tutorialGustavPop,,NarrationNarrativeAction,,narrationtutorialUseBreeder3,1,,,,,,,,,,
tutorialUnlockIsland2Finished_narration,level999,,NarrationNarrativeAction,,narrationtutorialUnlockIsland2Finished,1,,,,,,,,,,
buildResearchHall_narration,level999,,NarrationNarrativeAction,,narrationBuildResearchHall,,,,,,,,,,,
buildResearchHall_worldArrow,buildResearchHallArrow,3,BuildModeWorldObjectNarrativeAction,expansion_059-building,,,,,,,,,Build Hall of Research,1,,
buildResearchHall_storeArrow,buildResearchHallArrow,4,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,research,0,,,Build Hall of Research,,,
teachResearch1_worldArrow,teachResearchArrow,2,BuildModeWorldObjectNarrativeAction,expansion_059-building,,,,,,,,,Conduct Research,,,
buildForge_narration,level999,,NarrationNarrativeAction,,narrationBuildForge,,,,,,,,,,,
buildForge_worldArrow,level999,3,BuildModeWorldObjectNarrativeAction,expansion_065-building,,,,,,,,,Build Forge,1,,
buildForge_storeArrow,level999,4,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,forge,0,,,Build Forge,,,
teachCraftingBoosts_worldArrow,teachCraftingBoostsArrow,2,BuildModeWorldObjectNarrativeAction,expansion_065-building,,,,,,,,,Craft Boosts,,,
teachCraftingBoosts_contextArrow,teachCraftingBoostsArrow,2,MenuArrowNarrativeAction,forgeContextMenu,,,forgeButton,,,,,,Craft Boosts,,buildingIdentifier:forge,
teachCraftingBoosts_boostArrow,teachCraftingBoostsArrow,,MenuTableArrowNarrativeAction,craftableStore,,,craftButton,tableView,increaseBuildingAttackConsumable1,180,,,Craft Boost,,,
halloweenNarrativeQuest_narration,level999,,NarrationNarrativeAction,,narrationHalloween,,,,,,,,,,,
testDisableBattleResultViewCloseButton,level999,1,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
testDisableBattleResultViewBookmarkButton,level999,1,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
testDisableBattleResultViewLayerTouch,level999,1,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
testShowHintArrowForDragonUpgrade,level999,,MenuArrowNarrativeAction,battleResults,,,dragonHolderNarrativeNode,,,0,1.2,,Tap to train dragon,,showHint:1,
v3TutorialIntroSlideShow,v3TutorialFinishIntroSlideShow,1,ShowSlideShowNarrativeAction,,v3Intro,,,,,,,,,,,
v3TutorialDelayAfterSlideShow_hideAttack,v3TutorialDelayAfterSlideShow,,DisableMenuButtonNarrativeAction,hud,,,attackNode,,,,,,,,,
v3ShowVideoPrompt_1,v3TutorialPve01HintIntroIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3ShowVideoPrompt_2,v3TutorialPve01HintIntroIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to attack with Draco!
(tap to continue)",,time:100000|x:50|y:50,
v3ShowFlamethrowerVideoTut,v3TutorialPve01VideoTutIntroIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:dragonAttackFlamethrower|closeDelay:5|spellType:passive,
v3TutorialPve01DestroyedIntroIsland_pulse,v3TutorialPve01PulseIntroIsland,,ShowPulseNarrativeAction,expansion_016-building,,,,,,,,,,,,
v3TutorialPve01PausedIntroIsland_pause,v3TutorialPve01PausedIntroIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve01DestroyedFirstIsland_pulse,v3TutorialPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_012-building,,,,,,,,,,,,
v3TutorialPve01DestroyedFirstIsland_pulse2,v3TutorialPve01PulseFirstIsland,,ShowPulseNarrativeAction,expansion_013-building,,,,,,,,,,,,
v3TutorialPve01PausedFirstIsland_pause,v3TutorialPve01PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve01DestroyedSecondIsland_pulse,v3TutorialPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_006-building,,,,,,,,,,,,
v3TutorialPve01DestroyedSecondIsland_pulse2,v3TutorialPve01PulseSecondIsland,,ShowPulseNarrativeAction,expansion_007-building,,,,,,,,,,,,
v3TutorialPve01PausedSecondIsland_pause,v3TutorialPve01PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve01DestroyedThirdIsland_pulse,v3TutorialPve01PulseThirdIsland,,ShowPulseNarrativeAction,expansion_002-building,,,,,,,,,,,,
v3TutorialPve01DestroyedThirdIsland_pulse2,v3TutorialPve01PulseThirdIsland,,ShowPulseNarrativeAction,expansion_003-building,,,,,,,,,,,,
v3TutorialPve01DestroyedThirdIsland_pulse3,v3TutorialPve01PulseThirdIsland,,ShowPulseNarrativeAction,expansion_004-building,,,,,,,,,,,,
v3TutorialPve01PausedThirdIsland_pause,v3TutorialPve01PausedThirdIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve01ShowHint01_Hint,v3TutorialPve01ShowHint01,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Warrior Dragons like Draco are great for building rage,,time:100000|x:50|y:80,
