identifier,inBundle,spellNameIdentifier,spellDescriptionIdentifier,icon,spellTypes,isUsedForAmmoBuff,activeAbilityBattleText,projectileIdentifier,videoTutorial,uncommonAttributes,spellCategories,spellSoundEffects,vfxsOnBuilding,vfxsOnDragon,h
umbralSpike,0,spell_UmbralSpikeSpell_spellName,spell_UmbralSpikeSpell_spellDescription,icon_umbralspike_01.png,red|white,0,umbralSpikeSpellText,umbralSpike,umbralSpikeSpell,empoweredIcon:icon_umbralspike_01.png|empoweredActiveAbilityBattleText:umbralSpikeSpellText,freeTarget,,,umbralSpikePrepareParticle:umbralSpike_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
desiccatingSand,0,spell_DesiccatingSandSpell_spellName,spell_DesiccatingSandSpell_spellDescription,icon_dessicatingsand_01.png,white,0,desiccatingSandSpellText,desiccatingSand,desiccatingSandSpell,,freeTarget,,desiccatingSandBuildingScene:bld_desiccatingSand.lvl,desiccatingSandPrepareParticle:ptl_drg_desiccating_sand_charge,
crumbleToDust,0,spell_CrumbleToDustSpell_spellName,spell_CrumbleToDustSpell_spellDescription,icon_crumbletodust_01.png,red,0,crumbleToDustSpellText,crumbleToDust,crumbleToDustSpell,,freeTarget,,crumbleToDustBuildingScene:bld_crumble_to_dust.lvl|crumbleToDustBuildingParticle:ptl_drg_crumble_to_dust,crumbleToDustPrepareParticle:ptl_drg_crumble_to_dust_charge,
nightfall,0,spell_Nightfall_spellName,spell_Nightfall_spellDescription,icon_nightfall_01.png,white,0,nightfallSpellText,prj_drg_src_nightfall_01,nightFallSpell,,,,,nightfallPrepareParticle:ptl_drg_nightfall_shadow_01|nightfallDragonProjectile:prj_drg_src_nightfall_01,
shadowApophet,0,spell_SummonShadowApophet_spellName,spell_SummonShadowApophet_spellDescription,icon_apophetshadow_01.png,passive,0,shadowApophetSpellText,drg_shadowApophet_flame_01,shadowApophetSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
borrowTime,0,spell_BorrowTimeSpell_spellName,spell_BorrowTimeSpell_spellDescription,icon_borrowedtime_01.png,passive,0,borrowTimeSpellText,,borrowTimeSpell,,,,,borrowTimeShieldScene:ptl_borrowTime_bubble.lvl|borrowTimeShieldDeathScene:ptl_borrowTime_bubble_death.lvl|borrowTimeShardExplodeScene:ptl_desert_crystal_death.lvl|borrowTimeCrystalScene:ptl_desert_crystal.lvl,
timeShift,0,spell_TimeShiftSpell_spellName,spell_TimeShiftSpell_spellDescription,icon_timeshift_01.png,blue,0,timeShiftSpellText,,timeShiftSpell,empoweredIcon:icon_rewind_01.png|dragonFlyBackSpeed:80,,,,timeShiftStormScene:ptl_drg_timeShift_sandStorm.lvl|timeShiftShadowParticle:ptl_drg_timeShiftShadow|timeShiftBackScene:ptl_drg_timeShift_back.lvl|timeShiftFinishParticle:ptl_drg_timeShiftFinish,
iceShock,0,spell_IceShockSpell_spellName,spell_IceShockSpell_spellDescription,icon_freeze_01.png,white,0,iceShockSpellText,iceShock,iceShockSpell,,circleAOE|freeTarget,,onBuildingScene:ptl_freeze_spell_impact_01.lvl|freezeProjectileParticle:freeze_effect,freezePrepareParticle:freeze_buildup,
whiteChargedShield,0,spell_LethalBarrierSpell_spellName,spell_LethalBarrierSpell_spellDescription,icon_chargedshield_01.png,white,0,chargedShieldSpellText,,lethalBarrierSpell,,,spellStartSoundIdentifier:shield_blast|spellEndSoundIdentifier:shield_blast_end,buildingExplodeParticle:ptl_charge_shield_impact_01,chargedShieldSceneFile:shield_charged.lvl|dragonShieldExplodeParticle:ptl_charge_shield_death|chargedShieldSupershotDeathSceneFile:shield_charged_supershot_death.lvl,
whiteSummonDragon,0,spell_SummonAIBattleDragonSpell_spellName,spell_SummonAIBattleDragonSpell_spellDescription,icon_summon_dragon_01.png,white,0,summonDragonSpellText,,summonAIBattleDragonSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
chaos,0,spell_ChaosSpell_spellName,spell_FrenzySpell_spellDescription,icon_frenzy_01.png,blue,0,frenzySpellText,,chaosSpell,,,,,,
whiteDreadfulRoar,0,spell_DreadfulRoarSpell_spellName,spell_DreadfulRoarSpell_spellDescription,icon_dreadfulRoar.png,white,0,dreadfulRoarSpellText,,dreadfulRoarSpell,,,,dreadfulBuildingParticle:ptl_building_intimidated,dreadfulStartParticle:ptl_drg_dreadfulRoar,
fireShield,0,spell_FireShieldSpell_spellName,spell_FireShieldSpell_spellDescription,icon_fireShield_01.png,blue|blue,0,fireShieldSpellText,,fireShieldSpell,empoweredIcon:icon_blastshield_01.png|empoweredActiveAbilityBattleText:blastShieldSpellText,,,buildingExplodeParticle:ptl_charge_shield_impact_01,heatedPrepareParticle:ptl_drg_radiance_blast_01|heatBlastShieldScene:shield_heatBlast.lvl|heatedHitParticle:ptl_heatBlastShield_hit|heatBlastShieldSupershotDeathScene:shield_heatBlast_supershot_death.lvl,
whiteSacrifice,0,spell_SacrificeSpell_spellName,spell_SacrificeSpell_spellDescription,icon_sacrifice_01.png,white,0,sacrificeSpellText,,whiteSacrificeSpell,,,,,sacrificeParticle:ptl_dragon_sacrifice,
superRejuvenate,0,spell_SuperRejuvenateSpell_spellName,spell_SuperRejuvenateSpell_spellDescription,icon_superRejuvenate_01.png,blue,0,superRejuvenateSpellText,,superRejuvenateSpell,,,,,healParticle:heal_dragon,
superHeatedBreath,0,spell_SuperHeatedBreathSpell_spellName,spell_SuperHeatedBreathSpell_spellDescription,icon_superheatedbreath_01.png,white|white,0,superHeatedBreathSpellText,,superHeatedBreathSpell,empoweredIcon:icon_piercingbreath_01.png|empoweredActiveAbilityBattleText:piercingBreathSpellText,,,,heatedPiercingSuperProjectile:drg_heated_flame_01|heatedPiercingProjectile:drg_piercing_flame_01|heatedPiercingStopProjectile:drg_radiance_flame_01,
entrap,0,spell_EntrapSpell_spellName,spell_EntrapSpell_spellDescription,icon_lockdown_01.png,white,0,entrapSpellText,entrap,entrapSpell,,,,lockdownBuildingScene:ptl_lockdown_net_01.lvl,lockdownPrepareParticle:ptl_lockdown_charge,
enfeeble,0,spell_EnfeebleSpell_spellName,spell_EnfeebleSpell_spellDescription,icon_enfeeble.png,white,0,enfeebleSpellText,enfeeble,enfeebleSpell,,,,crumbleToDustBuildingScene:bld_crumble_to_dust.lvl|crumbleToDustBuildingParticle:ptl_drg_crumble_to_dust,crumbleToDustPrepareParticle:ptl_drg_crumble_to_dust_charge,
resurrection,0,spell_ResurrectionSpell_spellName,spell_ResurrectionSpell_spellDescription,icon_resurrection_01.png,blue,0,resurrectionSpellText,,resurrectionSpell,,,,,risingPhoenixStartParticle:ptl_drg_shield_phoenix|risingPhoenixHealParticle:ptl_heal_dragonSpell_02|risingPhoenixRebirthParticle:ptl_drg_rising_phoenix_01,
elementalBarrier,0,spell_ElementalBarrier_spellName,spell_ElementalBarrier_spellDescription,icon_elementalBarrier.png,white,0,elementalBarrierSpellText,,elementalBarrierSpell,,,spellStartSoundIdentifier:elemental_barrier_cast,,elementalBarrierShieldScene:elemental_barrier_shield.lvl|elementalBarrierSupershotDeathScene:elemental_barrier_supershot_death.lvl|applyDragonParticle:ptl_heal_dragonSpell_02,
dissipate,0,spell_DissipateSpell_spellName,spell_DissipateSpell_spellDescription,icon_dissipate.png,blue,0,dissipateSpellText,,dissipateSpell,,,spellStartSoundIdentifier:uproot_charge|spellReleaseSoundIdentifier:uproot_cast|spellEndSoundIdentifier:uproot_impact,,dissipateCloudyMistScene:ptl_dissipate_mist.lvl|dissipateExplodeScene:ptl_drg_dissipate_burst.lvl|dissipateEndScene:ptl_drg_dissipate_end.lvl,
berserk,0,spell_BerserkSpell_spellName,spell_BerserkSpell_spellDescription,icon_berserk.png,blue,0,berserkSpellText,,berserkSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_berserk_flame_01,
whiteChainLightning,1,spell_WhiteChainLightningSpell_spellName,spell_WhiteChainLightningSpell_spellDescription,icon_chainlightning_01.png,white,0,whiteChainLightningSpellText,,whiteChainLightningSpell,,freeTarget,,,,
isolation,0,spell_IsolationSpell_spellName,spell_IsolationSpell_spellDescription,icon_isolation.png,blue,0,isolationSpellText,,isolationSpell,,,spellStartSoundIdentifier:isolation_cast,isolationTargetBuildingScene:bld_isolation.lvl|isolationAttackReductionParticle:ptl_building_attackReduced,isolationDragonPretargetProjectile:drg_isolation_flame_01,
consume,0,spell_ConsumeSpell_spellName,spell_ConsumeSpell_spellDescription,icon_consume.png,blue,0,consumeSpellText,,consumeSpell,,,spellStartSoundIdentifier:consume_cast,,consumeScene:spl_consume.lvl,
hellspawn,0,spell_HellspawnSpell_spellName,spell_HellspawnSpell_spellDescription,icon_summonHellspawn.png,red,0,hellspawnSpellText,,hellspawnSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:summonHellspawn_cast,,,
flash,0,spell_FlashSpell_spellName,spell_FlashSpell_spellDescription,icon_flash.png,blue,0,flashSpellText,,flashSpell,,,spellStartSoundIdentifier:flash_cast,,dodgeWindScene:flash.lvl|dodgeWindBurstScene:flashBurst.lvl,
extractEssence,1,spell_ExtractEssenceSpell_spellName,spell_ExtractEssenceSpell_spellDescription,icon_Extract_Essence.png,passive,0,extractEssenceSpellText,,extractEssenceSpell,"buildingIdentifiers:stormTower,archerTower,cannonTower,ballista,mageTower,mageBlueTower,trebuchet,lightningTower,woodFarm,hogFarm,iceTurret,fireTurret,iceTotem,fireTotem,windTotem,earthTotem,darkTotem,elementalFlakDark,elementalFlakFire,elementalFlakIce,perchIsland03,perchIsland06,perchIsland08,elementalFlakWind,elementalFlakEarth,archerTowerBoss,cannonTowerBoss,trebuchetBoss,ballistaBoss,fireTurretBoss,iceTurretBoss,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,spellStartSoundIdentifier:extractEssence_cast,,stealEssenceParticle:ptl_steal_essence_ball,
starburn,0,spell_StarburnSpell_spellName,spell_StarburnSpell_spellDescription,icon_Starburn.png,passive,0,starburnSpellText,,starburnSpell,,,,starBurnFireScene:spl_starburn_fire.lvl,,
lightSpeed,0,spell_LightSpeedSpell_spellName,spell_LightSpeedSpell_spellDescription,icon_lightSpeed.png,red,0,lightSpeedSpellText,,lightSpeedSpell,,,spellStartSoundIdentifier:lightspeed_cast,lightSpeedBuildingParticle:ptl_building_lightspeed_flame,lightSpeedProjectile:prj_drg_lightspeed|lightSpeedDragonScene:spl_lightspeed_drg.lvl|lightSpeedDragonEndScene:spl_lightspeed_drg_fade.lvl,
nova,0,spell_NovaSpell_spellName,spell_NovaSpell_spellDescription,icon_Nova.png,red,0,novaSpellText,,novaSpell,,,spellStartSoundIdentifier:nova_cast,,novaBlastScene:spl_nova_blast.lvl|novaHPWispsParticle:ptl_drg_nova_wisp,
summonDodo,0,spell_summonDodoSpell_spellName,spell_summonDodoSpell_spellDescription,icon_dodoGuardian_01.png,passive,0,summonDodoSpellText,drg_fire_flame_01,dragonShieldSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
ashenBreath,0,spell_AshenBreathSpell_spellName,spell_AshenBreathSpell_spellDescription,icon_pestilentBreath_01.png,white,0,ashenBreathSpellText,,ashenBreathSpell,,,spellStartSoundIdentifier:malefic_breath_tapped,,flamethrowerProjectile:prj_drg_src_undead_01,
mysticWind,0,spell_MysticWindSpell_spellName,spell_MysticWindSpell_spellDescription,icon_mysticalWinds_01.png,white,0,hurricaneSpellText,,mysticWindSpell,"targetBuildingIdentifiers:archerTower,archerTowerTutorial,cannonTower,cannonTowerTutorial,ballista,trebuchet,fireTurret,mageTower,mageBlueTower,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,,,hurricaneStartParticle:ptl_hurricane,
northernLightsLight,0,spell_NorthernLightsLightSpell_spellName,spell_NorthernLightsLightSpell_spellDescription,icon_northernLights_light.png,blue|blue,0,northernLightsSpellText,,northernLightsLightSpell,empoweredIcon:icon_northernLights_dark.png|empoweredActiveAbilityBattleText:northernLightsSpellText,,spellStartSoundIdentifier:northern_lights_tapped,northernLightsBuildingHealScene:bld_northernLights_light.lvl|northernLightsBuildingRageScene:bld_northernLights_dark.lvl,northernLightsDarkScene:shield_northernLights_dark.lvl|northernLightsLightScene:shield_northernLights_light.lvl|northernLightsLightParticle:ptl_northernLights_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_northernLights_supershot_death.lvl,
whiteInstantKill,0,spell_WhiteInstantKillSpell_spellName,spell_WhiteInstantKillSpell_spellDescription,icon_instakill_01.png,white,0,whiteInstantKillSpellText,instakill,whiteInstantKillSpell,,freeTarget,,,instantPrepareParticle:instakill_grow,
undeadBlast,0,spell_StaticShieldSpell_spellName,spell_StaticShieldSpell_spellDescription,icon_shieldBlast.png,blue,0,staticShieldSpellText,,staticShieldSpell,,,spellStartSoundIdentifier:shield_blast|spellEndSoundIdentifier:shield_blast_end,buildingExplodeParticle:ptl_undead_blast_impact_01,chargedShieldSceneFile:shield_undeadBlast.lvl|dragonShieldExplodeParticle:ptl_undead_blast_death|chargedShieldSupershotDeathSceneFile:shield_undeadBlast_supershot_death.lvl,
fullMoon,0,spell_FullMoonSpell_spellName,spell_FullMoonSpell_spellDescription,icon_full_moon.png,white,0,fullMoonSpellText,,fullMoonSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_fullMoon|berserkProjectile:drg_fullMoon_flame_01,
stoneform,0,spell_StoneformSpell_spellName,spell_StoneformSpell_spellDescription,icon_stoneform.png,white,0,stoneformSpellText,,stoneformSpell,,,spellStartSoundIdentifier:stoneform_cast,,stoneSkinScene:shield_stoneform.lvl|stoneskinHitParticle:ptl_stoneform_hit|stoneskinShieldDeathScene:shield_stoneform_death.lvl,
feralRage,0,spell_FeralRageSpell_spellName,spell_FeralRageSpell_spellDescription,icon_rage_passive.png,passive,0,feralRageSpellText,,feralRageSpell,,,,,,
reanimate,0,spell_ReanimateSpell_spellName,spell_ReanimateSpell_spellDescription,icon_reanimate.png,blue,0,reanimateSpellText,,reanimateSpell,,,,,risingPhoenixStartParticle:spl_reanimate_shield|risingPhoenixHealParticle:spl_reanimate_heal|risingPhoenixRebirthParticle:spl_reanimate_rising,
absorbMagic,0,spell_AbsorbMagicSpell_spellName,spell_AbsorbMagicSpell_spellDescription,icon_absorb_magic.png,white,0,absorbMagicSpellText,,absorbMagicSpell,,,spellStartSoundIdentifier:absorb_magic,,stoneSkinScene:spl_absorbmagic.lvl|stoneskinHitParticle:ptl_absorbMagic_hit|stoneskinShieldDeathScene:spl_absorbmagic_end.lvl,
frostShield,0,spell_FrostShieldSpell_spellName,spell_FrostShieldSpell_spellDescription,icon_frost_shield.png,blue,0,frostShieldSpellText,,frostShieldSpell,,,spellStartSoundIdentifier:frost_shield,,crystallineShieldScene:shield_frostShield.lvl|crystallineDestructParticle:ptl_shield_frostShield_destruct|crystallineShieldDeathScene:shield_frostShield_death.lvl|crystallineShieldDeathSuperScene:shield_frostShield_death_super.lvl,
soulDevour,0,spell_SoulDevourSpell_spellName,spell_SoulDevourSpell_spellDescription,icon_soul_devour.png,blue,0,soulDevourSpellText,,soulDevourSpell,,,,,energySyphonHealParticle:ptl_soul_devour_heal|energySyphonStartParticle:ptl_soul_devour,
bloodFury,0,spell_BloodFurySpell_spellName,spell_BloodFurySpell_spellDescription,icon_bloodfury.png,blue,0,bloodFurySpellText,,bloodFurySpell,,,spellStartSoundIdentifier:bloodfury,,bloodFuryScene:spl_bloodFury.lvl,
adaptiveBreath,0,spell_AdaptiveBreathSpell_spellName,spell_AdaptiveBreathSpell_spellDescription,icon_adaptiveBreath.png,white,0,adaptiveBreathSpellText,,adaptiveBreathSpell,,,spellStartSoundIdentifier:adaptive_resist,,adaptiveBreathBonusScene:spl_consume.lvl,
adaptiveResist,0,spell_AdaptiveResistSpell_spellName,spell_AdaptiveResistSpell_spellDescription,icon_adaptive_resist.png,white,0,adaptiveResistSpellText,,adaptiveResistSpell,,,spellStartSoundIdentifier:adaptive_resist,,lightningResist01:spl_adaptive_lightningResist.lvl|darkFlakResist01:spl_adaptive_darkResist.lvl|fireTurretResist01:spl_adaptive_fireTurretResist.lvl,
seekerShots,0,spell_SeekerShotsSpell_spellName,spell_SeekerShotsSpell_spellDescription,icon_seeking_shots.png,red,0,seekerShotsSpellText,seekerShots,seekerShotsSpell,,,spellStartSoundIdentifier:seeker_shots_cast,,seekerShotsScene:spl_seekerShots.lvl,
riptide,0,spell_RiptideSpell_spellName,spell_RiptideSpell_spellDescription,icon_riptide.png,blue,0,riptideSpellText,,riptideSpell,,,spellStartSoundIdentifier:riptide,,dissipateCloudyMistScene:ptl_riptide_mist.lvl|dissipateExplodeScene:ptl_drg_riptide_burst.lvl|dissipateEndScene:ptl_drg_riptide_end.lvl,
blazingShield,0,spell_BlazingShieldSpell_spellName,spell_BlazingShieldSpell_spellDescription,icon_blazing_shield.png,blue|blue,0,blazingShieldSpellText,,blazingShieldSpell,empoweredIcon:icon_blastshield_01.png|empoweredActiveAbilityBattleText:blastShieldSpellText,,,buildingExplodeParticle:ptl_charge_shield_impact_01,heatedPrepareParticle:ptl_drg_radiance_blast_01|heatBlastShieldScene:shield_heatBlast.lvl|heatedHitParticle:ptl_heatBlastShield_hit|heatBlastShieldSupershotDeathScene:shield_heatBlast_supershot_death.lvl,
lightningStorm,0,spell_LightningStormSpell_spellName,spell_ThunderstormSpell_spellDescription,icon_thunderstorm_01.png,white,0,lightningStormSpellText,,lightningStormSpell,,,,chainLightningApplyFromSkyParticle:ptl_drg_chain_lightning_impact_01|thunderstormBuildingParticle:ptl_building_shock_base,thunderstormDragonParticle:ptl_dragon_thunderlight_ball,
warcry,0,spell_WarCrySpell_spellName,spell_WarCrySpell_spellDescription,icon_battlecry_01.png,white,0,warcrySpellText,,warcrySpell,,,spellStartSoundIdentifier:dreadful_roar_tapped,,battleCryParticle:ptl_warcry_spell,
healthRageDeathMark,0,spell_HealthRageDeathMarkSpell_spellName,spell_HealthRageDeathMarkSpell_spellDescription,icon_springsRenewal_01.png,red,0,healthRageDeathMarkSpellText,,springsRenewalSpell,,freeTarget,spellStartSoundIdentifier:springs_renewal_charge|spellReleaseSoundIdentifier:springs_renewal_cast,onBuildingParticle:spl_renewal_apply|onBuildingScene:bld_renewal_01.lvl,projectilePrepareParticle:spl_renewal_prepare|applyDragonParticle:spl_renewal_apply,
wintersBite,0,spell_WintersBiteSpell_spellName,spell_WinterBiteSpell_spellDescription,icon_wintersBite_01.png,white,0,wintersBiteSpellText,,wintersBiteSpell,,,spellStartSoundIdentifier:winters_bite,,flamethrowerProjectile:drg_wintersBite_flame_01,
summersPurification,0,spell_SummersPurifcation_spellName,spell_SummersPurifcation_spellDescription,icon_summersPurification_01.png,red|red,0,summersPurificationSpellText,summersPurification,summersPurificationSpell,empoweredIcon:icon_summersPurification_01.png,circleAOE|freeTarget,spellStartSoundIdentifier:summers_purification_charge|spellReleaseSoundIdentifier:summers_purification_cast,southernCrossBuildingLightParticle:ptl_summersPurification_hit_light,southernCrossLightParticle:ptl_summersPurification_sphere_light|southernCrossDarkParticle:ptl_southernCross_sphere_dark|southernCrossHealingParticle:ptl_heal_dragonSpell_02|southernCrossRageParticle:ptl_rage_dragonSpell,
regenerate,0,spell_Regenerate_spellName,spell_Regenerate_spellDescription,icon_regenerate_01.png,blue,0,regenerateSpellText,,regenerateSpell,,,spellStartSoundIdentifier:regenerate,,healParticle:heal_dragon,
autumnsReap,0,spell_AutumnsReap_spellName,spell_AutumnsReap_spellDescription,icon_autumnsReap_01.png,blue,0,autumnsReapSpellText,,autumnsReapSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_autumnsReap_fireball,
ghostfireBlast,0,spell_GhostfireBlast_spellName,spell_GhostfireBlast_spellDescription,icon_ghostfireBlast_01.png,white,0,ghostfireBlastSpellText,ghostfireBlast,ghostfireBlastSpell,,freeTarget,spellStartSoundIdentifier:ghostfire_blast_charge|spellReleaseSoundIdentifier:ghostfire_blast_cast,onBuildingScene:ptl_ghostfireBlast_spell_impact_01.lvl|freezeProjectileParticle:ghostfireBlast_effect,freezePrepareParticle:ghostfireBlast_buildup,
solarStrike,0,spell_SolarStrike_spellName,spell_SolarStrike_spellDescription,icon_solarStrike_01.png,red|red,0,solarStrikeSpellText,solarStrike,solarStrikeSpell,empoweredIcon:icon_solarStrike_01.png,freeTarget,spellStartSoundIdentifier:solar_strike_charge|spellReleaseSoundIdentifier:solar_strike_cast,,umbralSpikePrepareParticle:solarStrike_grow|healingMarkDragonParticle:ptl_heal_dragonSpell_02,
vanish,0,spell_Vanish_spellName,spell_Vanish_spellDescription,icon_vanish_01.png,blue,0,vanishSpellText,,vanishSpell,,,spellStartSoundIdentifier:vanish,,,
ghostfireWreath,0,spell_GhostfireWreath_spellName,spell_GhostfireWreath_spellDescription,icon_ghostfireWreath_01.png,blue|blue,0,ghostfireWreathSpellText,,ghostfireWreathSpell,empoweredIcon:icon_ghostfireWreath_01.png,,spellStartSoundIdentifier:ghostfire_wreath,,healingMarkDragonParticle:ptl_heal_dragonSpell_02|nocturnalFissureVortexParticle:ptl_ghostfireWreath|nocturnalFissureShrinkParticle:ptl_ghostfireWreath_shrink|nocturnalFissureExplodeParticle:ptl_drg_ghostfireWreath_explosion_01,
bellyFlop,0,spell_bellyFlop_spellName,spell_bellyFlop_spellDescription,icon_hippo_destruct_01.png,white,0,bellyFlopSpellText,,bellyFlopSpell,,circleAOE|freeTarget,,,selfDestructTendrils:ptl_selfDestructTendrils.lvl,
whiteSuperRejuvenate,0,spell_whiteSuperRejuvenateSpell_spellName,spell_whiteSuperRejuvenateSpell_spellDescription,icon_superRejuvenate_01.png,white,0,whiteSuperRejuvenateSpellText,,whiteSuperRejuvenateSpell,,,spellStartSoundIdentifier:regenerate,,healParticle:heal_dragon,
leechEssence,1,spell_LeechEssenceSpell_spellName,spell_LeechEssenceSpell_spellDescription,icon_leechEssence.png,passive,0,leechEssenceSpellText,,leechEssenceSpell,"buildingIdentifiers:stormTower,archerTower,cannonTower,ballista,mageTower,mageBlueTower,trebuchet,lightningTower,woodFarm,hogFarm,iceTurret,fireTurret,iceTotem,fireTotem,windTotem,earthTotem,darkTotem,elementalFlakDark,elementalFlakFire,elementalFlakIce,perchIsland03,perchIsland06,perchIsland08,elementalFlakWind,elementalFlakEarth,archerTowerBoss,cannonTowerBoss,trebuchetBoss,ballistaBoss,fireTurretBoss,iceTurretBoss,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,spellStartSoundIdentifier:leechEssence_cast,,stealEssenceParticle:ptl_steal_essence_ball,
stormShield,0,spell_StormShieldSpell_spellName,spell_StormShieldSpell_spellDescription,icon_stormShield.png,red,0,stormShieldSpellText,,stormShieldSpell,,,spellStartSoundIdentifier:storm_shield_cast,buildingExplodeParticle:ptl_storm_shield_impact_01,chargedShieldSceneFile:stormShield_charged.lvl|dragonShieldExplodeParticle:ptl_storm_shield_death|chargedShieldSupershotDeathSceneFile:storm_shield_charged_supershot_death.lvl,
rampage,0,spell_RampageSpell_spellName,spell_RampageSpell_spellDescription,icon_rampage.png,white,0,rampageSpellText,,rampageSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_rampage_flame,
magicBarrier,0,spell_magicBarrierSpell_spellName,spell_magicBarrierSpell_spellDescription,icon_impenetrableAura.png,white,0,magicBarrierSpellText,,magicBarrierSpell,,,spellStartSoundIdentifier:magic_barrier_cast,,invincibleSpellScene:impenetrableAura.lvl|invincibleShieldDeathScene:impenetrableAura_death.lvl,
adaptiveFlakResist,0,spell_AdaptiveFlakResistSpell_spellName,spell_AdaptiveFlakResistSpell_spellDescription,icon_adaptiveFlakResist.png,white,0,adaptiveFlakResistSpellText,,adaptiveFlakResistSpell,,,spellStartSoundIdentifier:adaptive_flak_resist,,iceFlakResist01:spl_adaptive_iceFlakResist.lvl|darkFlakResist01:spl_adaptive_darkFlakResist.lvl|fireFlakResist01:spl_adaptive_fireFlakResist.lvl|windFlakResist01:spl_adaptive_windFlakResist.lvl,
bloodEssence,0,spell_BloodEssenceSpell_spellName,spell_BloodEssenceSpell_spellDescription,icon_bloodEssence.png,passive,0,bloodEssenceSpellText,,bloodEssenceSpell,"buildingIdentifiers:stormTower,archerTower,cannonTower,ballista,mageTower,mageBlueTower,trebuchet,lightningTower,woodFarm,hogFarm,iceTurret,fireTurret,iceTotem,fireTotem,windTotem,earthTotem,darkTotem,elementalFlakDark,elementalFlakFire,elementalFlakIce,perchIsland03,perchIsland06,perchIsland08,elementalFlakWind,elementalFlakEarth,archerTowerBoss,cannonTowerBoss,trebuchetBoss,ballistaBoss,fireTurretBoss,iceTurretBoss,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,,,stealEssenceParticle:ptl_steal_essence_ball,
heavenlyWinds,0,spell_HeavenlyWindsSpell_spellName,spell_HeavenlyWindsSpell_spellDescription,icon_heavenlyWinds.png,red,0,heavenlyWindsSpellText,,heavenlyWindsSpell,"targetBuildingIdentifiers:archerTower,archerTowerTutorial,cannonTower,cannonTowerTutorial,ballista,trebuchet,fireTurret,flak,fireFlak,iceFlak",,spellStartSoundIdentifier:heavenly_winds_cast,,invertScene:ptl_invert_shield_01.lvl,
earthFamiliar,0,spell_SummonEarthFamiliar_spellName,spell_SummonEarthFamiliar_spellDescription,icon_apophetshadow_01.png,passive,0,earthFamiliarSpellText,drg_earth_flame_01,earthFamiliarSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
umbralSpikeWhite,0,spell_UmbralSpikeWhiteSpell_spellName,spell_UmbralSpikeWhiteSpell_spellDescription,icon_umbralspike_01.png,white|white,0,umbralSpikeWhiteSpellText,umbralSpike,umbralSpikeWhiteSpell,empoweredIcon:icon_umbralspike_01.png|empoweredActiveAbilityBattleText:umbralSpikeSpellText,freeTarget,spellStartSoundIdentifier:death_stare_cast|spellReleaseSoundIdentifier:death_stare_trigger,,umbralSpikePrepareParticle:umbralSpike_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
bloodEssenceConsume,0,spell_ConsumeSpell_spellName,spell_ConsumeSpell_spellDescription,icon_consume.png,blue,0,consumeSpellText,,consumeSpell,,,spellStartSoundIdentifier:consume_cast,,consumeScene:spl_consume.lvl,
heatstroke,0,spell_heatstrokeSpell_spellName,spell_heatstrokeSpell_spellDescription,icon_heatstroke.png,white,0,heatStrokeSpellText,,heatstrokeSpell,,,spellStartSoundIdentifier:heatstroke_cast,,flamethrowerProjectile:drg_heatstroke_fireball,
everlastingHunt,0,spell_everlastingHuntSpell_spellName,spell_everlastingHuntSpell_spellDescription,icon_everlastingHunt.png,red,0,everlastingHuntSpellText,,everlastingHuntSpell,,,spellStartSoundIdentifier:everlastinghunt_cast,,risingPhoenixStartParticle:spl_everlastingHunt_shield|risingPhoenixHealParticle:spl_everlastingHunt_heal|risingPhoenixRebirthParticle:spl_everlastingHunt_rising,
mysticBarrage,0,spell_mysticBarrageSpell_spellName,spell_mysticBarrageSpell_spellDescription,icon_mysticBarrage.png,blue,0,mysticBarrageSpellText,,mysticBarrageSpell,,,spellStartSoundIdentifier:nova_cast,,,
